"Plot Title: TO11-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163326, SEN S/N: 10163326)","Intensity, Lux (LGR S/N: 10163326, SEN S/N: 10163326)","Bad Battery (LGR S/N: 10163326)","Coupler Attached (LGR S/N: 10163326)","Host Connected (LGR S/N: 10163326)","Stopped (LGR S/N: 10163326)","End Of File (LGR S/N: 10163326)"
1,09/23/13 07:00:00 PM,9.472,0.0,,,,,
2,09/23/13 10:00:00 PM,8.581,0.0,,,,,
3,09/24/13 01:00:00 AM,8.382,0.0,,,,,
4,09/24/13 04:00:00 AM,7.682,0.0,,,,,
5,09/24/13 07:00:00 AM,6.268,21.5,,,,,
6,09/24/13 10:00:00 AM,8.182,3616.7,,,,,
7,09/24/13 01:00:00 PM,9.768,3272.2,,,,,
8,09/24/13 04:00:00 PM,9.965,753.5,,,,,
9,09/24/13 07:00:00 PM,8.082,0.0,,,,,
10,09/24/13 10:00:00 PM,7.381,0.0,,,,,
11,09/25/13 01:00:00 AM,7.381,0.0,,,,,
12,09/25/13 04:00:00 AM,7.280,0.0,,,,,
13,09/25/13 07:00:00 AM,7.179,10.8,,,,,
14,09/25/13 10:00:00 AM,8.481,3100.0,,,,,
15,09/25/13 01:00:00 PM,10.063,3100.0,,,,,
16,09/25/13 04:00:00 PM,10.161,2755.6,,,,,
17,09/25/13 07:00:00 PM,8.779,10.8,,,,,
18,09/25/13 10:00:00 PM,8.082,0.0,,,,,
19,09/26/13 01:00:00 AM,7.582,0.0,,,,,
20,09/26/13 04:00:00 AM,6.674,0.0,,,,,
21,09/26/13 07:00:00 AM,6.166,10.8,,,,,
22,09/26/13 10:00:00 AM,7.381,2325.0,,,,,
23,09/26/13 01:00:00 PM,10.063,2411.1,,,,,
24,09/26/13 04:00:00 PM,10.651,2066.7,,,,,
25,09/26/13 07:00:00 PM,8.680,10.8,,,,,
26,09/26/13 10:00:00 PM,7.179,0.0,,,,,
27,09/27/13 01:00:00 AM,6.064,0.0,,,,,
28,09/27/13 04:00:00 AM,5.552,0.0,,,,,
29,09/27/13 07:00:00 AM,6.064,0.0,,,,,
30,09/27/13 10:00:00 AM,7.582,753.5,,,,,
31,09/27/13 01:00:00 PM,8.779,968.8,,,,,
32,09/27/13 04:00:00 PM,9.965,807.3,,,,,
33,09/27/13 07:00:00 PM,9.571,0.0,,,,,
34,09/27/13 10:00:00 PM,9.275,0.0,,,,,
35,09/28/13 01:00:00 AM,9.275,0.0,,,,,
36,09/28/13 04:00:00 AM,9.176,0.0,,,,,
37,09/28/13 07:00:00 AM,9.373,0.0,,,,,
38,09/28/13 10:00:00 AM,11.139,1270.1,,,,,
39,09/28/13 01:00:00 PM,11.819,839.6,,,,,
40,09/28/13 04:00:00 PM,11.722,387.5,,,,,
41,09/28/13 07:00:00 PM,8.779,0.0,,,,,
42,09/28/13 10:00:00 PM,8.082,0.0,,,,,
43,09/29/13 01:00:00 AM,7.882,0.0,,,,,
44,09/29/13 04:00:00 AM,7.179,0.0,,,,,
45,09/29/13 07:00:00 AM,7.280,0.0,,,,,
46,09/29/13 10:00:00 AM,7.481,1151.7,,,,,
47,09/29/13 01:00:00 PM,7.682,2066.7,,,,,
48,09/29/13 04:00:00 PM,8.182,1033.3,,,,,
49,09/29/13 07:00:00 PM,8.481,0.0,,,,,
50,09/29/13 10:00:00 PM,8.978,0.0,,,,,
51,09/30/13 01:00:00 AM,6.674,0.0,,,,,
52,09/30/13 04:00:00 AM,5.962,0.0,,,,,
53,09/30/13 07:00:00 AM,6.268,0.0,,,,,
54,09/30/13 10:00:00 AM,7.280,2066.7,,,,,
55,09/30/13 01:00:00 PM,6.775,775.0,,,,,
56,09/30/13 04:00:00 PM,7.983,2755.6,,,,,
57,09/30/13 07:00:00 PM,6.775,0.0,,,,,
58,09/30/13 10:00:00 PM,6.166,0.0,,,,,
59,10/01/13 01:00:00 AM,5.655,0.0,,,,,
60,10/01/13 04:00:00 AM,5.552,0.0,,,,,
61,10/01/13 07:00:00 AM,5.141,0.0,,,,,
62,10/01/13 10:00:00 AM,6.775,5511.1,,,,,
63,10/01/13 01:00:00 PM,6.064,3100.0,,,,,
64,10/01/13 04:00:00 PM,7.079,4305.6,,,,,
65,10/01/13 07:00:00 PM,6.370,0.0,,,,,
66,10/01/13 10:00:00 PM,6.166,0.0,,,,,
67,10/02/13 01:00:00 AM,6.268,0.0,,,,,
68,10/02/13 04:00:00 AM,6.268,0.0,,,,,
69,10/02/13 07:00:00 AM,6.064,10.8,,,,,
70,10/02/13 10:00:00 AM,7.582,3961.1,,,,,
71,10/02/13 01:00:00 PM,8.581,2411.1,,,,,
72,10/02/13 04:00:00 PM,7.882,1130.2,,,,,
73,10/02/13 07:00:00 PM,6.471,0.0,,,,,
74,10/02/13 10:00:00 PM,6.064,0.0,,,,,
75,10/03/13 01:00:00 AM,5.860,0.0,,,,,
76,10/03/13 04:00:00 AM,5.757,0.0,,,,,
77,10/03/13 07:00:00 AM,5.655,0.0,,,,,
78,10/03/13 10:00:00 AM,6.166,2238.9,,,,,
79,10/03/13 01:00:00 PM,8.978,5338.9,,,,,
80,10/03/13 04:00:00 PM,8.680,2497.2,,,,,
81,10/03/13 07:00:00 PM,7.582,0.0,,,,,
82,10/03/13 10:00:00 PM,6.978,0.0,,,,,
83,10/04/13 01:00:00 AM,4.623,0.0,,,,,
84,10/04/13 04:00:00 AM,3.893,0.0,,,,,
85,10/04/13 07:00:00 AM,3.578,10.8,,,,,
86,10/04/13 10:00:00 AM,5.450,2755.6,,,,,
87,10/04/13 01:00:00 PM,7.682,1980.6,,,,,
88,10/04/13 04:00:00 PM,8.978,1463.9,,,,,
89,10/04/13 07:00:00 PM,8.182,0.0,,,,,
90,10/04/13 10:00:00 PM,6.877,0.0,,,,,
91,10/05/13 01:00:00 AM,6.268,0.0,,,,,
92,10/05/13 04:00:00 AM,5.962,0.0,,,,,
93,10/05/13 07:00:00 AM,5.552,0.0,,,,,
