"Plot Title: AB08-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401768, SEN S/N: 2401768)","Intensity, Lux (LGR S/N: 2401768, SEN S/N: 2401768)","Coupler Attached (LGR S/N: 2401768)","Coupler Detached (LGR S/N: 2401768)","Host Connected (LGR S/N: 2401768)","Stopped (LGR S/N: 2401768)","End Of File (LGR S/N: 2401768)"
1,09/17/14 01:00:00 PM,18.045,5166.7,,,,,
2,09/17/14 04:00:00 PM,18.806,5166.7,,,,,
3,09/17/14 07:00:00 PM,16.141,96.9,,,,,
4,09/17/14 10:00:00 PM,14.230,0.0,,,,,
5,09/18/14 01:00:00 AM,13.173,0.0,,,,,
6,09/18/14 04:00:00 AM,12.401,0.0,,,,,
7,09/18/14 07:00:00 AM,12.401,64.6,,,,,
8,09/18/14 10:00:00 AM,11.722,990.3,,,,,
9,09/18/14 01:00:00 PM,12.497,2325.0,,,,,
10,09/18/14 04:00:00 PM,13.654,4305.6,,,,,
11,09/18/14 07:00:00 PM,12.013,32.3,,,,,
12,09/18/14 10:00:00 PM,11.236,0.0,,,,,
13,09/19/14 01:00:00 AM,11.236,0.0,,,,,
14,09/19/14 04:00:00 AM,10.944,0.0,,,,,
15,09/19/14 07:00:00 AM,10.846,193.8,,,,,
16,09/19/14 10:00:00 AM,12.690,1324.0,,,,,
17,09/19/14 01:00:00 PM,14.038,2755.6,,,,,
18,09/19/14 04:00:00 PM,17.284,5166.7,,,,,
19,09/19/14 07:00:00 PM,14.134,139.9,,,,,
20,09/19/14 10:00:00 PM,12.304,0.0,,,,,
21,09/20/14 01:00:00 AM,10.944,0.0,,,,,
22,09/20/14 04:00:00 AM,9.571,0.0,,,,,
23,09/20/14 07:00:00 AM,10.357,53.8,,,,,
24,09/20/14 10:00:00 AM,12.883,1227.1,,,,,
25,09/20/14 01:00:00 PM,16.427,2411.1,,,,,
26,09/20/14 04:00:00 PM,18.331,2755.6,,,,,
27,09/20/14 07:00:00 PM,16.237,64.6,,,,,
28,09/20/14 10:00:00 PM,14.421,0.0,,,,,
29,09/21/14 01:00:00 AM,13.654,0.0,,,,,
30,09/21/14 04:00:00 AM,13.365,0.0,,,,,
31,09/21/14 07:00:00 AM,12.980,75.3,,,,,
32,09/21/14 10:00:00 AM,14.421,1345.5,,,,,
33,09/21/14 01:00:00 PM,18.901,2669.5,,,,,
34,09/21/14 04:00:00 PM,20.615,2411.1,,,,,
35,09/21/14 07:00:00 PM,17.760,43.1,,,,,
36,09/21/14 10:00:00 PM,15.187,0.0,,,,,
37,09/22/14 01:00:00 AM,13.269,0.0,,,,,
38,09/22/14 04:00:00 AM,12.883,0.0,,,,,
39,09/22/14 07:00:00 AM,12.207,21.5,,,,,
40,09/22/14 10:00:00 AM,12.980,1894.5,,,,,
41,09/22/14 01:00:00 PM,15.569,3961.1,,,,,
42,09/22/14 04:00:00 PM,16.713,2411.1,,,,,
43,09/22/14 07:00:00 PM,13.461,21.5,,,,,
44,09/22/14 10:00:00 PM,12.304,0.0,,,,,
45,09/23/14 01:00:00 AM,11.722,0.0,,,,,
46,09/23/14 04:00:00 AM,11.334,0.0,,,,,
47,09/23/14 07:00:00 AM,11.431,43.1,,,,,
48,09/23/14 10:00:00 AM,14.613,1463.9,,,,,
49,09/23/14 01:00:00 PM,14.900,4477.8,,,,,
50,09/23/14 04:00:00 PM,12.690,1550.0,,,,,
51,09/23/14 07:00:00 PM,12.013,0.0,,,,,
52,09/23/14 10:00:00 PM,11.722,0.0,,,,,
53,09/24/14 01:00:00 AM,12.594,0.0,,,,,
54,09/24/14 04:00:00 AM,12.594,0.0,,,,,
55,09/24/14 07:00:00 AM,11.139,0.0,,,,,
56,09/24/14 10:00:00 AM,11.625,2755.6,,,,,
57,09/24/14 01:00:00 PM,11.625,2497.2,,,,,
58,09/24/14 04:00:00 PM,12.594,3272.2,,,,,
59,09/24/14 07:00:00 PM,11.431,107.6,,,,,
60,09/24/14 10:00:00 PM,10.748,0.0,,,,,
61,09/25/14 01:00:00 AM,10.553,0.0,,,,,
62,09/25/14 04:00:00 AM,10.357,0.0,,,,,
63,09/25/14 07:00:00 AM,10.161,10.8,,,,,
64,09/25/14 10:00:00 AM,11.139,3788.9,,,,,
65,09/25/14 01:00:00 PM,12.401,6544.5,,,,,
66,09/25/14 04:00:00 PM,11.431,1001.0,,,,,
67,09/25/14 07:00:00 PM,9.965,10.8,,,,,
68,09/25/14 10:00:00 PM,8.879,0.0,,,,,
69,09/26/14 01:00:00 AM,8.282,0.0,,,,,
70,09/26/14 04:00:00 AM,8.680,0.0,,,,,
71,09/26/14 07:00:00 AM,8.978,86.1,,,,,
72,09/26/14 10:00:00 AM,9.965,4133.4,,,,,
73,09/26/14 01:00:00 PM,12.013,4650.0,,,,,
74,09/26/14 04:00:00 PM,12.207,4822.3,,,,,
75,09/26/14 07:00:00 PM,10.651,0.0,,,,,
76,09/26/14 10:00:00 PM,10.259,0.0,,,,,
77,09/27/14 01:00:00 AM,9.768,0.0,,,,,
78,09/27/14 04:00:00 AM,9.472,0.0,,,,,
79,09/27/14 07:00:00 AM,8.382,21.5,,,,,
80,09/27/14 10:00:00 AM,8.282,839.6,,,,,
81,09/27/14 01:00:00 PM,10.553,2152.8,,,,,
82,09/27/14 04:00:00 PM,12.690,2325.0,,,,,
83,09/27/14 07:00:00 PM,11.041,161.5,,,,,
84,09/27/14 10:00:00 PM,9.866,0.0,,,,,
85,09/28/14 01:00:00 AM,8.879,0.0,,,,,
86,09/28/14 04:00:00 AM,8.382,0.0,,,,,
87,09/28/14 07:00:00 AM,7.983,0.0,,,,,
88,09/28/14 10:00:00 AM,8.978,1044.1,,,,,
89,09/28/14 01:00:00 PM,11.625,2497.2,,,,,
90,09/28/14 04:00:00 PM,13.461,2238.9,,,,,
91,09/28/14 07:00:00 PM,12.013,10.8,,,,,
92,09/28/14 10:00:00 PM,10.161,0.0,,,,,
93,09/29/14 01:00:00 AM,9.176,0.0,,,,,
94,09/29/14 04:00:00 AM,8.481,0.0,,,,,
95,09/29/14 07:00:00 AM,8.082,10.8,,,,,
96,09/29/14 10:00:00 AM,10.553,3788.9,,,,,
97,09/29/14 01:00:00 PM,13.269,3961.1,,,,,
98,09/29/14 04:00:00 PM,11.528,2497.2,,,,,
99,09/29/14 07:00:00 PM,10.748,0.0,,,,,
100,09/29/14 10:00:00 PM,9.077,0.0,,,,,
101,09/30/14 01:00:00 AM,7.179,0.0,,,,,
102,09/30/14 04:00:00 AM,7.079,0.0,,,,,
103,09/30/14 07:00:00 AM,7.079,0.0,,,,,
104,09/30/14 10:00:00 AM,8.182,2755.6,,,,,
105,09/30/14 01:00:00 PM,8.879,4305.6,,,,,
106,09/30/14 04:00:00 PM,9.472,3100.0,,,,,
107,09/30/14 07:00:00 PM,8.382,0.0,,,,,
108,09/30/14 10:00:00 PM,7.582,0.0,,,,,
109,10/01/14 01:00:00 AM,7.280,0.0,,,,,
110,10/01/14 04:00:00 AM,6.471,0.0,,,,,
111,10/01/14 07:00:00 AM,6.370,21.5,,,,,
112,10/01/14 10:00:00 AM,7.280,2238.9,,,,,
113,10/01/14 01:00:00 PM,8.879,3444.5,,,,,
114,10/01/14 04:00:00 PM,9.669,3272.2,,,,,
115,10/01/14 07:00:00 PM,8.879,0.0,,,,,
116,10/01/14 10:00:00 PM,7.682,0.0,,,,,
117,10/02/14 01:00:00 AM,7.079,0.0,,,,,
118,10/02/14 04:00:00 AM,5.757,0.0,,,,,
119,10/02/14 07:00:00 AM,4.623,10.8,,,,,
120,10/02/14 10:00:00 AM,5.244,871.9,,,,,
121,10/02/14 01:00:00 PM,7.983,1980.6,,,,,
122,10/02/14 04:00:00 PM,9.669,1463.9,,,,,
123,10/02/14 07:00:00 PM,8.382,0.0,,,,,
124,10/02/14 10:00:00 PM,7.079,0.0,,,,,
125,10/03/14 01:00:00 AM,6.877,0.0,,,,,
126,10/03/14 04:00:00 AM,7.079,0.0,,,,,
127,10/03/14 07:00:00 AM,7.280,0.0,,,,,
128,10/03/14 10:00:00 AM,8.879,775.0,,,,,
129,10/03/14 01:00:00 PM,11.916,2152.8,,,,,
130,10/03/14 04:00:00 PM,13.942,2497.2,,,,,
131,10/03/14 07:00:00 PM,12.110,0.0,,,,,
132,10/03/14 10:00:00 PM,10.357,0.0,,,,,
133,10/04/14 01:00:00 AM,9.472,0.0,,,,,
134,10/04/14 04:00:00 AM,9.472,0.0,,,,,
135,10/04/14 07:00:00 AM,9.669,0.0,,,,,
136,10/04/14 10:00:00 AM,10.357,1550.0,,,,,
137,10/04/14 01:00:00 PM,13.269,3272.2,,,,,
138,10/04/14 04:00:00 PM,14.230,2927.8,,,,,
139,10/04/14 07:00:00 PM,12.013,0.0,,,,,
140,10/04/14 10:00:00 PM,10.553,0.0,,,,,
141,10/05/14 01:00:00 AM,9.965,0.0,,,,,
142,10/05/14 04:00:00 AM,9.768,0.0,,,,,
143,10/05/14 07:00:00 AM,9.866,0.0,,,,,
144,10/05/14 10:00:00 AM,10.455,710.4,,,,,
145,10/05/14 01:00:00 PM,12.980,1636.1,,,,,
146,10/05/14 04:00:00 PM,14.709,1808.3,,,,,
147,10/05/14 07:00:00 PM,12.980,0.0,,,,,
148,10/05/14 10:00:00 PM,11.236,0.0,,,,,
149,10/06/14 01:00:00 AM,10.357,0.0,,,,,
150,10/06/14 04:00:00 AM,9.866,0.0,,,,,
151,10/06/14 07:00:00 AM,9.768,0.0,,,,,
152,10/06/14 10:00:00 AM,10.846,678.1,,,,,
153,10/06/14 01:00:00 PM,14.038,1550.0,,,,,
154,10/06/14 04:00:00 PM,15.951,1722.2,,,,,
155,10/06/14 07:00:00 PM,14.134,0.0,,,,,
156,10/06/14 10:00:00 PM,12.304,0.0,,,,,
157,10/07/14 01:00:00 AM,11.236,0.0,,,,,
158,10/07/14 04:00:00 AM,10.748,0.0,,,,,
159,10/07/14 07:00:00 AM,10.455,0.0,,,,,
160,10/07/14 10:00:00 AM,10.748,678.1,,,,,
161,10/07/14 01:00:00 PM,14.038,2238.9,,,,,
162,10/07/14 04:00:00 PM,16.141,2755.6,,,,,
163,10/07/14 07:00:00 PM,13.942,0.0,,,,,
164,10/07/14 10:00:00 PM,13.076,0.0,,,,,
165,10/08/14 01:00:00 AM,12.013,0.0,,,,,
166,10/08/14 04:00:00 AM,10.455,0.0,,,,,
167,10/08/14 07:00:00 AM,9.571,0.0,,,,,
