"Plot Title: AB08-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401775, SEN S/N: 2401775)","Intensity, Lux (LGR S/N: 2401775, SEN S/N: 2401775)","End Of File (LGR S/N: 2401775)"
1,09/17/14 01:00:00 PM,19.187,6200.0,
2,09/17/14 02:00:00 PM,20.234,5166.7,
3,09/17/14 03:00:00 PM,20.805,4650.0,
4,09/17/14 04:00:00 PM,19.758,6200.0,
5,09/17/14 05:00:00 PM,19.187,1636.1,
6,09/17/14 06:00:00 PM,17.950,904.2,
7,09/17/14 07:00:00 PM,16.808,96.9,
8,09/17/14 08:00:00 PM,15.473,0.0,
9,09/17/14 09:00:00 PM,14.804,0.0,
10,09/17/14 10:00:00 PM,14.517,0.0,
11,09/17/14 11:00:00 PM,14.038,0.0,
12,09/18/14 12:00:00 AM,13.558,0.0,
13,09/18/14 01:00:00 AM,13.365,0.0,
14,09/18/14 02:00:00 AM,12.980,0.0,
15,09/18/14 03:00:00 AM,12.980,0.0,
16,09/18/14 04:00:00 AM,12.594,0.0,
17,09/18/14 05:00:00 AM,12.594,0.0,
18,09/18/14 06:00:00 AM,12.690,0.0,
19,09/18/14 07:00:00 AM,12.497,64.6,
20,09/18/14 08:00:00 AM,12.110,215.3,
21,09/18/14 09:00:00 AM,11.722,312.2,
22,09/18/14 10:00:00 AM,11.722,947.2,
23,09/18/14 11:00:00 AM,11.916,1980.6,
24,09/18/14 12:00:00 PM,12.594,2583.4,
25,09/18/14 01:00:00 PM,12.594,1894.5,
26,09/18/14 02:00:00 PM,12.690,2755.6,
27,09/18/14 03:00:00 PM,12.883,2152.8,
28,09/18/14 04:00:00 PM,13.654,3788.9,
29,09/18/14 05:00:00 PM,13.173,1550.0,
30,09/18/14 06:00:00 PM,12.304,452.1,
31,09/18/14 07:00:00 PM,11.916,10.8,
32,09/18/14 08:00:00 PM,11.625,0.0,
33,09/18/14 09:00:00 PM,11.431,0.0,
34,09/18/14 10:00:00 PM,11.236,0.0,
35,09/18/14 11:00:00 PM,11.139,0.0,
36,09/19/14 12:00:00 AM,11.139,0.0,
37,09/19/14 01:00:00 AM,11.139,0.0,
38,09/19/14 02:00:00 AM,11.041,0.0,
39,09/19/14 03:00:00 AM,11.041,0.0,
40,09/19/14 04:00:00 AM,10.944,0.0,
41,09/19/14 05:00:00 AM,10.846,0.0,
42,09/19/14 06:00:00 AM,10.846,0.0,
43,09/19/14 07:00:00 AM,10.846,172.2,
44,09/19/14 08:00:00 AM,11.334,1173.3,
45,09/19/14 09:00:00 AM,12.013,2238.9,
46,09/19/14 10:00:00 AM,12.690,1808.3,
47,09/19/14 11:00:00 AM,13.558,5166.7,
48,09/19/14 12:00:00 PM,13.269,2238.9,
49,09/19/14 01:00:00 PM,13.846,2497.2,
50,09/19/14 02:00:00 PM,14.900,5166.7,
51,09/19/14 03:00:00 PM,16.332,4650.0,
52,09/19/14 04:00:00 PM,16.808,5511.1,
53,09/19/14 05:00:00 PM,16.808,2583.4,
54,09/19/14 06:00:00 PM,14.613,1463.9,
55,09/19/14 07:00:00 PM,13.846,150.7,
56,09/19/14 08:00:00 PM,13.269,0.0,
57,09/19/14 09:00:00 PM,12.883,0.0,
58,09/19/14 10:00:00 PM,12.304,0.0,
59,09/19/14 11:00:00 PM,12.883,0.0,
60,09/20/14 12:00:00 AM,11.139,0.0,
61,09/20/14 01:00:00 AM,10.944,0.0,
62,09/20/14 02:00:00 AM,10.455,0.0,
63,09/20/14 03:00:00 AM,9.965,0.0,
64,09/20/14 04:00:00 AM,9.373,0.0,
65,09/20/14 05:00:00 AM,9.176,0.0,
66,09/20/14 06:00:00 AM,9.373,0.0,
67,09/20/14 07:00:00 AM,10.553,21.5,
68,09/20/14 08:00:00 AM,11.431,64.6,
69,09/20/14 09:00:00 AM,12.110,247.6,
70,09/20/14 10:00:00 AM,13.173,592.0,
71,09/20/14 11:00:00 AM,14.421,947.2,
72,09/20/14 12:00:00 PM,15.855,1345.5,
73,09/20/14 01:00:00 PM,16.999,1550.0,
74,09/20/14 02:00:00 PM,18.140,2755.6,
75,09/20/14 03:00:00 PM,19.567,2497.2,
76,09/20/14 04:00:00 PM,19.758,6544.5,
