"Plot Title: AB08-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578616, SEN S/N: 10578616)","Intensity, Lux (LGR S/N: 10578616, SEN S/N: 10578616)","Coupler Detached (LGR S/N: 10578616)","Coupler Attached (LGR S/N: 10578616)","Host Connected (LGR S/N: 10578616)","Stopped (LGR S/N: 10578616)","End Of File (LGR S/N: 10578616)"
1,09/16/14 09:40:57 AM,16.523,0.0,,,,,
2,09/16/14 09:41:04 AM,,,Logged,,,,
3,09/16/14 12:40:57 PM,19.662,3100.0,,,,,
4,09/16/14 03:40:57 PM,19.377,3788.9,,,,,
5,09/16/14 06:40:57 PM,15.951,871.9,,,,,
6,09/16/14 09:40:57 PM,13.269,0.0,,,,,
7,09/17/14 12:40:57 AM,12.304,0.0,,,,,
8,09/17/14 03:40:57 AM,11.916,0.0,,,,,
9,09/17/14 06:40:57 AM,11.625,43.1,,,,,
10,09/17/14 09:40:57 AM,15.378,3788.9,,,,,
11,09/17/14 12:40:57 PM,19.472,7233.4,,,,,
12,09/17/14 03:40:57 PM,19.758,3272.2,,,,,
13,09/17/14 06:40:57 PM,17.379,387.5,,,,,
14,09/17/14 09:40:57 PM,14.804,0.0,,,,,
15,09/18/14 12:40:57 AM,13.461,0.0,,,,,
16,09/18/14 03:40:57 AM,12.787,0.0,,,,,
17,09/18/14 06:40:57 AM,12.690,0.0,,,,,
18,09/18/14 09:40:57 AM,11.722,818.1,,,,,
19,09/18/14 12:40:57 PM,12.594,2669.5,,,,,
20,09/18/14 03:40:57 PM,13.750,4133.4,,,,,
21,09/18/14 06:40:57 PM,12.110,129.2,,,,,
22,09/18/14 09:40:57 PM,11.236,0.0,,,,,
23,09/19/14 12:40:57 AM,11.236,0.0,,,,,
24,09/19/14 03:40:57 AM,11.041,0.0,,,,,
25,09/19/14 06:40:57 AM,10.944,0.0,,,,,
26,09/19/14 09:40:57 AM,12.883,2927.8,,,,,
27,09/19/14 12:40:57 PM,14.517,2755.6,,,,,
28,09/19/14 03:40:57 PM,17.094,6200.0,,,,,
29,09/19/14 06:40:57 PM,14.996,398.3,,,,,
30,09/19/14 09:40:57 PM,12.883,0.0,,,,,
31,09/20/14 12:40:57 AM,11.334,0.0,,,,,
32,09/20/14 03:40:57 AM,9.768,0.0,,,,,
33,09/20/14 06:40:57 AM,10.259,0.0,,,,,
34,09/20/14 09:40:57 AM,13.365,409.0,,,,,
35,09/20/14 12:40:57 PM,17.570,1377.8,,,,,
36,09/20/14 03:40:57 PM,20.519,1722.2,,,,,
37,09/20/14 06:40:57 PM,18.426,32.3,,,,,
38,09/20/14 09:40:57 PM,15.760,0.0,,,,,
39,09/21/14 12:40:57 AM,14.804,0.0,,,,,
40,09/21/14 03:40:57 AM,14.804,0.0,,,,,
41,09/21/14 06:40:57 AM,14.134,0.0,,,,,
42,09/21/14 09:40:57 AM,15.569,452.1,,,,,
43,09/21/14 12:40:57 PM,20.901,1377.8,,,,,
44,09/21/14 03:40:57 PM,23.388,1550.0,,,,,
45,09/21/14 06:40:57 PM,20.234,43.1,,,,,
46,09/21/14 09:40:57 PM,16.523,0.0,,,,,
47,09/22/14 12:40:57 AM,14.134,0.0,,,,,
48,09/22/14 03:40:57 AM,13.173,0.0,,,,,
49,09/22/14 06:40:57 AM,12.497,0.0,,,,,
50,09/22/14 09:40:57 AM,13.269,538.2,,,,,
51,09/22/14 12:40:57 PM,16.332,1377.8,,,,,
52,09/22/14 03:40:57 PM,17.379,1808.3,,,,,
53,09/22/14 06:40:57 PM,14.517,139.9,,,,,
54,09/22/14 09:40:57 PM,12.883,0.0,,,,,
55,09/23/14 12:40:57 AM,12.207,0.0,,,,,
56,09/23/14 03:40:57 AM,11.722,0.0,,,,,
57,09/23/14 06:40:57 AM,11.722,0.0,,,,,
58,09/23/14 09:40:57 AM,15.569,785.8,,,,,
59,09/23/14 12:40:57 PM,14.613,1463.9,,,,,
60,09/23/14 03:40:57 PM,12.690,452.1,,,,,
61,09/23/14 06:40:57 PM,12.013,32.3,,,,,
62,09/23/14 09:40:57 PM,11.819,0.0,,,,,
