"Plot Title: AE10-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574908, SEN S/N: 10574908)","Intensity, Lux (LGR S/N: 10574908, SEN S/N: 10574908)","Coupler Attached (LGR S/N: 10574908)","Host Connected (LGR S/N: 10574908)","Stopped (LGR S/N: 10574908)","End Of File (LGR S/N: 10574908)"
1,09/11/14 01:00:00 PM,12.207,13089.0,,,,
2,09/11/14 04:00:00 PM,10.259,2669.5,,,,
3,09/11/14 07:00:00 PM,8.182,96.9,,,,
4,09/11/14 10:00:00 PM,6.370,0.0,,,,
5,09/12/14 01:00:00 AM,6.268,0.0,,,,
6,09/12/14 04:00:00 AM,5.860,0.0,,,,
7,09/12/14 07:00:00 AM,5.860,75.3,,,,
8,09/12/14 10:00:00 AM,10.553,2497.2,,,,
9,09/12/14 01:00:00 PM,20.615,52355.9,,,,
10,09/12/14 04:00:00 PM,16.141,4305.6,,,,
11,09/12/14 07:00:00 PM,12.883,86.1,,,,
12,09/12/14 10:00:00 PM,9.965,0.0,,,,
13,09/13/14 01:00:00 AM,8.779,0.0,,,,
14,09/13/14 04:00:00 AM,8.581,0.0,,,,
15,09/13/14 07:00:00 AM,8.382,75.3,,,,
16,09/13/14 10:00:00 AM,12.401,2583.4,,,,
17,09/13/14 01:00:00 PM,23.004,79911.6,,,,
18,09/13/14 04:00:00 PM,16.523,3444.5,,,,
19,09/13/14 07:00:00 PM,13.942,75.3,,,,
20,09/13/14 10:00:00 PM,11.236,0.0,,,,
21,09/14/14 01:00:00 AM,10.357,0.0,,,,
22,09/14/14 04:00:00 AM,10.063,0.0,,,,
23,09/14/14 07:00:00 AM,9.768,64.6,,,,
24,09/14/14 10:00:00 AM,13.269,2583.4,,,,
25,09/14/14 01:00:00 PM,23.773,31689.1,,,,
26,09/14/14 04:00:00 PM,18.140,5511.1,,,,
27,09/14/14 07:00:00 PM,15.473,96.9,,,,
28,09/14/14 10:00:00 PM,13.654,0.0,,,,
29,09/15/14 01:00:00 AM,12.787,0.0,,,,
30,09/15/14 04:00:00 AM,12.787,0.0,,,,
31,09/15/14 07:00:00 AM,13.365,64.6,,,,
32,09/15/14 10:00:00 AM,16.427,3100.0,,,,
33,09/15/14 01:00:00 PM,24.351,13777.9,,,,
34,09/15/14 04:00:00 PM,20.424,4133.4,,,,
35,09/15/14 07:00:00 PM,17.284,172.2,,,,
36,09/15/14 10:00:00 PM,15.760,0.0,,,,
37,09/16/14 01:00:00 AM,15.569,0.0,,,,
38,09/16/14 04:00:00 AM,14.804,0.0,,,,
39,09/16/14 07:00:00 AM,14.325,64.6,,,,
40,09/16/14 10:00:00 AM,17.094,2755.6,,,,
41,09/16/14 01:00:00 PM,19.567,5338.9,,,,
42,09/16/14 04:00:00 PM,16.713,2497.2,,,,
43,09/16/14 07:00:00 PM,14.325,172.2,,,,
44,09/16/14 10:00:00 PM,13.173,0.0,,,,
45,09/17/14 01:00:00 AM,12.594,0.0,,,,
46,09/17/14 04:00:00 AM,12.497,0.0,,,,
47,09/17/14 07:00:00 AM,13.654,129.2,,,,
48,09/17/14 10:00:00 AM,16.427,1980.6,,,,
49,09/17/14 01:00:00 PM,19.377,10677.8,,,,
50,09/17/14 04:00:00 PM,17.760,2927.8,,,,
51,09/17/14 07:00:00 PM,14.134,43.1,,,,
52,09/17/14 10:00:00 PM,12.401,0.0,,,,
53,09/18/14 01:00:00 AM,11.236,0.0,,,,
54,09/18/14 04:00:00 AM,10.944,0.0,,,,
55,09/18/14 07:00:00 AM,10.748,32.3,,,,
56,09/18/14 10:00:00 AM,10.161,1216.3,,,,
57,09/18/14 01:00:00 PM,10.748,1808.3,,,,
58,09/18/14 04:00:00 PM,10.846,2325.0,,,,
59,09/18/14 07:00:00 PM,9.275,32.3,,,,
60,09/18/14 10:00:00 PM,9.176,0.0,,,,
61,09/19/14 01:00:00 AM,9.077,0.0,,,,
62,09/19/14 04:00:00 AM,8.879,0.0,,,,
63,09/19/14 07:00:00 AM,8.879,75.3,,,,
64,09/19/14 10:00:00 AM,10.651,3444.5,,,,
65,09/19/14 01:00:00 PM,16.713,6544.5,,,,
66,09/19/14 04:00:00 PM,13.365,2497.2,,,,
67,09/19/14 07:00:00 PM,12.497,183.0,,,,
68,09/19/14 10:00:00 PM,10.748,0.0,,,,
69,09/20/14 01:00:00 AM,10.553,0.0,,,,
70,09/20/14 04:00:00 AM,10.846,0.0,,,,
71,09/20/14 07:00:00 AM,11.236,32.3,,,,
72,09/20/14 10:00:00 AM,14.996,2325.0,,,,
73,09/20/14 01:00:00 PM,27.075,37200.2,,,,
74,09/20/14 04:00:00 PM,18.996,1636.1,,,,
75,09/20/14 07:00:00 PM,16.046,43.1,,,,
76,09/20/14 10:00:00 PM,14.421,0.0,,,,
77,09/21/14 01:00:00 AM,13.846,0.0,,,,
78,09/21/14 04:00:00 AM,13.654,0.0,,,,
79,09/21/14 07:00:00 AM,14.230,53.8,,,,
80,09/21/14 10:00:00 AM,17.094,2497.2,,,,
81,09/21/14 01:00:00 PM,27.567,9644.5,,,,
82,09/21/14 04:00:00 PM,20.901,1808.3,,,,
83,09/21/14 07:00:00 PM,16.999,32.3,,,,
84,09/21/14 10:00:00 PM,15.760,0.0,,,,
85,09/22/14 01:00:00 AM,14.517,0.0,,,,
86,09/22/14 04:00:00 AM,14.038,0.0,,,,
87,09/22/14 07:00:00 AM,12.304,21.5,,,,
88,09/22/14 10:00:00 AM,12.980,3444.5,,,,
89,09/22/14 01:00:00 PM,16.618,4822.3,,,,
90,09/22/14 04:00:00 PM,14.996,2669.5,,,,
91,09/22/14 07:00:00 PM,13.173,32.3,,,,
92,09/22/14 10:00:00 PM,12.013,0.0,,,,
93,09/23/14 01:00:00 AM,12.304,0.0,,,,
94,09/23/14 04:00:00 AM,11.625,0.0,,,,
95,09/23/14 07:00:00 AM,12.401,10.8,,,,
96,09/23/14 10:00:00 AM,10.455,699.7,,,,
97,09/23/14 01:00:00 PM,10.455,979.5,,,,
98,09/23/14 04:00:00 PM,10.161,387.5,,,,
99,09/23/14 07:00:00 PM,10.357,0.0,,,,
100,09/23/14 10:00:00 PM,10.161,0.0,,,,
101,09/24/14 01:00:00 AM,11.139,0.0,,,,
102,09/24/14 04:00:00 AM,9.866,0.0,,,,
103,09/24/14 07:00:00 AM,8.978,0.0,,,,
104,09/24/14 10:00:00 AM,8.481,226.0,,,,
105,09/24/14 01:00:00 PM,8.779,613.5,,,,
106,09/24/14 04:00:00 PM,9.077,1550.0,,,,
107,09/24/14 07:00:00 PM,8.182,75.3,,,,
108,09/24/14 10:00:00 PM,8.282,0.0,,,,
109,09/25/14 01:00:00 AM,7.983,0.0,,,,
110,09/25/14 04:00:00 AM,7.481,0.0,,,,
111,09/25/14 07:00:00 AM,7.481,0.0,,,,
112,09/25/14 10:00:00 AM,8.481,2497.2,,,,
113,09/25/14 01:00:00 PM,8.779,2927.8,,,,
114,09/25/14 04:00:00 PM,8.978,1463.9,,,,
115,09/25/14 07:00:00 PM,7.682,0.0,,,,
116,09/25/14 10:00:00 PM,6.877,0.0,,,,
117,09/26/14 01:00:00 AM,6.775,0.0,,,,
118,09/26/14 04:00:00 AM,6.877,0.0,,,,
119,09/26/14 07:00:00 AM,6.573,0.0,,,,
120,09/26/14 10:00:00 AM,6.775,925.7,,,,
121,09/26/14 01:00:00 PM,7.983,2066.7,,,,
122,09/26/14 04:00:00 PM,8.481,958.0,,,,
123,09/26/14 07:00:00 PM,8.182,0.0,,,,
124,09/26/14 10:00:00 PM,7.983,0.0,,,,
125,09/27/14 01:00:00 AM,7.079,0.0,,,,
126,09/27/14 04:00:00 AM,6.775,0.0,,,,
127,09/27/14 07:00:00 AM,6.166,10.8,,,,
128,09/27/14 10:00:00 AM,8.382,2325.0,,,,
129,09/27/14 01:00:00 PM,12.304,6200.0,,,,
130,09/27/14 04:00:00 PM,10.357,2583.4,,,,
131,09/27/14 07:00:00 PM,9.373,86.1,,,,
132,09/27/14 10:00:00 PM,8.282,0.0,,,,
133,09/28/14 01:00:00 AM,8.481,0.0,,,,
134,09/28/14 04:00:00 AM,8.581,0.0,,,,
135,09/28/14 07:00:00 AM,7.983,0.0,,,,
136,09/28/14 10:00:00 AM,9.866,2325.0,,,,
137,09/28/14 01:00:00 PM,16.618,46844.8,,,,
138,09/28/14 04:00:00 PM,14.038,11711.2,,,,
139,09/28/14 07:00:00 PM,10.846,0.0,,,,
140,09/28/14 10:00:00 PM,9.768,0.0,,,,
141,09/29/14 01:00:00 AM,9.077,0.0,,,,
142,09/29/14 04:00:00 AM,8.282,0.0,,,,
143,09/29/14 07:00:00 AM,7.582,0.0,,,,
144,09/29/14 10:00:00 AM,9.176,2927.8,,,,
145,09/29/14 01:00:00 PM,10.357,2583.4,,,,
146,09/29/14 04:00:00 PM,8.481,699.7,,,,
147,09/29/14 07:00:00 PM,8.082,0.0,,,,
148,09/29/14 10:00:00 PM,4.623,0.0,,,,
149,09/30/14 01:00:00 AM,4.415,0.0,,,,
150,09/30/14 04:00:00 AM,4.311,0.0,,,,
151,09/30/14 07:00:00 AM,4.311,0.0,,,,
152,09/30/14 10:00:00 AM,4.831,1636.1,,,,
153,09/30/14 01:00:00 PM,7.782,12400.1,,,,
154,09/30/14 04:00:00 PM,5.962,2411.1,,,,
155,09/30/14 07:00:00 PM,5.244,0.0,,,,
156,09/30/14 10:00:00 PM,5.347,0.0,,,,
157,10/01/14 01:00:00 AM,5.037,0.0,,,,
158,10/01/14 04:00:00 AM,4.519,0.0,,,,
159,10/01/14 07:00:00 AM,4.207,0.0,,,,
160,10/01/14 10:00:00 AM,4.623,1248.6,,,,
161,10/01/14 01:00:00 PM,6.064,1636.1,,,,
162,10/01/14 04:00:00 PM,6.166,1550.0,,,,
163,10/01/14 07:00:00 PM,5.450,0.0,,,,
164,10/01/14 10:00:00 PM,4.623,0.0,,,,
165,10/02/14 01:00:00 AM,4.311,0.0,,,,
166,10/02/14 04:00:00 AM,3.578,0.0,,,,
167,10/02/14 07:00:00 AM,2.943,0.0,,,,
168,10/02/14 10:00:00 AM,4.831,4133.4,,,,
169,10/02/14 01:00:00 PM,9.077,4994.5,,,,
170,10/02/14 04:00:00 PM,9.275,3788.9,,,,
171,10/02/14 07:00:00 PM,7.682,0.0,,,,
172,10/02/14 10:00:00 PM,6.471,0.0,,,,
173,10/03/14 01:00:00 AM,6.370,0.0,,,,
174,10/03/14 04:00:00 AM,6.573,0.0,,,,
175,10/03/14 07:00:00 AM,7.882,0.0,,,,
176,10/03/14 10:00:00 AM,10.553,2669.5,,,,
177,10/03/14 01:00:00 PM,16.618,8266.7,,,,
178,10/03/14 04:00:00 PM,13.461,1722.2,,,,
179,10/03/14 07:00:00 PM,12.013,0.0,,,,
180,10/03/14 10:00:00 PM,11.334,0.0,,,,
181,10/04/14 01:00:00 AM,10.748,0.0,,,,
182,10/04/14 04:00:00 AM,10.357,0.0,,,,
183,10/04/14 07:00:00 AM,10.161,0.0,,,,
184,10/04/14 10:00:00 AM,11.431,1722.2,,,,
185,10/04/14 01:00:00 PM,16.237,16533.4,,,,
186,10/04/14 04:00:00 PM,12.497,764.2,,,,
187,10/04/14 07:00:00 PM,11.139,0.0,,,,
188,10/04/14 10:00:00 PM,10.651,0.0,,,,
189,10/05/14 01:00:00 AM,10.357,0.0,,,,
190,10/05/14 04:00:00 AM,10.161,0.0,,,,
191,10/05/14 07:00:00 AM,10.455,0.0,,,,
192,10/05/14 10:00:00 AM,12.497,1808.3,,,,
193,10/05/14 01:00:00 PM,19.948,7233.4,,,,
194,10/05/14 04:00:00 PM,15.282,1324.0,,,,
195,10/05/14 07:00:00 PM,12.883,0.0,,,,
196,10/05/14 10:00:00 PM,12.110,0.0,,,,
197,10/06/14 01:00:00 AM,11.528,0.0,,,,
198,10/06/14 04:00:00 AM,11.625,0.0,,,,
199,10/06/14 07:00:00 AM,11.334,0.0,,,,
200,10/06/14 10:00:00 AM,13.269,1808.3,,,,
