"Plot Title: AE10-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995206, SEN S/N: 9995206, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 9995206, SEN S/N: 9995206, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 9995206)","Host Connected (LGR S/N: 9995206)","Stopped (LGR S/N: 9995206)","End Of File (LGR S/N: 9995206)"
1,09/11/14 01:00:00 PM,9.965,4305.6,,,,
2,09/11/14 04:00:00 PM,10.161,1808.3,,,,
3,09/11/14 07:00:00 PM,7.983,86.1,,,,
4,09/11/14 10:00:00 PM,6.166,0.0,,,,
5,09/12/14 01:00:00 AM,6.064,0.0,,,,
6,09/12/14 04:00:00 AM,5.655,0.0,,,,
7,09/12/14 07:00:00 AM,5.655,43.1,,,,
8,09/12/14 10:00:00 AM,10.357,2497.2,,,,
9,09/12/14 01:00:00 PM,15.569,4133.4,,,,
10,09/12/14 04:00:00 PM,15.951,1722.2,,,,
11,09/12/14 07:00:00 PM,12.594,75.3,,,,
12,09/12/14 10:00:00 PM,9.866,0.0,,,,
13,09/13/14 01:00:00 AM,8.680,0.0,,,,
14,09/13/14 04:00:00 AM,8.481,0.0,,,,
15,09/13/14 07:00:00 AM,8.282,43.1,,,,
16,09/13/14 10:00:00 AM,11.819,2669.5,,,,
17,09/13/14 01:00:00 PM,16.141,4305.6,,,,
18,09/13/14 04:00:00 PM,16.713,1894.5,,,,
19,09/13/14 07:00:00 PM,13.654,75.3,,,,
20,09/13/14 10:00:00 PM,11.041,0.0,,,,
21,09/14/14 01:00:00 AM,10.063,0.0,,,,
22,09/14/14 04:00:00 AM,9.669,0.0,,,,
23,09/14/14 07:00:00 AM,9.472,43.1,,,,
24,09/14/14 10:00:00 AM,13.173,2669.5,,,,
25,09/14/14 01:00:00 PM,18.711,4477.8,,,,
26,09/14/14 04:00:00 PM,18.996,1894.5,,,,
27,09/14/14 07:00:00 PM,15.378,86.1,,,,
28,09/14/14 10:00:00 PM,13.558,0.0,,,,
29,09/15/14 01:00:00 AM,12.594,0.0,,,,
30,09/15/14 04:00:00 AM,12.594,0.0,,,,
31,09/15/14 07:00:00 AM,13.173,53.8,,,,
32,09/15/14 10:00:00 AM,16.427,3100.0,,,,
33,09/15/14 01:00:00 PM,21.760,4822.3,,,,
34,09/15/14 04:00:00 PM,20.996,2411.1,,,,
35,09/15/14 07:00:00 PM,17.284,193.8,,,,
36,09/15/14 10:00:00 PM,15.664,0.0,,,,
37,09/16/14 01:00:00 AM,15.473,0.0,,,,
38,09/16/14 04:00:00 AM,13.846,0.0,,,,
39,09/16/14 07:00:00 AM,14.038,53.8,,,,
40,09/16/14 10:00:00 AM,17.094,3100.0,,,,
41,09/16/14 01:00:00 PM,19.377,4822.3,,,,
42,09/16/14 04:00:00 PM,16.427,2669.5,,,,
43,09/16/14 07:00:00 PM,14.134,139.9,,,,
44,09/16/14 10:00:00 PM,12.980,0.0,,,,
45,09/17/14 01:00:00 AM,12.304,0.0,,,,
46,09/17/14 04:00:00 AM,12.304,0.0,,,,
47,09/17/14 07:00:00 AM,13.461,118.4,,,,
48,09/17/14 10:00:00 AM,16.332,247.6,,,,
49,09/17/14 01:00:00 PM,18.901,796.5,,,,
50,09/17/14 04:00:00 PM,18.045,430.6,,,,
51,09/17/14 07:00:00 PM,13.942,0.0,,,,
52,09/17/14 10:00:00 PM,12.013,0.0,,,,
53,09/18/14 01:00:00 AM,10.944,0.0,,,,
54,09/18/14 04:00:00 AM,10.651,0.0,,,,
55,09/18/14 07:00:00 AM,10.357,0.0,,,,
56,09/18/14 10:00:00 AM,9.866,150.7,,,,
57,09/18/14 01:00:00 PM,10.553,247.6,,,,
58,09/18/14 04:00:00 PM,10.748,269.1,,,,
59,09/18/14 07:00:00 PM,9.077,0.0,,,,
60,09/18/14 10:00:00 PM,8.978,0.0,,,,
61,09/19/14 01:00:00 AM,8.879,0.0,,,,
62,09/19/14 04:00:00 AM,8.680,0.0,,,,
63,09/19/14 07:00:00 AM,8.581,0.0,,,,
64,09/19/14 10:00:00 AM,10.553,376.7,,,,
65,09/19/14 01:00:00 PM,14.230,710.4,,,,
66,09/19/14 04:00:00 PM,13.076,290.6,,,,
67,09/19/14 07:00:00 PM,12.207,10.8,,,,
68,09/19/14 10:00:00 PM,10.455,0.0,,,,
69,09/20/14 01:00:00 AM,10.161,0.0,,,,
70,09/20/14 04:00:00 AM,10.553,0.0,,,,
71,09/20/14 07:00:00 AM,10.846,0.0,,,,
72,09/20/14 10:00:00 AM,14.804,376.7,,,,
73,09/20/14 01:00:00 PM,18.901,613.5,,,,
74,09/20/14 04:00:00 PM,18.996,247.6,,,,
75,09/20/14 07:00:00 PM,15.855,0.0,,,,
76,09/20/14 10:00:00 PM,14.325,0.0,,,,
77,09/21/14 01:00:00 AM,13.654,0.0,,,,
78,09/21/14 04:00:00 AM,13.269,0.0,,,,
79,09/21/14 07:00:00 AM,13.846,0.0,,,,
80,09/21/14 10:00:00 AM,16.808,398.3,,,,
81,09/21/14 01:00:00 PM,21.855,656.6,,,,
82,09/21/14 04:00:00 PM,21.091,258.3,,,,
83,09/21/14 07:00:00 PM,16.903,0.0,,,,
84,09/21/14 10:00:00 PM,15.473,0.0,,,,
85,09/22/14 01:00:00 AM,14.230,0.0,,,,
86,09/22/14 04:00:00 AM,13.750,0.0,,,,
87,09/22/14 07:00:00 AM,12.013,0.0,,,,
88,09/22/14 10:00:00 AM,12.401,441.3,,,,
89,09/22/14 01:00:00 PM,15.855,505.9,,,,
90,09/22/14 04:00:00 PM,14.804,376.7,,,,
91,09/22/14 07:00:00 PM,12.883,0.0,,,,
92,09/22/14 10:00:00 PM,11.722,0.0,,,,
93,09/23/14 01:00:00 AM,12.013,0.0,,,,
94,09/23/14 04:00:00 AM,11.041,0.0,,,,
95,09/23/14 07:00:00 AM,12.013,0.0,,,,
96,09/23/14 10:00:00 AM,10.161,64.6,,,,
97,09/23/14 01:00:00 PM,10.455,86.1,,,,
98,09/23/14 04:00:00 PM,9.965,21.5,,,,
99,09/23/14 07:00:00 PM,10.063,0.0,,,,
100,09/23/14 10:00:00 PM,9.965,0.0,,,,
101,09/24/14 01:00:00 AM,10.846,0.0,,,,
102,09/24/14 04:00:00 AM,9.768,0.0,,,,
103,09/24/14 07:00:00 AM,8.779,0.0,,,,
104,09/24/14 10:00:00 AM,8.282,0.0,,,,
105,09/24/14 01:00:00 PM,8.481,43.1,,,,
106,09/24/14 04:00:00 PM,8.879,129.2,,,,
107,09/24/14 07:00:00 PM,8.082,0.0,,,,
108,09/24/14 10:00:00 PM,8.082,0.0,,,,
109,09/25/14 01:00:00 AM,7.782,0.0,,,,
110,09/25/14 04:00:00 AM,7.280,0.0,,,,
111,09/25/14 07:00:00 AM,7.280,0.0,,,,
112,09/25/14 10:00:00 AM,8.282,193.8,,,,
113,09/25/14 01:00:00 PM,8.481,215.3,,,,
114,09/25/14 04:00:00 PM,8.879,150.7,,,,
115,09/25/14 07:00:00 PM,7.582,0.0,,,,
116,09/25/14 10:00:00 PM,6.775,0.0,,,,
117,09/26/14 01:00:00 AM,6.674,0.0,,,,
118,09/26/14 04:00:00 AM,6.573,0.0,,,,
119,09/26/14 07:00:00 AM,6.268,0.0,,,,
120,09/26/14 10:00:00 AM,6.471,53.8,,,,
121,09/26/14 01:00:00 PM,7.682,161.5,,,,
122,09/26/14 04:00:00 PM,8.182,75.3,,,,
123,09/26/14 07:00:00 PM,7.882,0.0,,,,
124,09/26/14 10:00:00 PM,7.682,0.0,,,,
125,09/27/14 01:00:00 AM,6.877,0.0,,,,
126,09/27/14 04:00:00 AM,6.573,0.0,,,,
127,09/27/14 07:00:00 AM,5.962,0.0,,,,
128,09/27/14 10:00:00 AM,7.983,193.8,,,,
129,09/27/14 01:00:00 PM,10.944,452.1,,,,
130,09/27/14 04:00:00 PM,10.161,215.3,,,,
131,09/27/14 07:00:00 PM,9.176,0.0,,,,
132,09/27/14 10:00:00 PM,8.182,0.0,,,,
133,09/28/14 01:00:00 AM,8.282,0.0,,,,
134,09/28/14 04:00:00 AM,8.282,0.0,,,,
135,09/28/14 07:00:00 AM,7.782,0.0,,,,
136,09/28/14 10:00:00 AM,9.669,269.1,,,,
137,09/28/14 01:00:00 PM,13.269,452.1,,,,
138,09/28/14 04:00:00 PM,12.883,161.5,,,,
139,09/28/14 07:00:00 PM,10.748,0.0,,,,
140,09/28/14 10:00:00 PM,9.571,0.0,,,,
141,09/29/14 01:00:00 AM,8.879,0.0,,,,
142,09/29/14 04:00:00 AM,8.182,0.0,,,,
143,09/29/14 07:00:00 AM,7.481,0.0,,,,
144,09/29/14 10:00:00 AM,8.978,269.1,,,,
145,09/29/14 01:00:00 PM,10.161,247.6,,,,
146,09/29/14 04:00:00 PM,8.282,53.8,,,,
147,09/29/14 07:00:00 PM,7.983,0.0,,,,
148,09/29/14 10:00:00 PM,4.623,0.0,,,,
149,09/30/14 01:00:00 AM,4.311,0.0,,,,
150,09/30/14 04:00:00 AM,4.207,0.0,,,,
151,09/30/14 07:00:00 AM,4.102,0.0,,,,
152,09/30/14 10:00:00 AM,4.623,118.4,,,,
153,09/30/14 01:00:00 PM,6.978,538.2,,,,
154,09/30/14 04:00:00 PM,5.962,236.8,,,,
155,09/30/14 07:00:00 PM,5.037,0.0,,,,
156,09/30/14 10:00:00 PM,5.141,0.0,,,,
157,10/01/14 01:00:00 AM,4.727,0.0,,,,
158,10/01/14 04:00:00 AM,4.311,0.0,,,,
159,10/01/14 07:00:00 AM,3.893,0.0,,,,
160,10/01/14 10:00:00 AM,4.311,96.9,,,,
161,10/01/14 01:00:00 PM,5.552,129.2,,,,
162,10/01/14 04:00:00 PM,5.860,118.4,,,,
163,10/01/14 07:00:00 PM,5.037,0.0,,,,
164,10/01/14 10:00:00 PM,4.415,0.0,,,,
165,10/02/14 01:00:00 AM,4.102,0.0,,,,
