"Plot Title: AM16-A2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10195301, SEN S/N: 10195301)","Coupler Attached (LGR S/N: 10195301)","Host Connected (LGR S/N: 10195301)","Stopped (LGR S/N: 10195301)","End Of File (LGR S/N: 10195301)"
1,09/11/14 01:00:00 PM,12.110,,,,
2,09/11/14 03:00:00 PM,13.942,,,,
3,09/11/14 05:00:00 PM,13.750,,,,
4,09/11/14 07:00:00 PM,10.259,,,,
5,09/11/14 09:00:00 PM,9.275,,,,
6,09/11/14 11:00:00 PM,9.077,,,,
7,09/12/14 01:00:00 AM,9.275,,,,
8,09/12/14 03:00:00 AM,8.481,,,,
9,09/12/14 05:00:00 AM,8.779,,,,
10,09/12/14 07:00:00 AM,9.176,,,,
11,09/12/14 09:00:00 AM,8.779,,,,
12,09/12/14 11:00:00 AM,12.207,,,,
13,09/12/14 01:00:00 PM,16.808,,,,
14,09/12/14 03:00:00 PM,18.616,,,,
15,09/12/14 05:00:00 PM,18.521,,,,
16,09/12/14 07:00:00 PM,13.076,,,,
17,09/12/14 09:00:00 PM,12.207,,,,
18,09/12/14 11:00:00 PM,12.497,,,,
19,09/13/14 01:00:00 AM,12.110,,,,
20,09/13/14 03:00:00 AM,11.139,,,,
21,09/13/14 05:00:00 AM,10.944,,,,
22,09/13/14 07:00:00 AM,10.259,,,,
23,09/13/14 09:00:00 AM,10.846,,,,
24,09/13/14 11:00:00 AM,13.269,,,,
25,09/13/14 01:00:00 PM,17.665,,,,
26,09/13/14 03:00:00 PM,19.377,,,,
27,09/13/14 05:00:00 PM,19.282,,,,
28,09/13/14 07:00:00 PM,13.846,,,,
29,09/13/14 09:00:00 PM,11.722,,,,
30,09/13/14 11:00:00 PM,12.207,,,,
31,09/14/14 01:00:00 AM,12.110,,,,
32,09/14/14 03:00:00 AM,11.334,,,,
33,09/14/14 05:00:00 AM,10.748,,,,
34,09/14/14 07:00:00 AM,9.275,,,,
35,09/14/14 09:00:00 AM,11.528,,,,
36,09/14/14 11:00:00 AM,15.091,,,,
37,09/14/14 01:00:00 PM,18.616,,,,
38,09/14/14 03:00:00 PM,21.282,,,,
39,09/14/14 05:00:00 PM,19.758,,,,
40,09/14/14 07:00:00 PM,15.187,,,,
41,09/14/14 09:00:00 PM,12.013,,,,
42,09/14/14 11:00:00 PM,11.819,,,,
43,09/15/14 01:00:00 AM,10.651,,,,
44,09/15/14 03:00:00 AM,10.357,,,,
45,09/15/14 05:00:00 AM,10.161,,,,
46,09/15/14 07:00:00 AM,9.669,,,,
47,09/15/14 09:00:00 AM,10.748,,,,
48,09/15/14 11:00:00 AM,17.094,,,,
49,09/15/14 01:00:00 PM,21.282,,,,
50,09/15/14 03:00:00 PM,23.484,,,,
51,09/15/14 05:00:00 PM,22.142,,,,
52,09/15/14 07:00:00 PM,17.855,,,,
53,09/15/14 09:00:00 PM,14.804,,,,
54,09/15/14 11:00:00 PM,13.269,,,,
55,09/16/14 01:00:00 AM,12.883,,,,
56,09/16/14 03:00:00 AM,12.980,,,,
57,09/16/14 05:00:00 AM,13.269,,,,
58,09/16/14 07:00:00 AM,12.497,,,,
59,09/16/14 09:00:00 AM,14.038,,,,
60,09/16/14 11:00:00 AM,16.523,,,,
61,09/16/14 01:00:00 PM,18.521,,,,
62,09/16/14 03:00:00 PM,17.475,,,,
63,09/16/14 05:00:00 PM,16.903,,,,
64,09/16/14 07:00:00 PM,15.091,,,,
65,09/16/14 09:00:00 PM,12.110,,,,
66,09/16/14 11:00:00 PM,11.041,,,,
67,09/17/14 01:00:00 AM,11.334,,,,
68,09/17/14 03:00:00 AM,11.819,,,,
69,09/17/14 05:00:00 AM,11.139,,,,
