"Plot Title: AM16-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578643, SEN S/N: 10578643)","Intensity, Lux (LGR S/N: 10578643, SEN S/N: 10578643)"
1,09/11/14 01:00:00 PM,9.768,3444.5
2,09/11/14 04:00:00 PM,10.846,2669.5
3,09/11/14 07:00:00 PM,7.782,172.2
4,09/11/14 10:00:00 PM,5.962,0.0
5,09/12/14 01:00:00 AM,5.552,0.0
6,09/12/14 04:00:00 AM,5.244,0.0
7,09/12/14 07:00:00 AM,5.552,96.9
8,09/12/14 10:00:00 AM,6.775,1065.6
9,09/12/14 01:00:00 PM,12.980,3444.5
10,09/12/14 04:00:00 PM,14.613,2583.4
11,09/12/14 07:00:00 PM,11.041,139.9
12,09/12/14 10:00:00 PM,8.779,0.0
13,09/13/14 01:00:00 AM,8.082,0.0
14,09/13/14 04:00:00 AM,7.381,0.0
15,09/13/14 07:00:00 AM,6.978,96.9
16,09/13/14 10:00:00 AM,7.983,1065.6
17,09/13/14 01:00:00 PM,13.846,3444.5
18,09/13/14 04:00:00 PM,15.187,2583.4
19,09/13/14 07:00:00 PM,11.431,129.2
20,09/13/14 10:00:00 PM,9.176,0.0
21,09/14/14 01:00:00 AM,8.581,0.0
22,09/14/14 04:00:00 AM,8.082,0.0
23,09/14/14 07:00:00 AM,6.978,86.1
24,09/14/14 10:00:00 AM,8.978,1054.9
25,09/14/14 01:00:00 PM,14.900,3444.5
26,09/14/14 04:00:00 PM,16.237,2583.4
27,09/14/14 07:00:00 PM,12.497,161.5
28,09/14/14 10:00:00 PM,9.472,0.0
29,09/15/14 01:00:00 AM,8.481,0.0
30,09/15/14 04:00:00 AM,7.882,0.0
31,09/15/14 07:00:00 AM,7.481,86.1
32,09/15/14 10:00:00 AM,10.161,1808.3
33,09/15/14 01:00:00 PM,16.999,3616.7
34,09/15/14 04:00:00 PM,18.996,3272.2
35,09/15/14 07:00:00 PM,15.187,366.0
36,09/15/14 10:00:00 PM,12.013,0.0
37,09/16/14 01:00:00 AM,10.748,0.0
38,09/16/14 04:00:00 AM,10.944,0.0
39,09/16/14 07:00:00 AM,10.651,96.9
40,09/16/14 10:00:00 AM,12.690,1980.6
41,09/16/14 01:00:00 PM,16.903,5166.7
42,09/16/14 04:00:00 PM,17.094,4477.8
43,09/16/14 07:00:00 PM,14.230,279.9
44,09/16/14 10:00:00 PM,10.846,0.0
45,09/17/14 01:00:00 AM,10.748,0.0
46,09/17/14 04:00:00 AM,10.944,0.0
47,09/17/14 07:00:00 AM,10.161,172.2
48,09/17/14 10:00:00 AM,14.613,3272.2
49,09/17/14 01:00:00 PM,17.379,5166.7
50,09/17/14 04:00:00 PM,18.331,4650.0
51,09/17/14 07:00:00 PM,14.517,86.1
52,09/17/14 10:00:00 PM,12.787,0.0
53,09/18/14 01:00:00 AM,11.722,0.0
54,09/18/14 04:00:00 AM,11.528,0.0
55,09/18/14 07:00:00 AM,11.431,21.5
56,09/18/14 10:00:00 AM,11.236,1280.9
57,09/18/14 01:00:00 PM,13.846,5511.1
58,09/18/14 04:00:00 PM,14.325,4822.3
59,09/18/14 07:00:00 PM,11.041,32.3
60,09/18/14 10:00:00 PM,10.357,0.0
61,09/19/14 01:00:00 AM,10.455,0.0
62,09/19/14 04:00:00 AM,10.259,0.0
63,09/19/14 07:00:00 AM,10.259,96.9
64,09/19/14 10:00:00 AM,12.401,4477.8
65,09/19/14 01:00:00 PM,14.900,5338.9
66,09/19/14 04:00:00 PM,14.996,2927.8
67,09/19/14 07:00:00 PM,13.750,355.2
68,09/19/14 10:00:00 PM,10.259,0.0
69,09/20/14 01:00:00 AM,9.077,0.0
70,09/20/14 04:00:00 AM,7.983,0.0
71,09/20/14 07:00:00 AM,8.282,64.6
72,09/20/14 10:00:00 AM,11.041,882.6
73,09/20/14 01:00:00 PM,15.855,3272.2
74,09/20/14 04:00:00 PM,17.475,2497.2
75,09/20/14 07:00:00 PM,14.421,86.1
76,09/20/14 10:00:00 PM,12.980,0.0
77,09/21/14 01:00:00 AM,12.401,0.0
78,09/21/14 04:00:00 AM,12.110,0.0
79,09/21/14 07:00:00 AM,10.944,75.3
80,09/21/14 10:00:00 AM,12.401,1345.5
81,09/21/14 01:00:00 PM,17.950,4477.8
82,09/21/14 04:00:00 PM,19.948,2927.8
83,09/21/14 07:00:00 PM,15.855,64.6
84,09/21/14 10:00:00 PM,13.461,0.0
85,09/22/14 01:00:00 AM,12.207,0.0
86,09/22/14 04:00:00 AM,12.207,0.0
87,09/22/14 07:00:00 AM,11.625,43.1
88,09/22/14 10:00:00 AM,13.750,2755.6
89,09/22/14 01:00:00 PM,14.517,4133.4
90,09/22/14 04:00:00 PM,15.282,4822.3
91,09/22/14 07:00:00 PM,13.076,75.3
92,09/22/14 10:00:00 PM,11.236,0.0
93,09/23/14 01:00:00 AM,10.553,0.0
94,09/23/14 04:00:00 AM,9.768,0.0
95,09/23/14 07:00:00 AM,9.965,21.5
96,09/23/14 10:00:00 AM,11.334,1130.2
97,09/23/14 01:00:00 PM,11.916,1377.8
98,09/23/14 04:00:00 PM,11.722,742.7
99,09/23/14 07:00:00 PM,11.334,0.0
100,09/23/14 10:00:00 PM,11.236,0.0
101,09/24/14 01:00:00 AM,11.722,0.0
102,09/24/14 04:00:00 AM,11.334,0.0
103,09/24/14 07:00:00 AM,10.357,0.0
104,09/24/14 10:00:00 AM,10.161,538.2
105,09/24/14 01:00:00 PM,10.553,1162.5
106,09/24/14 04:00:00 PM,11.139,2325.0
107,09/24/14 07:00:00 PM,9.965,204.5
108,09/24/14 10:00:00 PM,9.472,0.0
109,09/25/14 01:00:00 AM,9.275,0.0
110,09/25/14 04:00:00 AM,8.978,0.0
111,09/25/14 07:00:00 AM,8.779,10.8
112,09/25/14 10:00:00 AM,10.553,4650.0
113,09/25/14 01:00:00 PM,11.431,4650.0
114,09/25/14 04:00:00 PM,11.819,5166.7
115,09/25/14 07:00:00 PM,9.571,21.5
116,09/25/14 10:00:00 PM,8.581,0.0
117,09/26/14 01:00:00 AM,8.082,0.0
118,09/26/14 04:00:00 AM,7.983,0.0
119,09/26/14 07:00:00 AM,7.782,0.0
120,09/26/14 10:00:00 AM,8.581,2583.4
121,09/26/14 01:00:00 PM,10.259,4133.4
122,09/26/14 04:00:00 PM,10.846,2583.4
123,09/26/14 07:00:00 PM,9.866,21.5
124,09/26/14 10:00:00 PM,9.275,0.0
125,09/27/14 01:00:00 AM,7.682,0.0
126,09/27/14 04:00:00 AM,7.481,0.0
127,09/27/14 07:00:00 AM,5.655,21.5
128,09/27/14 10:00:00 AM,6.268,796.5
129,09/27/14 01:00:00 PM,12.690,6544.5
130,09/27/14 04:00:00 PM,12.304,3444.5
131,09/27/14 07:00:00 PM,10.553,150.7
132,09/27/14 10:00:00 PM,9.275,0.0
133,09/28/14 01:00:00 AM,7.983,0.0
134,09/28/14 04:00:00 AM,7.079,0.0
135,09/28/14 07:00:00 AM,6.573,10.8
136,09/28/14 10:00:00 AM,7.582,904.2
137,09/28/14 01:00:00 PM,11.431,3444.5
138,09/28/14 04:00:00 PM,13.076,2325.0
139,09/28/14 07:00:00 PM,10.553,21.5
140,09/28/14 10:00:00 PM,8.382,0.0
141,09/29/14 01:00:00 AM,7.381,0.0
142,09/29/14 04:00:00 AM,6.471,0.0
143,09/29/14 07:00:00 AM,5.757,10.8
144,09/29/14 10:00:00 AM,9.176,4305.6
145,09/29/14 01:00:00 PM,12.013,3272.2
146,09/29/14 04:00:00 PM,10.553,2238.9
147,09/29/14 07:00:00 PM,9.669,10.8
148,09/29/14 10:00:00 PM,6.674,0.0
149,09/30/14 01:00:00 AM,6.370,0.0
150,09/30/14 04:00:00 AM,6.064,0.0
151,09/30/14 07:00:00 AM,5.962,10.8
152,09/30/14 10:00:00 AM,7.079,2927.8
153,09/30/14 01:00:00 PM,8.282,3788.9
154,09/30/14 04:00:00 PM,7.983,2755.6
155,09/30/14 07:00:00 PM,6.877,0.0
156,09/30/14 10:00:00 PM,6.674,0.0
157,10/01/14 01:00:00 AM,6.370,0.0
158,10/01/14 04:00:00 AM,6.064,0.0
159,10/01/14 07:00:00 AM,5.655,21.5
160,10/01/14 10:00:00 AM,6.978,3616.7
161,10/01/14 01:00:00 PM,8.779,5511.1
162,10/01/14 04:00:00 PM,8.978,3272.2
163,10/01/14 07:00:00 PM,7.280,0.0
164,10/01/14 10:00:00 PM,5.450,0.0
165,10/02/14 01:00:00 AM,5.141,0.0
166,10/02/14 04:00:00 AM,3.578,0.0
167,10/02/14 07:00:00 AM,2.517,10.8
168,10/02/14 10:00:00 AM,3.261,775.0
169,10/02/14 01:00:00 PM,7.782,4822.3
170,10/02/14 04:00:00 PM,11.139,4994.5
171,10/02/14 07:00:00 PM,7.983,10.8
172,10/02/14 10:00:00 PM,5.860,0.0
173,10/03/14 01:00:00 AM,4.102,0.0
174,10/03/14 04:00:00 AM,4.207,0.0
175,10/03/14 07:00:00 AM,4.311,0.0
176,10/03/14 10:00:00 AM,5.860,699.7
177,10/03/14 01:00:00 PM,10.553,2755.6
178,10/03/14 04:00:00 PM,12.787,2669.5
179,10/03/14 07:00:00 PM,10.161,0.0
180,10/03/14 10:00:00 PM,8.182,0.0
181,10/04/14 01:00:00 AM,7.381,0.0
182,10/04/14 04:00:00 AM,6.877,0.0
183,10/04/14 07:00:00 AM,7.280,0.0
184,10/04/14 10:00:00 AM,9.275,2411.1
185,10/04/14 01:00:00 PM,13.461,5338.9
186,10/04/14 04:00:00 PM,13.461,2152.8
187,10/04/14 07:00:00 PM,10.748,0.0
188,10/04/14 10:00:00 PM,8.581,0.0
189,10/05/14 01:00:00 AM,7.882,0.0
190,10/05/14 04:00:00 AM,7.481,0.0
191,10/05/14 07:00:00 AM,7.280,0.0
192,10/05/14 10:00:00 AM,8.282,570.5
193,10/05/14 01:00:00 PM,12.690,1980.6
194,10/05/14 04:00:00 PM,14.421,1636.1
195,10/05/14 07:00:00 PM,12.013,0.0
196,10/05/14 10:00:00 PM,10.259,0.0
197,10/06/14 01:00:00 AM,9.176,0.0
198,10/06/14 04:00:00 AM,8.282,0.0
199,10/06/14 07:00:00 AM,7.882,0.0
200,10/06/14 10:00:00 AM,8.779,527.4
201,10/06/14 01:00:00 PM,12.980,1894.5
202,10/06/14 04:00:00 PM,14.804,1550.0
203,10/06/14 07:00:00 PM,12.401,0.0
204,10/06/14 10:00:00 PM,10.748,0.0
205,10/07/14 01:00:00 AM,9.571,0.0
206,10/07/14 04:00:00 AM,8.581,0.0
207,10/07/14 07:00:00 AM,7.882,0.0
208,10/07/14 10:00:00 AM,8.779,538.2
209,10/07/14 01:00:00 PM,12.883,1894.5
210,10/07/14 04:00:00 PM,14.421,1463.9
211,10/07/14 07:00:00 PM,11.819,0.0
212,10/07/14 10:00:00 PM,10.944,0.0
213,10/08/14 01:00:00 AM,10.063,0.0
214,10/08/14 04:00:00 AM,8.282,0.0
215,10/08/14 07:00:00 AM,7.983,0.0
216,10/08/14 10:00:00 AM,9.571,1980.6
217,10/08/14 01:00:00 PM,13.173,5166.7
218,10/08/14 04:00:00 PM,12.497,1636.1
219,10/08/14 07:00:00 PM,10.455,0.0
220,10/08/14 10:00:00 PM,7.582,0.0
221,10/09/14 01:00:00 AM,6.166,0.0
222,10/09/14 04:00:00 AM,5.450,0.0
223,10/09/14 07:00:00 AM,5.037,0.0
224,10/09/14 10:00:00 AM,6.268,1054.9
225,10/09/14 01:00:00 PM,10.357,1980.6
226,10/09/14 04:00:00 PM,12.304,1722.2
227,10/09/14 07:00:00 PM,9.669,0.0
228,10/09/14 10:00:00 PM,7.481,0.0
229,10/10/14 01:00:00 AM,6.166,0.0
230,10/10/14 04:00:00 AM,5.347,0.0
231,10/10/14 07:00:00 AM,4.934,0.0
232,10/10/14 10:00:00 AM,6.064,667.4
233,10/10/14 01:00:00 PM,11.139,3444.5
234,10/10/14 04:00:00 PM,12.883,3961.1
235,10/10/14 07:00:00 PM,10.259,0.0
236,10/10/14 10:00:00 PM,9.275,0.0
237,10/11/14 01:00:00 AM,7.983,0.0
238,10/11/14 04:00:00 AM,8.879,0.0
239,10/11/14 07:00:00 AM,6.370,0.0
240,10/11/14 10:00:00 AM,6.064,1894.5
241,10/11/14 01:00:00 PM,8.182,1636.1
242,10/11/14 04:00:00 PM,6.877,527.4
243,10/11/14 07:00:00 PM,6.775,0.0
244,10/11/14 10:00:00 PM,6.370,0.0
245,10/12/14 01:00:00 AM,6.268,0.0
246,10/12/14 04:00:00 AM,5.244,0.0
