"Plot Title: AM16-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409616, SEN S/N: 2409616, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2409616, SEN S/N: 2409616, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 2409616)","Host Connected (LGR S/N: 2409616)","Stopped (LGR S/N: 2409616)","End Of File (LGR S/N: 2409616)"
1,09/11/14 01:00:00 PM,10.553,3616.7,,,,
2,09/11/14 04:00:00 PM,10.553,3616.7,,,,
3,09/11/14 07:00:00 PM,8.581,96.9,,,,
4,09/11/14 10:00:00 PM,7.481,0.0,,,,
5,09/12/14 01:00:00 AM,7.179,0.0,,,,
6,09/12/14 04:00:00 AM,6.877,0.0,,,,
7,09/12/14 07:00:00 AM,6.978,43.1,,,,
8,09/12/14 10:00:00 AM,7.582,753.5,,,,
9,09/12/14 01:00:00 PM,12.594,3616.7,,,,
10,09/12/14 04:00:00 PM,13.076,3272.2,,,,
11,09/12/14 07:00:00 PM,10.748,75.3,,,,
12,09/12/14 10:00:00 PM,9.373,0.0,,,,
13,09/13/14 01:00:00 AM,9.077,0.0,,,,
14,09/13/14 04:00:00 AM,8.581,0.0,,,,
15,09/13/14 07:00:00 AM,8.282,43.1,,,,
16,09/13/14 10:00:00 AM,8.779,764.2,,,,
17,09/13/14 01:00:00 PM,13.654,3616.7,,,,
18,09/13/14 04:00:00 PM,13.558,3272.2,,,,
19,09/13/14 07:00:00 PM,11.334,75.3,,,,
20,09/13/14 10:00:00 PM,9.965,0.0,,,,
21,09/14/14 01:00:00 AM,9.571,0.0,,,,
22,09/14/14 04:00:00 AM,9.176,0.0,,,,
23,09/14/14 07:00:00 AM,8.282,43.1,,,,
24,09/14/14 10:00:00 AM,9.571,753.5,,,,
25,09/14/14 01:00:00 PM,14.421,3616.7,,,,
26,09/14/14 04:00:00 PM,14.421,3272.2,,,,
27,09/14/14 07:00:00 PM,12.207,96.9,,,,
28,09/14/14 10:00:00 PM,10.259,0.0,,,,
29,09/15/14 01:00:00 AM,9.472,0.0,,,,
30,09/15/14 04:00:00 AM,9.077,0.0,,,,
31,09/15/14 07:00:00 AM,8.779,43.1,,,,
32,09/15/14 10:00:00 AM,10.259,1097.9,,,,
33,09/15/14 01:00:00 PM,15.473,3616.7,,,,
34,09/15/14 04:00:00 PM,16.141,3444.5,,,,
35,09/15/14 07:00:00 PM,13.846,226.0,,,,
