"Plot Title: AM16-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578628, SEN S/N: 10578628)","Intensity, Lux (LGR S/N: 10578628, SEN S/N: 10578628)","Coupler Attached (LGR S/N: 10578628)","Host Connected (LGR S/N: 10578628)","Stopped (LGR S/N: 10578628)","End Of File (LGR S/N: 10578628)"
1,09/11/14 01:00:00 PM,9.768,3444.5,,,,
2,09/11/14 04:00:00 PM,11.139,2497.2,,,,
3,09/11/14 07:00:00 PM,8.978,96.9,,,,
4,09/11/14 10:00:00 PM,7.280,0.0,,,,
5,09/12/14 01:00:00 AM,6.978,0.0,,,,
6,09/12/14 04:00:00 AM,6.573,0.0,,,,
7,09/12/14 07:00:00 AM,6.775,43.1,,,,
8,09/12/14 10:00:00 AM,7.481,785.8,,,,
9,09/12/14 01:00:00 PM,12.497,3444.5,,,,
10,09/12/14 04:00:00 PM,14.613,2325.0,,,,
11,09/12/14 07:00:00 PM,11.819,75.3,,,,
12,09/12/14 10:00:00 PM,9.768,0.0,,,,
13,09/13/14 01:00:00 AM,9.176,0.0,,,,
14,09/13/14 04:00:00 AM,8.581,0.0,,,,
15,09/13/14 07:00:00 AM,8.282,43.1,,,,
16,09/13/14 10:00:00 AM,8.879,871.9,,,,
17,09/13/14 01:00:00 PM,13.654,3444.5,,,,
18,09/13/14 04:00:00 PM,15.091,2238.9,,,,
19,09/13/14 07:00:00 PM,12.304,64.6,,,,
20,09/13/14 10:00:00 PM,10.259,0.0,,,,
21,09/14/14 01:00:00 AM,9.768,0.0,,,,
22,09/14/14 04:00:00 AM,9.275,0.0,,,,
23,09/14/14 07:00:00 AM,8.282,43.1,,,,
24,09/14/14 10:00:00 AM,9.768,818.1,,,,
25,09/14/14 01:00:00 PM,14.325,3272.2,,,,
26,09/14/14 04:00:00 PM,16.141,2238.9,,,,
27,09/14/14 07:00:00 PM,13.173,86.1,,,,
28,09/14/14 10:00:00 PM,10.553,0.0,,,,
29,09/15/14 01:00:00 AM,9.571,0.0,,,,
30,09/15/14 04:00:00 AM,9.077,0.0,,,,
31,09/15/14 07:00:00 AM,8.680,43.1,,,,
32,09/15/14 10:00:00 AM,10.455,1108.7,,,,
33,09/15/14 01:00:00 PM,15.855,3272.2,,,,
34,09/15/14 04:00:00 PM,18.331,2755.6,,,,
35,09/15/14 07:00:00 PM,15.091,226.0,,,,
36,09/15/14 10:00:00 PM,12.594,0.0,,,,
37,09/16/14 01:00:00 AM,11.431,0.0,,,,
38,09/16/14 04:00:00 AM,11.334,0.0,,,,
39,09/16/14 07:00:00 AM,11.236,43.1,,,,
40,09/16/14 10:00:00 AM,12.690,1248.6,,,,
41,09/16/14 01:00:00 PM,16.141,3444.5,,,,
42,09/16/14 04:00:00 PM,16.141,2927.8,,,,
43,09/16/14 07:00:00 PM,13.942,150.7,,,,
44,09/16/14 10:00:00 PM,11.236,0.0,,,,
45,09/17/14 01:00:00 AM,10.846,0.0,,,,
46,09/17/14 04:00:00 AM,11.041,0.0,,,,
47,09/17/14 07:00:00 AM,10.455,86.1,,,,
48,09/17/14 10:00:00 AM,13.173,1377.8,,,,
49,09/17/14 01:00:00 PM,15.760,4305.6,,,,
50,09/17/14 04:00:00 PM,16.427,3272.2,,,,
51,09/17/14 07:00:00 PM,14.038,43.1,,,,
52,09/17/14 10:00:00 PM,12.594,0.0,,,,
53,09/18/14 01:00:00 AM,11.722,0.0,,,,
54,09/18/14 04:00:00 AM,11.431,0.0,,,,
55,09/18/14 07:00:00 AM,11.334,0.0,,,,
56,09/18/14 10:00:00 AM,10.944,592.0,,,,
57,09/18/14 01:00:00 PM,12.401,3100.0,,,,
