"Plot Title: AO03-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578627, SEN S/N: 10578627)","Intensity, Lux (LGR S/N: 10578627, SEN S/N: 10578627)","Coupler Attached (LGR S/N: 10578627)","Host Connected (LGR S/N: 10578627)","Stopped (LGR S/N: 10578627)","End Of File (LGR S/N: 10578627)"
1,09/17/14 01:00:00 PM,18.901,4305.6,,,,
2,09/17/14 04:00:00 PM,18.426,3616.7,,,,
3,09/17/14 07:00:00 PM,15.951,53.8,,,,
4,09/17/14 10:00:00 PM,14.421,0.0,,,,
5,09/18/14 01:00:00 AM,13.654,0.0,,,,
6,09/18/14 04:00:00 AM,13.365,0.0,,,,
7,09/18/14 07:00:00 AM,13.269,53.8,,,,
8,09/18/14 10:00:00 AM,12.787,721.2,,,,
9,09/18/14 01:00:00 PM,13.269,656.6,,,,
10,09/18/14 04:00:00 PM,12.787,1076.4,,,,
11,09/18/14 07:00:00 PM,12.207,0.0,,,,
12,09/18/14 10:00:00 PM,12.110,0.0,,,,
13,09/19/14 01:00:00 AM,12.013,0.0,,,,
14,09/19/14 04:00:00 AM,11.819,0.0,,,,
15,09/19/14 07:00:00 AM,11.722,139.9,,,,
16,09/19/14 10:00:00 AM,13.558,2066.7,,,,
17,09/19/14 01:00:00 PM,15.855,8611.2,,,,
18,09/19/14 04:00:00 PM,16.237,1550.0,,,,
19,09/19/14 07:00:00 PM,14.421,32.3,,,,
20,09/19/14 10:00:00 PM,12.980,0.0,,,,
21,09/20/14 01:00:00 AM,11.041,0.0,,,,
22,09/20/14 04:00:00 AM,9.965,0.0,,,,
23,09/20/14 07:00:00 AM,9.669,32.3,,,,
24,09/20/14 10:00:00 AM,11.334,3444.5,,,,
25,09/20/14 01:00:00 PM,16.713,3272.2,,,,
26,09/20/14 04:00:00 PM,17.665,871.9,,,,
27,09/20/14 07:00:00 PM,14.517,32.3,,,,
28,09/20/14 10:00:00 PM,12.304,0.0,,,,
29,09/21/14 01:00:00 AM,10.944,0.0,,,,
30,09/21/14 04:00:00 AM,10.553,0.0,,,,
31,09/21/14 07:00:00 AM,10.259,64.6,,,,
32,09/21/14 10:00:00 AM,11.916,5511.1,,,,
33,09/21/14 01:00:00 PM,18.045,3444.5,,,,
34,09/21/14 04:00:00 PM,18.996,1044.1,,,,
35,09/21/14 07:00:00 PM,16.141,21.5,,,,
36,09/21/14 10:00:00 PM,13.942,0.0,,,,
37,09/22/14 01:00:00 AM,12.594,0.0,,,,
38,09/22/14 04:00:00 AM,12.207,0.0,,,,
39,09/22/14 07:00:00 AM,12.883,0.0,,,,
40,09/22/14 10:00:00 AM,13.173,2497.2,,,,
41,09/22/14 01:00:00 PM,16.237,4477.8,,,,
42,09/22/14 04:00:00 PM,16.427,1894.5,,,,
43,09/22/14 07:00:00 PM,14.038,10.8,,,,
44,09/22/14 10:00:00 PM,12.594,0.0,,,,
45,09/23/14 01:00:00 AM,11.528,0.0,,,,
46,09/23/14 04:00:00 AM,10.553,0.0,,,,
47,09/23/14 07:00:00 AM,10.161,21.5,,,,
48,09/23/14 10:00:00 AM,12.013,699.7,,,,
49,09/23/14 01:00:00 PM,14.325,1636.1,,,,
