"Plot Title: A0O3-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995215, SEN S/N: 9995215)","Intensity, Lux (LGR S/N: 9995215, SEN S/N: 9995215)","Coupler Attached (LGR S/N: 9995215)","Host Connected (LGR S/N: 9995215)","Stopped (LGR S/N: 9995215)","End Of File (LGR S/N: 9995215)"
1,09/17/14 01:00:00 PM,20.424,6544.5,,,,
2,09/17/14 04:00:00 PM,19.948,4822.3,,,,
3,09/17/14 07:00:00 PM,17.094,86.1,,,,
4,09/17/14 10:00:00 PM,15.187,0.0,,,,
5,09/18/14 01:00:00 AM,14.230,0.0,,,,
6,09/18/14 04:00:00 AM,13.942,0.0,,,,
7,09/18/14 07:00:00 AM,13.654,75.3,,,,
8,09/18/14 10:00:00 AM,13.076,1001.0,,,,
9,09/18/14 01:00:00 PM,13.461,947.2,,,,
10,09/18/14 04:00:00 PM,12.883,2152.8,,,,
11,09/18/14 07:00:00 PM,12.304,10.8,,,,
12,09/18/14 10:00:00 PM,12.207,0.0,,,,
13,09/19/14 01:00:00 AM,12.110,0.0,,,,
14,09/19/14 04:00:00 AM,11.916,0.0,,,,
15,09/19/14 07:00:00 AM,11.819,258.3,,,,
16,09/19/14 10:00:00 AM,13.654,3444.5,,,,
17,09/19/14 01:00:00 PM,16.427,8266.7,,,,
18,09/19/14 04:00:00 PM,16.903,2411.1,,,,
19,09/19/14 07:00:00 PM,14.804,53.8,,,,
20,09/19/14 10:00:00 PM,13.076,0.0,,,,
21,09/20/14 01:00:00 AM,10.846,0.0,,,,
22,09/20/14 04:00:00 AM,9.768,0.0,,,,
23,09/20/14 07:00:00 AM,9.571,64.6,,,,
24,09/20/14 10:00:00 AM,12.110,4822.3,,,,
25,09/20/14 01:00:00 PM,18.140,3961.1,,,,
26,09/20/14 04:00:00 PM,20.710,1356.3,,,,
27,09/20/14 07:00:00 PM,14.996,43.1,,,,
28,09/20/14 10:00:00 PM,12.497,0.0,,,,
29,09/21/14 01:00:00 AM,11.041,0.0,,,,
30,09/21/14 04:00:00 AM,10.651,0.0,,,,
31,09/21/14 07:00:00 AM,10.259,86.1,,,,
32,09/21/14 10:00:00 AM,13.076,5166.7,,,,
33,09/21/14 01:00:00 PM,19.853,4650.0,,,,
34,09/21/14 04:00:00 PM,21.473,1636.1,,,,
35,09/21/14 07:00:00 PM,16.808,43.1,,,,
36,09/21/14 10:00:00 PM,14.230,0.0,,,,
37,09/22/14 01:00:00 AM,12.883,0.0,,,,
38,09/22/14 04:00:00 AM,12.497,0.0,,,,
39,09/22/14 07:00:00 AM,13.076,0.0,,,,
40,09/22/14 10:00:00 AM,13.461,3961.1,,,,
