"Plot Title: AR07-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10517319, SEN S/N: 10517319)","Intensity, Lux (LGR S/N: 10517319, SEN S/N: 10517319)","Coupler Attached (LGR S/N: 10517319)","Host Connected (LGR S/N: 10517319)","Stopped (LGR S/N: 10517319)","End Of File (LGR S/N: 10517319)"
1,09/10/14 01:00:00 PM,15.282,5166.7,,,,
2,09/10/14 04:00:00 PM,15.091,2755.6,,,,
3,09/10/14 07:00:00 PM,11.139,430.6,,,,
4,09/10/14 10:00:00 PM,9.077,0.0,,,,
5,09/11/14 01:00:00 AM,6.674,0.0,,,,
6,09/11/14 04:00:00 AM,4.519,0.0,,,,
7,09/11/14 07:00:00 AM,3.683,161.5,,,,
8,09/11/14 10:00:00 AM,7.582,4822.3,,,,
9,09/11/14 01:00:00 PM,9.965,3444.5,,,,
10,09/11/14 04:00:00 PM,9.866,1237.9,,,,
11,09/11/14 07:00:00 PM,8.481,183.0,,,,
12,09/11/14 10:00:00 PM,7.280,0.0,,,,
13,09/12/14 01:00:00 AM,7.280,0.0,,,,
14,09/12/14 04:00:00 AM,6.877,0.0,,,,
15,09/12/14 07:00:00 AM,7.079,139.9,,,,
16,09/12/14 10:00:00 AM,12.110,4477.8,,,,
17,09/12/14 01:00:00 PM,15.187,3272.2,,,,
18,09/12/14 04:00:00 PM,15.282,1173.3,,,,
19,09/12/14 07:00:00 PM,13.461,172.2,,,,
20,09/12/14 10:00:00 PM,10.846,0.0,,,,
21,09/13/14 01:00:00 AM,9.965,0.0,,,,
22,09/13/14 04:00:00 AM,9.965,0.0,,,,
23,09/13/14 07:00:00 AM,9.669,150.7,,,,
24,09/13/14 10:00:00 AM,14.325,4822.3,,,,
25,09/13/14 01:00:00 PM,16.237,3444.5,,,,
26,09/13/14 04:00:00 PM,15.855,1162.5,,,,
27,09/13/14 07:00:00 PM,14.134,161.5,,,,
28,09/13/14 10:00:00 PM,12.207,0.0,,,,
29,09/14/14 01:00:00 AM,11.528,0.0,,,,
30,09/14/14 04:00:00 AM,11.334,0.0,,,,
31,09/14/14 07:00:00 AM,9.176,139.9,,,,
32,09/14/14 10:00:00 AM,15.473,4994.5,,,,
33,09/14/14 01:00:00 PM,18.901,3272.2,,,,
34,09/14/14 04:00:00 PM,17.665,1130.2,,,,
35,09/14/14 07:00:00 PM,15.569,161.5,,,,
36,09/14/14 10:00:00 PM,12.690,0.0,,,,
37,09/15/14 01:00:00 AM,11.916,0.0,,,,
38,09/15/14 04:00:00 AM,12.013,0.0,,,,
39,09/15/14 07:00:00 AM,11.528,150.7,,,,
40,09/15/14 10:00:00 AM,19.567,6200.0,,,,
41,09/15/14 01:00:00 PM,22.142,3961.1,,,,
42,09/15/14 04:00:00 PM,20.805,2238.9,,,,
43,09/15/14 07:00:00 PM,17.475,226.0,,,,
44,09/15/14 10:00:00 PM,14.900,0.0,,,,
45,09/16/14 01:00:00 AM,16.427,0.0,,,,
46,09/16/14 04:00:00 AM,14.421,0.0,,,,
47,09/16/14 07:00:00 AM,13.846,118.4,,,,
48,09/16/14 10:00:00 AM,18.996,6200.0,,,,
49,09/16/14 01:00:00 PM,20.805,5166.7,,,,
50,09/16/14 04:00:00 PM,17.475,2927.8,,,,
51,09/16/14 07:00:00 PM,14.709,226.0,,,,
52,09/16/14 10:00:00 PM,12.883,0.0,,,,
53,09/17/14 01:00:00 AM,12.883,0.0,,,,
54,09/17/14 04:00:00 AM,12.497,0.0,,,,
55,09/17/14 07:00:00 AM,13.365,236.8,,,,
56,09/17/14 10:00:00 AM,17.665,2755.6,,,,
57,09/17/14 01:00:00 PM,19.948,6200.0,,,,
58,09/17/14 04:00:00 PM,18.331,3616.7,,,,
59,09/17/14 07:00:00 PM,14.325,64.6,,,,
60,09/17/14 10:00:00 PM,12.497,0.0,,,,
61,09/18/14 01:00:00 AM,11.139,0.0,,,,
62,09/18/14 04:00:00 AM,11.139,0.0,,,,
63,09/18/14 07:00:00 AM,10.846,21.5,,,,
64,09/18/14 10:00:00 AM,10.357,1130.2,,,,
65,09/18/14 01:00:00 PM,11.528,1980.6,,,,
66,09/18/14 04:00:00 PM,11.819,1894.5,,,,
67,09/18/14 07:00:00 PM,9.965,32.3,,,,
68,09/18/14 10:00:00 PM,9.373,0.0,,,,
69,09/19/14 01:00:00 AM,9.275,0.0,,,,
70,09/19/14 04:00:00 AM,9.077,0.0,,,,
71,09/19/14 07:00:00 AM,8.978,107.6,,,,
72,09/19/14 10:00:00 AM,11.625,5511.1,,,,
73,09/19/14 01:00:00 PM,14.900,6544.5,,,,
74,09/19/14 04:00:00 PM,13.846,2411.1,,,,
75,09/19/14 07:00:00 PM,12.690,441.3,,,,
76,09/19/14 10:00:00 PM,10.748,0.0,,,,
77,09/20/14 01:00:00 AM,9.965,0.0,,,,
78,09/20/14 04:00:00 AM,9.373,0.0,,,,
79,09/20/14 07:00:00 AM,11.431,96.9,,,,
80,09/20/14 10:00:00 AM,16.618,6200.0,,,,
81,09/20/14 01:00:00 PM,18.806,3100.0,,,,
82,09/20/14 04:00:00 PM,18.616,947.2,,,,
83,09/20/14 07:00:00 PM,16.713,96.9,,,,
84,09/20/14 10:00:00 PM,15.378,0.0,,,,
85,09/21/14 01:00:00 AM,15.378,0.0,,,,
86,09/21/14 04:00:00 AM,14.804,0.0,,,,
87,09/21/14 07:00:00 AM,13.750,129.2,,,,
88,09/21/14 10:00:00 AM,20.043,7233.4,,,,
89,09/21/14 01:00:00 PM,22.908,3788.9,,,,
90,09/21/14 04:00:00 PM,21.569,1334.7,,,,
91,09/21/14 07:00:00 PM,17.189,64.6,,,,
92,09/21/14 10:00:00 PM,15.378,0.0,,,,
93,09/22/14 01:00:00 AM,13.942,0.0,,,,
