"Plot Title: AR07-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574909, SEN S/N: 10574909)","Intensity, Lux (LGR S/N: 10574909, SEN S/N: 10574909)","Coupler Attached (LGR S/N: 10574909)","Host Connected (LGR S/N: 10574909)","Coupler Detached (LGR S/N: 10574909)","Stopped (LGR S/N: 10574909)","End Of File (LGR S/N: 10574909)"
1,09/10/14 01:00:00 PM,16.046,9300.1,,,,,
2,09/10/14 04:00:00 PM,14.613,3616.7,,,,,
3,09/10/14 07:00:00 PM,10.944,753.5,,,,,
4,09/10/14 10:00:00 PM,8.978,0.0,,,,,
5,09/11/14 01:00:00 AM,6.471,0.0,,,,,
6,09/11/14 04:00:00 AM,4.519,0.0,,,,,
7,09/11/14 07:00:00 AM,3.683,204.5,,,,,
8,09/11/14 10:00:00 AM,6.978,5166.7,,,,,
9,09/11/14 01:00:00 PM,11.334,5338.9,,,,,
10,09/11/14 04:00:00 PM,9.176,1270.1,,,,,
11,09/11/14 07:00:00 PM,7.983,269.1,,,,,
12,09/11/14 10:00:00 PM,6.877,0.0,,,,,
13,09/12/14 01:00:00 AM,6.775,0.0,,,,,
14,09/12/14 04:00:00 AM,6.370,0.0,,,,,
15,09/12/14 07:00:00 AM,6.573,172.2,,,,,
16,09/12/14 10:00:00 AM,11.139,5338.9,,,,,
17,09/12/14 01:00:00 PM,16.808,5166.7,,,,,
18,09/12/14 04:00:00 PM,13.654,1194.8,,,,,
19,09/12/14 07:00:00 PM,12.110,247.6,,,,,
20,09/12/14 10:00:00 PM,10.161,0.0,,,,,
21,09/13/14 01:00:00 AM,9.373,0.0,,,,,
22,09/13/14 04:00:00 AM,9.176,0.0,,,,,
23,09/13/14 07:00:00 AM,8.879,183.0,,,,,
24,09/13/14 10:00:00 AM,12.497,5166.7,,,,,
25,09/13/14 01:00:00 PM,17.855,7233.4,,,,,
26,09/13/14 04:00:00 PM,14.038,1216.3,,,,,
27,09/13/14 07:00:00 PM,12.401,236.8,,,,,
28,09/13/14 10:00:00 PM,11.041,0.0,,,,,
29,09/14/14 01:00:00 AM,10.553,0.0,,,,,
30,09/14/14 04:00:00 AM,10.259,0.0,,,,,
31,09/14/14 07:00:00 AM,8.382,172.2,,,,,
32,09/14/14 10:00:00 AM,13.942,5511.1,,,,,
33,09/14/14 01:00:00 PM,20.234,10677.8,,,,,
34,09/14/14 04:00:00 PM,15.569,1194.8,,,,,
35,09/14/14 07:00:00 PM,13.750,226.0,,,,,
36,09/14/14 10:00:00 PM,11.528,0.0,,,,,
37,09/15/14 01:00:00 AM,10.748,0.0,,,,,
38,09/15/14 04:00:00 AM,10.846,0.0,,,,,
39,09/15/14 07:00:00 AM,10.455,172.2,,,,,
40,09/15/14 10:00:00 AM,17.094,7577.8,,,,,
41,09/15/14 01:00:00 PM,21.951,9644.5,,,,,
42,09/15/14 04:00:00 PM,18.426,2325.0,,,,,
43,09/15/14 07:00:00 PM,15.760,301.4,,,,,
44,09/15/14 10:00:00 PM,13.558,0.0,,,,,
45,09/16/14 01:00:00 AM,14.804,0.0,,,,,
46,09/16/14 04:00:00 AM,12.304,0.0,,,,,
47,09/16/14 07:00:00 AM,12.690,139.9,,,,,
48,09/16/14 10:00:00 AM,17.284,8266.7,,,,,
49,09/16/14 01:00:00 PM,20.329,8611.2,,,,,
50,09/16/14 04:00:00 PM,16.237,3272.2,,,,,
51,09/16/14 07:00:00 PM,13.750,301.4,,,,,
52,09/16/14 10:00:00 PM,12.013,0.0,,,,,
53,09/17/14 01:00:00 AM,12.110,0.0,,,,,
54,09/17/14 04:00:00 AM,11.722,0.0,,,,,
55,09/17/14 07:00:00 AM,12.207,290.6,,,,,
56,09/17/14 10:00:00 AM,16.618,3616.7,,,,,
57,09/17/14 01:00:00 PM,19.853,10333.4,,,,,
58,09/17/14 04:00:00 PM,17.760,4305.6,,,,,
