"Plot Title: AV06-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578623, SEN S/N: 10578623)","Intensity, lum/ft² (LGR S/N: 10578623, SEN S/N: 10578623)","Coupler Attached (LGR S/N: 10578623)","Coupler Detached (LGR S/N: 10578623)","Host Connected (LGR S/N: 10578623)","Stopped (LGR S/N: 10578623)","End Of File (LGR S/N: 10578623)"
1,09/09/14 01:00:00 PM,12.304,320.0,,,,,
2,09/09/14 04:00:00 PM,12.497,168.0,,,,,
3,09/09/14 07:00:00 PM,12.304,26.0,,,,,
4,09/09/14 10:00:00 PM,10.553,0.0,,,,,
5,09/10/14 01:00:00 AM,9.866,0.0,,,,,
6,09/10/14 04:00:00 AM,9.373,0.0,,,,,
7,09/10/14 07:00:00 AM,8.082,4.0,,,,,
8,09/10/14 10:00:00 AM,9.866,136.0,,,,,
9,09/10/14 01:00:00 PM,14.996,432.0,,,,,
10,09/10/14 04:00:00 PM,15.569,240.0,,,,,
11,09/10/14 07:00:00 PM,12.787,9.0,,,,,
12,09/10/14 10:00:00 PM,10.748,0.0,,,,,
13,09/11/14 01:00:00 AM,9.176,0.0,,,,,
14,09/11/14 04:00:00 AM,7.582,0.0,,,,,
15,09/11/14 07:00:00 AM,6.674,5.0,,,,,
16,09/11/14 10:00:00 AM,7.882,160.0,,,,,
17,09/11/14 01:00:00 PM,12.304,336.0,,,,,
18,09/11/14 04:00:00 PM,13.558,272.0,,,,,
19,09/11/14 07:00:00 PM,10.651,8.0,,,,,
20,09/11/14 10:00:00 PM,9.373,0.0,,,,,
21,09/12/14 01:00:00 AM,9.275,0.0,,,,,
22,09/12/14 04:00:00 AM,8.680,0.0,,,,,
23,09/12/14 07:00:00 AM,8.581,4.0,,,,,
24,09/12/14 10:00:00 AM,10.553,152.0,,,,,
25,09/12/14 01:00:00 PM,16.427,320.0,,,,,
26,09/12/14 04:00:00 PM,18.140,272.0,,,,,
27,09/12/14 07:00:00 PM,14.038,6.0,,,,,
28,09/12/14 10:00:00 PM,12.207,0.0,,,,,
29,09/13/14 01:00:00 AM,11.431,0.0,,,,,
30,09/13/14 04:00:00 AM,11.334,0.0,,,,,
31,09/13/14 07:00:00 AM,11.041,4.0,,,,,
32,09/13/14 10:00:00 AM,12.594,152.0,,,,,
33,09/13/14 01:00:00 PM,17.475,336.0,,,,,
34,09/13/14 04:00:00 PM,19.187,288.0,,,,,
35,09/13/14 07:00:00 PM,14.900,6.0,,,,,
36,09/13/14 10:00:00 PM,12.594,0.0,,,,,
37,09/14/14 01:00:00 AM,11.334,0.0,,,,,
38,09/14/14 04:00:00 AM,10.553,0.0,,,,,
39,09/14/14 07:00:00 AM,9.965,4.0,,,,,
40,09/14/14 10:00:00 AM,12.980,144.0,,,,,
41,09/14/14 01:00:00 PM,18.711,336.0,,,,,
42,09/14/14 04:00:00 PM,20.805,704.0,,,,,
43,09/14/14 07:00:00 PM,16.046,8.0,,,,,
44,09/14/14 10:00:00 PM,13.654,0.0,,,,,
45,09/15/14 01:00:00 AM,12.497,0.0,,,,,
46,09/15/14 04:00:00 AM,12.401,0.0,,,,,
47,09/15/14 07:00:00 AM,11.916,4.0,,,,,
48,09/15/14 10:00:00 AM,14.517,168.0,,,,,
