"Plot Title: AV14-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401791, SEN S/N: 2401791, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401791, SEN S/N: 2401791, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 2401791)","Host Connected (LGR S/N: 2401791)","Stopped (LGR S/N: 2401791)","End Of File (LGR S/N: 2401791)"
1,09/16/14 01:00:00 PM,14.804,2755.6,,,,
2,09/16/14 04:00:00 PM,15.569,3100.0,,,,
3,09/16/14 07:00:00 PM,13.846,96.9,,,,
4,09/16/14 10:00:00 PM,12.497,0.0,,,,
5,09/17/14 01:00:00 AM,12.207,0.0,,,,
6,09/17/14 04:00:00 AM,12.594,0.0,,,,
7,09/17/14 07:00:00 AM,12.594,193.8,,,,
8,09/17/14 10:00:00 AM,14.804,3100.0,,,,
9,09/17/14 01:00:00 PM,15.951,4650.0,,,,
10,09/17/14 04:00:00 PM,16.808,3100.0,,,,
11,09/17/14 07:00:00 PM,14.230,118.4,,,,
12,09/17/14 10:00:00 PM,12.980,0.0,,,,
13,09/18/14 01:00:00 AM,11.722,0.0,,,,
14,09/18/14 04:00:00 AM,11.916,0.0,,,,
15,09/18/14 07:00:00 AM,11.334,10.8,,,,
16,09/18/14 10:00:00 AM,11.236,430.6,,,,
17,09/18/14 01:00:00 PM,12.110,3788.9,,,,
18,09/18/14 04:00:00 PM,11.722,699.7,,,,
19,09/18/14 07:00:00 PM,11.334,10.8,,,,
20,09/18/14 10:00:00 PM,10.944,0.0,,,,
21,09/19/14 01:00:00 AM,10.944,0.0,,,,
22,09/19/14 04:00:00 AM,10.748,0.0,,,,
23,09/19/14 07:00:00 AM,10.651,32.3,,,,
24,09/19/14 10:00:00 AM,11.431,3272.2,,,,
25,09/19/14 01:00:00 PM,11.916,2497.2,,,,
26,09/19/14 04:00:00 PM,13.942,2927.8,,,,
27,09/19/14 07:00:00 PM,13.173,118.4,,,,
28,09/19/14 10:00:00 PM,12.013,0.0,,,,
29,09/20/14 01:00:00 AM,10.846,0.0,,,,
30,09/20/14 04:00:00 AM,10.651,0.0,,,,
31,09/20/14 07:00:00 AM,10.553,64.6,,,,
32,09/20/14 10:00:00 AM,12.594,1550.0,,,,
33,09/20/14 01:00:00 PM,14.613,2066.7,,,,
34,09/20/14 04:00:00 PM,15.951,861.1,,,,
35,09/20/14 07:00:00 PM,15.091,64.6,,,,
36,09/20/14 10:00:00 PM,14.230,0.0,,,,
37,09/21/14 01:00:00 AM,14.230,0.0,,,,
