"Plot Title: AV14-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574928, SEN S/N: 10574928)","Intensity, Lux (LGR S/N: 10574928, SEN S/N: 10574928)","Coupler Attached (LGR S/N: 10574928)","Host Connected (LGR S/N: 10574928)","Stopped (LGR S/N: 10574928)","End Of File (LGR S/N: 10574928)"
1,09/16/14 01:00:00 PM,13.846,871.9,,,,
2,09/16/14 04:00:00 PM,14.709,1097.9,,,,
3,09/16/14 07:00:00 PM,13.846,21.5,,,,
4,09/16/14 10:00:00 PM,12.787,0.0,,,,
5,09/17/14 01:00:00 AM,12.304,0.0,,,,
6,09/17/14 04:00:00 AM,12.401,0.0,,,,
7,09/17/14 07:00:00 AM,12.013,53.8,,,,
8,09/17/14 10:00:00 AM,13.173,1108.7,,,,
9,09/17/14 01:00:00 PM,14.517,1463.9,,,,
10,09/17/14 04:00:00 PM,15.187,1065.6,,,,
11,09/17/14 07:00:00 PM,14.230,32.3,,,,
12,09/17/14 10:00:00 PM,13.365,0.0,,,,
13,09/18/14 01:00:00 AM,12.304,0.0,,,,
14,09/18/14 04:00:00 AM,12.207,0.0,,,,
15,09/18/14 07:00:00 AM,11.722,0.0,,,,
16,09/18/14 10:00:00 AM,11.528,129.2,,,,
17,09/18/14 01:00:00 PM,11.916,1108.7,,,,
18,09/18/14 04:00:00 PM,11.819,204.5,,,,
19,09/18/14 07:00:00 PM,11.528,0.0,,,,
20,09/18/14 10:00:00 PM,11.139,0.0,,,,
21,09/19/14 01:00:00 AM,11.139,0.0,,,,
22,09/19/14 04:00:00 AM,10.944,0.0,,,,
23,09/19/14 07:00:00 AM,10.944,0.0,,,,
24,09/19/14 10:00:00 AM,11.334,1130.2,,,,
25,09/19/14 01:00:00 PM,11.722,688.9,,,,
26,09/19/14 04:00:00 PM,12.980,925.7,,,,
27,09/19/14 07:00:00 PM,12.883,32.3,,,,
28,09/19/14 10:00:00 PM,12.207,0.0,,,,
29,09/20/14 01:00:00 AM,11.236,0.0,,,,
30,09/20/14 04:00:00 AM,11.041,0.0,,,,
31,09/20/14 07:00:00 AM,10.651,10.8,,,,
32,09/20/14 10:00:00 AM,11.236,366.0,,,,
33,09/20/14 01:00:00 PM,12.401,538.2,,,,
34,09/20/14 04:00:00 PM,13.558,193.8,,,,
35,09/20/14 07:00:00 PM,13.558,10.8,,,,
36,09/20/14 10:00:00 PM,13.076,0.0,,,,
37,09/21/14 01:00:00 AM,12.690,0.0,,,,
38,09/21/14 04:00:00 AM,12.594,0.0,,,,
39,09/21/14 07:00:00 AM,12.690,21.5,,,,
40,09/21/14 10:00:00 AM,13.750,473.6,,,,
41,09/21/14 01:00:00 PM,14.804,613.5,,,,
42,09/21/14 04:00:00 PM,15.473,409.0,,,,
43,09/21/14 07:00:00 PM,15.091,10.8,,,,
44,09/21/14 10:00:00 PM,14.134,0.0,,,,
45,09/22/14 01:00:00 AM,13.558,0.0,,,,
46,09/22/14 04:00:00 AM,12.883,0.0,,,,
47,09/22/14 07:00:00 AM,12.110,0.0,,,,
48,09/22/14 10:00:00 AM,12.304,430.6,,,,
49,09/22/14 01:00:00 PM,13.269,1550.0,,,,
50,09/22/14 04:00:00 PM,13.461,958.0,,,,
51,09/22/14 07:00:00 PM,12.980,0.0,,,,
52,09/22/14 10:00:00 PM,12.304,0.0,,,,
53,09/23/14 01:00:00 AM,11.625,0.0,,,,
54,09/23/14 04:00:00 AM,11.625,0.0,,,,
55,09/23/14 07:00:00 AM,11.431,0.0,,,,
56,09/23/14 10:00:00 AM,12.110,376.7,,,,
57,09/23/14 01:00:00 PM,13.076,1377.8,,,,
58,09/23/14 04:00:00 PM,12.690,247.6,,,,
59,09/23/14 07:00:00 PM,12.207,0.0,,,,
60,09/23/14 10:00:00 PM,12.207,0.0,,,,
61,09/24/14 01:00:00 AM,12.594,0.0,,,,
62,09/24/14 04:00:00 AM,11.819,0.0,,,,
63,09/24/14 07:00:00 AM,10.748,0.0,,,,
64,09/24/14 10:00:00 AM,10.553,290.6,,,,
65,09/24/14 01:00:00 PM,11.139,344.4,,,,
66,09/24/14 04:00:00 PM,11.334,818.1,,,,
67,09/24/14 07:00:00 PM,10.944,53.8,,,,
68,09/24/14 10:00:00 PM,10.748,0.0,,,,
69,09/25/14 01:00:00 AM,10.357,0.0,,,,
70,09/25/14 04:00:00 AM,9.571,0.0,,,,
71,09/25/14 07:00:00 AM,9.275,0.0,,,,
