"Plot Title: PARA-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574898, SEN S/N: 10574898)","Intensity, Lux (LGR S/N: 10574898, SEN S/N: 10574898)","Coupler Attached (LGR S/N: 10574898)","Host Connected (LGR S/N: 10574898)","Stopped (LGR S/N: 10574898)","End Of File (LGR S/N: 10574898)"
1,09/11/14 01:00:00 PM,9.571,17222.3,,,,
2,09/11/14 04:00:00 PM,8.481,2927.8,,,,
3,09/11/14 07:00:00 PM,6.877,1313.2,,,,
4,09/11/14 10:00:00 PM,4.207,0.0,,,,
5,09/12/14 01:00:00 AM,4.207,0.0,,,,
6,09/12/14 04:00:00 AM,3.788,0.0,,,,
7,09/12/14 07:00:00 AM,3.893,118.4,,,,
8,09/12/14 10:00:00 AM,6.573,1237.9,,,,
9,09/12/14 01:00:00 PM,15.378,14466.8,,,,
10,09/12/14 04:00:00 PM,13.365,2497.2,,,,
11,09/12/14 07:00:00 PM,11.528,1227.1,,,,
12,09/12/14 10:00:00 PM,7.983,0.0,,,,
13,09/13/14 01:00:00 AM,6.978,0.0,,,,
14,09/13/14 04:00:00 AM,6.674,0.0,,,,
15,09/13/14 07:00:00 AM,6.268,118.4,,,,
16,09/13/14 10:00:00 AM,8.282,1280.9,,,,
17,09/13/14 01:00:00 PM,20.710,28933.5,,,,
18,09/13/14 04:00:00 PM,13.846,2325.0,,,,
19,09/13/14 07:00:00 PM,12.980,1173.3,,,,
20,09/13/14 10:00:00 PM,9.176,0.0,,,,
21,09/14/14 01:00:00 AM,8.282,0.0,,,,
22,09/14/14 04:00:00 AM,7.782,0.0,,,,
23,09/14/14 07:00:00 AM,7.682,107.6,,,,
24,09/14/14 10:00:00 AM,9.373,1205.6,,,,
25,09/14/14 01:00:00 PM,18.901,23422.4,,,,
26,09/14/14 04:00:00 PM,15.664,2066.7,,,,
27,09/14/14 07:00:00 PM,14.230,925.7,,,,
28,09/14/14 10:00:00 PM,11.431,0.0,,,,
29,09/15/14 01:00:00 AM,10.651,0.0,,,,
30,09/15/14 04:00:00 AM,10.748,0.0,,,,
31,09/15/14 07:00:00 AM,11.722,118.4,,,,
32,09/15/14 10:00:00 AM,14.134,1894.5,,,,
33,09/15/14 01:00:00 PM,18.426,4994.5,,,,
34,09/15/14 04:00:00 PM,19.092,3272.2,,,,
35,09/15/14 07:00:00 PM,15.760,462.9,,,,
36,09/15/14 10:00:00 PM,14.230,0.0,,,,
37,09/16/14 01:00:00 AM,14.038,0.0,,,,
38,09/16/14 04:00:00 AM,13.846,0.0,,,,
39,09/16/14 07:00:00 AM,13.365,86.1,,,,
40,09/16/14 10:00:00 AM,14.325,1980.6,,,,
41,09/16/14 01:00:00 PM,16.808,5338.9,,,,
42,09/16/14 04:00:00 PM,16.141,5511.1,,,,
43,09/16/14 07:00:00 PM,13.076,333.7,,,,
44,09/16/14 10:00:00 PM,11.916,0.0,,,,
45,09/17/14 01:00:00 AM,12.110,0.0,,,,
46,09/17/14 04:00:00 AM,11.819,0.0,,,,
47,09/17/14 07:00:00 AM,12.787,161.5,,,,
48,09/17/14 10:00:00 AM,16.046,3272.2,,,,
49,09/17/14 01:00:00 PM,17.855,6200.0,,,,
50,09/17/14 04:00:00 PM,17.570,5166.7,,,,
51,09/17/14 07:00:00 PM,13.173,86.1,,,,
52,09/17/14 10:00:00 PM,11.236,0.0,,,,
53,09/18/14 01:00:00 AM,10.357,0.0,,,,
54,09/18/14 04:00:00 AM,10.063,0.0,,,,
55,09/18/14 07:00:00 AM,9.669,64.6,,,,
56,09/18/14 10:00:00 AM,9.176,2583.4,,,,
57,09/18/14 01:00:00 PM,9.669,4650.0,,,,
58,09/18/14 04:00:00 PM,9.571,1894.5,,,,
59,09/18/14 07:00:00 PM,8.282,43.1,,,,
60,09/18/14 10:00:00 PM,8.082,0.0,,,,
61,09/19/14 01:00:00 AM,8.082,0.0,,,,
62,09/19/14 04:00:00 AM,7.882,0.0,,,,
63,09/19/14 07:00:00 AM,7.882,96.9,,,,
64,09/19/14 10:00:00 AM,9.571,4650.0,,,,
65,09/19/14 01:00:00 PM,10.944,5166.7,,,,
66,09/19/14 04:00:00 PM,11.236,3444.5,,,,
67,09/19/14 07:00:00 PM,11.041,527.4,,,,
68,09/19/14 10:00:00 PM,9.275,0.0,,,,
69,09/20/14 01:00:00 AM,8.779,0.0,,,,
70,09/20/14 04:00:00 AM,8.282,0.0,,,,
71,09/20/14 07:00:00 AM,8.779,75.3,,,,
72,09/20/14 10:00:00 AM,11.334,990.3,,,,
73,09/20/14 01:00:00 PM,15.855,17911.2,,,,
74,09/20/14 04:00:00 PM,15.473,1636.1,,,,
75,09/20/14 07:00:00 PM,13.461,581.3,,,,
76,09/20/14 10:00:00 PM,11.722,0.0,,,,
77,09/21/14 01:00:00 AM,11.528,0.0,,,,
78,09/21/14 04:00:00 AM,11.041,0.0,,,,
79,09/21/14 07:00:00 AM,12.013,86.1,,,,
80,09/21/14 10:00:00 AM,14.038,1280.9,,,,
81,09/21/14 01:00:00 PM,18.711,17222.3,,,,
82,09/21/14 04:00:00 PM,18.711,2411.1,,,,
83,09/21/14 07:00:00 PM,15.378,96.9,,,,
84,09/21/14 10:00:00 PM,13.942,0.0,,,,
85,09/22/14 01:00:00 AM,12.980,0.0,,,,
86,09/22/14 04:00:00 AM,12.401,0.0,,,,
87,09/22/14 07:00:00 AM,11.041,43.1,,,,
88,09/22/14 10:00:00 AM,11.431,2669.5,,,,
89,09/22/14 01:00:00 PM,13.076,4822.3,,,,
90,09/22/14 04:00:00 PM,13.365,4133.4,,,,
91,09/22/14 07:00:00 PM,11.431,75.3,,,,
92,09/22/14 10:00:00 PM,11.041,0.0,,,,
93,09/23/14 01:00:00 AM,11.139,0.0,,,,
94,09/23/14 04:00:00 AM,10.063,0.0,,,,
95,09/23/14 07:00:00 AM,11.139,10.8,,,,
96,09/23/14 10:00:00 AM,9.768,753.5,,,,
97,09/23/14 01:00:00 PM,9.965,1550.0,,,,
98,09/23/14 04:00:00 PM,8.879,452.1,,,,
99,09/23/14 07:00:00 PM,9.373,0.0,,,,
100,09/23/14 10:00:00 PM,9.669,0.0,,,,
101,09/24/14 01:00:00 AM,10.357,0.0,,,,
102,09/24/14 04:00:00 AM,8.481,0.0,,,,
103,09/24/14 07:00:00 AM,7.280,0.0,,,,
104,09/24/14 10:00:00 AM,7.280,559.7,,,,
105,09/24/14 01:00:00 PM,7.582,1463.9,,,,
106,09/24/14 04:00:00 PM,7.882,1636.1,,,,
107,09/24/14 07:00:00 PM,7.179,183.0,,,,
108,09/24/14 10:00:00 PM,7.179,0.0,,,,
109,09/25/14 01:00:00 AM,6.877,0.0,,,,
110,09/25/14 04:00:00 AM,6.370,0.0,,,,
111,09/25/14 07:00:00 AM,6.268,10.8,,,,
112,09/25/14 10:00:00 AM,7.381,4133.4,,,,
113,09/25/14 01:00:00 PM,7.682,5166.7,,,,
114,09/25/14 04:00:00 PM,7.983,7233.4,,,,
115,09/25/14 07:00:00 PM,6.370,0.0,,,,
116,09/25/14 10:00:00 PM,5.655,0.0,,,,
117,09/26/14 01:00:00 AM,5.552,0.0,,,,
118,09/26/14 04:00:00 AM,5.552,0.0,,,,
119,09/26/14 07:00:00 AM,5.037,0.0,,,,
120,09/26/14 10:00:00 AM,5.757,2325.0,,,,
121,09/26/14 01:00:00 PM,6.877,3788.9,,,,
122,09/26/14 04:00:00 PM,7.582,3272.2,,,,
123,09/26/14 07:00:00 PM,7.079,10.8,,,,
124,09/26/14 10:00:00 PM,6.877,0.0,,,,
125,09/27/14 01:00:00 AM,5.860,0.0,,,,
126,09/27/14 04:00:00 AM,5.450,0.0,,,,
127,09/27/14 07:00:00 AM,4.831,21.5,,,,
128,09/27/14 10:00:00 AM,6.471,807.3,,,,
129,09/27/14 01:00:00 PM,9.669,4650.0,,,,
130,09/27/14 04:00:00 PM,10.063,5166.7,,,,
131,09/27/14 07:00:00 PM,8.581,258.3,,,,
132,09/27/14 10:00:00 PM,7.079,0.0,,,,
133,09/28/14 01:00:00 AM,6.978,0.0,,,,
134,09/28/14 04:00:00 AM,6.775,0.0,,,,
135,09/28/14 07:00:00 AM,6.370,10.8,,,,
136,09/28/14 10:00:00 AM,7.280,1044.1,,,,
137,09/28/14 01:00:00 PM,11.334,5338.9,,,,
138,09/28/14 04:00:00 PM,11.334,1550.0,,,,
139,09/28/14 07:00:00 PM,9.866,43.1,,,,
140,09/28/14 10:00:00 PM,8.382,0.0,,,,
141,09/29/14 01:00:00 AM,7.481,0.0,,,,
142,09/29/14 04:00:00 AM,6.370,0.0,,,,
143,09/29/14 07:00:00 AM,5.757,10.8,,,,
144,09/29/14 10:00:00 AM,7.381,3788.9,,,,
145,09/29/14 01:00:00 PM,9.176,5511.1,,,,
146,09/29/14 04:00:00 PM,7.280,1377.8,,,,
147,09/29/14 07:00:00 PM,6.978,10.8,,,,
148,09/29/14 10:00:00 PM,3.155,0.0,,,,
149,09/30/14 01:00:00 AM,3.049,0.0,,,,
150,09/30/14 04:00:00 AM,3.049,0.0,,,,
151,09/30/14 07:00:00 AM,2.943,0.0,,,,
152,09/30/14 10:00:00 AM,3.788,4305.6,,,,
153,09/30/14 01:00:00 PM,5.347,7577.8,,,,
154,09/30/14 04:00:00 PM,6.268,10677.8,,,,
155,09/30/14 07:00:00 PM,3.998,0.0,,,,
156,09/30/14 10:00:00 PM,3.998,0.0,,,,
157,10/01/14 01:00:00 AM,3.788,0.0,,,,
158,10/01/14 04:00:00 AM,3.155,0.0,,,,
159,10/01/14 07:00:00 AM,2.837,10.8,,,,
160,10/01/14 10:00:00 AM,3.683,2927.8,,,,
161,10/01/14 01:00:00 PM,4.831,4305.6,,,,
162,10/01/14 04:00:00 PM,4.934,1184.0,,,,
163,10/01/14 07:00:00 PM,4.102,0.0,,,,
164,10/01/14 10:00:00 PM,3.472,0.0,,,,
165,10/02/14 01:00:00 AM,3.155,0.0,,,,
166,10/02/14 04:00:00 AM,2.517,0.0,,,,
167,10/02/14 07:00:00 AM,1.330,10.8,,,,
168,10/02/14 10:00:00 AM,2.624,710.4,,,,
169,10/02/14 01:00:00 PM,5.860,15844.5,,,,
170,10/02/14 04:00:00 PM,7.983,4822.3,,,,
171,10/02/14 07:00:00 PM,6.370,10.8,,,,
172,10/02/14 10:00:00 PM,4.623,0.0,,,,
173,10/03/14 01:00:00 AM,4.519,0.0,,,,
174,10/03/14 04:00:00 AM,5.552,0.0,,,,
175,10/03/14 07:00:00 AM,6.674,0.0,,,,
176,10/03/14 10:00:00 AM,8.779,731.9,,,,
177,10/03/14 01:00:00 PM,11.528,3272.2,,,,
178,10/03/14 04:00:00 PM,12.401,1980.6,,,,
179,10/03/14 07:00:00 PM,10.651,10.8,,,,
180,10/03/14 10:00:00 PM,9.965,0.0,,,,
181,10/04/14 01:00:00 AM,9.472,0.0,,,,
182,10/04/14 04:00:00 AM,8.779,0.0,,,,
183,10/04/14 07:00:00 AM,8.879,0.0,,,,
184,10/04/14 10:00:00 AM,10.259,1463.9,,,,
185,10/04/14 01:00:00 PM,12.787,4133.4,,,,
186,10/04/14 04:00:00 PM,10.651,2411.1,,,,
187,10/04/14 07:00:00 PM,9.472,0.0,,,,
188,10/04/14 10:00:00 PM,8.879,0.0,,,,
189,10/05/14 01:00:00 AM,9.176,0.0,,,,
190,10/05/14 04:00:00 AM,8.581,0.0,,,,
191,10/05/14 07:00:00 AM,9.275,0.0,,,,
192,10/05/14 10:00:00 AM,10.846,678.1,,,,
193,10/05/14 01:00:00 PM,13.365,2066.7,,,,
194,10/05/14 04:00:00 PM,13.942,1377.8,,,,
195,10/05/14 07:00:00 PM,11.916,0.0,,,,
196,10/05/14 10:00:00 PM,10.748,0.0,,,,
197,10/06/14 01:00:00 AM,9.965,0.0,,,,
198,10/06/14 04:00:00 AM,10.259,0.0,,,,
199,10/06/14 07:00:00 AM,9.965,0.0,,,,
200,10/06/14 10:00:00 AM,11.236,656.6,,,,
201,10/06/14 01:00:00 PM,13.942,1808.3,,,,
202,10/06/14 04:00:00 PM,15.091,1377.8,,,,
203,10/06/14 07:00:00 PM,12.787,0.0,,,,
204,10/06/14 10:00:00 PM,12.110,0.0,,,,
205,10/07/14 01:00:00 AM,11.431,0.0,,,,
206,10/07/14 04:00:00 AM,11.041,0.0,,,,
207,10/07/14 07:00:00 AM,10.846,0.0,,,,
208,10/07/14 10:00:00 AM,11.236,667.4,,,,
209,10/07/14 01:00:00 PM,13.173,1636.1,,,,
210,10/07/14 04:00:00 PM,13.750,1377.8,,,,
211,10/07/14 07:00:00 PM,11.236,0.0,,,,
212,10/07/14 10:00:00 PM,10.357,0.0,,,,
213,10/08/14 01:00:00 AM,9.077,0.0,,,,
214,10/08/14 04:00:00 AM,7.381,0.0,,,,
215,10/08/14 07:00:00 AM,6.775,0.0,,,,
216,10/08/14 10:00:00 AM,8.382,2152.8,,,,
217,10/08/14 01:00:00 PM,10.846,5338.9,,,,
218,10/08/14 04:00:00 PM,10.748,1345.5,,,,
219,10/08/14 07:00:00 PM,9.077,0.0,,,,
220,10/08/14 10:00:00 PM,7.782,0.0,,,,
221,10/09/14 01:00:00 AM,7.983,0.0,,,,
222,10/09/14 04:00:00 AM,7.782,0.0,,,,
223,10/09/14 07:00:00 AM,7.983,0.0,,,,
224,10/09/14 10:00:00 AM,9.176,1097.9,,,,
225,10/09/14 01:00:00 PM,11.236,1636.1,,,,
226,10/09/14 04:00:00 PM,12.401,1377.8,,,,
227,10/09/14 07:00:00 PM,9.965,0.0,,,,
228,10/09/14 10:00:00 PM,8.779,0.0,,,,
229,10/10/14 01:00:00 AM,8.680,0.0,,,,
230,10/10/14 04:00:00 AM,8.082,0.0,,,,
231,10/10/14 07:00:00 AM,7.481,0.0,,,,
232,10/10/14 10:00:00 AM,8.182,667.4,,,,
233,10/10/14 01:00:00 PM,11.334,2927.8,,,,
234,10/10/14 04:00:00 PM,11.041,1980.6,,,,
235,10/10/14 07:00:00 PM,8.481,0.0,,,,
236,10/10/14 10:00:00 PM,6.978,0.0,,,,
237,10/11/14 01:00:00 AM,5.655,0.0,,,,
238,10/11/14 04:00:00 AM,7.381,0.0,,,,
239,10/11/14 07:00:00 AM,3.472,0.0,,,,
