"Plot Title: PP17-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578642, SEN S/N: 10578642)","Intensity, Lux (LGR S/N: 10578642, SEN S/N: 10578642)","Coupler Attached (LGR S/N: 10578642)","Host Connected (LGR S/N: 10578642)","Stopped (LGR S/N: 10578642)","End Of File (LGR S/N: 10578642)"
1,09/16/14 01:00:00 PM,33.430,19977.9,,,,
2,09/16/14 04:00:00 PM,24.641,13089.0,,,,
3,09/16/14 07:00:00 PM,16.808,441.3,,,,
4,09/16/14 10:00:00 PM,12.787,0.0,,,,
5,09/17/14 01:00:00 AM,12.110,0.0,,,,
6,09/17/14 04:00:00 AM,11.236,0.0,,,,
7,09/17/14 07:00:00 AM,11.139,1205.6,,,,
8,09/17/14 10:00:00 AM,18.996,12400.1,,,,
9,09/17/14 01:00:00 PM,30.862,24800.2,,,,
10,09/17/14 04:00:00 PM,25.513,15844.5,,,,
11,09/17/14 07:00:00 PM,18.331,312.2,,,,
12,09/17/14 10:00:00 PM,15.378,0.0,,,,
13,09/18/14 01:00:00 AM,14.421,0.0,,,,
14,09/18/14 04:00:00 AM,13.558,0.0,,,,
15,09/18/14 07:00:00 AM,13.173,161.5,,,,
16,09/18/14 10:00:00 AM,12.401,1463.9,,,,
17,09/18/14 01:00:00 PM,14.230,4650.0,,,,
18,09/18/14 04:00:00 PM,14.517,4994.5,,,,
19,09/18/14 07:00:00 PM,12.304,107.6,,,,
20,09/18/14 10:00:00 PM,10.161,0.0,,,,
21,09/19/14 01:00:00 AM,10.846,0.0,,,,
22,09/19/14 04:00:00 AM,9.768,0.0,,,,
23,09/19/14 07:00:00 AM,10.651,1151.7,,,,
24,09/19/14 10:00:00 AM,16.523,16533.4,,,,
25,09/19/14 01:00:00 PM,27.272,11711.2,,,,
26,09/19/14 04:00:00 PM,22.238,9644.5,,,,
27,09/19/14 07:00:00 PM,15.282,204.5,,,,
28,09/19/14 10:00:00 PM,14.325,0.0,,,,
29,09/20/14 01:00:00 AM,10.651,0.0,,,,
30,09/20/14 04:00:00 AM,7.782,0.0,,,,
31,09/20/14 07:00:00 AM,7.481,215.3,,,,
32,09/20/14 10:00:00 AM,14.038,5511.1,,,,
33,09/20/14 01:00:00 PM,29.352,15155.7,,,,
34,09/20/14 04:00:00 PM,23.100,4133.4,,,,
35,09/20/14 07:00:00 PM,15.282,204.5,,,,
36,09/20/14 10:00:00 PM,11.916,0.0,,,,
37,09/21/14 01:00:00 AM,10.357,0.0,,,,
38,09/21/14 04:00:00 AM,10.063,0.0,,,,
39,09/21/14 07:00:00 AM,9.472,269.1,,,,
40,09/21/14 10:00:00 AM,15.473,6544.5,,,,
41,09/21/14 01:00:00 PM,31.880,13777.9,,,,
42,09/21/14 04:00:00 PM,25.805,7577.8,,,,
43,09/21/14 07:00:00 PM,17.570,172.2,,,,
44,09/21/14 10:00:00 PM,14.038,0.0,,,,
45,09/22/14 01:00:00 AM,12.013,0.0,,,,
