"Plot Title: TA01-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163346, SEN S/N: 10163346, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 10163346, SEN S/N: 10163346, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 10163346)","Host Connected (LGR S/N: 10163346)","Stopped (LGR S/N: 10163346)","End Of File (LGR S/N: 10163346)"
1,09/17/14 01:00:00 PM,19.758,2927.8,,,,
2,09/17/14 04:00:00 PM,20.424,2238.9,,,,
3,09/17/14 07:00:00 PM,18.426,10.8,,,,
4,09/17/14 10:00:00 PM,17.094,0.0,,,,
5,09/18/14 01:00:00 AM,16.141,0.0,,,,
6,09/18/14 04:00:00 AM,15.473,0.0,,,,
7,09/18/14 07:00:00 AM,14.996,10.8,,,,
8,09/18/14 10:00:00 AM,14.230,3272.2,,,,
9,09/18/14 01:00:00 PM,14.804,1087.2,,,,
10,09/18/14 04:00:00 PM,14.804,958.0,,,,
11,09/18/14 07:00:00 PM,14.421,0.0,,,,
12,09/18/14 10:00:00 PM,14.421,0.0,,,,
13,09/19/14 01:00:00 AM,14.038,0.0,,,,
14,09/19/14 04:00:00 AM,14.038,0.0,,,,
15,09/19/14 07:00:00 AM,13.846,86.1,,,,
16,09/19/14 10:00:00 AM,15.187,1377.8,,,,
17,09/19/14 01:00:00 PM,17.570,2325.0,,,,
18,09/19/14 04:00:00 PM,19.472,592.0,,,,
19,09/19/14 07:00:00 PM,17.475,21.5,,,,
20,09/19/14 10:00:00 PM,14.996,0.0,,,,
21,09/20/14 01:00:00 AM,13.461,0.0,,,,
22,09/20/14 04:00:00 AM,12.304,0.0,,,,
23,09/20/14 07:00:00 AM,11.916,10.8,,,,
24,09/20/14 10:00:00 AM,15.760,731.9,,,,
25,09/20/14 01:00:00 PM,21.664,2411.1,,,,
26,09/20/14 04:00:00 PM,23.966,1636.1,,,,
27,09/20/14 07:00:00 PM,20.710,21.5,,,,
28,09/20/14 10:00:00 PM,16.618,0.0,,,,
29,09/21/14 01:00:00 AM,15.187,0.0,,,,
30,09/21/14 04:00:00 AM,14.709,0.0,,,,
31,09/21/14 07:00:00 AM,14.230,21.5,,,,
32,09/21/14 10:00:00 AM,16.427,742.7,,,,
33,09/21/14 01:00:00 PM,24.062,2497.2,,,,
34,09/21/14 04:00:00 PM,26.292,2066.7,,,,
35,09/21/14 07:00:00 PM,22.621,10.8,,,,
36,09/21/14 10:00:00 PM,18.711,0.0,,,,
37,09/22/14 01:00:00 AM,16.523,0.0,,,,
38,09/22/14 04:00:00 AM,15.187,0.0,,,,
39,09/22/14 07:00:00 AM,14.900,0.0,,,,
40,09/22/14 10:00:00 AM,14.709,2066.7,,,,
41,09/22/14 01:00:00 PM,17.475,2755.6,,,,
42,09/22/14 04:00:00 PM,18.806,1377.8,,,,
43,09/22/14 07:00:00 PM,16.713,10.8,,,,
44,09/22/14 10:00:00 PM,15.187,0.0,,,,
45,09/23/14 01:00:00 AM,14.325,0.0,,,,
46,09/23/14 04:00:00 AM,13.076,0.0,,,,
47,09/23/14 07:00:00 AM,12.207,10.8,,,,
48,09/23/14 10:00:00 AM,13.846,279.9,,,,
49,09/23/14 01:00:00 PM,14.804,807.3,,,,
50,09/23/14 04:00:00 PM,14.325,764.2,,,,
51,09/23/14 07:00:00 PM,13.750,0.0,,,,
52,09/23/14 10:00:00 PM,13.654,0.0,,,,
53,09/24/14 01:00:00 AM,13.654,0.0,,,,
54,09/24/14 04:00:00 AM,13.846,0.0,,,,
55,09/24/14 07:00:00 AM,13.365,0.0,,,,
56,09/24/14 10:00:00 AM,13.365,602.8,,,,
57,09/24/14 01:00:00 PM,13.365,1550.0,,,,
58,09/24/14 04:00:00 PM,13.558,549.0,,,,
59,09/24/14 07:00:00 PM,12.883,53.8,,,,
60,09/24/14 10:00:00 PM,12.401,0.0,,,,
61,09/25/14 01:00:00 AM,12.304,0.0,,,,
62,09/25/14 04:00:00 AM,12.110,0.0,,,,
63,09/25/14 07:00:00 AM,11.819,10.8,,,,
64,09/25/14 10:00:00 AM,12.207,731.9,,,,
65,09/25/14 01:00:00 PM,13.750,2927.8,,,,
66,09/25/14 04:00:00 PM,13.846,1636.1,,,,
67,09/25/14 07:00:00 PM,12.110,0.0,,,,
68,09/25/14 10:00:00 PM,11.625,0.0,,,,
69,09/26/14 01:00:00 AM,11.139,0.0,,,,
70,09/26/14 04:00:00 AM,11.041,0.0,,,,
71,09/26/14 07:00:00 AM,10.748,75.3,,,,
72,09/26/14 10:00:00 AM,11.431,1065.6,,,,
73,09/26/14 01:00:00 PM,12.401,1980.6,,,,
74,09/26/14 04:00:00 PM,13.365,1011.8,,,,
75,09/26/14 07:00:00 PM,12.787,0.0,,,,
76,09/26/14 10:00:00 PM,11.916,0.0,,,,
77,09/27/14 01:00:00 AM,11.625,0.0,,,,
78,09/27/14 04:00:00 AM,10.651,0.0,,,,
79,09/27/14 07:00:00 AM,9.176,0.0,,,,
80,09/27/14 10:00:00 AM,10.063,129.2,,,,
81,09/27/14 01:00:00 PM,13.461,2152.8,,,,
82,09/27/14 04:00:00 PM,15.473,1377.8,,,,
83,09/27/14 07:00:00 PM,13.942,43.1,,,,
84,09/27/14 10:00:00 PM,11.916,0.0,,,,
85,09/28/14 01:00:00 AM,10.748,0.0,,,,
86,09/28/14 04:00:00 AM,9.866,0.0,,,,
87,09/28/14 07:00:00 AM,9.571,0.0,,,,
88,09/28/14 10:00:00 AM,10.944,193.8,,,,
89,09/28/14 01:00:00 PM,14.804,2152.8,,,,
90,09/28/14 04:00:00 PM,16.999,1377.8,,,,
91,09/28/14 07:00:00 PM,14.517,0.0,,,,
92,09/28/14 10:00:00 PM,12.594,0.0,,,,
93,09/29/14 01:00:00 AM,12.787,0.0,,,,
94,09/29/14 04:00:00 AM,12.497,0.0,,,,
95,09/29/14 07:00:00 AM,12.013,0.0,,,,
96,09/29/14 10:00:00 AM,12.690,1722.2,,,,
97,09/29/14 01:00:00 PM,14.230,2238.9,,,,
98,09/29/14 04:00:00 PM,13.846,1227.1,,,,
99,09/29/14 07:00:00 PM,12.594,0.0,,,,
100,09/29/14 10:00:00 PM,10.944,0.0,,,,
101,09/30/14 01:00:00 AM,10.063,0.0,,,,
102,09/30/14 04:00:00 AM,10.063,0.0,,,,
103,09/30/14 07:00:00 AM,9.669,0.0,,,,
104,09/30/14 10:00:00 AM,10.161,1463.9,,,,
105,09/30/14 01:00:00 PM,10.846,1194.8,,,,
106,09/30/14 04:00:00 PM,10.944,1377.8,,,,
107,09/30/14 07:00:00 PM,10.063,0.0,,,,
108,09/30/14 10:00:00 PM,9.866,0.0,,,,
109,10/01/14 01:00:00 AM,9.768,0.0,,,,
110,10/01/14 04:00:00 AM,9.176,0.0,,,,
111,10/01/14 07:00:00 AM,8.282,0.0,,,,
112,10/01/14 10:00:00 AM,8.879,882.6,,,,
113,10/01/14 01:00:00 PM,10.553,2927.8,,,,
114,10/01/14 04:00:00 PM,11.431,2325.0,,,,
115,10/01/14 07:00:00 PM,10.259,0.0,,,,
116,10/01/14 10:00:00 PM,8.581,0.0,,,,
117,10/02/14 01:00:00 AM,8.779,0.0,,,,
118,10/02/14 04:00:00 AM,8.879,0.0,,,,
119,10/02/14 07:00:00 AM,7.481,0.0,,,,
120,10/02/14 10:00:00 AM,7.481,107.6,,,,
121,10/02/14 01:00:00 PM,11.139,1980.6,,,,
122,10/02/14 04:00:00 PM,12.980,1550.0,,,,
123,10/02/14 07:00:00 PM,11.236,0.0,,,,
124,10/02/14 10:00:00 PM,9.373,0.0,,,,
125,10/03/14 01:00:00 AM,8.481,0.0,,,,
126,10/03/14 04:00:00 AM,7.682,0.0,,,,
127,10/03/14 07:00:00 AM,7.381,0.0,,,,
128,10/03/14 10:00:00 AM,8.879,86.1,,,,
129,10/03/14 01:00:00 PM,14.709,1980.6,,,,
130,10/03/14 04:00:00 PM,16.903,1356.3,,,,
131,10/03/14 07:00:00 PM,14.134,0.0,,,,
132,10/03/14 10:00:00 PM,12.110,0.0,,,,
133,10/04/14 01:00:00 AM,10.944,0.0,,,,
134,10/04/14 04:00:00 AM,10.259,0.0,,,,
135,10/04/14 07:00:00 AM,10.553,0.0,,,,
136,10/04/14 10:00:00 AM,12.013,1151.7,,,,
137,10/04/14 01:00:00 PM,16.046,2066.7,,,,
138,10/04/14 04:00:00 PM,15.855,1291.7,,,,
139,10/04/14 07:00:00 PM,14.517,0.0,,,,
140,10/04/14 10:00:00 PM,12.401,0.0,,,,
141,10/05/14 01:00:00 AM,11.334,0.0,,,,
142,10/05/14 04:00:00 AM,10.651,0.0,,,,
143,10/05/14 07:00:00 AM,10.455,0.0,,,,
144,10/05/14 10:00:00 AM,11.819,86.1,,,,
