"Plot Title: TB13-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409574, SEN S/N: 2409574)","Intensity, lum/ft² (LGR S/N: 2409574, SEN S/N: 2409574)","Coupler Attached (LGR S/N: 2409574)","Host Connected (LGR S/N: 2409574)","Stopped (LGR S/N: 2409574)","End Of File (LGR S/N: 2409574)"
1,09/10/14 01:00:00 PM,20.329,1216.0,,,,
2,09/10/14 04:00:00 PM,16.141,216.0,,,,
3,09/10/14 07:00:00 PM,14.613,15.0,,,,
4,09/10/14 10:00:00 PM,12.110,0.0,,,,
5,09/11/14 01:00:00 AM,11.722,0.0,,,,
6,09/11/14 04:00:00 AM,10.357,0.0,,,,
7,09/11/14 07:00:00 AM,9.077,3.0,,,,
8,09/11/14 10:00:00 AM,9.965,125.0,,,,
9,09/11/14 01:00:00 PM,19.948,2688.0,,,,
10,09/11/14 04:00:00 PM,16.237,232.0,,,,
11,09/11/14 07:00:00 PM,14.325,17.0,,,,
12,09/11/14 10:00:00 PM,12.013,0.0,,,,
13,09/12/14 01:00:00 AM,11.916,0.0,,,,
14,09/12/14 04:00:00 AM,11.722,0.0,,,,
15,09/12/14 07:00:00 AM,10.553,3.0,,,,
16,09/12/14 10:00:00 AM,12.497,117.0,,,,
17,09/12/14 01:00:00 PM,24.545,3200.0,,,,
18,09/12/14 04:00:00 PM,19.472,208.0,,,,
19,09/12/14 07:00:00 PM,16.999,14.0,,,,
20,09/12/14 10:00:00 PM,13.461,0.0,,,,
21,09/13/14 01:00:00 AM,13.365,0.0,,,,
22,09/13/14 04:00:00 AM,14.134,0.0,,,,
23,09/13/14 07:00:00 AM,13.846,3.0,,,,
24,09/13/14 10:00:00 AM,15.378,118.0,,,,
25,09/13/14 01:00:00 PM,24.931,3840.0,,,,
26,09/13/14 04:00:00 PM,21.187,216.0,,,,
27,09/13/14 07:00:00 PM,18.236,13.0,,,,
28,09/13/14 10:00:00 PM,14.709,0.0,,,,
29,09/14/14 01:00:00 AM,13.942,0.0,,,,
30,09/14/14 04:00:00 AM,12.690,0.0,,,,
31,09/14/14 07:00:00 AM,12.013,2.0,,,,
32,09/14/14 10:00:00 AM,14.996,117.0,,,,
33,09/14/14 01:00:00 PM,26.195,6656.0,,,,
34,09/14/14 04:00:00 PM,22.812,208.0,,,,
35,09/14/14 07:00:00 PM,19.472,13.0,,,,
36,09/14/14 10:00:00 PM,16.618,0.0,,,,
37,09/15/14 01:00:00 AM,14.996,0.0,,,,
