"Plot Title: TO04-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401777, SEN S/N: 2401777)","Intensity, lum/ft² (LGR S/N: 2401777, SEN S/N: 2401777)","Coupler Attached (LGR S/N: 2401777)","Host Connected (LGR S/N: 2401777)","Coupler Detached (LGR S/N: 2401777)","Stopped (LGR S/N: 2401777)","End Of File (LGR S/N: 2401777)"
1,09/09/14 01:00:00 PM,14.517,480.0,,,,,
2,09/09/14 04:00:00 PM,15.760,368.0,,,,,
3,09/09/14 07:00:00 PM,14.804,38.0,,,,,
4,09/09/14 10:00:00 PM,11.528,0.0,,,,,
5,09/10/14 01:00:00 AM,9.866,0.0,,,,,
6,09/10/14 04:00:00 AM,8.978,0.0,,,,,
7,09/10/14 07:00:00 AM,8.481,11.0,,,,,
8,09/10/14 10:00:00 AM,10.455,216.0,,,,,
9,09/10/14 01:00:00 PM,15.187,480.0,,,,,
10,09/10/14 04:00:00 PM,15.187,224.0,,,,,
11,09/10/14 07:00:00 PM,13.750,19.0,,,,,
12,09/10/14 10:00:00 PM,11.625,0.0,,,,,
13,09/11/14 01:00:00 AM,9.866,0.0,,,,,
14,09/11/14 04:00:00 AM,8.581,0.0,,,,,
15,09/11/14 07:00:00 AM,7.582,12.0,,,,,
16,09/11/14 10:00:00 AM,9.571,240.0,,,,,
17,09/11/14 01:00:00 PM,13.461,480.0,,,,,
18,09/11/14 04:00:00 PM,14.038,232.0,,,,,
19,09/11/14 07:00:00 PM,12.110,20.0,,,,,
20,09/11/14 10:00:00 PM,9.176,0.0,,,,,
21,09/12/14 01:00:00 AM,8.182,0.0,,,,,
22,09/12/14 04:00:00 AM,7.079,0.0,,,,,
23,09/12/14 07:00:00 AM,5.962,12.0,,,,,
24,09/12/14 10:00:00 AM,9.077,232.0,,,,,
25,09/12/14 01:00:00 PM,15.664,576.0,,,,,
26,09/12/14 04:00:00 PM,15.951,216.0,,,,,
27,09/12/14 07:00:00 PM,13.942,17.0,,,,,
28,09/12/14 10:00:00 PM,10.748,0.0,,,,,
29,09/13/14 01:00:00 AM,8.680,0.0,,,,,
30,09/13/14 04:00:00 AM,7.381,0.0,,,,,
31,09/13/14 07:00:00 AM,7.079,11.0,,,,,
32,09/13/14 10:00:00 AM,10.161,232.0,,,,,
33,09/13/14 01:00:00 PM,16.618,608.0,,,,,
34,09/13/14 04:00:00 PM,16.903,248.0,,,,,
35,09/13/14 07:00:00 PM,14.613,17.0,,,,,
36,09/13/14 10:00:00 PM,11.528,0.0,,,,,
37,09/14/14 01:00:00 AM,9.373,0.0,,,,,
38,09/14/14 04:00:00 AM,8.182,0.0,,,,,
39,09/14/14 07:00:00 AM,7.582,11.0,,,,,
40,09/14/14 10:00:00 AM,10.553,224.0,,,,,
41,09/14/14 01:00:00 PM,16.999,512.0,,,,,
42,09/14/14 04:00:00 PM,18.521,224.0,,,,,
43,09/14/14 07:00:00 PM,15.473,21.0,,,,,
44,09/14/14 10:00:00 PM,12.497,0.0,,,,,
45,09/15/14 01:00:00 AM,10.846,0.0,,,,,
46,09/15/14 04:00:00 AM,10.161,0.0,,,,,
47,09/15/14 07:00:00 AM,9.373,11.0,,,,,
48,09/15/14 10:00:00 AM,12.497,352.0,,,,,
49,09/15/14 01:00:00 PM,19.377,480.0,,,,,
50,09/15/14 04:00:00 PM,19.948,248.0,,,,,
51,09/15/14 07:00:00 PM,17.475,30.0,,,,,
52,09/15/14 10:00:00 PM,14.900,0.0,,,,,
53,09/16/14 01:00:00 AM,13.365,0.0,,,,,
54,09/16/14 04:00:00 AM,12.883,0.0,,,,,
55,09/16/14 07:00:00 AM,12.690,7.0,,,,,
56,09/16/14 10:00:00 AM,14.517,480.0,,,,,
57,09/16/14 01:00:00 PM,17.855,672.0,,,,,
58,09/16/14 04:00:00 PM,18.140,384.0,,,,,
59,09/16/14 07:00:00 PM,16.141,21.0,,,,,
60,09/16/14 10:00:00 PM,13.846,0.0,,,,,
61,09/17/14 01:00:00 AM,13.365,0.0,,,,,
62,09/17/14 04:00:00 AM,13.365,0.0,,,,,
63,09/17/14 07:00:00 AM,12.980,22.0,,,,,
64,09/17/14 10:00:00 AM,15.760,240.0,,,,,
65,09/17/14 01:00:00 PM,18.236,512.0,,,,,
66,09/17/14 04:00:00 PM,19.187,416.0,,,,,
67,09/17/14 07:00:00 PM,16.523,7.0,,,,,
68,09/17/14 10:00:00 PM,15.187,0.0,,,,,
69,09/18/14 01:00:00 AM,14.421,0.0,,,,,
70,09/18/14 04:00:00 AM,13.846,0.0,,,,,
71,09/18/14 07:00:00 AM,13.846,2.0,,,,,
72,09/18/14 10:00:00 AM,14.038,152.0,,,,,
73,09/18/14 01:00:00 PM,15.569,464.0,,,,,
74,09/18/14 04:00:00 PM,15.282,448.0,,,,,
75,09/18/14 07:00:00 PM,14.038,3.0,,,,,
76,09/18/14 10:00:00 PM,13.558,0.0,,,,,
77,09/19/14 01:00:00 AM,13.365,0.0,,,,,
78,09/19/14 04:00:00 AM,13.173,0.0,,,,,
79,09/19/14 07:00:00 AM,12.883,9.0,,,,,
80,09/19/14 10:00:00 AM,15.282,608.0,,,,,
81,09/19/14 01:00:00 PM,16.618,512.0,,,,,
82,09/19/14 04:00:00 PM,16.999,208.0,,,,,
83,09/19/14 07:00:00 PM,15.378,9.0,,,,,
84,09/19/14 10:00:00 PM,13.173,0.0,,,,,
85,09/20/14 01:00:00 AM,11.431,0.0,,,,,
86,09/20/14 04:00:00 AM,10.259,0.0,,,,,
87,09/20/14 07:00:00 AM,9.768,7.0,,,,,
88,09/20/14 10:00:00 AM,11.625,184.0,,,,,
89,09/20/14 01:00:00 PM,17.665,416.0,,,,,
90,09/20/14 04:00:00 PM,19.282,184.0,,,,,
91,09/20/14 07:00:00 PM,17.284,9.0,,,,,
92,09/20/14 10:00:00 PM,15.187,0.0,,,,,
93,09/21/14 01:00:00 AM,14.134,0.0,,,,,
94,09/21/14 04:00:00 AM,13.461,0.0,,,,,
95,09/21/14 07:00:00 AM,12.594,9.0,,,,,
96,09/21/14 10:00:00 AM,14.613,224.0,,,,,
97,09/21/14 01:00:00 PM,19.567,432.0,,,,,
98,09/21/14 04:00:00 PM,20.234,208.0,,,,,
99,09/21/14 07:00:00 PM,18.521,5.0,,,,,
100,09/21/14 10:00:00 PM,16.237,0.0,,,,,
101,09/22/14 01:00:00 AM,14.709,0.0,,,,,
102,09/22/14 04:00:00 AM,13.846,0.0,,,,,
103,09/22/14 07:00:00 AM,13.750,3.0,,,,,
104,09/22/14 10:00:00 AM,14.900,192.0,,,,,
105,09/22/14 01:00:00 PM,17.760,480.0,,,,,
106,09/22/14 04:00:00 PM,18.045,672.0,,,,,
107,09/22/14 07:00:00 PM,15.855,7.0,,,,,
108,09/22/14 10:00:00 PM,14.421,0.0,,,,,
109,09/23/14 01:00:00 AM,13.461,0.0,,,,,
110,09/23/14 04:00:00 AM,12.497,0.0,,,,,
111,09/23/14 07:00:00 AM,12.304,7.0,,,,,
112,09/23/14 10:00:00 AM,13.654,65.0,,,,,
113,09/23/14 01:00:00 PM,15.951,304.0,,,,,
114,09/23/14 04:00:00 PM,15.378,304.0,,,,,
115,09/23/14 07:00:00 PM,14.038,3.0,,,,,
116,09/23/14 10:00:00 PM,13.846,0.0,,,,,
117,09/24/14 01:00:00 AM,14.325,0.0,,,,,
118,09/24/14 04:00:00 AM,13.846,0.0,,,,,
119,09/24/14 07:00:00 AM,12.980,0.0,,,,,
120,09/24/14 10:00:00 AM,13.365,176.0,,,,,
121,09/24/14 01:00:00 PM,13.846,119.0,,,,,
122,09/24/14 04:00:00 PM,14.613,448.0,,,,,
123,09/24/14 07:00:00 PM,13.173,13.0,,,,,
124,09/24/14 10:00:00 PM,12.304,0.0,,,,,
125,09/25/14 01:00:00 AM,12.304,0.0,,,,,
126,09/25/14 04:00:00 AM,11.916,0.0,,,,,
127,09/25/14 07:00:00 AM,11.625,2.0,,,,,
128,09/25/14 10:00:00 AM,13.461,304.0,,,,,
129,09/25/14 01:00:00 PM,15.187,704.0,,,,,
130,09/25/14 04:00:00 PM,14.230,232.0,,,,,
131,09/25/14 07:00:00 PM,12.787,0.0,,,,,
132,09/25/14 10:00:00 PM,11.334,0.0,,,,,
133,09/26/14 01:00:00 AM,11.236,0.0,,,,,
134,09/26/14 04:00:00 AM,11.041,0.0,,,,,
135,09/26/14 07:00:00 AM,11.041,0.0,,,,,
136,09/26/14 10:00:00 AM,11.819,240.0,,,,,
137,09/26/14 01:00:00 PM,12.883,336.0,,,,,
138,09/26/14 04:00:00 PM,13.750,336.0,,,,,
139,09/26/14 07:00:00 PM,12.594,1.0,,,,,
140,09/26/14 10:00:00 PM,12.110,0.0,,,,,
141,09/27/14 01:00:00 AM,11.236,0.0,,,,,
142,09/27/14 04:00:00 AM,10.748,0.0,,,,,
143,09/27/14 07:00:00 AM,9.669,2.0,,,,,
144,09/27/14 10:00:00 AM,9.866,144.0,,,,,
145,09/27/14 01:00:00 PM,14.325,864.0,,,,,
146,09/27/14 04:00:00 PM,14.038,224.0,,,,,
147,09/27/14 07:00:00 PM,12.787,8.0,,,,,
148,09/27/14 10:00:00 PM,12.401,0.0,,,,,
149,09/28/14 01:00:00 AM,12.013,0.0,,,,,
150,09/28/14 04:00:00 AM,10.944,0.0,,,,,
151,09/28/14 07:00:00 AM,8.879,1.0,,,,,
152,09/28/14 10:00:00 AM,9.768,136.0,,,,,
153,09/28/14 01:00:00 PM,13.750,432.0,,,,,
154,09/28/14 04:00:00 PM,14.421,152.0,,,,,
155,09/28/14 07:00:00 PM,13.173,1.0,,,,,
156,09/28/14 10:00:00 PM,11.334,0.0,,,,,
157,09/29/14 01:00:00 AM,10.063,0.0,,,,,
158,09/29/14 04:00:00 AM,9.077,0.0,,,,,
159,09/29/14 07:00:00 AM,8.382,1.0,,,,,
160,09/29/14 10:00:00 AM,11.528,480.0,,,,,
161,09/29/14 01:00:00 PM,14.038,352.0,,,,,
162,09/29/14 04:00:00 PM,13.076,272.0,,,,,
163,09/29/14 07:00:00 PM,12.401,0.0,,,,,
164,09/29/14 10:00:00 PM,10.259,0.0,,,,,
165,09/30/14 01:00:00 AM,9.768,0.0,,,,,
166,09/30/14 04:00:00 AM,9.669,0.0,,,,,
167,09/30/14 07:00:00 AM,9.571,0.0,,,,,
168,09/30/14 10:00:00 AM,10.455,256.0,,,,,
169,09/30/14 01:00:00 PM,11.625,272.0,,,,,
170,09/30/14 04:00:00 PM,11.431,105.0,,,,,
171,09/30/14 07:00:00 PM,10.259,0.0,,,,,
172,09/30/14 10:00:00 PM,9.965,0.0,,,,,
173,10/01/14 01:00:00 AM,9.571,0.0,,,,,
174,10/01/14 04:00:00 AM,8.481,0.0,,,,,
175,10/01/14 07:00:00 AM,8.082,1.0,,,,,
176,10/01/14 10:00:00 AM,9.768,216.0,,,,,
177,10/01/14 01:00:00 PM,11.819,496.0,,,,,
178,10/01/14 04:00:00 PM,11.916,368.0,,,,,
179,10/01/14 07:00:00 PM,9.571,0.0,,,,,
180,10/01/14 10:00:00 PM,7.582,0.0,,,,,
181,10/02/14 01:00:00 AM,7.882,0.0,,,,,
182,10/02/14 04:00:00 AM,6.573,0.0,,,,,
183,10/02/14 07:00:00 AM,5.655,1.0,,,,,
184,10/02/14 10:00:00 AM,6.370,117.0,,,,,
185,10/02/14 01:00:00 PM,10.063,320.0,,,,,
186,10/02/14 04:00:00 PM,11.625,160.0,,,,,
187,10/02/14 07:00:00 PM,10.161,0.0,,,,,
188,10/02/14 10:00:00 PM,8.581,0.0,,,,,
189,10/03/14 01:00:00 AM,7.582,0.0,,,,,
190,10/03/14 04:00:00 AM,6.877,0.0,,,,,
191,10/03/14 07:00:00 AM,6.877,0.0,,,,,
192,10/03/14 10:00:00 AM,8.581,101.0,,,,,
193,10/03/14 01:00:00 PM,12.980,288.0,,,,,
194,10/03/14 04:00:00 PM,14.134,160.0,,,,,
195,10/03/14 07:00:00 PM,12.497,0.0,,,,,
196,10/03/14 10:00:00 PM,10.846,0.0,,,,,
197,10/04/14 01:00:00 AM,9.669,0.0,,,,,
198,10/04/14 04:00:00 AM,9.077,0.0,,,,,
199,10/04/14 07:00:00 AM,9.373,0.0,,,,,
200,10/04/14 10:00:00 AM,11.722,256.0,,,,,
