"Plot Title: TO04-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574904, SEN S/N: 10574904)","Intensity, lum/ft² (LGR S/N: 10574904, SEN S/N: 10574904)","Coupler Attached (LGR S/N: 10574904)","Host Connected (LGR S/N: 10574904)","Stopped (LGR S/N: 10574904)","End Of File (LGR S/N: 10574904)"
1,09/09/14 01:00:00 PM,12.594,128.0,,,,
2,09/09/14 04:00:00 PM,13.750,152.0,,,,
3,09/09/14 07:00:00 PM,13.654,10.0,,,,
4,09/09/14 10:00:00 PM,11.916,0.0,,,,
5,09/10/14 01:00:00 AM,10.553,0.0,,,,
6,09/10/14 04:00:00 AM,9.768,0.0,,,,
7,09/10/14 07:00:00 AM,9.373,2.0,,,,
8,09/10/14 10:00:00 AM,10.357,79.0,,,,
9,09/10/14 01:00:00 PM,13.461,168.0,,,,
10,09/10/14 04:00:00 PM,14.038,96.0,,,,
11,09/10/14 07:00:00 PM,13.365,7.0,,,,
12,09/10/14 10:00:00 PM,11.916,0.0,,,,
13,09/11/14 01:00:00 AM,10.455,0.0,,,,
14,09/11/14 04:00:00 AM,9.275,0.0,,,,
15,09/11/14 07:00:00 AM,8.382,2.0,,,,
16,09/11/14 10:00:00 AM,9.373,87.0,,,,
17,09/11/14 01:00:00 PM,11.916,152.0,,,,
18,09/11/14 04:00:00 PM,12.497,100.0,,,,
19,09/11/14 07:00:00 PM,11.722,7.0,,,,
20,09/11/14 10:00:00 PM,9.669,0.0,,,,
21,09/12/14 01:00:00 AM,8.581,0.0,,,,
22,09/12/14 04:00:00 AM,7.882,0.0,,,,
23,09/12/14 07:00:00 AM,6.978,2.0,,,,
24,09/12/14 10:00:00 AM,8.779,83.0,,,,
25,09/12/14 01:00:00 PM,13.076,152.0,,,,
26,09/12/14 04:00:00 PM,14.038,97.0,,,,
27,09/12/14 07:00:00 PM,13.269,6.0,,,,
28,09/12/14 10:00:00 PM,11.139,0.0,,,,
29,09/13/14 01:00:00 AM,9.373,0.0,,,,
30,09/13/14 04:00:00 AM,8.182,0.0,,,,
31,09/13/14 07:00:00 AM,7.782,2.0,,,,
32,09/13/14 10:00:00 AM,9.669,84.0,,,,
33,09/13/14 01:00:00 PM,13.846,152.0,,,,
34,09/13/14 04:00:00 PM,14.996,98.0,,,,
35,09/13/14 07:00:00 PM,13.846,6.0,,,,
36,09/13/14 10:00:00 PM,11.722,0.0,,,,
37,09/14/14 01:00:00 AM,9.965,0.0,,,,
38,09/14/14 04:00:00 AM,8.978,0.0,,,,
