"Plot Title: AB08-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603895, SEN S/N: 10603895)","Intensity, Lux (LGR S/N: 10603895, SEN S/N: 10603895)","Coupler Attached (LGR S/N: 10603895)","Host Connected (LGR S/N: 10603895)","Coupler Detached (LGR S/N: 10603895)","Stopped (LGR S/N: 10603895)","End Of File (LGR S/N: 10603895)"
1,09/16/15 01:00:00 PM,11.722,5166.7,,,,,
2,09/16/15 04:00:00 PM,13.750,3272.2,,,,,
3,09/16/15 07:00:00 PM,9.472,129.2,,,,,
4,09/16/15 10:00:00 PM,7.682,0.0,,,,,
5,09/17/15 01:00:00 AM,7.280,0.0,,,,,
6,09/17/15 04:00:00 AM,6.978,0.0,,,,,
7,09/17/15 07:00:00 AM,6.978,107.6,,,,,
8,09/17/15 10:00:00 AM,8.481,1463.9,,,,,
9,09/17/15 01:00:00 PM,10.357,4477.8,,,,,
10,09/17/15 04:00:00 PM,10.455,2669.5,,,,,
11,09/17/15 07:00:00 PM,9.077,64.6,,,,,
12,09/17/15 10:00:00 PM,8.282,0.0,,,,,
13,09/18/15 01:00:00 AM,7.782,0.0,,,,,
14,09/18/15 04:00:00 AM,7.280,0.0,,,,,
15,09/18/15 07:00:00 AM,7.079,53.8,,,,,
16,09/18/15 10:00:00 AM,8.581,3616.7,,,,,
17,09/18/15 01:00:00 PM,11.819,7233.4,,,,,
18,09/18/15 04:00:00 PM,12.110,3616.7,,,,,
19,09/18/15 07:00:00 PM,10.846,86.1,,,,,
20,09/18/15 10:00:00 PM,9.176,0.0,,,,,
21,09/19/15 01:00:00 AM,7.882,0.0,,,,,
22,09/19/15 04:00:00 AM,7.381,0.0,,,,,
23,09/19/15 07:00:00 AM,6.877,43.1,,,,,
24,09/19/15 10:00:00 AM,8.481,925.7,,,,,
25,09/19/15 01:00:00 PM,12.497,1980.6,,,,,
26,09/19/15 04:00:00 PM,12.401,2669.5,,,,,
27,09/19/15 07:00:00 PM,11.819,43.1,,,,,
28,09/19/15 10:00:00 PM,11.431,0.0,,,,,
29,09/20/15 01:00:00 AM,11.334,0.0,,,,,
30,09/20/15 04:00:00 AM,11.139,0.0,,,,,
31,09/20/15 07:00:00 AM,11.041,226.0,,,,,
32,09/20/15 10:00:00 AM,12.304,1291.7,,,,,
33,09/20/15 01:00:00 PM,14.134,2583.4,,,,,
34,09/20/15 04:00:00 PM,15.760,1356.3,,,,,
35,09/20/15 07:00:00 PM,13.365,43.1,,,,,
36,09/20/15 10:00:00 PM,12.207,0.0,,,,,
37,09/21/15 01:00:00 AM,11.625,0.0,,,,,
38,09/21/15 04:00:00 AM,10.063,0.0,,,,,
39,09/21/15 07:00:00 AM,8.581,32.3,,,,,
40,09/21/15 10:00:00 AM,9.571,3444.5,,,,,
41,09/21/15 01:00:00 PM,10.748,2411.1,,,,,
42,09/21/15 04:00:00 PM,16.141,3272.2,,,,,
43,09/21/15 07:00:00 PM,9.472,43.1,,,,,
44,09/21/15 10:00:00 PM,7.179,0.0,,,,,
45,09/22/15 01:00:00 AM,6.370,0.0,,,,,
46,09/22/15 04:00:00 AM,6.674,0.0,,,,,
47,09/22/15 07:00:00 AM,6.471,21.5,,,,,
48,09/22/15 10:00:00 AM,7.782,1463.9,,,,,
49,09/22/15 01:00:00 PM,8.481,2325.0,,,,,
50,09/22/15 04:00:00 PM,15.378,4822.3,,,,,
51,09/22/15 07:00:00 PM,8.879,43.1,,,,,
52,09/22/15 10:00:00 PM,6.370,0.0,,,,,
53,09/23/15 01:00:00 AM,4.727,0.0,,,,,
54,09/23/15 04:00:00 AM,3.578,0.0,,,,,
55,09/23/15 07:00:00 AM,3.472,43.1,,,,,
56,09/23/15 10:00:00 AM,4.831,1151.7,,,,,
57,09/23/15 01:00:00 PM,9.472,2325.0,,,,,
58,09/23/15 04:00:00 PM,16.999,17911.2,,,,,
59,09/23/15 07:00:00 PM,10.944,32.3,,,,,
60,09/23/15 10:00:00 PM,8.481,0.0,,,,,
61,09/24/15 01:00:00 AM,8.082,0.0,,,,,
62,09/24/15 04:00:00 AM,8.779,0.0,,,,,
63,09/24/15 07:00:00 AM,8.978,32.3,,,,,
64,09/24/15 10:00:00 AM,11.041,1345.5,,,,,
65,09/24/15 01:00:00 PM,13.750,2411.1,,,,,
66,09/24/15 04:00:00 PM,19.282,10333.4,,,,,
67,09/24/15 07:00:00 PM,13.365,10.8,,,,,
68,09/24/15 10:00:00 PM,11.041,0.0,,,,,
69,09/25/15 01:00:00 AM,9.866,0.0,,,,,
70,09/25/15 04:00:00 AM,9.866,0.0,,,,,
71,09/25/15 07:00:00 AM,9.176,75.3,,,,,
72,09/25/15 10:00:00 AM,10.553,2583.4,,,,,
73,09/25/15 01:00:00 PM,13.654,7577.8,,,,,
74,09/25/15 04:00:00 PM,10.357,2583.4,,,,,
75,09/25/15 07:00:00 PM,9.373,0.0,,,,,
76,09/25/15 10:00:00 PM,9.077,0.0,,,,,
77,09/26/15 01:00:00 AM,8.282,0.0,,,,,
78,09/26/15 04:00:00 AM,7.582,0.0,,,,,
79,09/26/15 07:00:00 AM,5.962,21.5,,,,,
