"Plot Title: AB08-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Intensity, Lux (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Coupler Attached (LGR S/N: 10603889)","Host Connected (LGR S/N: 10603889)","Stopped (LGR S/N: 10603889)","End Of File (LGR S/N: 10603889)"
1,09/16/15 01:00:00 PM,10.748,3616.7,,,,
2,09/16/15 04:00:00 PM,12.401,3272.2,,,,
3,09/16/15 07:00:00 PM,9.571,215.3,,,,
4,09/16/15 10:00:00 PM,7.983,0.0,,,,
5,09/17/15 01:00:00 AM,7.582,0.0,,,,
6,09/17/15 04:00:00 AM,7.280,0.0,,,,
7,09/17/15 07:00:00 AM,7.280,161.5,,,,
8,09/17/15 10:00:00 AM,8.879,2152.8,,,,
9,09/17/15 01:00:00 PM,10.846,5511.1,,,,
10,09/17/15 04:00:00 PM,10.944,3961.1,,,,
11,09/17/15 07:00:00 PM,9.472,96.9,,,,
12,09/17/15 10:00:00 PM,8.581,0.0,,,,
13,09/18/15 01:00:00 AM,8.082,0.0,,,,
14,09/18/15 04:00:00 AM,7.582,0.0,,,,
15,09/18/15 07:00:00 AM,7.280,75.3,,,,
16,09/18/15 10:00:00 AM,8.779,3616.7,,,,
17,09/18/15 01:00:00 PM,11.819,6200.0,,,,
18,09/18/15 04:00:00 PM,12.594,5338.9,,,,
19,09/18/15 07:00:00 PM,11.139,129.2,,,,
20,09/18/15 10:00:00 PM,9.373,0.0,,,,
21,09/19/15 01:00:00 AM,8.082,0.0,,,,
22,09/19/15 04:00:00 AM,7.582,0.0,,,,
23,09/19/15 07:00:00 AM,7.079,64.6,,,,
24,09/19/15 10:00:00 AM,8.581,1280.9,,,,
25,09/19/15 01:00:00 PM,12.497,2669.5,,,,
26,09/19/15 04:00:00 PM,12.594,3272.2,,,,
27,09/19/15 07:00:00 PM,11.819,64.6,,,,
28,09/19/15 10:00:00 PM,11.431,0.0,,,,
29,09/20/15 01:00:00 AM,11.236,0.0,,,,
30,09/20/15 04:00:00 AM,11.041,0.0,,,,
31,09/20/15 07:00:00 AM,10.944,290.6,,,,
32,09/20/15 10:00:00 AM,12.013,1087.2,,,,
33,09/20/15 01:00:00 PM,13.942,2755.6,,,,
34,09/20/15 04:00:00 PM,15.282,1808.3,,,,
35,09/20/15 07:00:00 PM,13.269,64.6,,,,
36,09/20/15 10:00:00 PM,12.207,0.0,,,,
37,09/21/15 01:00:00 AM,11.625,0.0,,,,
38,09/21/15 04:00:00 AM,10.161,0.0,,,,
39,09/21/15 07:00:00 AM,8.779,53.8,,,,
40,09/21/15 10:00:00 AM,9.472,2927.8,,,,
41,09/21/15 01:00:00 PM,10.846,2755.6,,,,
42,09/21/15 04:00:00 PM,11.819,2927.8,,,,
43,09/21/15 07:00:00 PM,9.373,75.3,,,,
44,09/21/15 10:00:00 PM,7.280,0.0,,,,
45,09/22/15 01:00:00 AM,6.674,0.0,,,,
46,09/22/15 04:00:00 AM,6.978,0.0,,,,
47,09/22/15 07:00:00 AM,6.573,32.3,,,,
48,09/22/15 10:00:00 AM,7.882,1808.3,,,,
49,09/22/15 01:00:00 PM,8.680,4822.3,,,,
50,09/22/15 04:00:00 PM,11.334,2927.8,,,,
51,09/22/15 07:00:00 PM,8.879,64.6,,,,
52,09/22/15 10:00:00 PM,6.674,0.0,,,,
53,09/23/15 01:00:00 AM,5.037,0.0,,,,
54,09/23/15 04:00:00 AM,3.998,0.0,,,,
55,09/23/15 07:00:00 AM,3.893,64.6,,,,
56,09/23/15 10:00:00 AM,5.141,1367.0,,,,
57,09/23/15 01:00:00 PM,9.866,5166.7,,,,
58,09/23/15 04:00:00 PM,12.883,3100.0,,,,
59,09/23/15 07:00:00 PM,10.748,53.8,,,,
60,09/23/15 10:00:00 PM,8.581,0.0,,,,
61,09/24/15 01:00:00 AM,8.182,0.0,,,,
62,09/24/15 04:00:00 AM,8.779,0.0,,,,
63,09/24/15 07:00:00 AM,8.879,53.8,,,,
64,09/24/15 10:00:00 AM,10.553,1463.9,,,,
65,09/24/15 01:00:00 PM,13.942,2669.5,,,,
66,09/24/15 04:00:00 PM,15.760,4305.6,,,,
67,09/24/15 07:00:00 PM,13.076,21.5,,,,
68,09/24/15 10:00:00 PM,10.944,0.0,,,,
69,09/25/15 01:00:00 AM,9.866,0.0,,,,
70,09/25/15 04:00:00 AM,9.965,0.0,,,,
71,09/25/15 07:00:00 AM,9.275,96.9,,,,
72,09/25/15 10:00:00 AM,10.651,2755.6,,,,
73,09/25/15 01:00:00 PM,13.654,8266.7,,,,
74,09/25/15 04:00:00 PM,10.748,2755.6,,,,
75,09/25/15 07:00:00 PM,9.571,10.8,,,,
76,09/25/15 10:00:00 PM,9.373,0.0,,,,
77,09/26/15 01:00:00 AM,8.581,0.0,,,,
78,09/26/15 04:00:00 AM,7.882,0.0,,,,
