"Plot Title: AE10-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995220, SEN S/N: 9995220)","Intensity, Lux (LGR S/N: 9995220, SEN S/N: 9995220)","End Of File (LGR S/N: 9995220)"
1,09/23/15 01:00:00 PM,12.013,4305.6,
2,09/23/15 04:00:00 PM,11.528,2669.5,
3,09/23/15 07:00:00 PM,9.176,10.8,
4,09/23/15 10:00:00 PM,8.282,0.0,
5,09/24/15 01:00:00 AM,7.983,0.0,
6,09/24/15 04:00:00 AM,8.182,0.0,
7,09/24/15 07:00:00 AM,8.680,10.8,
8,09/24/15 10:00:00 AM,10.846,1550.0,
9,09/24/15 01:00:00 PM,14.038,6544.5,
10,09/24/15 04:00:00 PM,13.654,2152.8,
11,09/24/15 07:00:00 PM,11.236,10.8,
12,09/24/15 10:00:00 PM,10.259,0.0,
13,09/25/15 01:00:00 AM,9.669,0.0,
14,09/25/15 04:00:00 AM,7.882,0.0,
15,09/25/15 07:00:00 AM,8.680,32.3,
16,09/25/15 10:00:00 AM,9.571,1011.8,
17,09/25/15 01:00:00 PM,9.768,462.9,
18,09/25/15 04:00:00 PM,9.669,807.3,
19,09/25/15 07:00:00 PM,9.176,0.0,
20,09/25/15 10:00:00 PM,8.082,0.0,
21,09/26/15 01:00:00 AM,6.877,0.0,
22,09/26/15 04:00:00 AM,6.064,0.0,
23,09/26/15 07:00:00 AM,5.244,10.8,
24,09/26/15 10:00:00 AM,4.934,1808.3,Logged
