"Plot Title: AM16-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995199, SEN S/N: 9995199)","Intensity, Lux (LGR S/N: 9995199, SEN S/N: 9995199)","End Of File (LGR S/N: 9995199)"
1,09/22/15 01:00:00 PM,8.581,2927.8,
2,09/22/15 04:00:00 PM,10.455,2152.8,
3,09/22/15 07:00:00 PM,7.782,53.8,
4,09/22/15 10:00:00 PM,4.831,0.0,
5,09/23/15 01:00:00 AM,2.943,0.0,
6,09/23/15 04:00:00 AM,2.303,0.0,
7,09/23/15 07:00:00 AM,2.088,43.1,
8,09/23/15 10:00:00 AM,4.934,2755.6,
9,09/23/15 01:00:00 PM,9.866,1980.6,
10,09/23/15 04:00:00 PM,13.269,3788.9,
11,09/23/15 07:00:00 PM,10.357,32.3,
12,09/23/15 10:00:00 PM,8.282,0.0,
13,09/24/15 01:00:00 AM,7.381,0.0,
14,09/24/15 04:00:00 AM,6.877,0.0,
15,09/24/15 07:00:00 AM,6.064,32.3,
16,09/24/15 10:00:00 AM,7.882,904.2,
17,09/24/15 01:00:00 PM,11.431,3444.5,
18,09/24/15 04:00:00 PM,13.654,3616.7,
19,09/24/15 07:00:00 PM,11.819,21.5,
20,09/24/15 10:00:00 PM,9.669,0.0,
21,09/25/15 01:00:00 AM,9.275,0.0,
22,09/25/15 04:00:00 AM,9.077,0.0,
23,09/25/15 07:00:00 AM,8.879,43.1,
24,09/25/15 10:00:00 AM,10.161,2066.7,
25,09/25/15 01:00:00 PM,11.236,1119.5,
26,09/25/15 04:00:00 PM,10.944,1722.2,
27,09/25/15 07:00:00 PM,9.866,0.0,
28,09/25/15 10:00:00 PM,8.879,0.0,
29,09/26/15 01:00:00 AM,7.983,0.0,
30,09/26/15 04:00:00 AM,7.481,0.0,
31,09/26/15 07:00:00 AM,6.573,10.8,
32,09/26/15 10:00:00 AM,6.370,4305.6,
33,09/26/15 01:00:00 PM,8.978,4133.4,
34,09/26/15 04:00:00 PM,8.779,5166.7,
35,09/26/15 07:00:00 PM,7.179,53.8,
36,09/26/15 10:00:00 PM,4.311,0.0,
37,09/27/15 01:00:00 AM,2.837,0.0,
38,09/27/15 04:00:00 AM,1.439,0.0,
39,09/27/15 07:00:00 AM,0.674,32.3,
40,09/27/15 10:00:00 AM,1.439,828.8,
41,09/27/15 01:00:00 PM,5.860,2927.8,
42,09/27/15 04:00:00 PM,8.481,2152.8,
43,09/27/15 07:00:00 PM,6.573,21.5,
44,09/27/15 10:00:00 PM,4.934,0.0,
45,09/28/15 01:00:00 AM,4.934,0.0,
46,09/28/15 04:00:00 AM,4.623,0.0,
47,09/28/15 07:00:00 AM,4.519,32.3,
48,09/28/15 10:00:00 AM,5.244,861.1,
49,09/28/15 01:00:00 PM,8.879,3100.0,
50,09/28/15 04:00:00 PM,11.236,2238.9,
51,09/28/15 07:00:00 PM,9.275,21.5,
52,09/28/15 10:00:00 PM,7.280,0.0,
53,09/29/15 01:00:00 AM,5.962,0.0,
54,09/29/15 04:00:00 AM,5.347,0.0,
55,09/29/15 07:00:00 AM,5.141,21.5,
56,09/29/15 10:00:00 AM,6.471,818.1,
57,09/29/15 01:00:00 PM,11.041,2927.8,
58,09/29/15 04:00:00 PM,12.883,2238.9,
59,09/29/15 07:00:00 PM,10.553,10.8,
60,09/29/15 10:00:00 PM,8.182,0.0,
61,09/30/15 01:00:00 AM,7.280,0.0,
62,09/30/15 04:00:00 AM,6.674,0.0,
63,09/30/15 07:00:00 AM,6.268,21.5,
64,09/30/15 10:00:00 AM,6.877,882.6,
65,09/30/15 01:00:00 PM,11.139,2927.8,
66,09/30/15 04:00:00 PM,12.980,2238.9,
67,09/30/15 07:00:00 PM,10.357,10.8,
68,09/30/15 10:00:00 PM,8.282,0.0,
69,10/01/15 01:00:00 AM,7.381,0.0,
70,10/01/15 04:00:00 AM,5.962,0.0,
71,10/01/15 07:00:00 AM,5.450,0.0,
72,10/01/15 10:00:00 AM,6.775,936.5,
73,10/01/15 01:00:00 PM,11.041,3100.0,
74,10/01/15 04:00:00 PM,12.980,2238.9,
75,10/01/15 07:00:00 PM,10.455,0.0,
76,10/01/15 10:00:00 PM,8.082,0.0,
77,10/02/15 01:00:00 AM,7.280,0.0,
78,10/02/15 04:00:00 AM,7.481,0.0,
79,10/02/15 07:00:00 AM,8.082,64.6,
80,10/02/15 10:00:00 AM,9.472,3272.2,
81,10/02/15 01:00:00 PM,9.472,6544.5,
82,10/02/15 04:00:00 PM,9.669,4650.0,
83,10/02/15 07:00:00 PM,7.983,0.0,
84,10/02/15 10:00:00 PM,7.280,0.0,
85,10/03/15 01:00:00 AM,7.179,0.0,
86,10/03/15 04:00:00 AM,5.860,0.0,
87,10/03/15 07:00:00 AM,4.934,0.0,
88,10/03/15 10:00:00 AM,5.552,2066.7,
89,10/03/15 01:00:00 PM,8.182,2927.8,
90,10/03/15 04:00:00 PM,9.275,5511.1,
91,10/03/15 07:00:00 PM,7.381,0.0,
92,10/03/15 10:00:00 PM,6.978,0.0,
93,10/04/15 01:00:00 AM,7.381,0.0,
94,10/04/15 04:00:00 AM,7.179,0.0,
95,10/04/15 07:00:00 AM,6.775,0.0,
96,10/04/15 10:00:00 AM,7.582,1722.2,
97,10/04/15 01:00:00 PM,10.944,2497.2,
98,10/04/15 04:00:00 PM,12.207,1722.2,
99,10/04/15 07:00:00 PM,10.161,0.0,
100,10/04/15 10:00:00 PM,8.581,0.0,
101,10/05/15 01:00:00 AM,7.381,0.0,
102,10/05/15 04:00:00 AM,6.877,0.0,
103,10/05/15 07:00:00 AM,7.079,0.0,
104,10/05/15 10:00:00 AM,7.582,688.9,
105,10/05/15 01:00:00 PM,11.334,3272.2,
106,10/05/15 04:00:00 PM,13.365,2325.0,
