"Plot Title: AR07-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401748, SEN S/N: 2401748, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401748, SEN S/N: 2401748, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 2401748)","Host Connected (LGR S/N: 2401748)","Stopped (LGR S/N: 2401748)","End Of File (LGR S/N: 2401748)"
1,09/22/15 01:00:00 PM,8.978,419.8,,,,
2,09/22/15 04:00:00 PM,8.879,107.6,,,,
3,09/22/15 07:00:00 PM,7.179,0.0,,,,
4,09/22/15 10:00:00 PM,4.207,0.0,,,,
5,09/23/15 01:00:00 AM,4.311,0.0,,,,
6,09/23/15 04:00:00 AM,3.998,0.0,,,,
7,09/23/15 07:00:00 AM,3.367,0.0,,,,
8,09/23/15 10:00:00 AM,6.978,366.0,,,,
9,09/23/15 01:00:00 PM,10.161,441.3,,,,
10,09/23/15 04:00:00 PM,10.553,226.0,,,,
11,09/23/15 07:00:00 PM,9.077,0.0,,,,
12,09/23/15 10:00:00 PM,8.082,0.0,,,,
13,09/24/15 01:00:00 AM,7.582,0.0,,,,
14,09/24/15 04:00:00 AM,7.381,0.0,,,,
15,09/24/15 07:00:00 AM,8.382,0.0,,,,
16,09/24/15 10:00:00 AM,10.259,688.9,,,,
17,09/24/15 01:00:00 PM,11.819,775.0,,,,
18,09/24/15 04:00:00 PM,12.304,236.8,,,,
19,09/24/15 07:00:00 PM,11.041,0.0,,,,
20,09/24/15 10:00:00 PM,9.866,0.0,,,,
21,09/25/15 01:00:00 AM,9.373,0.0,,,,
22,09/25/15 04:00:00 AM,8.282,0.0,,,,
23,09/25/15 07:00:00 AM,8.879,0.0,,,,
24,09/25/15 10:00:00 AM,9.669,96.9,,,,
25,09/25/15 01:00:00 PM,9.866,32.3,,,,
26,09/25/15 04:00:00 PM,9.768,43.1,,,,
27,09/25/15 07:00:00 PM,9.176,0.0,,,,
28,09/25/15 10:00:00 PM,7.983,0.0,,,,
29,09/26/15 01:00:00 AM,6.775,0.0,,,,
30,09/26/15 04:00:00 AM,5.962,0.0,,,,
31,09/26/15 07:00:00 AM,5.141,0.0,,,,
32,09/26/15 10:00:00 AM,4.623,107.6,,,,
33,09/26/15 01:00:00 PM,6.370,484.4,,,,
34,09/26/15 04:00:00 PM,6.573,193.8,,,,
35,09/26/15 07:00:00 PM,5.037,0.0,,,,
36,09/26/15 10:00:00 PM,3.683,0.0,,,,
37,09/27/15 01:00:00 AM,2.517,0.0,,,,
38,09/27/15 04:00:00 AM,1.548,0.0,,,,
39,09/27/15 07:00:00 AM,0.563,0.0,,,,
40,09/27/15 10:00:00 AM,5.757,1894.5,,,,
41,09/27/15 01:00:00 PM,7.882,516.7,,,,
42,09/27/15 04:00:00 PM,7.782,183.0,,,,
43,09/27/15 07:00:00 PM,6.775,0.0,,,,
