"Plot Title: AV14-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578650, SEN S/N: 10578650, LBL: TEMP)","Intensity, Lux (LGR S/N: 10578650, SEN S/N: 10578650, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 10578650)","Host Connected (LGR S/N: 10578650)","Stopped (LGR S/N: 10578650)","End Of File (LGR S/N: 10578650)"
1,09/16/15 01:00:00 PM,8.382,1377.8,,,,
2,09/16/15 04:00:00 PM,7.882,1173.3,,,,
3,09/16/15 07:00:00 PM,7.381,53.8,,,,
4,09/16/15 10:00:00 PM,7.079,0.0,,,,
5,09/17/15 01:00:00 AM,6.978,0.0,,,,
6,09/17/15 04:00:00 AM,6.877,0.0,,,,
7,09/17/15 07:00:00 AM,6.674,129.2,,,,
8,09/17/15 10:00:00 AM,7.782,1550.0,,,,
9,09/17/15 01:00:00 PM,8.382,2755.6,,,,
10,09/17/15 04:00:00 PM,8.282,1377.8,,,,
11,09/17/15 07:00:00 PM,8.282,10.8,,,,
12,09/17/15 10:00:00 PM,7.682,0.0,,,,
13,09/18/15 01:00:00 AM,7.280,0.0,,,,
14,09/18/15 04:00:00 AM,7.079,0.0,,,,
15,09/18/15 07:00:00 AM,6.471,10.8,,,,
16,09/18/15 10:00:00 AM,7.481,462.9,,,,
17,09/18/15 01:00:00 PM,9.176,2583.4,,,,
18,09/18/15 04:00:00 PM,10.161,1722.2,,,,
19,09/18/15 07:00:00 PM,9.866,75.3,,,,
20,09/18/15 10:00:00 PM,9.077,0.0,,,,
21,09/19/15 01:00:00 AM,8.879,0.0,,,,
22,09/19/15 04:00:00 AM,8.581,0.0,,,,
23,09/19/15 07:00:00 AM,8.182,21.5,,,,
24,09/19/15 10:00:00 AM,9.669,484.4,,,,
25,09/19/15 01:00:00 PM,11.528,2927.8,,,,
26,09/19/15 04:00:00 PM,11.722,1011.8,,,,
27,09/19/15 07:00:00 PM,11.431,21.5,,,,
28,09/19/15 10:00:00 PM,11.722,0.0,,,,
29,09/20/15 01:00:00 AM,11.819,0.0,,,,
30,09/20/15 04:00:00 AM,11.819,0.0,,,,
31,09/20/15 07:00:00 AM,12.013,32.3,,,,
32,09/20/15 10:00:00 AM,12.980,2497.2,,,,
33,09/20/15 01:00:00 PM,12.304,1894.5,,,,
34,09/20/15 04:00:00 PM,12.594,484.4,,,,
35,09/20/15 07:00:00 PM,12.013,0.0,,,,
36,09/20/15 10:00:00 PM,11.819,0.0,,,,
37,09/21/15 01:00:00 AM,11.528,0.0,,,,
38,09/21/15 04:00:00 AM,10.161,0.0,,,,
39,09/21/15 07:00:00 AM,8.978,10.8,,,,
40,09/21/15 10:00:00 AM,8.779,538.2,,,,
41,09/21/15 01:00:00 PM,9.965,3616.7,,,,
42,09/21/15 04:00:00 PM,9.768,861.1,,,,
43,09/21/15 07:00:00 PM,9.077,10.8,,,,
44,09/21/15 10:00:00 PM,7.381,0.0,,,,
45,09/22/15 01:00:00 AM,6.877,0.0,,,,
46,09/22/15 04:00:00 AM,6.573,0.0,,,,
47,09/22/15 07:00:00 AM,4.415,10.8,,,,
48,09/22/15 10:00:00 AM,4.311,409.0,,,,
49,09/22/15 01:00:00 PM,6.166,570.5,,,,
