"Plot Title: PP17-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163331, SEN S/N: 10163331, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 10163331, SEN S/N: 10163331, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 10163331)","Host Connected (LGR S/N: 10163331)","Stopped (LGR S/N: 10163331)","End Of File (LGR S/N: 10163331)"
1,09/18/15 01:00:00 PM,16.523,20666.8,,,,
2,09/18/15 04:00:00 PM,16.046,9644.5,,,,
3,09/18/15 07:00:00 PM,11.722,301.4,,,,
4,09/18/15 10:00:00 PM,8.082,0.0,,,,
5,09/19/15 01:00:00 AM,6.674,0.0,,,,
6,09/19/15 04:00:00 AM,6.064,0.0,,,,
7,09/19/15 07:00:00 AM,5.450,161.5,,,,
8,09/19/15 10:00:00 AM,10.259,5511.1,,,,
9,09/19/15 01:00:00 PM,17.570,8266.7,,,,
10,09/19/15 04:00:00 PM,15.951,9300.1,,,,
11,09/19/15 07:00:00 PM,12.013,183.0,,,,
12,09/19/15 10:00:00 PM,10.846,0.0,,,,
13,09/20/15 01:00:00 AM,9.571,0.0,,,,
14,09/20/15 04:00:00 AM,9.571,0.0,,,,
15,09/20/15 07:00:00 AM,8.382,193.8,,,,
16,09/20/15 10:00:00 AM,12.304,2497.2,,,,
17,09/20/15 01:00:00 PM,31.574,187379.0,,,,
18,09/20/15 04:00:00 PM,16.427,5166.7,,,,
19,09/20/15 07:00:00 PM,13.173,107.6,,,,
20,09/20/15 10:00:00 PM,11.528,0.0,,,,
21,09/21/15 01:00:00 AM,10.357,0.0,,,,
22,09/21/15 04:00:00 AM,9.866,0.0,,,,
23,09/21/15 07:00:00 AM,8.382,53.8,,,,
24,09/21/15 10:00:00 AM,9.965,7577.8,,,,
25,09/21/15 01:00:00 PM,24.255,198401.3,,,,
26,09/21/15 04:00:00 PM,15.855,8611.2,,,,
27,09/21/15 07:00:00 PM,8.382,161.5,,,,
28,09/21/15 10:00:00 PM,6.064,0.0,,,,
29,09/22/15 01:00:00 AM,5.450,0.0,,,,
30,09/22/15 04:00:00 AM,5.347,0.0,,,,
31,09/22/15 07:00:00 AM,5.757,129.2,,,,
