"Plot Title: SPRY-2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603882, SEN S/N: 10603882)","Intensity, Lux (LGR S/N: 10603882, SEN S/N: 10603882)","Coupler Attached (LGR S/N: 10603882)","Host Connected (LGR S/N: 10603882)","Stopped (LGR S/N: 10603882)","End Of File (LGR S/N: 10603882)"
1,09/15/15 01:00:00 PM,5.141,5166.7,,,,
2,09/15/15 04:00:00 PM,4.831,2755.6,,,,
3,09/15/15 07:00:00 PM,3.261,118.4,,,,
4,09/15/15 10:00:00 PM,2.517,0.0,,,,
5,09/16/15 01:00:00 AM,1.764,0.0,,,,
6,09/16/15 04:00:00 AM,1.439,0.0,,,,
7,09/16/15 07:00:00 AM,1.764,269.1,,,,
8,09/16/15 10:00:00 AM,5.141,6200.0,,,,
9,09/16/15 01:00:00 PM,7.481,6544.5,,,,
10,09/16/15 04:00:00 PM,6.064,2497.2,,,,
11,09/16/15 07:00:00 PM,5.347,118.4,,,,
12,09/16/15 10:00:00 PM,4.415,0.0,,,,
13,09/17/15 01:00:00 AM,3.998,0.0,,,,
14,09/17/15 04:00:00 AM,4.102,0.0,,,,
15,09/17/15 07:00:00 AM,3.683,322.9,,,,
16,09/17/15 10:00:00 AM,4.727,1550.0,,,,
17,09/17/15 01:00:00 PM,5.244,3788.9,,,,
18,09/17/15 04:00:00 PM,5.552,1377.8,,,,
19,09/17/15 07:00:00 PM,4.831,10.8,,,,
20,09/17/15 10:00:00 PM,4.415,0.0,,,,
21,09/18/15 01:00:00 AM,3.893,0.0,,,,
22,09/18/15 04:00:00 AM,3.893,0.0,,,,
23,09/18/15 07:00:00 AM,2.730,43.1,,,,
24,09/18/15 10:00:00 AM,5.037,4650.0,,,,
25,09/18/15 01:00:00 PM,8.182,8266.7,,,,
26,09/18/15 04:00:00 PM,8.779,3272.2,,,,
27,09/18/15 07:00:00 PM,7.079,344.4,,,,
28,09/18/15 10:00:00 PM,6.268,0.0,,,,
29,09/19/15 01:00:00 AM,6.064,0.0,,,,
30,09/19/15 04:00:00 AM,5.450,0.0,,,,
31,09/19/15 07:00:00 AM,5.860,204.5,,,,
32,09/19/15 10:00:00 AM,7.682,2411.1,,,,
33,09/19/15 01:00:00 PM,8.779,1894.5,,,,
34,09/19/15 04:00:00 PM,9.472,1377.8,,,,
35,09/19/15 07:00:00 PM,8.680,96.9,,,,
36,09/19/15 10:00:00 PM,9.077,0.0,,,,
37,09/20/15 01:00:00 AM,9.275,0.0,,,,
38,09/20/15 04:00:00 AM,9.472,0.0,,,,
39,09/20/15 07:00:00 AM,9.472,96.9,,,,
40,09/20/15 10:00:00 AM,10.063,4994.5,,,,
41,09/20/15 01:00:00 PM,11.819,6544.5,,,,
42,09/20/15 04:00:00 PM,10.161,839.6,,,,
43,09/20/15 07:00:00 PM,9.176,43.1,,,,
44,09/20/15 10:00:00 PM,8.978,0.0,,,,
45,09/21/15 01:00:00 AM,8.182,0.0,,,,
46,09/21/15 04:00:00 AM,6.674,0.0,,,,
47,09/21/15 07:00:00 AM,4.623,53.8,,,,
48,09/21/15 10:00:00 AM,5.655,3100.0,,,,
49,09/21/15 01:00:00 PM,8.282,12400.1,,,,
50,09/21/15 04:00:00 PM,7.782,4650.0,,,,
51,09/21/15 07:00:00 PM,6.166,96.9,,,,
52,09/21/15 10:00:00 PM,2.730,0.0,,,,
53,09/22/15 01:00:00 AM,2.517,0.0,,,,
54,09/22/15 04:00:00 AM,2.195,0.0,,,,
55,09/22/15 07:00:00 AM,0.893,53.8,,,,
56,09/22/15 10:00:00 AM,3.155,3616.7,,,,
57,09/22/15 01:00:00 PM,7.381,5166.7,,,,
58,09/22/15 04:00:00 PM,8.382,7577.8,,,,
59,09/22/15 07:00:00 PM,5.450,107.6,,,,
60,09/22/15 10:00:00 PM,3.049,0.0,,,,
61,09/23/15 01:00:00 AM,2.303,0.0,,,,
62,09/23/15 04:00:00 AM,1.872,0.0,,,,
63,09/23/15 07:00:00 AM,1.872,64.6,,,,
64,09/23/15 10:00:00 AM,6.674,6544.5,,,,
65,09/23/15 01:00:00 PM,10.553,7233.4,,,,
66,09/23/15 04:00:00 PM,11.139,6200.0,,,,
67,09/23/15 07:00:00 PM,7.381,53.8,,,,
68,09/23/15 10:00:00 PM,5.860,0.0,,,,
69,09/24/15 01:00:00 AM,5.141,0.0,,,,
70,09/24/15 04:00:00 AM,5.655,0.0,,,,
71,09/24/15 07:00:00 AM,7.079,53.8,,,,
72,09/24/15 10:00:00 AM,9.077,4133.4,,,,
73,09/24/15 01:00:00 PM,12.497,15155.7,,,,
74,09/24/15 04:00:00 PM,12.594,11022.3,,,,
75,09/24/15 07:00:00 PM,8.978,43.1,,,,
76,09/24/15 10:00:00 PM,7.882,0.0,,,,
