"Plot Title: SPRY-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995250, SEN S/N: 9995250)","Intensity, Lux (LGR S/N: 9995250, SEN S/N: 9995250)","Coupler Attached (LGR S/N: 9995250)","Host Connected (LGR S/N: 9995250)","Stopped (LGR S/N: 9995250)","End Of File (LGR S/N: 9995250)"
1,09/15/15 01:00:00 PM,3.683,3100.0,,,,
2,09/15/15 04:00:00 PM,3.893,1463.9,,,,
3,09/15/15 07:00:00 PM,2.837,53.8,,,,
4,09/15/15 10:00:00 PM,2.088,0.0,,,,
5,09/16/15 01:00:00 AM,1.330,0.0,,,,
6,09/16/15 04:00:00 AM,1.003,0.0,,,,
7,09/16/15 07:00:00 AM,1.112,118.4,,,,
8,09/16/15 10:00:00 AM,3.472,2325.0,,,,
9,09/16/15 01:00:00 PM,5.860,3100.0,,,,
10,09/16/15 04:00:00 PM,5.552,1216.3,,,,
11,09/16/15 07:00:00 PM,5.141,53.8,,,,
12,09/16/15 10:00:00 PM,4.311,0.0,,,,
13,09/17/15 01:00:00 AM,3.788,0.0,,,,
14,09/17/15 04:00:00 AM,3.788,0.0,,,,
15,09/17/15 07:00:00 AM,3.472,139.9,,,,
16,09/17/15 10:00:00 AM,4.415,796.5,,,,
17,09/17/15 01:00:00 PM,4.623,1722.2,,,,
18,09/17/15 04:00:00 PM,4.934,731.9,,,,
19,09/17/15 07:00:00 PM,4.727,0.0,,,,
20,09/17/15 10:00:00 PM,4.207,0.0,,,,
21,09/18/15 01:00:00 AM,3.683,0.0,,,,
22,09/18/15 04:00:00 AM,3.683,0.0,,,,
23,09/18/15 07:00:00 AM,2.517,10.8,,,,
24,09/18/15 10:00:00 AM,4.207,1463.9,,,,
25,09/18/15 01:00:00 PM,6.877,4133.4,,,,
26,09/18/15 04:00:00 PM,7.782,1550.0,,,,
27,09/18/15 07:00:00 PM,6.978,129.2,,,,
28,09/18/15 10:00:00 PM,6.268,0.0,,,,
29,09/19/15 01:00:00 AM,5.962,0.0,,,,
30,09/19/15 04:00:00 AM,5.655,0.0,,,,
31,09/19/15 07:00:00 AM,6.064,86.1,,,,
32,09/19/15 10:00:00 AM,7.280,688.9,,,,
33,09/19/15 01:00:00 PM,8.581,904.2,,,,
34,09/19/15 04:00:00 PM,9.472,699.7,,,,
35,09/19/15 07:00:00 PM,9.176,32.3,,,,
36,09/19/15 10:00:00 PM,9.571,0.0,,,,
37,09/20/15 01:00:00 AM,10.063,0.0,,,,
38,09/20/15 04:00:00 AM,9.965,0.0,,,,
39,09/20/15 07:00:00 AM,9.866,32.3,,,,
40,09/20/15 10:00:00 AM,9.669,2066.7,,,,
41,09/20/15 01:00:00 PM,10.651,2325.0,,,,
42,09/20/15 04:00:00 PM,9.965,355.2,,,,
43,09/20/15 07:00:00 PM,9.373,10.8,,,,
44,09/20/15 10:00:00 PM,9.077,0.0,,,,
45,09/21/15 01:00:00 AM,8.082,0.0,,,,
46,09/21/15 04:00:00 AM,6.370,0.0,,,,
47,09/21/15 07:00:00 AM,4.831,10.8,,,,
48,09/21/15 10:00:00 AM,4.831,839.6,,,,
49,09/21/15 01:00:00 PM,6.877,5166.7,,,,
50,09/21/15 04:00:00 PM,7.280,1808.3,,,,
51,09/21/15 07:00:00 PM,6.268,21.5,,,,
52,09/21/15 10:00:00 PM,1.980,0.0,,,,
53,09/22/15 01:00:00 AM,1.656,0.0,,,,
54,09/22/15 04:00:00 AM,1.656,0.0,,,,
55,09/22/15 07:00:00 AM,0.343,10.8,,,,
56,09/22/15 10:00:00 AM,1.872,893.4,,,,
57,09/22/15 01:00:00 PM,5.860,3788.9,,,,
58,09/22/15 04:00:00 PM,7.079,3100.0,,,,
59,09/22/15 07:00:00 PM,5.347,21.5,,,,
60,09/22/15 10:00:00 PM,2.303,0.0,,,,
61,09/23/15 01:00:00 AM,1.656,0.0,,,,
62,09/23/15 04:00:00 AM,1.330,0.0,,,,
63,09/23/15 07:00:00 AM,1.439,10.8,,,,
64,09/23/15 10:00:00 AM,5.347,2066.7,,,,
65,09/23/15 01:00:00 PM,8.779,4477.8,,,,
66,09/23/15 04:00:00 PM,9.571,3100.0,,,,
67,09/23/15 07:00:00 PM,7.280,10.8,,,,
68,09/23/15 10:00:00 PM,6.064,0.0,,,,
69,09/24/15 01:00:00 AM,4.934,0.0,,,,
70,09/24/15 04:00:00 AM,5.450,0.0,,,,
71,09/24/15 07:00:00 AM,7.280,10.8,,,,
72,09/24/15 10:00:00 AM,8.581,1097.9,,,,
73,09/24/15 01:00:00 PM,10.846,3100.0,,,,
74,09/24/15 04:00:00 PM,11.041,1808.3,,,,
75,09/24/15 07:00:00 PM,9.275,10.8,,,,
76,09/24/15 10:00:00 PM,8.182,0.0,,,,
77,09/25/15 01:00:00 AM,7.983,0.0,,,,
78,09/25/15 04:00:00 AM,7.381,0.0,,,,
79,09/25/15 07:00:00 AM,7.983,0.0,,,,
80,09/25/15 10:00:00 AM,7.983,1022.6,,,,
81,09/25/15 01:00:00 PM,7.983,505.9,,,,
82,09/25/15 04:00:00 PM,8.382,1894.5,,,,
83,09/25/15 07:00:00 PM,7.481,0.0,,,,
84,09/25/15 10:00:00 PM,6.166,0.0,,,,
85,09/26/15 01:00:00 AM,5.141,0.0,,,,
86,09/26/15 04:00:00 AM,4.727,0.0,,,,
87,09/26/15 07:00:00 AM,3.472,0.0,,,,
88,09/26/15 10:00:00 AM,3.367,839.6,,,,
89,09/26/15 01:00:00 PM,5.244,4822.3,,,,
90,09/26/15 04:00:00 PM,5.962,4133.4,,,,
91,09/26/15 07:00:00 PM,3.472,10.8,,,,
92,09/26/15 10:00:00 PM,1.656,0.0,,,,
93,09/27/15 01:00:00 AM,0.453,0.0,,,,
94,09/27/15 04:00:00 AM,-0.437,0.0,,,,
95,09/27/15 07:00:00 AM,-0.213,10.8,,,,
96,09/27/15 10:00:00 AM,1.439,893.4,,,,
97,09/27/15 01:00:00 PM,5.450,3788.9,,,,
98,09/27/15 04:00:00 PM,7.280,2411.1,,,,
99,09/27/15 07:00:00 PM,5.347,10.8,,,,
100,09/27/15 10:00:00 PM,3.155,0.0,,,,
101,09/28/15 01:00:00 AM,2.410,0.0,,,,
102,09/28/15 04:00:00 AM,2.195,0.0,,,,
103,09/28/15 07:00:00 AM,1.980,10.8,,,,
104,09/28/15 10:00:00 AM,5.141,914.9,,,,
105,09/28/15 01:00:00 PM,9.176,3961.1,,,,
106,09/28/15 04:00:00 PM,10.944,2411.1,,,,
107,09/28/15 07:00:00 PM,8.082,0.0,,,,
108,09/28/15 10:00:00 PM,6.166,0.0,,,,
109,09/29/15 01:00:00 AM,5.347,0.0,,,,
110,09/29/15 04:00:00 AM,5.244,0.0,,,,
111,09/29/15 07:00:00 AM,4.519,0.0,,,,
112,09/29/15 10:00:00 AM,8.182,904.2,,,,
113,09/29/15 01:00:00 PM,11.916,3272.2,,,,
114,09/29/15 04:00:00 PM,13.076,2583.4,,,,
115,09/29/15 07:00:00 PM,9.768,0.0,,,,
116,09/29/15 10:00:00 PM,7.381,0.0,,,,
117,09/30/15 01:00:00 AM,7.179,0.0,,,,
118,09/30/15 04:00:00 AM,6.166,0.0,,,,
119,09/30/15 07:00:00 AM,5.860,0.0,,,,
120,09/30/15 10:00:00 AM,9.373,958.0,,,,
121,09/30/15 01:00:00 PM,12.980,3961.1,,,,
122,09/30/15 04:00:00 PM,13.076,2497.2,,,,
123,09/30/15 07:00:00 PM,9.669,0.0,,,,
124,09/30/15 10:00:00 PM,8.082,0.0,,,,
125,10/01/15 01:00:00 AM,7.079,0.0,,,,
126,10/01/15 04:00:00 AM,6.471,0.0,,,,
127,10/01/15 07:00:00 AM,6.064,0.0,,,,
128,10/01/15 10:00:00 AM,9.077,1001.0,,,,
129,10/01/15 01:00:00 PM,12.690,3961.1,,,,
130,10/01/15 04:00:00 PM,12.690,2497.2,,,,
131,10/01/15 07:00:00 PM,9.669,0.0,,,,
132,10/01/15 10:00:00 PM,7.882,0.0,,,,
133,10/02/15 01:00:00 AM,6.674,0.0,,,,
134,10/02/15 04:00:00 AM,6.268,0.0,,,,
135,10/02/15 07:00:00 AM,5.962,21.5,,,,
136,10/02/15 10:00:00 AM,9.077,1808.3,,,,
137,10/02/15 01:00:00 PM,10.553,3616.7,,,,
138,10/02/15 04:00:00 PM,5.962,473.6,,,,
139,10/02/15 07:00:00 PM,5.141,0.0,,,,
140,10/02/15 10:00:00 PM,4.831,0.0,,,,
141,10/03/15 01:00:00 AM,3.683,0.0,,,,
142,10/03/15 04:00:00 AM,3.261,0.0,,,,
143,10/03/15 07:00:00 AM,2.837,0.0,,,,
144,10/03/15 10:00:00 AM,3.893,193.8,,,,
145,10/03/15 01:00:00 PM,8.182,3788.9,,,,
