"Plot Title: SUNR-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603883, SEN S/N: 10603883)","Intensity, Lux (LGR S/N: 10603883, SEN S/N: 10603883)","Coupler Attached (LGR S/N: 10603883)","Host Connected (LGR S/N: 10603883)","Stopped (LGR S/N: 10603883)","End Of File (LGR S/N: 10603883)"
1,09/17/15 01:00:00 PM,4.727,3961.1,,,,
2,09/17/15 04:00:00 PM,4.623,2325.0,,,,
3,09/17/15 07:00:00 PM,3.683,118.4,,,,
4,09/17/15 10:00:00 PM,2.410,0.0,,,,
5,09/18/15 01:00:00 AM,2.730,0.0,,,,
6,09/18/15 04:00:00 AM,2.624,0.0,,,,
7,09/18/15 07:00:00 AM,1.439,43.1,,,,
8,09/18/15 10:00:00 AM,4.207,3616.7,,,,
9,09/18/15 01:00:00 PM,7.381,4305.6,,,,
10,09/18/15 04:00:00 PM,8.182,2238.9,,,,
11,09/18/15 07:00:00 PM,6.674,75.3,,,,
12,09/18/15 10:00:00 PM,5.141,0.0,,,,
13,09/19/15 01:00:00 AM,4.415,0.0,,,,
14,09/19/15 04:00:00 AM,4.102,0.0,,,,
15,09/19/15 07:00:00 AM,4.102,43.1,,,,
16,09/19/15 10:00:00 AM,6.978,2066.7,,,,
17,09/19/15 01:00:00 PM,10.455,3788.9,,,,
18,09/19/15 04:00:00 PM,10.357,2066.7,,,,
19,09/19/15 07:00:00 PM,9.275,75.3,,,,
20,09/19/15 10:00:00 PM,9.472,0.0,,,,
21,09/20/15 01:00:00 AM,8.680,0.0,,,,
22,09/20/15 04:00:00 AM,8.581,0.0,,,,
23,09/20/15 07:00:00 AM,7.782,53.8,,,,
24,09/20/15 10:00:00 AM,9.373,2066.7,,,,
25,09/20/15 01:00:00 PM,11.334,2411.1,,,,
26,09/20/15 04:00:00 PM,11.722,4133.4,,,,
27,09/20/15 07:00:00 PM,9.472,43.1,,,,
28,09/20/15 10:00:00 PM,8.879,0.0,,,,
29,09/21/15 01:00:00 AM,7.983,0.0,,,,
30,09/21/15 04:00:00 AM,6.166,0.0,,,,
31,09/21/15 07:00:00 AM,3.261,32.3,,,,
32,09/21/15 10:00:00 AM,3.998,2238.9,,,,
33,09/21/15 01:00:00 PM,6.370,1808.3,,,,
34,09/21/15 04:00:00 PM,7.582,1808.3,,,,
35,09/21/15 07:00:00 PM,3.998,43.1,,,,
36,09/21/15 10:00:00 PM,4.519,0.0,,,,
37,09/22/15 01:00:00 AM,3.472,0.0,,,,
38,09/22/15 04:00:00 AM,2.303,0.0,,,,
39,09/22/15 07:00:00 AM,1.112,53.8,,,,
40,09/22/15 10:00:00 AM,2.624,2238.9,,,,
41,09/22/15 01:00:00 PM,6.573,2411.1,,,,
42,09/22/15 04:00:00 PM,7.682,1894.5,,,,
43,09/22/15 07:00:00 PM,4.102,43.1,,,,
44,09/22/15 10:00:00 PM,2.943,0.0,,,,
45,09/23/15 01:00:00 AM,2.517,0.0,,,,
46,09/23/15 04:00:00 AM,1.112,0.0,,,,
47,09/23/15 07:00:00 AM,1.656,43.1,,,,
