"Plot Title: TB13-A1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10503813, SEN S/N: 10503813)","End Of File (LGR S/N: 10503813)"
1,09/22/15 01:00:00 PM,12.883,
2,09/22/15 03:00:00 PM,13.269,
3,09/22/15 05:00:00 PM,12.883,
4,09/22/15 07:00:00 PM,10.161,
5,09/22/15 09:00:00 PM,7.882,
6,09/22/15 11:00:00 PM,6.471,
7,09/23/15 01:00:00 AM,5.450,
8,09/23/15 03:00:00 AM,5.141,
9,09/23/15 05:00:00 AM,5.347,
10,09/23/15 07:00:00 AM,5.244,
11,09/23/15 09:00:00 AM,6.877,
12,09/23/15 11:00:00 AM,11.334,
13,09/23/15 01:00:00 PM,16.332,
14,09/23/15 03:00:00 PM,17.475,
15,09/23/15 05:00:00 PM,15.664,
16,09/23/15 07:00:00 PM,14.038,
17,09/23/15 09:00:00 PM,12.497,
18,09/23/15 11:00:00 PM,11.334,
19,09/24/15 01:00:00 AM,10.944,
20,09/24/15 03:00:00 AM,11.334,
21,09/24/15 05:00:00 AM,9.866,
22,09/24/15 07:00:00 AM,11.041,
23,09/24/15 09:00:00 AM,12.787,
24,09/24/15 11:00:00 AM,15.760,
25,09/24/15 01:00:00 PM,20.329,
26,09/24/15 03:00:00 PM,19.472,
27,09/24/15 05:00:00 PM,17.950,
28,09/24/15 07:00:00 PM,15.664,
29,09/24/15 09:00:00 PM,13.654,
30,09/24/15 11:00:00 PM,12.980,
31,09/25/15 01:00:00 AM,11.819,
32,09/25/15 03:00:00 AM,11.139,
33,09/25/15 05:00:00 AM,11.139,
34,09/25/15 07:00:00 AM,10.944,
35,09/25/15 09:00:00 AM,10.846,
36,09/25/15 11:00:00 AM,10.748,
37,09/25/15 01:00:00 PM,9.965,
38,09/25/15 03:00:00 PM,10.357,
39,09/25/15 05:00:00 PM,10.455,
40,09/25/15 07:00:00 PM,9.866,
41,09/25/15 09:00:00 PM,9.373,
42,09/25/15 11:00:00 PM,9.077,
43,09/26/15 01:00:00 AM,8.680,
44,09/26/15 03:00:00 AM,8.082,
45,09/26/15 05:00:00 AM,7.882,
46,09/26/15 07:00:00 AM,7.079,
47,09/26/15 09:00:00 AM,6.573,
48,09/26/15 11:00:00 AM,7.280,
49,09/26/15 01:00:00 PM,9.571,
50,09/26/15 03:00:00 PM,11.236,
51,09/26/15 05:00:00 PM,11.528,
52,09/26/15 07:00:00 PM,8.680,
53,09/26/15 09:00:00 PM,6.268,
54,09/26/15 11:00:00 PM,5.244,
55,09/27/15 01:00:00 AM,4.623,
56,09/27/15 03:00:00 AM,3.998,
57,09/27/15 05:00:00 AM,3.367,
58,09/27/15 07:00:00 AM,2.943,
59,09/27/15 09:00:00 AM,3.788,
60,09/27/15 11:00:00 AM,7.582,
61,09/27/15 01:00:00 PM,12.594,
62,09/27/15 03:00:00 PM,12.401,
63,09/27/15 05:00:00 PM,11.819,
64,09/27/15 07:00:00 PM,10.161,
65,09/27/15 09:00:00 PM,7.582,
66,09/27/15 11:00:00 PM,6.370,
67,09/28/15 01:00:00 AM,7.983,
68,09/28/15 03:00:00 AM,6.370,
69,09/28/15 05:00:00 AM,9.866,
70,09/28/15 07:00:00 AM,10.455,
71,09/28/15 09:00:00 AM,11.334,
72,09/28/15 11:00:00 AM,14.709,
73,09/28/15 01:00:00 PM,19.567,
74,09/28/15 03:00:00 PM,20.424,
75,09/28/15 05:00:00 PM,18.521,
76,09/28/15 07:00:00 PM,13.942,
77,09/28/15 09:00:00 PM,12.304,
78,09/28/15 11:00:00 PM,11.334,
79,09/29/15 01:00:00 AM,10.748,
80,09/29/15 03:00:00 AM,10.455,
81,09/29/15 05:00:00 AM,10.357,
82,09/29/15 07:00:00 AM,10.944,
83,09/29/15 09:00:00 AM,12.401,
84,09/29/15 11:00:00 AM,17.189,
85,09/29/15 01:00:00 PM,22.333,
86,09/29/15 03:00:00 PM,20.996,
87,09/29/15 05:00:00 PM,19.948,
88,09/29/15 07:00:00 PM,16.046,
89,09/29/15 09:00:00 PM,13.365,
90,09/29/15 11:00:00 PM,12.110,
91,09/30/15 01:00:00 AM,11.236,
92,09/30/15 03:00:00 AM,11.819,
93,09/30/15 05:00:00 AM,11.722,
94,09/30/15 07:00:00 AM,10.944,
95,09/30/15 09:00:00 AM,11.722,
96,09/30/15 11:00:00 AM,14.325,
97,09/30/15 01:00:00 PM,19.758,
98,09/30/15 03:00:00 PM,17.950,
99,09/30/15 05:00:00 PM,16.523,
100,09/30/15 07:00:00 PM,13.942,
101,09/30/15 09:00:00 PM,11.625,
102,09/30/15 11:00:00 PM,10.846,
103,10/01/15 01:00:00 AM,10.063,
104,10/01/15 03:00:00 AM,9.571,
105,10/01/15 05:00:00 AM,9.275,
106,10/01/15 07:00:00 AM,8.779,
107,10/01/15 09:00:00 AM,9.965,
108,10/01/15 11:00:00 AM,13.750,
109,10/01/15 01:00:00 PM,18.236,
110,10/01/15 03:00:00 PM,17.379,
111,10/01/15 05:00:00 PM,16.427,
112,10/01/15 07:00:00 PM,14.421,
113,10/01/15 09:00:00 PM,11.722,
114,10/01/15 11:00:00 PM,10.748,
115,10/02/15 01:00:00 AM,10.063,
116,10/02/15 03:00:00 AM,10.259,
117,10/02/15 05:00:00 AM,10.063,
118,10/02/15 07:00:00 AM,9.669,
119,10/02/15 09:00:00 AM,8.481,
120,10/02/15 11:00:00 AM,8.382,
121,10/02/15 01:00:00 PM,9.571,
122,10/02/15 03:00:00 PM,11.236,
123,10/02/15 05:00:00 PM,10.357,
124,10/02/15 07:00:00 PM,9.275,
125,10/02/15 09:00:00 PM,8.879,
126,10/02/15 11:00:00 PM,8.680,
127,10/03/15 01:00:00 AM,7.782,
128,10/03/15 03:00:00 AM,6.370,
129,10/03/15 05:00:00 AM,6.064,
130,10/03/15 07:00:00 AM,5.962,
131,10/03/15 09:00:00 AM,6.674,
132,10/03/15 11:00:00 AM,7.582,
133,10/03/15 01:00:00 PM,8.282,
134,10/03/15 03:00:00 PM,8.680,
135,10/03/15 05:00:00 PM,8.879,
136,10/03/15 07:00:00 PM,8.879,
137,10/03/15 09:00:00 PM,8.382,
138,10/03/15 11:00:00 PM,8.879,
139,10/04/15 01:00:00 AM,8.978,
140,10/04/15 03:00:00 AM,10.063,
141,10/04/15 05:00:00 AM,10.063,
142,10/04/15 07:00:00 AM,9.768,
143,10/04/15 09:00:00 AM,10.651,
144,10/04/15 11:00:00 AM,15.091,
