"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
1,09/22/15 01:00:00 PM,15.855,1033.3,
2,09/22/15 04:00:00 PM,13.461,516.7,
3,09/22/15 07:00:00 PM,11.625,0.0,
4,09/22/15 10:00:00 PM,9.176,0.0,
5,09/23/15 01:00:00 AM,7.582,0.0,
6,09/23/15 04:00:00 AM,6.978,0.0,
7,09/23/15 07:00:00 AM,6.978,0.0,
8,09/23/15 10:00:00 AM,9.176,290.6,
9,09/23/15 01:00:00 PM,18.901,1980.6,
10,09/23/15 04:00:00 PM,16.141,129.2,
11,09/23/15 07:00:00 PM,14.613,0.0,
12,09/23/15 10:00:00 PM,12.690,0.0,
13,09/24/15 01:00:00 AM,11.916,0.0,
14,09/24/15 04:00:00 AM,11.625,0.0,
15,09/24/15 07:00:00 AM,11.236,0.0,
16,09/24/15 10:00:00 AM,13.846,172.2,
17,09/24/15 01:00:00 PM,22.621,2152.8,
18,09/24/15 04:00:00 PM,18.140,183.0,
19,09/24/15 07:00:00 PM,16.523,0.0,
20,09/24/15 10:00:00 PM,14.325,0.0,
21,09/25/15 01:00:00 AM,13.558,0.0,
22,09/25/15 04:00:00 AM,12.883,0.0,
23,09/25/15 07:00:00 AM,12.594,0.0,
24,09/25/15 10:00:00 AM,12.690,129.2,
25,09/25/15 01:00:00 PM,12.207,64.6,
26,09/25/15 04:00:00 PM,12.883,183.0,
27,09/25/15 07:00:00 PM,12.013,0.0,
28,09/25/15 10:00:00 PM,11.431,0.0,
29,09/26/15 01:00:00 AM,10.944,0.0,
30,09/26/15 04:00:00 AM,10.063,0.0,
31,09/26/15 07:00:00 AM,9.571,0.0,
32,09/26/15 10:00:00 AM,9.373,236.8,
33,09/26/15 01:00:00 PM,12.497,4650.0,
34,09/26/15 04:00:00 PM,12.401,516.7,
35,09/26/15 07:00:00 PM,10.455,0.0,
36,09/26/15 10:00:00 PM,7.983,0.0,
37,09/27/15 01:00:00 AM,7.079,0.0,
38,09/27/15 04:00:00 AM,6.268,0.0,
39,09/27/15 07:00:00 AM,5.450,0.0,
40,09/27/15 10:00:00 AM,6.877,215.3,
41,09/27/15 01:00:00 PM,16.618,1463.9,
42,09/27/15 04:00:00 PM,13.076,355.2,
43,09/27/15 07:00:00 PM,11.528,0.0,
44,09/27/15 10:00:00 PM,8.978,0.0,
45,09/28/15 01:00:00 AM,8.879,0.0,
46,09/28/15 04:00:00 AM,8.581,0.0,
47,09/28/15 07:00:00 AM,9.965,0.0,
48,09/28/15 10:00:00 AM,11.528,226.0,
49,09/28/15 01:00:00 PM,20.996,925.7,
50,09/28/15 04:00:00 PM,17.950,376.7,
51,09/28/15 07:00:00 PM,14.900,0.0,
52,09/28/15 10:00:00 PM,12.883,0.0,
53,09/29/15 01:00:00 AM,11.431,0.0,
54,09/29/15 04:00:00 AM,10.651,0.0,
55,09/29/15 07:00:00 AM,10.944,0.0,
56,09/29/15 10:00:00 AM,13.558,226.0,
57,09/29/15 01:00:00 PM,22.142,871.9,
58,09/29/15 04:00:00 PM,19.187,376.7,
59,09/29/15 07:00:00 PM,16.808,0.0,
60,09/29/15 10:00:00 PM,13.942,0.0,
61,09/30/15 01:00:00 AM,12.594,0.0,
62,09/30/15 04:00:00 AM,12.690,0.0,
63,09/30/15 07:00:00 AM,12.110,0.0,
64,09/30/15 10:00:00 AM,13.269,226.0,
65,09/30/15 01:00:00 PM,21.473,871.9,
66,09/30/15 04:00:00 PM,17.855,366.0,
67,09/30/15 07:00:00 PM,15.187,0.0,
68,09/30/15 10:00:00 PM,12.594,0.0,
69,10/01/15 01:00:00 AM,11.819,0.0,
70,10/01/15 04:00:00 AM,11.236,0.0,
71,10/01/15 07:00:00 AM,10.455,0.0,
72,10/01/15 10:00:00 AM,12.207,226.0,
73,10/01/15 01:00:00 PM,20.329,861.1,
74,10/01/15 04:00:00 PM,17.475,355.2,
75,10/01/15 07:00:00 PM,15.473,0.0,
76,10/01/15 10:00:00 PM,12.883,0.0,
77,10/02/15 01:00:00 AM,11.916,0.0,
78,10/02/15 04:00:00 AM,11.916,0.0,
79,10/02/15 07:00:00 AM,11.431,0.0,
80,10/02/15 10:00:00 AM,10.651,118.4,
81,10/02/15 01:00:00 PM,11.625,322.9,
82,10/02/15 04:00:00 PM,12.304,258.3,
83,10/02/15 07:00:00 PM,11.139,0.0,
84,10/02/15 10:00:00 PM,10.846,0.0,
85,10/03/15 01:00:00 AM,9.768,0.0,
86,10/03/15 04:00:00 AM,8.382,0.0,
87,10/03/15 07:00:00 AM,8.182,0.0,
88,10/03/15 10:00:00 AM,9.176,226.0,
89,10/03/15 01:00:00 PM,10.455,699.7,
90,10/03/15 04:00:00 PM,10.553,161.5,
91,10/03/15 07:00:00 PM,10.553,0.0,
92,10/03/15 10:00:00 PM,9.669,0.0,
93,10/04/15 01:00:00 AM,10.161,0.0,
94,10/04/15 04:00:00 AM,10.455,0.0,
95,10/04/15 07:00:00 AM,10.259,0.0,
96,10/04/15 10:00:00 AM,12.304,258.3,
97,10/04/15 01:00:00 PM,17.665,785.8,
98,10/04/15 04:00:00 PM,17.570,279.9,
99,10/04/15 07:00:00 PM,15.569,0.0,
