"Plot Title: TO04-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401784, SEN S/N: 2401784, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401784, SEN S/N: 2401784, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 2401784)","Host Connected (LGR S/N: 2401784)","Stopped (LGR S/N: 2401784)","End Of File (LGR S/N: 2401784)"
1,09/22/15 01:00:00 PM,10.259,1151.7,,,,
2,09/22/15 04:00:00 PM,11.139,731.9,,,,
3,09/22/15 07:00:00 PM,10.651,10.8,,,,
4,09/22/15 10:00:00 PM,8.481,0.0,,,,
5,09/23/15 01:00:00 AM,6.775,0.0,,,,
6,09/23/15 04:00:00 AM,5.655,0.0,,,,
7,09/23/15 07:00:00 AM,5.037,10.8,,,,
8,09/23/15 10:00:00 AM,6.775,914.9,,,,
9,09/23/15 01:00:00 PM,9.275,1141.0,,,,
10,09/23/15 04:00:00 PM,10.944,387.5,,,,
11,09/23/15 07:00:00 PM,11.139,0.0,,,,
12,09/23/15 10:00:00 PM,10.651,0.0,,,,
13,09/24/15 01:00:00 AM,9.768,0.0,,,,
14,09/24/15 04:00:00 AM,9.669,0.0,,,,
15,09/24/15 07:00:00 AM,8.978,10.8,,,,
16,09/24/15 10:00:00 AM,9.768,516.7,,,,
17,09/24/15 01:00:00 PM,12.013,1463.9,,,,
18,09/24/15 04:00:00 PM,12.883,656.6,,,,
19,09/24/15 07:00:00 PM,12.690,0.0,,,,
20,09/24/15 10:00:00 PM,11.916,0.0,,,,
21,09/25/15 01:00:00 AM,11.528,0.0,,,,
22,09/25/15 04:00:00 AM,11.334,0.0,,,,
23,09/25/15 07:00:00 AM,11.334,0.0,,,,
24,09/25/15 10:00:00 AM,11.625,871.9,,,,
25,09/25/15 01:00:00 PM,11.236,355.2,,,,
26,09/25/15 04:00:00 PM,11.722,1011.8,,,,
27,09/25/15 07:00:00 PM,11.139,0.0,,,,
28,09/25/15 10:00:00 PM,10.846,0.0,,,,
29,09/26/15 01:00:00 AM,10.357,0.0,,,,
30,09/26/15 04:00:00 AM,9.768,0.0,,,,
31,09/26/15 07:00:00 AM,9.275,0.0,,,,
32,09/26/15 10:00:00 AM,9.077,1636.1,,,,
33,09/26/15 01:00:00 PM,10.357,1808.3,,,,
34,09/26/15 04:00:00 PM,10.846,979.5,,,,
35,09/26/15 07:00:00 PM,9.768,0.0,,,,
36,09/26/15 10:00:00 PM,7.381,0.0,,,,
37,09/27/15 01:00:00 AM,5.860,0.0,,,,
38,09/27/15 04:00:00 AM,4.623,0.0,,,,
39,09/27/15 07:00:00 AM,3.578,0.0,,,,
40,09/27/15 10:00:00 AM,4.415,516.7,,,,
41,09/27/15 01:00:00 PM,7.079,1108.7,,,,
42,09/27/15 04:00:00 PM,8.779,721.2,,,,
43,09/27/15 07:00:00 PM,8.879,0.0,,,,
44,09/27/15 10:00:00 PM,7.381,0.0,,,,
45,09/28/15 01:00:00 AM,5.962,0.0,,,,
46,09/28/15 04:00:00 AM,4.727,0.0,,,,
47,09/28/15 07:00:00 AM,4.519,0.0,,,,
