"Plot Title: TO04-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995157, SEN S/N: 9995157)","Coupler Attached (LGR S/N: 9995157)","Host Connected (LGR S/N: 9995157)","Stopped (LGR S/N: 9995157)","End Of File (LGR S/N: 9995157)"
1,09/21/15 01:00:00 PM,17.094,,,,
2,09/21/15 04:00:00 PM,11.916,,,,
3,09/21/15 07:00:00 PM,11.528,,,,
4,09/21/15 10:00:00 PM,11.139,,,,
5,09/22/15 01:00:00 AM,10.063,,,,
6,09/22/15 04:00:00 AM,9.669,,,,
7,09/22/15 07:00:00 AM,8.779,,,,
8,09/22/15 10:00:00 AM,8.779,,,,
9,09/22/15 01:00:00 PM,10.455,,,,
10,09/22/15 04:00:00 PM,11.041,,,,
11,09/22/15 07:00:00 PM,10.553,,,,
12,09/22/15 10:00:00 PM,8.581,,,,
13,09/23/15 01:00:00 AM,7.280,,,,
14,09/23/15 04:00:00 AM,6.166,,,,
15,09/23/15 07:00:00 AM,5.757,,,,
16,09/23/15 10:00:00 AM,7.280,,,,
17,09/23/15 01:00:00 PM,9.768,,,,
18,09/23/15 04:00:00 PM,11.431,,,,
19,09/23/15 07:00:00 PM,11.334,,,,
20,09/23/15 10:00:00 PM,10.651,,,,
21,09/24/15 01:00:00 AM,9.768,,,,
22,09/24/15 04:00:00 AM,9.669,,,,
23,09/24/15 07:00:00 AM,9.077,,,,
24,09/24/15 10:00:00 AM,9.669,,,,
25,09/24/15 01:00:00 PM,12.110,,,,
26,09/24/15 04:00:00 PM,12.980,,,,
27,09/24/15 07:00:00 PM,12.690,,,,
28,09/24/15 10:00:00 PM,11.625,,,,
29,09/25/15 01:00:00 AM,11.334,,,,
30,09/25/15 04:00:00 AM,11.139,,,,
31,09/25/15 07:00:00 AM,11.041,,,,
32,09/25/15 10:00:00 AM,11.334,,,,
33,09/25/15 01:00:00 PM,11.041,,,,
34,09/25/15 04:00:00 PM,11.431,,,,
35,09/25/15 07:00:00 PM,10.944,,,,
36,09/25/15 10:00:00 PM,10.651,,,,
37,09/26/15 01:00:00 AM,10.259,,,,
38,09/26/15 04:00:00 AM,9.669,,,,
39,09/26/15 07:00:00 AM,9.275,,,,
40,09/26/15 10:00:00 AM,9.077,,,,
41,09/26/15 01:00:00 PM,10.161,,,,
42,09/26/15 04:00:00 PM,10.651,,,,
43,09/26/15 07:00:00 PM,9.669,,,,
44,09/26/15 10:00:00 PM,7.782,,,,
45,09/27/15 01:00:00 AM,6.370,,,,
46,09/27/15 04:00:00 AM,5.347,,,,
47,09/27/15 07:00:00 AM,4.415,,,,
48,09/27/15 10:00:00 AM,4.831,,,,
49,09/27/15 01:00:00 PM,7.682,,,,
50,09/27/15 04:00:00 PM,9.176,,,,
51,09/27/15 07:00:00 PM,8.978,,,,
52,09/27/15 10:00:00 PM,7.481,,,,
53,09/28/15 01:00:00 AM,6.268,,,,
54,09/28/15 04:00:00 AM,5.141,,,,
55,09/28/15 07:00:00 AM,4.934,,,,
56,09/28/15 10:00:00 AM,6.166,,,,
57,09/28/15 01:00:00 PM,9.176,,,,
58,09/28/15 04:00:00 PM,10.748,,,,
59,09/28/15 07:00:00 PM,10.259,,,,
60,09/28/15 10:00:00 PM,8.779,,,,
61,09/29/15 01:00:00 AM,7.882,,,,
62,09/29/15 04:00:00 AM,7.179,,,,
63,09/29/15 07:00:00 AM,6.573,,,,
64,09/29/15 10:00:00 AM,7.481,,,,
65,09/29/15 01:00:00 PM,10.651,,,,
66,09/29/15 04:00:00 PM,12.110,,,,
67,09/29/15 07:00:00 PM,11.431,,,,
68,09/29/15 10:00:00 PM,10.063,,,,
69,09/30/15 01:00:00 AM,8.879,,,,
70,09/30/15 04:00:00 AM,8.082,,,,
71,09/30/15 07:00:00 AM,7.682,,,,
72,09/30/15 10:00:00 AM,8.182,,,,
73,09/30/15 01:00:00 PM,10.748,,,,
74,09/30/15 04:00:00 PM,11.916,,,,
75,09/30/15 07:00:00 PM,11.334,,,,
76,09/30/15 10:00:00 PM,9.965,,,,
77,10/01/15 01:00:00 AM,8.879,,,,
78,10/01/15 04:00:00 AM,8.182,,,,
79,10/01/15 07:00:00 AM,7.481,,,,
80,10/01/15 10:00:00 AM,8.082,,,,
81,10/01/15 01:00:00 PM,10.651,,,,
82,10/01/15 04:00:00 PM,12.110,,,,
83,10/01/15 07:00:00 PM,11.625,,,,
84,10/01/15 10:00:00 PM,10.259,,,,
85,10/02/15 01:00:00 AM,9.373,,,,
86,10/02/15 04:00:00 AM,8.581,,,,
87,10/02/15 07:00:00 AM,7.983,,,,
88,10/02/15 10:00:00 AM,8.879,,,,
89,10/02/15 01:00:00 PM,10.161,,,,
90,10/02/15 04:00:00 PM,10.944,,,,
91,10/02/15 07:00:00 PM,9.965,,,,
92,10/02/15 10:00:00 PM,9.866,,,,
93,10/03/15 01:00:00 AM,9.472,,,,
94,10/03/15 04:00:00 AM,8.382,,,,
95,10/03/15 07:00:00 AM,7.983,,,,
96,10/03/15 10:00:00 AM,8.779,,,,
97,10/03/15 01:00:00 PM,9.768,,,,
98,10/03/15 04:00:00 PM,9.866,,,,
99,10/03/15 07:00:00 PM,9.768,,,,
100,10/03/15 10:00:00 PM,9.373,,,,
101,10/04/15 01:00:00 AM,8.282,,,,
102,10/04/15 04:00:00 AM,7.481,,,,
103,10/04/15 07:00:00 AM,7.179,,,,
104,10/04/15 10:00:00 AM,8.182,,,,
105,10/04/15 01:00:00 PM,10.651,,,,
106,10/04/15 04:00:00 PM,11.819,,,,
107,10/04/15 07:00:00 PM,11.431,,,,
108,10/04/15 10:00:00 PM,10.063,,,,
109,10/05/15 01:00:00 AM,8.978,,,,
110,10/05/15 04:00:00 AM,8.082,,,,
111,10/05/15 07:00:00 AM,7.381,,,,
