"Plot Title: TO11-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574903, SEN S/N: 10574903)","Intensity, Lux (LGR S/N: 10574903, SEN S/N: 10574903)","Coupler Attached (LGR S/N: 10574903)","Coupler Detached (LGR S/N: 10574903)","Host Connected (LGR S/N: 10574903)","Stopped (LGR S/N: 10574903)","End Of File (LGR S/N: 10574903)"
1,09/14/15 01:00:00 PM,15.664,549.0,,,,,
2,09/14/15 04:00:00 PM,12.013,1722.2,,,,,
3,09/14/15 07:00:00 PM,11.139,150.7,,,,,
4,09/14/15 10:00:00 PM,9.373,0.0,,,,,
5,09/15/15 01:00:00 AM,8.680,0.0,,,,,
6,09/15/15 04:00:00 AM,6.978,0.0,,,,,
7,09/15/15 07:00:00 AM,7.179,32.3,,,,,
8,09/15/15 10:00:00 AM,8.481,1377.8,,,,,
9,09/15/15 01:00:00 PM,11.722,2497.2,,,,,
10,09/15/15 04:00:00 PM,12.110,1722.2,,,,,
11,09/15/15 07:00:00 PM,11.041,43.1,,,,,
12,09/15/15 10:00:00 PM,9.768,0.0,,,,,
13,09/16/15 01:00:00 AM,8.680,0.0,,,,,
14,09/16/15 04:00:00 AM,7.882,0.0,,,,,
15,09/16/15 07:00:00 AM,7.179,86.1,,,,,
16,09/16/15 10:00:00 AM,9.571,1377.8,,,,,
17,09/16/15 01:00:00 PM,14.038,2238.9,,,,,
18,09/16/15 04:00:00 PM,12.787,1248.6,,,,,
19,09/16/15 07:00:00 PM,11.625,64.6,,,,,
20,09/16/15 10:00:00 PM,10.455,0.0,,,,,
21,09/17/15 01:00:00 AM,10.161,0.0,,,,,
22,09/17/15 04:00:00 AM,9.965,0.0,,,,,
23,09/17/15 07:00:00 AM,9.768,172.2,,,,,
24,09/17/15 10:00:00 AM,10.944,1087.2,,,,,
25,09/17/15 01:00:00 PM,12.207,1550.0,,,,,
26,09/17/15 04:00:00 PM,12.013,699.7,,,,,
27,09/17/15 07:00:00 PM,11.431,32.3,,,,,
28,09/17/15 10:00:00 PM,10.846,0.0,,,,,
29,09/18/15 01:00:00 AM,10.063,0.0,,,,,
30,09/18/15 04:00:00 AM,9.866,0.0,,,,,
31,09/18/15 07:00:00 AM,9.176,10.8,,,,,
