"Plot Title: TO11-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10517316, SEN S/N: 10517316)","Intensity, Lux (LGR S/N: 10517316, SEN S/N: 10517316)","Coupler Attached (LGR S/N: 10517316)","Host Connected (LGR S/N: 10517316)","Stopped (LGR S/N: 10517316)","End Of File (LGR S/N: 10517316)"
1,09/14/15 01:00:00 PM,15.569,462.9,,,,
2,09/14/15 04:00:00 PM,11.236,581.3,,,,
3,09/14/15 07:00:00 PM,10.846,53.8,,,,
4,09/14/15 10:00:00 PM,9.571,0.0,,,,
5,09/15/15 01:00:00 AM,8.978,0.0,,,,
6,09/15/15 04:00:00 AM,7.481,0.0,,,,
7,09/15/15 07:00:00 AM,7.582,0.0,,,,
8,09/15/15 10:00:00 AM,8.282,333.7,,,,
9,09/15/15 01:00:00 PM,10.553,1108.7,,,,
10,09/15/15 04:00:00 PM,11.041,656.6,,,,
11,09/15/15 07:00:00 PM,10.651,10.8,,,,
12,09/15/15 10:00:00 PM,9.768,0.0,,,,
13,09/16/15 01:00:00 AM,8.978,0.0,,,,
14,09/16/15 04:00:00 AM,8.282,0.0,,,,
15,09/16/15 07:00:00 AM,7.582,10.8,,,,
16,09/16/15 10:00:00 AM,9.077,473.6,,,,
17,09/16/15 01:00:00 PM,11.041,850.4,,,,
18,09/16/15 04:00:00 PM,11.431,484.4,,,,
19,09/16/15 07:00:00 PM,11.139,10.8,,,,
20,09/16/15 10:00:00 PM,10.455,0.0,,,,
21,09/17/15 01:00:00 AM,10.259,0.0,,,,
22,09/17/15 04:00:00 AM,10.063,0.0,,,,
23,09/17/15 07:00:00 AM,9.866,53.8,,,,
24,09/17/15 10:00:00 AM,10.651,462.9,,,,
25,09/17/15 01:00:00 PM,11.528,893.4,,,,
26,09/17/15 04:00:00 PM,11.625,301.4,,,,
27,09/17/15 07:00:00 PM,11.334,10.8,,,,
28,09/17/15 10:00:00 PM,10.846,0.0,,,,
29,09/18/15 01:00:00 AM,10.259,0.0,,,,
30,09/18/15 04:00:00 AM,9.965,0.0,,,,
31,09/18/15 07:00:00 AM,9.472,0.0,,,,
32,09/18/15 10:00:00 AM,10.161,1076.4,,,,
33,09/18/15 01:00:00 PM,11.916,1141.0,,,,
34,09/18/15 04:00:00 PM,12.690,721.2,,,,
35,09/18/15 07:00:00 PM,12.401,21.5,,,,
36,09/18/15 10:00:00 PM,11.916,0.0,,,,
37,09/19/15 01:00:00 AM,11.431,0.0,,,,
38,09/19/15 04:00:00 AM,10.748,0.0,,,,
39,09/19/15 07:00:00 AM,10.259,0.0,,,,
40,09/19/15 10:00:00 AM,11.528,538.2,,,,
41,09/19/15 01:00:00 PM,12.980,958.0,,,,
42,09/19/15 04:00:00 PM,13.461,279.9,,,,
43,09/19/15 07:00:00 PM,13.173,0.0,,,,
44,09/19/15 10:00:00 PM,13.076,0.0,,,,
45,09/20/15 01:00:00 AM,13.076,0.0,,,,
46,09/20/15 04:00:00 AM,13.076,0.0,,,,
