"Plot Title: TO11-S5-B"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995173, SEN S/N: 9995173)","Intensity, Lux (LGR S/N: 9995173, SEN S/N: 9995173)","End Of File (LGR S/N: 9995173)"
1,09/14/15 01:00:00 PM,15.664,635.1,
2,09/14/15 04:00:00 PM,12.013,1894.5,
3,09/14/15 07:00:00 PM,10.944,172.2,
4,09/14/15 10:00:00 PM,9.275,0.0,
5,09/15/15 01:00:00 AM,8.581,0.0,
6,09/15/15 04:00:00 AM,6.674,0.0,
7,09/15/15 07:00:00 AM,6.877,32.3,
8,09/15/15 10:00:00 AM,8.182,1194.8,
9,09/15/15 01:00:00 PM,11.625,3100.0,
10,09/15/15 04:00:00 PM,12.013,2066.7,
11,09/15/15 07:00:00 PM,10.846,43.1,
12,09/15/15 10:00:00 PM,9.571,0.0,
13,09/16/15 01:00:00 AM,8.581,0.0,
14,09/16/15 04:00:00 AM,7.782,0.0,
15,09/16/15 07:00:00 AM,7.079,75.3,
16,09/16/15 10:00:00 AM,9.472,1722.2,
17,09/16/15 01:00:00 PM,12.207,2669.5,
18,09/16/15 04:00:00 PM,12.497,1356.3,
19,09/16/15 07:00:00 PM,11.431,75.3,
20,09/16/15 10:00:00 PM,10.357,0.0,
21,09/17/15 01:00:00 AM,10.063,0.0,
22,09/17/15 04:00:00 AM,9.965,0.0,
23,09/17/15 07:00:00 AM,9.768,204.5,
24,09/17/15 10:00:00 AM,10.944,1377.8,
25,09/17/15 01:00:00 PM,12.401,2583.4,
26,09/17/15 04:00:00 PM,12.110,979.5,
27,09/17/15 07:00:00 PM,11.528,53.8,
28,09/17/15 10:00:00 PM,10.748,0.0,
29,09/18/15 01:00:00 AM,9.965,0.0,
30,09/18/15 04:00:00 AM,9.768,0.0,
31,09/18/15 07:00:00 AM,9.077,10.8,
32,09/18/15 10:00:00 AM,10.553,4650.0,
33,09/18/15 01:00:00 PM,13.461,4994.5,
