"Plot Title: AE10-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163326, SEN S/N: 10163326, LBL: C)","Intensity, Lux (LGR S/N: 10163326, SEN S/N: 10163326, LBL: LUX)","Coupler Attached (LGR S/N: 10163326)","Host Connected (LGR S/N: 10163326)","Stopped (LGR S/N: 10163326)","End Of File (LGR S/N: 10163326)"
1,09/20/16 01:00:00 PM,6.370,5338.9,,,,
2,09/20/16 04:00:00 PM,8.481,4133.4,,,,
3,09/20/16 07:00:00 PM,6.064,96.9,,,,
4,09/20/16 10:00:00 PM,4.727,0.0,,,,
5,09/21/16 01:00:00 AM,4.519,0.0,,,,
6,09/21/16 04:00:00 AM,4.415,0.0,,,,
7,09/21/16 07:00:00 AM,4.102,32.3,,,,
8,09/21/16 10:00:00 AM,6.268,2497.2,,,,
9,09/21/16 01:00:00 PM,7.983,3961.1,,,,
10,09/21/16 04:00:00 PM,8.282,2755.6,,,,
11,09/21/16 07:00:00 PM,6.166,32.3,,,,
12,09/21/16 10:00:00 PM,5.347,0.0,,,,
13,09/22/16 01:00:00 AM,4.519,0.0,,,,
14,09/22/16 04:00:00 AM,4.311,0.0,,,,
15,09/22/16 07:00:00 AM,3.578,32.3,,,,
16,09/22/16 10:00:00 AM,4.934,2066.7,,,,
17,09/22/16 01:00:00 PM,7.983,5166.7,,,,
18,09/22/16 04:00:00 PM,7.179,925.7,,,,
19,09/22/16 07:00:00 PM,6.471,10.8,,,,
20,09/22/16 10:00:00 PM,5.757,0.0,,,,
21,09/23/16 01:00:00 AM,5.037,0.0,,,,
22,09/23/16 04:00:00 AM,4.311,0.0,,,,
23,09/23/16 07:00:00 AM,3.998,21.5,,,,
24,09/23/16 10:00:00 AM,3.893,742.7,,,,
25,09/23/16 01:00:00 PM,4.934,850.4,,,,
26,09/23/16 04:00:00 PM,5.757,796.5,,,,
27,09/23/16 07:00:00 PM,5.860,21.5,,,,
28,09/23/16 10:00:00 PM,3.893,0.0,,,,
29,09/24/16 01:00:00 AM,3.998,0.0,,,,
30,09/24/16 04:00:00 AM,4.102,0.0,,,,
31,09/24/16 07:00:00 AM,3.893,32.3,,,,
32,09/24/16 10:00:00 AM,4.102,1291.7,,,,
33,09/24/16 01:00:00 PM,7.179,4305.6,,,,
34,09/24/16 04:00:00 PM,9.077,2755.6,,,,
35,09/24/16 07:00:00 PM,8.082,43.1,,,,
36,09/24/16 10:00:00 PM,7.481,0.0,,,,
37,09/25/16 01:00:00 AM,6.573,0.0,,,,
38,09/25/16 04:00:00 AM,6.268,0.0,,,,
39,09/25/16 07:00:00 AM,7.481,32.3,,,,
40,09/25/16 10:00:00 AM,9.472,2325.0,,,,
41,09/25/16 01:00:00 PM,12.690,3961.1,,,,
42,09/25/16 04:00:00 PM,14.230,1894.5,,,,
43,09/25/16 07:00:00 PM,12.690,0.0,,,,
44,09/25/16 10:00:00 PM,12.401,0.0,,,,
45,09/26/16 01:00:00 AM,12.304,0.0,,,,
46,09/26/16 04:00:00 AM,12.304,0.0,,,,
47,09/26/16 07:00:00 AM,12.497,10.8,,,,
48,09/26/16 10:00:00 AM,13.846,2325.0,,,,
49,09/26/16 01:00:00 PM,16.903,4133.4,,,,
50,09/26/16 04:00:00 PM,17.189,1636.1,,,,
51,09/26/16 07:00:00 PM,14.517,10.8,,,,
52,09/26/16 10:00:00 PM,12.497,0.0,,,,
53,09/27/16 01:00:00 AM,11.041,0.0,,,,
54,09/27/16 04:00:00 AM,10.259,0.0,,,,
55,09/27/16 07:00:00 AM,9.373,0.0,,,,
56,09/27/16 10:00:00 AM,10.063,4133.4,,,,
57,09/27/16 01:00:00 PM,10.748,2927.8,,,,
58,09/27/16 04:00:00 PM,11.916,2411.1,,,,
59,09/27/16 07:00:00 PM,9.866,10.8,,,,
60,09/27/16 10:00:00 PM,8.680,0.0,,,,
61,09/28/16 01:00:00 AM,9.077,0.0,,,,
62,09/28/16 04:00:00 AM,9.866,0.0,,,,
63,09/28/16 07:00:00 AM,9.669,53.8,,,,
64,09/28/16 10:00:00 AM,11.334,3444.5,,,,
65,09/28/16 01:00:00 PM,13.365,4133.4,,,,
66,09/28/16 04:00:00 PM,13.173,1636.1,,,,
67,09/28/16 07:00:00 PM,9.965,0.0,,,,
