"Plot Title: SPRY-A1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10195303, SEN S/N: 10195303)","Coupler Attached (LGR S/N: 10195303)","Host Connected (LGR S/N: 10195303)","Stopped (LGR S/N: 10195303)","End Of File (LGR S/N: 10195303)"
1,07/13/16 01:00:00 PM,8.978,,,,
2,07/13/16 03:00:00 PM,8.978,,,,
3,07/13/16 05:00:00 PM,8.680,,,,
4,07/13/16 07:00:00 PM,8.382,,,,
5,07/13/16 09:00:00 PM,7.481,,,,
6,07/13/16 11:00:00 PM,4.415,,,,
7,07/14/16 01:00:00 AM,4.727,,,,
8,07/14/16 03:00:00 AM,6.064,,,,
9,07/14/16 05:00:00 AM,6.674,,,,
10,07/14/16 07:00:00 AM,7.079,,,,
11,07/14/16 09:00:00 AM,9.373,,,,
12,07/14/16 11:00:00 AM,11.041,,,,
13,07/14/16 01:00:00 PM,12.110,,,,
14,07/14/16 03:00:00 PM,11.236,,,,
15,07/14/16 05:00:00 PM,9.768,,,,
16,07/14/16 07:00:00 PM,9.176,,,,
17,07/14/16 09:00:00 PM,7.682,,,,
18,07/14/16 11:00:00 PM,7.079,,,,
19,07/15/16 01:00:00 AM,6.064,,,,
20,07/15/16 03:00:00 AM,5.757,,,,
21,07/15/16 05:00:00 AM,5.552,,,,
22,07/15/16 07:00:00 AM,5.347,,,,
23,07/15/16 09:00:00 AM,7.079,,,,
24,07/15/16 11:00:00 AM,9.965,,,,
25,07/15/16 01:00:00 PM,7.481,,,,
26,07/15/16 03:00:00 PM,9.472,,,,
27,07/15/16 05:00:00 PM,8.382,,,,
28,07/15/16 07:00:00 PM,7.882,,,,
29,07/15/16 09:00:00 PM,6.978,,,,
30,07/15/16 11:00:00 PM,6.064,,,,
31,07/16/16 01:00:00 AM,5.655,,,,
32,07/16/16 03:00:00 AM,6.064,,,,
33,07/16/16 05:00:00 AM,6.978,,,,
34,07/16/16 07:00:00 AM,7.381,,,,
35,07/16/16 09:00:00 AM,9.571,,,,
36,07/16/16 11:00:00 AM,12.980,,,,
37,07/16/16 01:00:00 PM,8.481,,,,
38,07/16/16 03:00:00 PM,8.680,,,,
39,07/16/16 05:00:00 PM,9.176,,,,
40,07/16/16 07:00:00 PM,8.978,,,,
41,07/16/16 09:00:00 PM,8.182,,,,
42,07/16/16 11:00:00 PM,7.381,,,,
43,07/17/16 01:00:00 AM,6.775,,,,
44,07/17/16 03:00:00 AM,7.381,,,,
45,07/17/16 05:00:00 AM,6.978,,,,
46,07/17/16 07:00:00 AM,7.682,,,,
47,07/17/16 09:00:00 AM,10.846,,,,
48,07/17/16 11:00:00 AM,13.750,,,,
49,07/17/16 01:00:00 PM,13.076,,,,
50,07/17/16 03:00:00 PM,10.553,,,,
51,07/17/16 05:00:00 PM,10.748,,,,
52,07/17/16 07:00:00 PM,10.748,,,,
53,07/17/16 09:00:00 PM,9.965,,,,
54,07/17/16 11:00:00 PM,8.779,,,,
55,07/18/16 01:00:00 AM,7.882,,,,
56,07/18/16 03:00:00 AM,7.079,,,,
57,07/18/16 05:00:00 AM,7.381,,,,
58,07/18/16 07:00:00 AM,7.782,,,,
59,07/18/16 09:00:00 AM,8.978,,,,
60,07/18/16 11:00:00 AM,8.779,,,,
61,07/18/16 01:00:00 PM,8.581,,,,
62,07/18/16 03:00:00 PM,7.882,,,,
63,07/18/16 05:00:00 PM,8.680,,,,
64,07/18/16 07:00:00 PM,7.782,,,,
65,07/18/16 09:00:00 PM,7.381,,,,
66,07/18/16 11:00:00 PM,7.079,,,,
67,07/19/16 01:00:00 AM,6.674,,,,
68,07/19/16 03:00:00 AM,6.877,,,,
69,07/19/16 05:00:00 AM,6.573,,,,
70,07/19/16 07:00:00 AM,6.674,,,,
71,07/19/16 09:00:00 AM,6.573,,,,
72,07/19/16 11:00:00 AM,7.582,,,,
73,07/19/16 01:00:00 PM,7.983,,,,
74,07/19/16 03:00:00 PM,8.779,,,,
75,07/19/16 05:00:00 PM,8.382,,,,
76,07/19/16 07:00:00 PM,8.779,,,,
77,07/19/16 09:00:00 PM,8.082,,,,
78,07/19/16 11:00:00 PM,6.775,,,,
79,07/20/16 01:00:00 AM,5.655,,,,
80,07/20/16 03:00:00 AM,5.757,,,,
81,07/20/16 05:00:00 AM,5.037,,,,
82,07/20/16 07:00:00 AM,5.347,,,,
83,07/20/16 09:00:00 AM,7.782,,,,
84,07/20/16 11:00:00 AM,10.748,,,,
85,07/20/16 01:00:00 PM,11.819,,,,
86,07/20/16 03:00:00 PM,11.236,,,,
87,07/20/16 05:00:00 PM,12.690,,,,
88,07/20/16 07:00:00 PM,13.076,,,,
89,07/20/16 09:00:00 PM,10.357,,,,
90,07/20/16 11:00:00 PM,8.978,,,,
91,07/21/16 01:00:00 AM,8.382,,,,
92,07/21/16 03:00:00 AM,9.472,,,,
93,07/21/16 05:00:00 AM,8.978,,,,
94,07/21/16 07:00:00 AM,10.161,,,,
95,07/21/16 09:00:00 AM,14.038,,,,
96,07/21/16 11:00:00 AM,17.475,,,,
97,07/21/16 01:00:00 PM,18.616,,,,
98,07/21/16 03:00:00 PM,17.855,,,,
99,07/21/16 05:00:00 PM,15.951,,,,
100,07/21/16 07:00:00 PM,13.365,,,,
101,07/21/16 09:00:00 PM,12.110,,,,
102,07/21/16 11:00:00 PM,10.259,,,,
103,07/22/16 01:00:00 AM,9.077,,,,
104,07/22/16 03:00:00 AM,8.481,,,,
105,07/22/16 05:00:00 AM,7.381,,,,
106,07/22/16 07:00:00 AM,6.370,,,,
107,07/22/16 09:00:00 AM,6.573,,,,
108,07/22/16 11:00:00 AM,6.166,,,,
109,07/22/16 01:00:00 PM,7.381,,,,
110,07/22/16 03:00:00 PM,7.682,,,,
111,07/22/16 05:00:00 PM,7.381,,,,
112,07/22/16 07:00:00 PM,7.179,,,,
113,07/22/16 09:00:00 PM,6.268,,,,
114,07/22/16 11:00:00 PM,6.471,,,,
115,07/23/16 01:00:00 AM,5.244,,,,
116,07/23/16 03:00:00 AM,4.415,,,,
117,07/23/16 05:00:00 AM,3.788,,,,
118,07/23/16 07:00:00 AM,4.519,,,,
119,07/23/16 09:00:00 AM,5.860,,,,
120,07/23/16 11:00:00 AM,8.879,,,,
121,07/23/16 01:00:00 PM,9.866,,,,
122,07/23/16 03:00:00 PM,8.481,,,,
123,07/23/16 05:00:00 PM,8.082,,,,
124,07/23/16 07:00:00 PM,8.978,,,,
125,07/23/16 09:00:00 PM,7.983,,,,
126,07/23/16 11:00:00 PM,6.775,,,,
127,07/24/16 01:00:00 AM,8.382,,,,
128,07/24/16 03:00:00 AM,9.571,,,,
129,07/24/16 05:00:00 AM,10.259,,,,
130,07/24/16 07:00:00 AM,10.748,,,,
131,07/24/16 09:00:00 AM,13.846,,,,
132,07/24/16 11:00:00 AM,16.999,,,,
133,07/24/16 01:00:00 PM,18.236,,,,
134,07/24/16 03:00:00 PM,17.760,,,,
135,07/24/16 05:00:00 PM,17.284,,,,
136,07/24/16 07:00:00 PM,15.664,,,,
137,07/24/16 09:00:00 PM,14.421,,,,
138,07/24/16 11:00:00 PM,13.365,,,,
139,07/25/16 01:00:00 AM,13.942,,,,
140,07/25/16 03:00:00 AM,13.654,,,,
141,07/25/16 05:00:00 AM,13.654,,,,
142,07/25/16 07:00:00 AM,13.750,,,,
143,07/25/16 09:00:00 AM,16.903,,,,
144,07/25/16 11:00:00 AM,19.092,,,,
145,07/25/16 01:00:00 PM,18.426,,,,
146,07/25/16 03:00:00 PM,19.472,,,,
147,07/25/16 05:00:00 PM,17.950,,,,
148,07/25/16 07:00:00 PM,15.473,,,,
149,07/25/16 09:00:00 PM,13.173,,,,
150,07/25/16 11:00:00 PM,12.594,,,,
151,07/26/16 01:00:00 AM,11.819,,,,
152,07/26/16 03:00:00 AM,12.013,,,,
153,07/26/16 05:00:00 AM,11.916,,,,
154,07/26/16 07:00:00 AM,10.846,,,,
