"Plot Title: AO03-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995165, SEN S/N: 9995165, LBL: C)","Intensity, Lux (LGR S/N: 9995165, SEN S/N: 9995165, LBL: Lux)","End Of File (LGR S/N: 9995165)"
1,09/09/16 01:00:00 PM,13.365,3100.0,
2,09/09/16 04:00:00 PM,14.709,656.6,
3,09/09/16 07:00:00 PM,12.207,21.5,
4,09/09/16 10:00:00 PM,10.259,0.0,
5,09/10/16 01:00:00 AM,8.978,0.0,
6,09/10/16 04:00:00 AM,8.082,0.0,
7,09/10/16 07:00:00 AM,7.782,21.5,
8,09/10/16 10:00:00 AM,9.866,3788.9,
9,09/10/16 01:00:00 PM,16.618,2325.0,
10,09/10/16 04:00:00 PM,18.426,1636.1,
11,09/10/16 07:00:00 PM,15.855,43.1,
12,09/10/16 10:00:00 PM,12.690,0.0,
13,09/11/16 01:00:00 AM,12.013,0.0,
14,09/11/16 04:00:00 AM,10.063,0.0,
15,09/11/16 07:00:00 AM,8.779,43.1,
16,09/11/16 10:00:00 AM,9.176,2066.7,
17,09/11/16 01:00:00 PM,12.207,4650.0,
18,09/11/16 04:00:00 PM,12.401,839.6,
19,09/11/16 07:00:00 PM,10.748,21.5,
20,09/11/16 10:00:00 PM,9.373,0.0,
21,09/12/16 01:00:00 AM,6.978,0.0,
22,09/12/16 04:00:00 AM,6.166,0.0,
23,09/12/16 07:00:00 AM,5.450,21.5,
24,09/12/16 10:00:00 AM,9.669,4133.4,
25,09/12/16 01:00:00 PM,12.690,2238.9,
26,09/12/16 04:00:00 PM,13.558,785.8,
27,09/12/16 07:00:00 PM,10.846,21.5,
28,09/12/16 10:00:00 PM,7.983,0.0,
29,09/13/16 01:00:00 AM,6.471,0.0,
30,09/13/16 04:00:00 AM,5.347,0.0,
31,09/13/16 07:00:00 AM,4.831,21.5,
32,09/13/16 10:00:00 AM,8.282,3272.2,
33,09/13/16 01:00:00 PM,13.076,2152.8,
34,09/13/16 04:00:00 PM,14.613,699.7,
35,09/13/16 07:00:00 PM,11.041,21.5,
36,09/13/16 10:00:00 PM,8.879,0.0,
37,09/14/16 01:00:00 AM,7.381,0.0,
38,09/14/16 04:00:00 AM,6.268,0.0,
39,09/14/16 07:00:00 AM,5.655,21.5,
40,09/14/16 10:00:00 AM,8.382,2755.6,
41,09/14/16 01:00:00 PM,15.091,2152.8,
42,09/14/16 04:00:00 PM,16.523,645.8,
43,09/14/16 07:00:00 PM,13.269,10.8,
44,09/14/16 10:00:00 PM,10.161,0.0,
45,09/15/16 01:00:00 AM,8.282,0.0,
46,09/15/16 04:00:00 AM,7.179,0.0,
47,09/15/16 07:00:00 AM,6.268,10.8,
48,09/15/16 10:00:00 AM,8.182,2411.1,
49,09/15/16 01:00:00 PM,14.900,2066.7,
50,09/15/16 04:00:00 PM,17.189,645.8,
51,09/15/16 07:00:00 PM,14.038,10.8,
52,09/15/16 10:00:00 PM,10.846,0.0,
53,09/16/16 01:00:00 AM,8.680,0.0,
