"Plot Title: AV06-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401770, SEN S/N: 2401770, LBL: C)","Intensity, Lux (LGR S/N: 2401770, SEN S/N: 2401770, LBL: Lux)","Bad Battery (LGR S/N: 2401770)","End Of File (LGR S/N: 2401770)"
1,09/07/16 01:00:00 PM,14.325,13089.0,,
2,09/07/16 04:00:00 PM,12.690,3444.5,,
3,09/07/16 07:00:00 PM,10.846,441.3,,
4,09/07/16 10:00:00 PM,9.768,0.0,,
5,09/08/16 01:00:00 AM,9.176,0.0,,
6,09/08/16 04:00:00 AM,9.077,0.0,,
7,09/08/16 07:00:00 AM,9.077,441.3,,
8,09/08/16 10:00:00 AM,10.553,5511.1,,
9,09/08/16 01:00:00 PM,13.942,8266.7,,
10,09/08/16 04:00:00 PM,12.883,3788.9,,
11,09/08/16 07:00:00 PM,10.161,462.9,,
12,09/08/16 10:00:00 PM,9.275,0.0,,
13,09/09/16 01:00:00 AM,7.179,0.0,,
14,09/09/16 04:00:00 AM,6.166,0.0,,
15,09/09/16 07:00:00 AM,5.757,183.0,,
16,09/09/16 10:00:00 AM,8.481,1722.2,,
17,09/09/16 01:00:00 PM,14.230,6200.0,,
18,09/09/16 04:00:00 PM,14.996,2755.6,,
19,09/09/16 07:00:00 PM,12.110,96.9,,
20,09/09/16 10:00:00 PM,10.357,0.0,,
21,09/10/16 01:00:00 AM,9.571,0.0,,
22,09/10/16 04:00:00 AM,9.176,0.0,,
23,09/10/16 07:00:00 AM,8.978,75.3,,
24,09/10/16 10:00:00 AM,10.944,1463.9,,
25,09/10/16 01:00:00 PM,16.332,3961.1,,
26,09/10/16 04:00:00 PM,16.618,3444.5,,
27,09/10/16 07:00:00 PM,13.365,107.6,,
28,09/10/16 10:00:00 PM,12.304,0.0,,
29,09/11/16 01:00:00 AM,11.139,0.0,,
30,09/11/16 04:00:00 AM,9.275,0.0,,
31,09/11/16 07:00:00 AM,8.282,43.1,,
32,09/11/16 10:00:00 AM,9.472,3788.9,,
33,09/11/16 01:00:00 PM,11.236,3961.1,,
34,09/11/16 04:00:00 PM,11.041,3961.1,,
35,09/11/16 07:00:00 PM,10.455,258.3,,
36,09/11/16 10:00:00 PM,7.582,0.0,,
37,09/12/16 01:00:00 AM,6.573,0.0,,
38,09/12/16 04:00:00 AM,6.064,0.0,,
39,09/12/16 07:00:00 AM,6.064,86.1,,
40,09/12/16 10:00:00 AM,8.382,1550.0,,
41,09/12/16 01:00:00 PM,12.594,4133.4,,
42,09/12/16 04:00:00 PM,13.173,2927.8,,
43,09/12/16 07:00:00 PM,10.651,96.9,,
44,09/12/16 10:00:00 PM,8.282,0.0,,
45,09/13/16 01:00:00 AM,7.882,0.0,,
46,09/13/16 04:00:00 AM,6.775,0.0,,
47,09/13/16 07:00:00 AM,6.268,86.1,,
48,09/13/16 10:00:00 AM,8.382,1550.0,,
49,09/13/16 01:00:00 PM,14.325,3961.1,,
50,09/13/16 04:00:00 PM,14.900,2755.6,,
51,09/13/16 07:00:00 PM,11.334,96.9,,
52,09/13/16 10:00:00 PM,9.077,0.0,,
53,09/14/16 01:00:00 AM,8.282,0.0,,
54,09/14/16 04:00:00 AM,7.782,0.0,,
55,09/14/16 07:00:00 AM,7.481,86.1,,
56,09/14/16 10:00:00 AM,9.373,1550.0,,
57,09/14/16 01:00:00 PM,15.282,3961.1,,
58,09/14/16 04:00:00 PM,15.569,2755.6,,
59,09/14/16 07:00:00 PM,12.013,96.9,,
60,09/14/16 10:00:00 PM,9.472,0.0,,
61,09/15/16 01:00:00 AM,8.382,0.0,,
62,09/15/16 04:00:00 AM,7.983,0.0,,
63,09/15/16 07:00:00 AM,7.481,75.3,,
64,09/15/16 10:00:00 AM,9.472,1463.9,,
65,09/15/16 01:00:00 PM,15.473,3788.9,,
66,09/15/16 04:00:00 PM,16.427,2755.6,,
67,09/15/16 07:00:00 PM,12.787,86.1,,
68,09/15/16 10:00:00 PM,10.357,0.0,,
69,09/16/16 01:00:00 AM,9.571,0.0,,
70,09/16/16 04:00:00 AM,8.879,0.0,,
71,09/16/16 07:00:00 AM,8.581,64.6,,
72,09/16/16 10:00:00 AM,11.722,5511.1,,
73,09/16/16 01:00:00 PM,18.140,5511.1,,
74,09/16/16 04:00:00 PM,17.760,6544.5,,
75,09/16/16 07:00:00 PM,13.750,462.9,,
76,09/16/16 10:00:00 PM,12.497,0.0,,
77,09/17/16 01:00:00 AM,12.497,0.0,,
78,09/17/16 04:00:00 AM,10.846,0.0,,
79,09/17/16 07:00:00 AM,9.472,0.0,,
80,09/17/16 10:00:00 AM,10.651,1216.3,,
81,09/17/16 01:00:00 PM,10.748,731.9,,
82,09/17/16 04:00:00 PM,10.553,527.4,,
83,09/17/16 07:00:00 PM,10.161,43.1,,
84,09/17/16 10:00:00 PM,10.161,0.0,,
85,09/18/16 01:00:00 AM,10.259,0.0,,
86,09/18/16 04:00:00 AM,9.275,0.0,,
87,09/18/16 07:00:00 AM,8.581,53.8,,
88,09/18/16 10:00:00 AM,9.571,3100.0,,
89,09/18/16 01:00:00 PM,12.497,3272.2,,
90,09/18/16 04:00:00 PM,11.625,5166.7,,
91,09/18/16 07:00:00 PM,10.063,172.2,,
92,09/18/16 10:00:00 PM,9.275,0.0,,
93,09/19/16 01:00:00 AM,8.481,0.0,,
94,09/19/16 04:00:00 AM,7.782,0.0,,
95,09/19/16 07:00:00 AM,7.782,0.0,,
96,09/19/16 10:00:00 AM,8.182,807.3,,
97,09/19/16 01:00:00 PM,8.581,1722.2,,
98,09/19/16 04:00:00 PM,8.082,1377.8,,
99,09/19/16 07:00:00 PM,7.280,118.4,,
100,09/19/16 10:00:00 PM,6.370,0.0,,
101,09/20/16 01:00:00 AM,5.860,0.0,,
102,09/20/16 04:00:00 AM,4.311,0.0,,
103,09/20/16 07:00:00 AM,3.683,32.3,,
104,09/20/16 10:00:00 AM,5.244,1377.8,,
105,09/20/16 01:00:00 PM,9.866,3788.9,,
106,09/20/16 04:00:00 PM,10.357,2927.8,,
107,09/20/16 07:00:00 PM,8.182,86.1,,
108,09/20/16 10:00:00 PM,6.370,0.0,,
109,09/21/16 01:00:00 AM,5.450,0.0,,
110,09/21/16 04:00:00 AM,5.037,0.0,,
111,09/21/16 07:00:00 AM,4.623,32.3,,
112,09/21/16 10:00:00 AM,6.064,2066.7,,
113,09/21/16 01:00:00 PM,11.334,8266.7,,
114,09/21/16 04:00:00 PM,10.063,2927.8,,
115,09/21/16 07:00:00 PM,8.182,53.8,,
116,09/21/16 10:00:00 PM,7.079,0.0,,
117,09/22/16 01:00:00 AM,5.244,0.0,,
118,09/22/16 04:00:00 AM,4.623,0.0,,
119,09/22/16 07:00:00 AM,4.102,43.1,,
120,09/22/16 10:00:00 AM,5.962,2325.0,,
121,09/22/16 01:00:00 PM,12.207,6200.0,,
122,09/22/16 04:00:00 PM,9.669,1463.9,,
123,09/22/16 07:00:00 PM,8.978,21.5,,
124,09/22/16 10:00:00 PM,8.282,0.0,,
125,09/23/16 01:00:00 AM,7.481,0.0,,
126,09/23/16 04:00:00 AM,6.268,0.0,,
127,09/23/16 07:00:00 AM,6.166,21.5,,
128,09/23/16 10:00:00 AM,6.471,914.9,,
129,09/23/16 01:00:00 PM,7.179,1377.8,,
130,09/23/16 04:00:00 PM,7.983,1463.9,,
131,09/23/16 07:00:00 PM,8.082,32.3,,
132,09/23/16 10:00:00 PM,7.179,0.0,,
133,09/24/16 01:00:00 AM,6.674,0.0,,
134,09/24/16 04:00:00 AM,6.877,0.0,,
135,09/24/16 07:00:00 AM,5.962,43.1,,
136,09/24/16 10:00:00 AM,6.471,1119.5,,
137,09/24/16 01:00:00 PM,10.553,4822.3,,
138,09/24/16 04:00:00 PM,11.819,4133.4,,
139,09/24/16 07:00:00 PM,10.357,53.8,,
140,09/24/16 10:00:00 PM,9.768,0.0,,
141,09/25/16 01:00:00 AM,8.978,0.0,,
142,09/25/16 04:00:00 AM,7.280,0.0,,
143,09/25/16 07:00:00 AM,7.381,64.6,,
144,09/25/16 10:00:00 AM,9.275,1151.7,,
145,09/25/16 01:00:00 PM,14.421,3272.2,,
146,09/25/16 04:00:00 PM,16.141,2152.8,,
147,09/25/16 07:00:00 PM,12.883,10.8,,
148,09/25/16 10:00:00 PM,11.528,0.0,,
149,09/26/16 01:00:00 AM,10.944,0.0,,
150,09/26/16 04:00:00 AM,10.846,0.0,,
151,09/26/16 07:00:00 AM,10.748,10.8,,
