"Plot Title: AVO6-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995143, SEN S/N: 9995143, LBL: C)","Intensity, Lux (LGR S/N: 9995143, SEN S/N: 9995143, LBL: Lux)","Coupler Attached (LGR S/N: 9995143)","Host Connected (LGR S/N: 9995143)","Stopped (LGR S/N: 9995143)","End Of File (LGR S/N: 9995143)"
1,09/07/16 01:00:00 PM,12.594,7233.4,,,,
2,09/07/16 04:00:00 PM,12.304,1980.6,,,,
3,09/07/16 07:00:00 PM,10.944,247.6,,,,
4,09/07/16 10:00:00 PM,9.866,0.0,,,,
5,09/08/16 01:00:00 AM,9.275,0.0,,,,
6,09/08/16 04:00:00 AM,9.077,0.0,,,,
7,09/08/16 07:00:00 AM,9.077,204.5,,,,
8,09/08/16 10:00:00 AM,9.768,3616.7,,,,
9,09/08/16 01:00:00 PM,11.916,4650.0,,,,
10,09/08/16 04:00:00 PM,13.654,3961.1,,,,
11,09/08/16 07:00:00 PM,10.944,279.9,,,,
12,09/08/16 10:00:00 PM,9.669,0.0,,,,
13,09/09/16 01:00:00 AM,7.682,0.0,,,,
14,09/09/16 04:00:00 AM,6.370,0.0,,,,
15,09/09/16 07:00:00 AM,5.860,86.1,,,,
16,09/09/16 10:00:00 AM,8.082,1463.9,,,,
17,09/09/16 01:00:00 PM,13.173,3616.7,,,,
18,09/09/16 04:00:00 PM,16.141,14466.8,,,,
19,09/09/16 07:00:00 PM,13.365,53.8,,,,
20,09/09/16 10:00:00 PM,11.139,0.0,,,,
21,09/10/16 01:00:00 AM,10.259,0.0,,,,
22,09/10/16 04:00:00 AM,9.768,0.0,,,,
23,09/10/16 07:00:00 AM,9.472,32.3,,,,
24,09/10/16 10:00:00 AM,11.139,1377.8,,,,
25,09/10/16 01:00:00 PM,16.141,3100.0,,,,
26,09/10/16 04:00:00 PM,18.140,57867.0,,,,
27,09/10/16 07:00:00 PM,14.421,64.6,,,,
28,09/10/16 10:00:00 PM,12.980,0.0,,,,
29,09/11/16 01:00:00 AM,11.625,0.0,,,,
30,09/11/16 04:00:00 AM,9.669,0.0,,,,
31,09/11/16 07:00:00 AM,8.481,10.8,,,,
32,09/11/16 10:00:00 AM,8.879,2238.9,,,,
33,09/11/16 01:00:00 PM,10.357,1894.5,,,,
34,09/11/16 04:00:00 PM,10.944,2583.4,,,,
35,09/11/16 07:00:00 PM,10.651,193.8,,,,
36,09/11/16 10:00:00 PM,8.182,0.0,,,,
37,09/12/16 01:00:00 AM,6.978,0.0,,,,
38,09/12/16 04:00:00 AM,6.166,0.0,,,,
39,09/12/16 07:00:00 AM,6.268,43.1,,,,
40,09/12/16 10:00:00 AM,8.481,1463.9,,,,
41,09/12/16 01:00:00 PM,12.401,3444.5,,,,
42,09/12/16 04:00:00 PM,14.421,6200.0,,,,
43,09/12/16 07:00:00 PM,11.722,64.6,,,,
44,09/12/16 10:00:00 PM,9.077,0.0,,,,
45,09/13/16 01:00:00 AM,8.481,0.0,,,,
46,09/13/16 04:00:00 AM,7.381,0.0,,,,
47,09/13/16 07:00:00 AM,6.775,43.1,,,,
48,09/13/16 10:00:00 AM,8.481,1463.9,,,,
49,09/13/16 01:00:00 PM,13.846,3444.5,,,,
50,09/13/16 04:00:00 PM,15.951,5511.1,,,,
51,09/13/16 07:00:00 PM,12.594,64.6,,,,
52,09/13/16 10:00:00 PM,10.063,0.0,,,,
53,09/14/16 01:00:00 AM,8.978,0.0,,,,
54,09/14/16 04:00:00 AM,8.481,0.0,,,,
55,09/14/16 07:00:00 AM,8.082,43.1,,,,
56,09/14/16 10:00:00 AM,9.669,1377.8,,,,
57,09/14/16 01:00:00 PM,14.613,3444.5,,,,
58,09/14/16 04:00:00 PM,16.523,2497.2,,,,
59,09/14/16 07:00:00 PM,13.269,64.6,,,,
60,09/14/16 10:00:00 PM,10.553,0.0,,,,
61,09/15/16 01:00:00 AM,9.176,0.0,,,,
62,09/15/16 04:00:00 AM,8.581,0.0,,,,
63,09/15/16 07:00:00 AM,8.082,32.3,,,,
64,09/15/16 10:00:00 AM,9.768,1377.8,,,,
65,09/15/16 01:00:00 PM,15.378,3961.1,,,,
66,09/15/16 04:00:00 PM,17.570,2238.9,,,,
67,09/15/16 07:00:00 PM,14.134,53.8,,,,
68,09/15/16 10:00:00 PM,11.431,0.0,,,,
69,09/16/16 01:00:00 AM,10.455,0.0,,,,
70,09/16/16 04:00:00 AM,9.669,0.0,,,,
71,09/16/16 07:00:00 AM,9.275,32.3,,,,
72,09/16/16 10:00:00 AM,11.528,3616.7,,,,
73,09/16/16 01:00:00 PM,17.189,5338.9,,,,
74,09/16/16 04:00:00 PM,18.616,4477.8,,,,
75,09/16/16 07:00:00 PM,14.996,301.4,,,,
76,09/16/16 10:00:00 PM,13.269,0.0,,,,
77,09/17/16 01:00:00 AM,13.173,0.0,,,,
78,09/17/16 04:00:00 AM,11.528,0.0,,,,
79,09/17/16 07:00:00 AM,9.965,0.0,,,,
80,09/17/16 10:00:00 AM,10.748,775.0,,,,
81,09/17/16 01:00:00 PM,10.651,452.1,,,,
82,09/17/16 04:00:00 PM,10.553,366.0,,,,
83,09/17/16 07:00:00 PM,10.259,21.5,,,,
84,09/17/16 10:00:00 PM,10.259,0.0,,,,
85,09/18/16 01:00:00 AM,10.259,0.0,,,,
86,09/18/16 04:00:00 AM,9.373,0.0,,,,
87,09/18/16 07:00:00 AM,8.581,21.5,,,,
88,09/18/16 10:00:00 AM,9.077,1894.5,,,,
89,09/18/16 01:00:00 PM,11.139,3616.7,,,,
