"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163323, SEN S/N: 10163323, LBL: C)","Intensity, Lux (LGR S/N: 10163323, SEN S/N: 10163323, LBL: Lux)","Coupler Attached (LGR S/N: 10163323)","Host Connected (LGR S/N: 10163323)","Stopped (LGR S/N: 10163323)","End Of File (LGR S/N: 10163323)"
1,09/07/16 01:00:00 PM,12.401,5511.1,,,,
2,09/07/16 04:00:00 PM,12.013,1550.0,,,,
3,09/07/16 07:00:00 PM,10.357,183.0,,,,
4,09/07/16 10:00:00 PM,9.669,0.0,,,,
5,09/08/16 01:00:00 AM,9.077,0.0,,,,
6,09/08/16 04:00:00 AM,8.978,0.0,,,,
7,09/08/16 07:00:00 AM,8.779,129.2,,,,
8,09/08/16 10:00:00 AM,9.472,2755.6,,,,
9,09/08/16 01:00:00 PM,11.819,3788.9,,,,
10,09/08/16 04:00:00 PM,11.139,1722.2,,,,
11,09/08/16 07:00:00 PM,9.669,53.8,,,,
12,09/08/16 10:00:00 PM,8.779,0.0,,,,
13,09/09/16 01:00:00 AM,8.082,0.0,,,,
14,09/09/16 04:00:00 AM,7.381,0.0,,,,
15,09/09/16 07:00:00 AM,7.381,64.6,,,,
16,09/09/16 10:00:00 AM,11.625,2238.9,,,,
17,09/09/16 01:00:00 PM,14.709,3961.1,,,,
18,09/09/16 04:00:00 PM,15.091,1636.1,,,,
19,09/09/16 07:00:00 PM,13.558,32.3,,,,
20,09/09/16 10:00:00 PM,12.207,0.0,,,,
21,09/10/16 01:00:00 AM,12.497,0.0,,,,
22,09/10/16 04:00:00 AM,12.013,0.0,,,,
23,09/10/16 07:00:00 AM,11.916,21.5,,,,
24,09/10/16 10:00:00 AM,14.421,2325.0,,,,
25,09/10/16 01:00:00 PM,17.379,3616.7,,,,
26,09/10/16 04:00:00 PM,16.713,2755.6,,,,
27,09/10/16 07:00:00 PM,14.613,172.2,,,,
28,09/10/16 10:00:00 PM,12.594,0.0,,,,
29,09/11/16 01:00:00 AM,11.041,0.0,,,,
30,09/11/16 04:00:00 AM,9.077,0.0,,,,
31,09/11/16 07:00:00 AM,7.983,0.0,,,,
32,09/11/16 10:00:00 AM,7.882,419.8,,,,
33,09/11/16 01:00:00 PM,9.768,2497.2,,,,
34,09/11/16 04:00:00 PM,10.455,1130.2,,,,
35,09/11/16 07:00:00 PM,9.669,129.2,,,,
36,09/11/16 10:00:00 PM,8.282,0.0,,,,
37,09/12/16 01:00:00 AM,7.682,0.0,,,,
38,09/12/16 04:00:00 AM,7.280,0.0,,,,
39,09/12/16 07:00:00 AM,8.082,32.3,,,,
40,09/12/16 10:00:00 AM,10.455,2325.0,,,,
