"Plot Title: PP17-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995171, SEN S/N: 9995171, LBL: C)","Intensity, Lux (LGR S/N: 9995171, SEN S/N: 9995171, LBL: Lux)","Coupler Attached (LGR S/N: 9995171)","Coupler Detached (LGR S/N: 9995171)","Host Connected (LGR S/N: 9995171)","Stopped (LGR S/N: 9995171)","End Of File (LGR S/N: 9995171)"
1,09/16/16 01:00:00 PM,20.710,17222.3,,,,,
2,09/16/16 04:00:00 PM,21.091,10333.4,,,,,
3,09/16/16 07:00:00 PM,13.750,549.0,,,,,
4,09/16/16 10:00:00 PM,10.259,0.0,,,,,
5,09/17/16 01:00:00 AM,10.259,0.0,,,,,
6,09/17/16 04:00:00 AM,10.161,0.0,,,,,
7,09/17/16 07:00:00 AM,9.571,107.6,,,,,
8,09/17/16 10:00:00 AM,12.401,12400.1,,,,,
9,09/17/16 01:00:00 PM,13.750,9300.1,,,,,
10,09/17/16 04:00:00 PM,11.722,5166.7,,,,,
11,09/17/16 07:00:00 PM,10.259,75.3,,,,,
12,09/17/16 10:00:00 PM,9.669,0.0,,,,,
13,09/18/16 01:00:00 AM,9.472,0.0,,,,,
14,09/18/16 04:00:00 AM,9.176,0.0,,,,,
15,09/18/16 07:00:00 AM,7.782,193.8,,,,,
16,09/18/16 10:00:00 AM,10.161,13089.0,,,,,
17,09/18/16 01:00:00 PM,12.980,21355.7,,,,,
18,09/18/16 04:00:00 PM,12.304,8611.2,,,,,
19,09/18/16 07:00:00 PM,9.965,215.3,,,,,
20,09/18/16 10:00:00 PM,7.782,0.0,,,,,
21,09/19/16 01:00:00 AM,7.481,0.0,,,,,
22,09/19/16 04:00:00 AM,7.582,0.0,,,,,
23,09/19/16 07:00:00 AM,7.179,10.8,,,,,
24,09/19/16 10:00:00 AM,8.680,8266.7,,,,,
25,09/19/16 01:00:00 PM,10.063,7577.8,,,,,
26,09/19/16 04:00:00 PM,9.176,8266.7,,,,,
27,09/19/16 07:00:00 PM,6.877,226.0,,,,,
28,09/19/16 10:00:00 PM,4.519,0.0,,,,,
29,09/20/16 01:00:00 AM,2.943,0.0,,,,,
30,09/20/16 04:00:00 AM,1.764,0.0,,,,,
31,09/20/16 07:00:00 AM,1.221,118.4,,,,,
32,09/20/16 10:00:00 AM,5.552,5166.7,,,,,
33,09/20/16 01:00:00 PM,10.161,6544.5,,,,,
34,09/20/16 04:00:00 PM,13.269,38578.0,,,,,
35,09/20/16 07:00:00 PM,7.782,129.2,,,,,
36,09/20/16 10:00:00 PM,4.311,0.0,,,,,
37,09/21/16 01:00:00 AM,3.155,0.0,,,,,
38,09/21/16 04:00:00 AM,2.943,0.0,,,,,
39,09/21/16 07:00:00 AM,1.980,129.2,,,,,
40,09/21/16 10:00:00 AM,7.079,8266.7,,,,,
41,09/21/16 01:00:00 PM,9.965,7577.8,,,,,
42,09/21/16 04:00:00 PM,10.553,2927.8,,,,,
43,09/21/16 07:00:00 PM,7.682,86.1,,,,,
44,09/21/16 10:00:00 PM,4.207,0.0,,,,,
45,09/22/16 01:00:00 AM,2.943,0.0,,,,,
46,09/22/16 04:00:00 AM,2.730,0.0,,,,,
47,09/22/16 07:00:00 AM,1.764,139.9,,,,,
48,09/22/16 10:00:00 AM,6.877,7577.8,,,,,
49,09/22/16 01:00:00 PM,13.269,17911.2,,,,,
50,09/22/16 04:00:00 PM,11.916,5166.7,,,,,
51,09/22/16 07:00:00 PM,6.573,86.1,,,,,
52,09/22/16 10:00:00 PM,5.141,0.0,,,,,
53,09/23/16 01:00:00 AM,4.102,0.0,,,,,
54,09/23/16 04:00:00 AM,4.102,0.0,,,,,
55,09/23/16 07:00:00 AM,4.207,86.1,,,,,
56,09/23/16 10:00:00 AM,8.481,9644.5,,,,,
57,09/23/16 01:00:00 PM,10.553,12400.1,,,,,
58,09/23/16 04:00:00 PM,9.472,5511.1,,,,,
59,09/23/16 07:00:00 PM,6.268,118.4,,,,,
60,09/23/16 10:00:00 PM,6.064,0.0,,,,,
61,09/24/16 01:00:00 AM,3.578,0.0,,,,,
62,09/24/16 04:00:00 AM,2.730,0.0,,,,,
63,09/24/16 07:00:00 AM,2.088,150.7,,,,,
64,09/24/16 10:00:00 AM,6.370,6544.5,,,,,
65,09/24/16 01:00:00 PM,11.236,8266.7,,,,,
