"Plot Title: SUNR-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Intensity, Lux (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Coupler Attached (LGR S/N: 10603889)","Host Connected (LGR S/N: 10603889)","Stopped (LGR S/N: 10603889)","End Of File (LGR S/N: 10603889)"
1,09/15/16 01:00:00 PM,13.173,2152.8,,,,
2,09/15/16 04:00:00 PM,13.654,1636.1,,,,
3,09/15/16 07:00:00 PM,9.373,53.8,,,,
4,09/15/16 10:00:00 PM,8.481,0.0,,,,
5,09/16/16 01:00:00 AM,8.082,0.0,,,,
6,09/16/16 04:00:00 AM,7.682,0.0,,,,
7,09/16/16 07:00:00 AM,7.682,53.8,,,,
8,09/16/16 10:00:00 AM,10.455,2066.7,,,,
9,09/16/16 01:00:00 PM,14.804,3788.9,,,,
10,09/16/16 04:00:00 PM,14.325,2325.0,,,,
11,09/16/16 07:00:00 PM,10.846,129.2,,,,
12,09/16/16 10:00:00 PM,8.581,0.0,,,,
13,09/17/16 01:00:00 AM,8.382,0.0,,,,
14,09/17/16 04:00:00 AM,8.779,0.0,,,,
15,09/17/16 07:00:00 AM,8.680,0.0,,,,
16,09/17/16 10:00:00 AM,8.481,1313.2,,,,
17,09/17/16 01:00:00 PM,7.079,1463.9,,,,
18,09/17/16 04:00:00 PM,5.757,516.7,,,,
19,09/17/16 07:00:00 PM,6.166,32.3,,,,
20,09/17/16 10:00:00 PM,6.471,0.0,,,,
21,09/18/16 01:00:00 AM,5.757,0.0,,,,
22,09/18/16 04:00:00 AM,4.207,0.0,,,,
23,09/18/16 07:00:00 AM,2.730,21.5,,,,
24,09/18/16 10:00:00 AM,4.102,1636.1,,,,
25,09/18/16 01:00:00 PM,6.064,1033.3,,,,
26,09/18/16 04:00:00 PM,5.552,1463.9,,,,
27,09/18/16 07:00:00 PM,4.415,32.3,,,,
28,09/18/16 10:00:00 PM,3.788,0.0,,,,
29,09/19/16 01:00:00 AM,2.837,0.0,,,,
30,09/19/16 04:00:00 AM,2.195,0.0,,,,
31,09/19/16 07:00:00 AM,2.730,0.0,,,,
32,09/19/16 10:00:00 AM,3.367,1377.8,,,,
33,09/19/16 01:00:00 PM,3.788,3272.2,,,,
34,09/19/16 04:00:00 PM,3.155,785.8,,,,
35,09/19/16 07:00:00 PM,1.980,53.8,,,,
36,09/19/16 10:00:00 PM,1.112,0.0,,,,
37,09/20/16 01:00:00 AM,0.232,0.0,,,,
38,09/20/16 04:00:00 AM,-0.102,0.0,,,,
39,09/20/16 07:00:00 AM,0.010,21.5,,,,
40,09/20/16 10:00:00 AM,1.764,1636.1,,,,
41,09/20/16 01:00:00 PM,5.037,2755.6,,,,
42,09/20/16 04:00:00 PM,5.037,484.4,,,,
43,09/20/16 07:00:00 PM,2.517,0.0,,,,
44,09/20/16 10:00:00 PM,1.548,0.0,,,,
45,09/21/16 01:00:00 AM,1.221,0.0,,,,
46,09/21/16 04:00:00 AM,1.221,0.0,,,,
47,09/21/16 07:00:00 AM,0.784,21.5,,,,
48,09/21/16 10:00:00 AM,1.656,322.9,,,,
49,09/21/16 01:00:00 PM,3.261,1237.9,,,,
50,09/21/16 04:00:00 PM,3.788,193.8,,,,
51,09/21/16 07:00:00 PM,1.872,21.5,,,,
52,09/21/16 10:00:00 PM,2.088,0.0,,,,
53,09/22/16 01:00:00 AM,1.764,0.0,,,,
54,09/22/16 04:00:00 AM,1.656,0.0,,,,
55,09/22/16 07:00:00 AM,1.221,21.5,,,,
56,09/22/16 10:00:00 AM,2.730,2411.1,,,,
57,09/22/16 01:00:00 PM,4.623,1808.3,,,,
58,09/22/16 04:00:00 PM,4.831,667.4,,,,
59,09/22/16 07:00:00 PM,3.367,10.8,,,,
60,09/22/16 10:00:00 PM,2.730,0.0,,,,
61,09/23/16 01:00:00 AM,1.764,0.0,,,,
62,09/23/16 04:00:00 AM,1.656,0.0,,,,
63,09/23/16 07:00:00 AM,1.764,10.8,,,,
64,09/23/16 10:00:00 AM,3.049,1636.1,,,,
65,09/23/16 01:00:00 PM,5.860,1463.9,,,,
66,09/23/16 04:00:00 PM,6.166,2066.7,,,,
67,09/23/16 07:00:00 PM,4.102,21.5,,,,
68,09/23/16 10:00:00 PM,0.893,0.0,,,,
69,09/24/16 01:00:00 AM,1.112,0.0,,,,
70,09/24/16 04:00:00 AM,1.221,0.0,,,,
71,09/24/16 07:00:00 AM,0.893,21.5,,,,
72,09/24/16 10:00:00 AM,2.517,1377.8,,,,
73,09/24/16 01:00:00 PM,5.757,2755.6,,,,
74,09/24/16 04:00:00 PM,7.280,1636.1,,,,
75,09/24/16 07:00:00 PM,6.370,10.8,,,,
76,09/24/16 10:00:00 PM,6.268,0.0,,,,
77,09/25/16 01:00:00 AM,8.779,0.0,,,,
78,09/25/16 04:00:00 AM,9.275,0.0,,,,
79,09/25/16 07:00:00 AM,9.275,21.5,,,,
80,09/25/16 10:00:00 AM,9.472,1463.9,,,,
81,09/25/16 01:00:00 PM,11.722,2238.9,,,,
82,09/25/16 04:00:00 PM,12.690,1356.3,,,,
83,09/25/16 07:00:00 PM,11.236,0.0,,,,
84,09/25/16 10:00:00 PM,11.431,0.0,,,,
85,09/26/16 01:00:00 AM,10.455,0.0,,,,
86,09/26/16 04:00:00 AM,9.472,0.0,,,,
87,09/26/16 07:00:00 AM,9.866,0.0,,,,
88,09/26/16 10:00:00 AM,12.110,1550.0,,,,
89,09/26/16 01:00:00 PM,14.900,1808.3,,,,
90,09/26/16 04:00:00 PM,14.804,1280.9,,,,
91,09/26/16 07:00:00 PM,11.528,0.0,,,,
92,09/26/16 10:00:00 PM,9.965,0.0,,,,
93,09/27/16 01:00:00 AM,8.779,0.0,,,,
94,09/27/16 04:00:00 AM,7.381,0.0,,,,
95,09/27/16 07:00:00 AM,7.280,0.0,,,,
96,09/27/16 10:00:00 AM,7.983,1270.1,,,,
97,09/27/16 01:00:00 PM,8.680,2066.7,,,,
98,09/27/16 04:00:00 PM,8.779,635.1,,,,
99,09/27/16 07:00:00 PM,6.573,0.0,,,,
100,09/27/16 10:00:00 PM,4.519,0.0,,,,
101,09/28/16 01:00:00 AM,6.877,0.0,,,,
102,09/28/16 04:00:00 AM,7.179,0.0,,,,
103,09/28/16 07:00:00 AM,6.370,43.1,,,,
104,09/28/16 10:00:00 AM,8.481,2583.4,,,,
105,09/28/16 01:00:00 PM,10.455,1119.5,,,,
106,09/28/16 04:00:00 PM,10.455,1270.1,,,,
107,09/28/16 07:00:00 PM,7.882,0.0,,,,
108,09/28/16 10:00:00 PM,7.280,0.0,,,,
109,09/29/16 01:00:00 AM,7.079,0.0,,,,
110,09/29/16 04:00:00 AM,6.674,0.0,,,,
111,09/29/16 07:00:00 AM,6.370,21.5,,,,
112,09/29/16 10:00:00 AM,8.082,1808.3,,,,
113,09/29/16 01:00:00 PM,9.571,2583.4,,,,
114,09/29/16 04:00:00 PM,8.581,419.8,,,,
115,09/29/16 07:00:00 PM,6.573,0.0,,,,
116,09/29/16 10:00:00 PM,5.757,0.0,,,,
117,09/30/16 01:00:00 AM,3.998,0.0,,,,
118,09/30/16 04:00:00 AM,1.656,0.0,,,,
119,09/30/16 07:00:00 AM,1.548,0.0,,,,
120,09/30/16 10:00:00 AM,2.517,1550.0,,,,
121,09/30/16 01:00:00 PM,6.166,1722.2,,,,
122,09/30/16 04:00:00 PM,6.978,1324.0,,,,
123,09/30/16 07:00:00 PM,4.623,0.0,,,,
124,09/30/16 10:00:00 PM,3.261,0.0,,,,
125,10/01/16 01:00:00 AM,1.980,0.0,,,,
126,10/01/16 04:00:00 AM,1.112,0.0,,,,
127,10/01/16 07:00:00 AM,0.453,0.0,,,,
128,10/01/16 10:00:00 AM,2.088,1054.9,,,,
129,10/01/16 01:00:00 PM,2.410,1722.2,,,,
130,10/01/16 04:00:00 PM,2.410,581.3,,,,
131,10/01/16 07:00:00 PM,1.548,0.0,,,,
132,10/01/16 10:00:00 PM,0.893,0.0,,,,
133,10/02/16 01:00:00 AM,0.784,0.0,,,,
134,10/02/16 04:00:00 AM,0.232,0.0,,,,
135,10/02/16 07:00:00 AM,0.453,0.0,,,,
136,10/02/16 10:00:00 AM,1.980,1377.8,,,,
137,10/02/16 01:00:00 PM,4.102,1463.9,,,,
138,10/02/16 04:00:00 PM,4.831,1011.8,,,,
139,10/02/16 07:00:00 PM,3.367,0.0,,,,
140,10/02/16 10:00:00 PM,2.517,0.0,,,,
141,10/03/16 01:00:00 AM,1.764,0.0,,,,
142,10/03/16 04:00:00 AM,0.784,0.0,,,,
143,10/03/16 07:00:00 AM,1.221,0.0,,,,
144,10/03/16 10:00:00 AM,2.195,1636.1,,,,
145,10/03/16 01:00:00 PM,2.730,602.8,,,,
146,10/03/16 04:00:00 PM,3.261,979.5,,,,
147,10/03/16 07:00:00 PM,1.980,0.0,,,,
148,10/03/16 10:00:00 PM,1.764,0.0,,,,
149,10/04/16 01:00:00 AM,1.221,0.0,,,,
150,10/04/16 04:00:00 AM,1.003,0.0,,,,
151,10/04/16 07:00:00 AM,1.112,0.0,,,,
152,10/04/16 10:00:00 AM,0.563,1377.8,,,,
153,10/04/16 01:00:00 PM,2.303,2755.6,,,,
154,10/04/16 04:00:00 PM,2.730,807.3,,,,
155,10/04/16 07:00:00 PM,1.003,0.0,,,,
156,10/04/16 10:00:00 PM,0.784,0.0,,,,
157,10/05/16 01:00:00 AM,0.674,0.0,,,,
158,10/05/16 04:00:00 AM,0.453,0.0,,,,
159,10/05/16 07:00:00 AM,1.003,0.0,,,,
160,10/05/16 10:00:00 AM,1.439,1377.8,,,,
161,10/05/16 01:00:00 PM,2.837,1636.1,,,,
162,10/05/16 04:00:00 PM,3.472,721.2,,,,
163,10/05/16 07:00:00 PM,2.837,0.0,,,,
164,10/05/16 10:00:00 PM,2.624,0.0,,,,
165,10/06/16 01:00:00 AM,2.303,0.0,,,,
166,10/06/16 04:00:00 AM,2.410,0.0,,,,
167,10/06/16 07:00:00 AM,2.303,0.0,,,,
168,10/06/16 10:00:00 AM,2.943,1377.8,,,,
169,10/06/16 01:00:00 PM,3.155,1001.0,,,,
170,10/06/16 04:00:00 PM,3.155,688.9,,,,
171,10/06/16 07:00:00 PM,1.980,0.0,,,,
172,10/06/16 10:00:00 PM,1.330,0.0,,,,
173,10/07/16 01:00:00 AM,2.624,0.0,,,,
174,10/07/16 04:00:00 AM,4.831,0.0,,,,
175,10/07/16 07:00:00 AM,2.943,0.0,,,,
176,10/07/16 10:00:00 AM,3.049,1980.6,,,,
177,10/07/16 01:00:00 PM,3.788,1894.5,,,,
178,10/07/16 04:00:00 PM,3.578,1550.0,,,,
179,10/07/16 07:00:00 PM,2.730,0.0,,,,
180,10/07/16 10:00:00 PM,1.439,0.0,,,,
181,10/08/16 01:00:00 AM,4.102,0.0,,,,
182,10/08/16 04:00:00 AM,5.037,0.0,,,,
183,10/08/16 07:00:00 AM,5.450,0.0,,,,
184,10/08/16 10:00:00 AM,6.370,344.4,,,,
185,10/08/16 01:00:00 PM,7.079,1097.9,,,,
186,10/08/16 04:00:00 PM,7.481,764.2,,,,
187,10/08/16 07:00:00 PM,6.471,0.0,,,,
188,10/08/16 10:00:00 PM,6.166,0.0,,,,
189,10/09/16 01:00:00 AM,6.471,0.0,,,,
190,10/09/16 04:00:00 AM,5.757,0.0,,,,
191,10/09/16 07:00:00 AM,4.727,0.0,,,,
192,10/09/16 10:00:00 AM,3.472,1237.9,,,,
193,10/09/16 01:00:00 PM,4.311,678.1,,,,
194,10/09/16 04:00:00 PM,4.207,398.3,,,,
195,10/09/16 07:00:00 PM,0.784,0.0,,,,
196,10/09/16 10:00:00 PM,0.232,0.0,,,,
197,10/10/16 01:00:00 AM,0.232,0.0,,,,
198,10/10/16 04:00:00 AM,-0.662,0.0,,,,
199,10/10/16 07:00:00 AM,-1.341,0.0,,,,
200,10/10/16 10:00:00 AM,-1.799,742.7,,,,
201,10/10/16 01:00:00 PM,0.121,1011.8,,,,
202,10/10/16 04:00:00 PM,0.232,764.2,,,,
203,10/10/16 07:00:00 PM,0.121,0.0,,,,
204,10/10/16 10:00:00 PM,-0.213,0.0,,,,
205,10/11/16 01:00:00 AM,-0.662,0.0,,,,
206,10/11/16 04:00:00 AM,-0.887,0.0,,,,
207,10/11/16 07:00:00 AM,-1.456,0.0,,,,
208,10/11/16 10:00:00 AM,-1.114,893.4,,,,
209,10/11/16 01:00:00 PM,-0.102,1248.6,,,,
210,10/11/16 04:00:00 PM,0.232,559.7,,,,
211,10/11/16 07:00:00 PM,-0.325,0.0,,,,
212,10/11/16 10:00:00 PM,-0.887,0.0,,,,
213,10/12/16 01:00:00 AM,-1.001,0.0,,,,
214,10/12/16 04:00:00 AM,-1.114,0.0,,,,
215,10/12/16 07:00:00 AM,-1.341,0.0,,,,
216,10/12/16 10:00:00 AM,-0.549,753.5,,,,
217,10/12/16 01:00:00 PM,0.343,1367.0,,,,
218,10/12/16 04:00:00 PM,0.563,882.6,,,,
219,10/12/16 07:00:00 PM,0.784,0.0,,,,
220,10/12/16 10:00:00 PM,1.221,0.0,,,,
221,10/13/16 01:00:00 AM,1.548,0.0,,,,
222,10/13/16 04:00:00 AM,1.656,0.0,,,,
223,10/13/16 07:00:00 AM,1.872,0.0,,,,
224,10/13/16 10:00:00 AM,2.303,333.7,,,,
225,10/13/16 01:00:00 PM,3.367,731.9,,,,
226,10/13/16 04:00:00 PM,3.367,269.1,,,,
227,10/13/16 07:00:00 PM,4.415,0.0,,,,
228,10/13/16 10:00:00 PM,5.757,0.0,,,,
229,10/14/16 01:00:00 AM,3.049,0.0,,,,
230,10/14/16 04:00:00 AM,0.674,0.0,,,,
231,10/14/16 07:00:00 AM,0.343,0.0,,,,
232,10/14/16 10:00:00 AM,0.232,193.8,,,,
233,10/14/16 01:00:00 PM,0.232,258.3,,,,
234,10/14/16 04:00:00 PM,0.232,516.7,,,,
235,10/14/16 07:00:00 PM,0.232,0.0,,,,
236,10/14/16 10:00:00 PM,0.232,0.0,,,,
237,10/15/16 01:00:00 AM,0.232,0.0,,,,
238,10/15/16 04:00:00 AM,0.232,0.0,,,,
239,10/15/16 07:00:00 AM,0.232,0.0,,,,
240,10/15/16 10:00:00 AM,0.232,226.0,,,,
241,10/15/16 01:00:00 PM,0.232,193.8,,,,
242,10/15/16 04:00:00 PM,0.232,441.3,,,,
243,10/15/16 07:00:00 PM,0.232,0.0,,,,
244,10/15/16 10:00:00 PM,0.232,0.0,,,,
245,10/16/16 01:00:00 AM,0.232,0.0,,,,
246,10/16/16 04:00:00 AM,0.232,0.0,,,,
247,10/16/16 07:00:00 AM,0.232,0.0,,,,
248,10/16/16 10:00:00 AM,0.232,635.1,,,,
249,10/16/16 01:00:00 PM,0.343,979.5,,,,
250,10/16/16 04:00:00 PM,0.232,462.9,,,,
251,10/16/16 07:00:00 PM,0.232,0.0,,,,
