"Plot Title: SUNR-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995204, SEN S/N: 9995204)","Intensity, Lux (LGR S/N: 9995204, SEN S/N: 9995204)","Bad Battery (LGR S/N: 9995204)","End Of File (LGR S/N: 9995204)"
1,09/15/16 01:00:00 PM,13.269,2411.1,,
2,09/15/16 04:00:00 PM,13.654,7233.4,,
3,09/15/16 07:00:00 PM,8.879,64.6,,
4,09/15/16 10:00:00 PM,8.182,0.0,,
5,09/16/16 01:00:00 AM,7.682,0.0,,
6,09/16/16 04:00:00 AM,7.481,0.0,,
7,09/16/16 07:00:00 AM,7.481,64.6,,
8,09/16/16 10:00:00 AM,10.357,2497.2,,
9,09/16/16 01:00:00 PM,15.664,5511.1,,
10,09/16/16 04:00:00 PM,14.517,3788.9,,
11,09/16/16 07:00:00 PM,10.357,183.0,,
12,09/16/16 10:00:00 PM,8.282,0.0,,
13,09/17/16 01:00:00 AM,8.182,0.0,,
14,09/17/16 04:00:00 AM,8.581,0.0,,
15,09/17/16 07:00:00 AM,8.581,0.0,,
16,09/17/16 10:00:00 AM,8.481,2325.0,,
17,09/17/16 01:00:00 PM,7.179,2497.2,,
18,09/17/16 04:00:00 PM,5.655,882.6,,
19,09/17/16 07:00:00 PM,5.962,53.8,,
20,09/17/16 10:00:00 PM,6.471,0.0,,
21,09/18/16 01:00:00 AM,5.655,0.0,,
22,09/18/16 04:00:00 AM,3.893,0.0,,
23,09/18/16 07:00:00 AM,2.517,32.3,,
24,09/18/16 10:00:00 AM,4.102,2927.8,,
25,09/18/16 01:00:00 PM,5.860,1324.0,,
26,09/18/16 04:00:00 PM,5.552,2755.6,,
27,09/18/16 07:00:00 PM,4.102,43.1,,
28,09/18/16 10:00:00 PM,3.578,0.0,,
29,09/19/16 01:00:00 AM,2.517,0.0,,
30,09/19/16 04:00:00 AM,1.980,0.0,,
31,09/19/16 07:00:00 AM,2.517,0.0,,
32,09/19/16 10:00:00 AM,3.261,2583.4,,
33,09/19/16 01:00:00 PM,3.788,6200.0,,
34,09/19/16 04:00:00 PM,2.943,1463.9,,
35,09/19/16 07:00:00 PM,1.764,64.6,,
36,09/19/16 10:00:00 PM,1.003,0.0,,
37,09/20/16 01:00:00 AM,0.010,0.0,,
38,09/20/16 04:00:00 AM,-0.325,0.0,,
39,09/20/16 07:00:00 AM,-0.102,21.5,,
40,09/20/16 10:00:00 AM,1.548,1894.5,,
41,09/20/16 01:00:00 PM,5.244,4305.6,,
42,09/20/16 04:00:00 PM,4.934,914.9,,
43,09/20/16 07:00:00 PM,1.003,0.0,,
