"Plot Title: TA01-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10517327, SEN S/N: 10517327, LBL: C)","Intensity, Lux (LGR S/N: 10517327, SEN S/N: 10517327, LBL: Lux)","Bad Battery (LGR S/N: 10517327)","End Of File (LGR S/N: 10517327)"
1,09/09/16 01:00:00 PM,15.855,3444.5,,
2,09/09/16 04:00:00 PM,19.377,1980.6,,
3,09/09/16 07:00:00 PM,15.855,43.1,,
4,09/09/16 10:00:00 PM,13.076,0.0,,
5,09/10/16 01:00:00 AM,11.236,0.0,,
6,09/10/16 04:00:00 AM,10.161,0.0,,
7,09/10/16 07:00:00 AM,9.669,32.3,,
8,09/10/16 10:00:00 AM,12.401,1001.0,,
9,09/10/16 01:00:00 PM,17.950,2755.6,,
10,09/10/16 04:00:00 PM,20.805,527.4,,
11,09/10/16 07:00:00 PM,18.045,64.6,,
12,09/10/16 10:00:00 PM,15.951,0.0,,
13,09/11/16 01:00:00 AM,13.365,0.0,,
14,09/11/16 04:00:00 AM,11.528,0.0,,
15,09/11/16 07:00:00 AM,10.357,64.6,,
16,09/11/16 10:00:00 AM,11.139,1808.3,,
17,09/11/16 01:00:00 PM,14.134,4133.4,,
18,09/11/16 04:00:00 PM,14.325,818.1,,
19,09/11/16 07:00:00 PM,12.401,53.8,,
20,09/11/16 10:00:00 PM,9.866,0.0,,
21,09/12/16 01:00:00 AM,8.581,0.0,,
22,09/12/16 04:00:00 AM,7.682,0.0,,
23,09/12/16 07:00:00 AM,7.179,32.3,,
24,09/12/16 10:00:00 AM,9.866,1011.8,,
25,09/12/16 01:00:00 PM,15.664,2927.8,,
26,09/12/16 04:00:00 PM,16.999,1980.6,,
27,09/12/16 07:00:00 PM,14.038,53.8,,
28,09/12/16 10:00:00 PM,10.944,0.0,,
29,09/13/16 01:00:00 AM,8.978,0.0,,
30,09/13/16 04:00:00 AM,7.682,0.0,,
31,09/13/16 07:00:00 AM,6.877,32.3,,
32,09/13/16 10:00:00 AM,9.965,979.5,,
33,09/13/16 01:00:00 PM,16.427,2755.6,,
34,09/13/16 04:00:00 PM,18.996,1980.6,,
35,09/13/16 07:00:00 PM,14.996,43.1,,
36,09/13/16 10:00:00 PM,12.110,0.0,,
37,09/14/16 01:00:00 AM,10.259,0.0,,
38,09/14/16 04:00:00 AM,8.779,0.0,,
39,09/14/16 07:00:00 AM,7.983,32.3,,
40,09/14/16 10:00:00 AM,10.553,968.8,,
41,09/14/16 01:00:00 PM,16.427,2755.6,,
42,09/14/16 04:00:00 PM,19.472,1808.3,,
43,09/14/16 07:00:00 PM,16.332,32.3,,
44,09/14/16 10:00:00 PM,12.787,0.0,,
45,09/15/16 01:00:00 AM,10.846,0.0,,
46,09/15/16 04:00:00 AM,9.571,0.0,,
47,09/15/16 07:00:00 AM,8.581,21.5,,
48,09/15/16 10:00:00 AM,11.041,925.7,,
49,09/15/16 01:00:00 PM,16.808,2755.6,,
50,09/15/16 04:00:00 PM,19.853,1808.3,,
51,09/15/16 07:00:00 PM,17.094,43.1,,
52,09/15/16 10:00:00 PM,13.846,0.0,,
53,09/16/16 01:00:00 AM,11.431,0.0,,
54,09/16/16 04:00:00 AM,9.768,0.0,,
55,09/16/16 07:00:00 AM,8.879,43.1,,
56,09/16/16 10:00:00 AM,11.528,936.5,,
57,09/16/16 01:00:00 PM,18.426,3100.0,,
58,09/16/16 04:00:00 PM,20.901,1980.6,,
59,09/16/16 07:00:00 PM,18.711,96.9,,
60,09/16/16 10:00:00 PM,16.618,0.0,,
61,09/17/16 01:00:00 AM,15.378,0.0,,
62,09/17/16 04:00:00 AM,14.709,0.0,,
63,09/17/16 07:00:00 AM,12.013,0.0,,
64,09/17/16 10:00:00 AM,11.625,678.1,,
65,09/17/16 01:00:00 PM,12.883,1463.9,,
66,09/17/16 04:00:00 PM,12.690,279.9,,
67,09/17/16 07:00:00 PM,12.401,21.5,,
68,09/17/16 10:00:00 PM,12.304,0.0,,
69,09/18/16 01:00:00 AM,12.207,0.0,,
70,09/18/16 04:00:00 AM,11.722,0.0,,
71,09/18/16 07:00:00 AM,11.139,0.0,,
72,09/18/16 10:00:00 AM,11.625,1722.2,,
73,09/18/16 01:00:00 PM,12.690,1550.0,,
74,09/18/16 04:00:00 PM,13.750,2497.2,,
75,09/18/16 07:00:00 PM,12.401,53.8,,
