"Plot Title: TAO1-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574901, SEN S/N: 10574901, LBL: C)","Intensity, Lux (LGR S/N: 10574901, SEN S/N: 10574901, LBL: Lux)","Coupler Attached (LGR S/N: 10574901)","Host Connected (LGR S/N: 10574901)","Stopped (LGR S/N: 10574901)","End Of File (LGR S/N: 10574901)"
1,09/09/16 01:00:00 PM,15.760,3616.7,,,,
2,09/09/16 04:00:00 PM,18.616,1980.6,,,,
3,09/09/16 07:00:00 PM,15.664,43.1,,,,
4,09/09/16 10:00:00 PM,13.173,0.0,,,,
5,09/10/16 01:00:00 AM,11.334,0.0,,,,
6,09/10/16 04:00:00 AM,10.357,0.0,,,,
7,09/10/16 07:00:00 AM,9.768,32.3,,,,
8,09/10/16 10:00:00 AM,12.304,968.8,,,,
9,09/10/16 01:00:00 PM,17.475,3788.9,,,,
10,09/10/16 04:00:00 PM,20.138,527.4,,,,
11,09/10/16 07:00:00 PM,17.665,64.6,,,,
12,09/10/16 10:00:00 PM,15.664,0.0,,,,
13,09/11/16 01:00:00 AM,13.461,0.0,,,,
14,09/11/16 04:00:00 AM,11.625,0.0,,,,
15,09/11/16 07:00:00 AM,10.553,75.3,,,,
16,09/11/16 10:00:00 AM,11.139,1894.5,,,,
17,09/11/16 01:00:00 PM,14.421,5166.7,,,,
18,09/11/16 04:00:00 PM,14.230,914.9,,,,
19,09/11/16 07:00:00 PM,12.401,64.6,,,,
20,09/11/16 10:00:00 PM,9.965,0.0,,,,
21,09/12/16 01:00:00 AM,8.680,0.0,,,,
22,09/12/16 04:00:00 AM,7.782,0.0,,,,
23,09/12/16 07:00:00 AM,7.381,32.3,,,,
24,09/12/16 10:00:00 AM,10.063,1001.0,,,,
25,09/12/16 01:00:00 PM,15.473,5511.1,,,,
26,09/12/16 04:00:00 PM,16.618,2066.7,,,,
27,09/12/16 07:00:00 PM,13.750,53.8,,,,
28,09/12/16 10:00:00 PM,10.944,0.0,,,,
29,09/13/16 01:00:00 AM,8.978,0.0,,,,
30,09/13/16 04:00:00 AM,7.682,0.0,,,,
31,09/13/16 07:00:00 AM,6.877,32.3,,,,
32,09/13/16 10:00:00 AM,9.965,1001.0,,,,
33,09/13/16 01:00:00 PM,15.951,4133.4,,,,
34,09/13/16 04:00:00 PM,18.140,2066.7,,,,
35,09/13/16 07:00:00 PM,14.613,53.8,,,,
36,09/13/16 10:00:00 PM,12.013,0.0,,,,
37,09/14/16 01:00:00 AM,10.161,0.0,,,,
38,09/14/16 04:00:00 AM,8.779,0.0,,,,
39,09/14/16 07:00:00 AM,7.983,32.3,,,,
40,09/14/16 10:00:00 AM,10.553,990.3,,,,
41,09/14/16 01:00:00 PM,16.046,3272.2,,,,
42,09/14/16 04:00:00 PM,18.711,1894.5,,,,
43,09/14/16 07:00:00 PM,15.855,43.1,,,,
44,09/14/16 10:00:00 PM,12.594,0.0,,,,
45,09/15/16 01:00:00 AM,10.748,0.0,,,,
46,09/15/16 04:00:00 AM,9.472,0.0,,,,
47,09/15/16 07:00:00 AM,8.581,21.5,,,,
48,09/15/16 10:00:00 AM,10.944,958.0,,,,
49,09/15/16 01:00:00 PM,16.427,3788.9,,,,
50,09/15/16 04:00:00 PM,19.187,1894.5,,,,
51,09/15/16 07:00:00 PM,16.618,53.8,,,,
52,09/15/16 10:00:00 PM,13.654,0.0,,,,
53,09/16/16 01:00:00 AM,11.431,0.0,,,,
54,09/16/16 04:00:00 AM,9.768,0.0,,,,
55,09/16/16 07:00:00 AM,8.879,43.1,,,,
56,09/16/16 10:00:00 AM,11.528,968.8,,,,
57,09/16/16 01:00:00 PM,17.950,4994.5,,,,
58,09/16/16 04:00:00 PM,20.138,2152.8,,,,
59,09/16/16 07:00:00 PM,18.140,129.2,,,,
60,09/16/16 10:00:00 PM,16.332,0.0,,,,
61,09/17/16 01:00:00 AM,15.187,0.0,,,,
62,09/17/16 04:00:00 AM,14.613,0.0,,,,
63,09/17/16 07:00:00 AM,11.916,0.0,,,,
64,09/17/16 10:00:00 AM,11.722,764.2,,,,
65,09/17/16 01:00:00 PM,12.980,1722.2,,,,
66,09/17/16 04:00:00 PM,12.787,301.4,,,,
67,09/17/16 07:00:00 PM,12.497,21.5,,,,
68,09/17/16 10:00:00 PM,12.401,0.0,,,,
69,09/18/16 01:00:00 AM,12.304,0.0,,,,
70,09/18/16 04:00:00 AM,11.916,0.0,,,,
71,09/18/16 07:00:00 AM,11.334,0.0,,,,
72,09/18/16 10:00:00 AM,11.722,1722.2,,,,
73,09/18/16 01:00:00 PM,12.980,1636.1,,,,
74,09/18/16 04:00:00 PM,13.942,2755.6,,,,
75,09/18/16 07:00:00 PM,12.787,64.6,,,,
76,09/18/16 10:00:00 PM,11.041,0.0,,,,
77,09/19/16 01:00:00 AM,10.748,0.0,,,,
78,09/19/16 04:00:00 AM,10.161,0.0,,,,
79,09/19/16 07:00:00 AM,9.669,0.0,,,,
80,09/19/16 10:00:00 AM,10.161,2238.9,,,,
81,09/19/16 01:00:00 PM,10.846,1377.8,,,,
82,09/19/16 04:00:00 PM,11.041,441.3,,,,
83,09/19/16 07:00:00 PM,9.768,118.4,,,,
84,09/19/16 10:00:00 PM,8.481,0.0,,,,
85,09/20/16 01:00:00 AM,7.983,0.0,,,,
86,09/20/16 04:00:00 AM,7.179,0.0,,,,
87,09/20/16 07:00:00 AM,5.962,10.8,,,,
88,09/20/16 10:00:00 AM,6.877,828.8,,,,
89,09/20/16 01:00:00 PM,10.553,2755.6,,,,
90,09/20/16 04:00:00 PM,12.497,1894.5,,,,
91,09/20/16 07:00:00 PM,11.528,10.8,,,,
92,09/20/16 10:00:00 PM,9.571,0.0,,,,
93,09/21/16 01:00:00 AM,7.882,0.0,,,,
94,09/21/16 04:00:00 AM,6.674,0.0,,,,
95,09/21/16 07:00:00 AM,5.962,10.8,,,,
96,09/21/16 10:00:00 AM,7.481,861.1,,,,
97,09/21/16 01:00:00 PM,10.063,1108.7,,,,
98,09/21/16 04:00:00 PM,12.207,1894.5,,,,
99,09/21/16 07:00:00 PM,11.431,21.5,,,,
100,09/21/16 10:00:00 PM,9.077,0.0,,,,
101,09/22/16 01:00:00 AM,7.582,0.0,,,,
102,09/22/16 04:00:00 AM,6.775,0.0,,,,
103,09/22/16 07:00:00 AM,5.962,10.8,,,,
104,09/22/16 10:00:00 AM,7.179,710.4,,,,
105,09/22/16 01:00:00 PM,11.041,2927.8,,,,
106,09/22/16 04:00:00 PM,12.304,1550.0,,,,
107,09/22/16 07:00:00 PM,10.846,0.0,,,,
108,09/22/16 10:00:00 PM,10.357,0.0,,,,
109,09/23/16 01:00:00 AM,9.965,0.0,,,,
110,09/23/16 04:00:00 AM,9.571,0.0,,,,
111,09/23/16 07:00:00 AM,9.077,10.8,,,,
112,09/23/16 10:00:00 AM,9.275,635.1,,,,
113,09/23/16 01:00:00 PM,9.373,1205.6,,,,
114,09/23/16 04:00:00 PM,9.275,775.0,,,,
115,09/23/16 07:00:00 PM,9.669,0.0,,,,
116,09/23/16 10:00:00 PM,9.571,0.0,,,,
117,09/24/16 01:00:00 AM,9.176,0.0,,,,
