"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578636, SEN S/N: 10578636, LBL: C)","Intensity, Lux (LGR S/N: 10578636, SEN S/N: 10578636, LBL: Lux)","Coupler Attached (LGR S/N: 10578636)","Coupler Detached (LGR S/N: 10578636)","Host Connected (LGR S/N: 10578636)","Stopped (LGR S/N: 10578636)","End Of File (LGR S/N: 10578636)"
1,09/07/16 01:00:00 PM,17.665,7233.4,,,,,
2,09/07/16 04:00:00 PM,14.134,2755.6,,,,,
3,09/07/16 07:00:00 PM,12.401,279.9,,,,,
4,09/07/16 10:00:00 PM,11.431,0.0,,,,,
5,09/08/16 01:00:00 AM,10.944,0.0,,,,,
6,09/08/16 04:00:00 AM,10.259,0.0,,,,,
7,09/08/16 07:00:00 AM,10.063,183.0,,,,,
8,09/08/16 10:00:00 AM,10.553,2066.7,,,,,
9,09/08/16 01:00:00 PM,14.900,8611.2,,,,,
10,09/08/16 04:00:00 PM,13.558,2669.5,,,,,
11,09/08/16 07:00:00 PM,11.916,312.2,,,,,
12,09/08/16 10:00:00 PM,9.669,0.0,,,,,
13,09/09/16 01:00:00 AM,8.481,0.0,,,,,
14,09/09/16 04:00:00 AM,7.582,0.0,,,,,
15,09/09/16 07:00:00 AM,6.775,86.1,,,,,
16,09/09/16 10:00:00 AM,10.161,1808.3,,,,,
17,09/09/16 01:00:00 PM,18.616,27555.7,,,,,
18,09/09/16 04:00:00 PM,17.570,2755.6,,,,,
19,09/09/16 07:00:00 PM,15.378,215.3,,,,,
20,09/09/16 10:00:00 PM,12.594,0.0,,,,,
21,09/10/16 01:00:00 AM,11.819,0.0,,,,,
22,09/10/16 04:00:00 AM,11.139,0.0,,,,,
23,09/10/16 07:00:00 AM,11.236,32.3,,,,,
24,09/10/16 10:00:00 AM,13.365,1463.9,,,,,
25,09/10/16 01:00:00 PM,21.187,20666.8,,,,,
26,09/10/16 04:00:00 PM,19.377,2927.8,,,,,
27,09/10/16 07:00:00 PM,16.999,301.4,,,,,
28,09/10/16 10:00:00 PM,14.517,0.0,,,,,
29,09/11/16 01:00:00 AM,12.401,0.0,,,,,
30,09/11/16 04:00:00 AM,9.866,0.0,,,,,
31,09/11/16 07:00:00 AM,8.879,10.8,,,,,
32,09/11/16 10:00:00 AM,9.768,1022.6,,,,,
33,09/11/16 01:00:00 PM,12.497,3444.5,,,,,
34,09/11/16 04:00:00 PM,13.173,3444.5,,,,,
35,09/11/16 07:00:00 PM,11.334,96.9,,,,,
36,09/11/16 10:00:00 PM,8.879,0.0,,,,,
37,09/12/16 01:00:00 AM,7.782,0.0,,,,,
38,09/12/16 04:00:00 AM,7.079,0.0,,,,,
39,09/12/16 07:00:00 AM,6.877,43.1,,,,,
40,09/12/16 10:00:00 AM,10.161,1636.1,,,,,
41,09/12/16 01:00:00 PM,17.189,14466.8,,,,,
42,09/12/16 04:00:00 PM,16.618,5511.1,,,,,
43,09/12/16 07:00:00 PM,14.230,172.2,,,,,
44,09/12/16 10:00:00 PM,10.748,0.0,,,,,
45,09/13/16 01:00:00 AM,9.176,0.0,,,,,
46,09/13/16 04:00:00 AM,8.680,0.0,,,,,
47,09/13/16 07:00:00 AM,7.782,32.3,,,,,
48,09/13/16 10:00:00 AM,10.944,1636.1,,,,,
49,09/13/16 01:00:00 PM,17.760,4822.3,,,,,
50,09/13/16 04:00:00 PM,18.331,2497.2,,,,,
51,09/13/16 07:00:00 PM,15.473,161.5,,,,,
52,09/13/16 10:00:00 PM,11.819,0.0,,,,,
53,09/14/16 01:00:00 AM,10.846,0.0,,,,,
54,09/14/16 04:00:00 AM,9.965,0.0,,,,,
55,09/14/16 07:00:00 AM,9.571,43.1,,,,,
56,09/14/16 10:00:00 AM,12.013,1463.9,,,,,
57,09/14/16 01:00:00 PM,17.760,4477.8,,,,,
58,09/14/16 04:00:00 PM,18.996,2325.0,,,,,
59,09/14/16 07:00:00 PM,16.523,129.2,,,,,
60,09/14/16 10:00:00 PM,12.304,0.0,,,,,
61,09/15/16 01:00:00 AM,11.041,0.0,,,,,
62,09/15/16 04:00:00 AM,10.259,0.0,,,,,
63,09/15/16 07:00:00 AM,9.571,32.3,,,,,
64,09/15/16 10:00:00 AM,11.916,1463.9,,,,,
65,09/15/16 01:00:00 PM,18.426,5166.7,,,,,
66,09/15/16 04:00:00 PM,18.996,2238.9,,,,,
