"Plot Title: TB13-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574898, SEN S/N: 10574898, LBL: C)","Intensity, Lux (LGR S/N: 10574898, SEN S/N: 10574898, LBL: Lux)","Coupler Attached (LGR S/N: 10574898)","Host Connected (LGR S/N: 10574898)","Stopped (LGR S/N: 10574898)","End Of File (LGR S/N: 10574898)"
1,09/07/16 01:00:00 PM,24.158,11711.2,,,,
2,09/07/16 04:00:00 PM,14.230,2755.6,,,,
3,09/07/16 07:00:00 PM,12.594,269.1,,,,
4,09/07/16 10:00:00 PM,11.625,0.0,,,,
5,09/08/16 01:00:00 AM,11.139,0.0,,,,
6,09/08/16 04:00:00 AM,10.455,0.0,,,,
7,09/08/16 07:00:00 AM,10.259,183.0,,,,
8,09/08/16 10:00:00 AM,10.651,2066.7,,,,
9,09/08/16 01:00:00 PM,23.966,26178.0,,,,
10,09/08/16 04:00:00 PM,13.654,2755.6,,,,
11,09/08/16 07:00:00 PM,12.110,312.2,,,,
12,09/08/16 10:00:00 PM,9.965,0.0,,,,
13,09/09/16 01:00:00 AM,8.680,0.0,,,,
14,09/09/16 04:00:00 AM,7.782,0.0,,,,
15,09/09/16 07:00:00 AM,6.978,86.1,,,,
16,09/09/16 10:00:00 AM,10.259,1808.3,,,,
17,09/09/16 01:00:00 PM,27.173,12400.1,,,,
18,09/09/16 04:00:00 PM,17.570,2583.4,,,,
19,09/09/16 07:00:00 PM,15.569,204.5,,,,
20,09/09/16 10:00:00 PM,12.690,0.0,,,,
21,09/10/16 01:00:00 AM,12.013,0.0,,,,
22,09/10/16 04:00:00 AM,11.334,0.0,,,,
23,09/10/16 07:00:00 AM,11.334,32.3,,,,
24,09/10/16 10:00:00 AM,13.461,1463.9,,,,
25,09/10/16 01:00:00 PM,23.484,11022.3,,,,
26,09/10/16 04:00:00 PM,18.806,2927.8,,,,
27,09/10/16 07:00:00 PM,16.903,290.6,,,,
28,09/10/16 10:00:00 PM,14.517,0.0,,,,
29,09/11/16 01:00:00 AM,12.594,0.0,,,,
30,09/11/16 04:00:00 AM,10.161,0.0,,,,
31,09/11/16 07:00:00 AM,9.275,10.8,,,,
32,09/11/16 10:00:00 AM,9.965,1011.8,,,,
33,09/11/16 01:00:00 PM,12.594,3100.0,,,,
34,09/11/16 04:00:00 PM,12.883,3272.2,,,,
35,09/11/16 07:00:00 PM,11.431,86.1,,,,
36,09/11/16 10:00:00 PM,9.077,0.0,,,,
37,09/12/16 01:00:00 AM,7.882,0.0,,,,
38,09/12/16 04:00:00 AM,7.280,0.0,,,,
39,09/12/16 07:00:00 AM,7.079,43.1,,,,
40,09/12/16 10:00:00 AM,10.259,1550.0,,,,
41,09/12/16 01:00:00 PM,20.710,63378.2,,,,
42,09/12/16 04:00:00 PM,16.046,2583.4,,,,
43,09/12/16 07:00:00 PM,14.230,161.5,,,,
44,09/12/16 10:00:00 PM,10.846,0.0,,,,
45,09/13/16 01:00:00 AM,9.373,0.0,,,,
46,09/13/16 04:00:00 AM,8.879,0.0,,,,
47,09/13/16 07:00:00 AM,7.882,32.3,,,,
48,09/13/16 10:00:00 AM,10.944,1463.9,,,,
49,09/13/16 01:00:00 PM,22.429,38578.0,,,,
50,09/13/16 04:00:00 PM,17.189,2497.2,,,,
51,09/13/16 07:00:00 PM,15.378,150.7,,,,
52,09/13/16 10:00:00 PM,11.916,0.0,,,,
53,09/14/16 01:00:00 AM,11.041,0.0,,,,
54,09/14/16 04:00:00 AM,10.063,0.0,,,,
55,09/14/16 07:00:00 AM,9.768,43.1,,,,
56,09/14/16 10:00:00 AM,12.013,1463.9,,,,
57,09/14/16 01:00:00 PM,22.525,31689.1,,,,
58,09/14/16 04:00:00 PM,17.855,2411.1,,,,
59,09/14/16 07:00:00 PM,16.427,139.9,,,,
60,09/14/16 10:00:00 PM,12.401,0.0,,,,
61,09/15/16 01:00:00 AM,11.139,0.0,,,,
62,09/15/16 04:00:00 AM,10.455,0.0,,,,
63,09/15/16 07:00:00 AM,9.669,32.3,,,,
64,09/15/16 10:00:00 AM,11.819,1463.9,,,,
65,09/15/16 01:00:00 PM,22.142,35822.5,,,,
66,09/15/16 04:00:00 PM,18.521,2411.1,,,,
67,09/15/16 07:00:00 PM,16.046,107.6,,,,
68,09/15/16 10:00:00 PM,12.980,0.0,,,,
69,09/16/16 01:00:00 AM,12.110,0.0,,,,
70,09/16/16 04:00:00 AM,11.041,0.0,,,,
71,09/16/16 07:00:00 AM,10.357,32.3,,,,
72,09/16/16 10:00:00 AM,14.517,3788.9,,,,
73,09/16/16 01:00:00 PM,20.996,11711.2,,,,
74,09/16/16 04:00:00 PM,20.424,2927.8,,,,
75,09/16/16 07:00:00 PM,17.475,204.5,,,,
76,09/16/16 10:00:00 PM,14.709,0.0,,,,
77,09/17/16 01:00:00 AM,14.325,0.0,,,,
78,09/17/16 04:00:00 AM,13.173,0.0,,,,
79,09/17/16 07:00:00 AM,10.748,0.0,,,,
80,09/17/16 10:00:00 AM,11.625,667.4,,,,
81,09/17/16 01:00:00 PM,12.013,452.1,,,,
82,09/17/16 04:00:00 PM,12.013,366.0,,,,
83,09/17/16 07:00:00 PM,11.528,43.1,,,,
84,09/17/16 10:00:00 PM,11.528,0.0,,,,
85,09/18/16 01:00:00 AM,11.625,0.0,,,,
86,09/18/16 04:00:00 AM,10.553,0.0,,,,
87,09/18/16 07:00:00 AM,8.978,21.5,,,,
88,09/18/16 10:00:00 AM,10.455,1980.6,,,,
89,09/18/16 01:00:00 PM,16.427,30311.3,,,,
90,09/18/16 04:00:00 PM,12.690,2497.2,,,,
91,09/18/16 07:00:00 PM,11.722,53.8,,,,
92,09/18/16 10:00:00 PM,10.161,0.0,,,,
93,09/19/16 01:00:00 AM,8.779,0.0,,,,
94,09/19/16 04:00:00 AM,8.282,0.0,,,,
95,09/19/16 07:00:00 AM,8.680,0.0,,,,
96,09/19/16 10:00:00 AM,9.275,775.0,,,,
97,09/19/16 01:00:00 PM,9.768,1550.0,,,,
98,09/19/16 04:00:00 PM,9.176,710.4,,,,
99,09/19/16 07:00:00 PM,8.879,86.1,,,,
100,09/19/16 10:00:00 PM,7.582,0.0,,,,
101,09/20/16 01:00:00 AM,6.775,0.0,,,,
102,09/20/16 04:00:00 AM,5.757,0.0,,,,
103,09/20/16 07:00:00 AM,5.037,10.8,,,,
104,09/20/16 10:00:00 AM,6.573,1291.7,,,,
105,09/20/16 01:00:00 PM,15.664,4650.0,,,,
106,09/20/16 04:00:00 PM,10.944,828.8,,,,
107,09/20/16 07:00:00 PM,10.259,86.1,,,,
108,09/20/16 10:00:00 PM,8.282,0.0,,,,
