"Plot Title: TO11-S5-A"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578628, SEN S/N: 10578628, LBL: C)","Intensity, Lux (LGR S/N: 10578628, SEN S/N: 10578628, LBL: Lux)","Coupler Attached (LGR S/N: 10578628)","Host Connected (LGR S/N: 10578628)","Stopped (LGR S/N: 10578628)","End Of File (LGR S/N: 10578628)"
1,09/13/16 01:00:00 PM,14.230,1377.8,,,,
2,09/13/16 04:00:00 PM,15.664,871.9,,,,
3,09/13/16 07:00:00 PM,13.365,43.1,,,,
4,09/13/16 10:00:00 PM,11.528,0.0,,,,
5,09/14/16 01:00:00 AM,10.357,0.0,,,,
6,09/14/16 04:00:00 AM,9.768,0.0,,,,
7,09/14/16 07:00:00 AM,8.978,21.5,,,,
8,09/14/16 10:00:00 AM,10.357,785.8,,,,
9,09/14/16 01:00:00 PM,15.282,1356.3,,,,
10,09/14/16 04:00:00 PM,16.427,850.4,,,,
11,09/14/16 07:00:00 PM,13.846,32.3,,,,
12,09/14/16 10:00:00 PM,12.013,0.0,,,,
13,09/15/16 01:00:00 AM,10.748,0.0,,,,
14,09/15/16 04:00:00 AM,9.768,0.0,,,,
15,09/15/16 07:00:00 AM,8.978,21.5,,,,
16,09/15/16 10:00:00 AM,10.063,807.3,,,,
17,09/15/16 01:00:00 PM,14.900,1367.0,,,,
18,09/15/16 04:00:00 PM,16.523,828.8,,,,
19,09/15/16 07:00:00 PM,14.038,32.3,,,,
20,09/15/16 10:00:00 PM,12.304,0.0,,,,
21,09/16/16 01:00:00 AM,10.846,0.0,,,,
22,09/16/16 04:00:00 AM,10.161,0.0,,,,
23,09/16/16 07:00:00 AM,9.373,10.8,,,,
24,09/16/16 10:00:00 AM,12.013,2066.7,,,,
25,09/16/16 01:00:00 PM,16.332,2411.1,,,,
26,09/16/16 04:00:00 PM,16.808,1722.2,,,,
27,09/16/16 07:00:00 PM,15.282,75.3,,,,
28,09/16/16 10:00:00 PM,13.654,0.0,,,,
29,09/17/16 01:00:00 AM,13.365,0.0,,,,
30,09/17/16 04:00:00 AM,13.269,0.0,,,,
31,09/17/16 07:00:00 AM,12.497,0.0,,,,
32,09/17/16 10:00:00 AM,13.076,667.4,,,,
33,09/17/16 01:00:00 PM,13.173,172.2,,,,
34,09/17/16 04:00:00 PM,12.883,247.6,,,,
35,09/17/16 07:00:00 PM,12.110,10.8,,,,
36,09/17/16 10:00:00 PM,11.819,0.0,,,,
37,09/18/16 01:00:00 AM,12.401,0.0,,,,
38,09/18/16 04:00:00 AM,11.431,0.0,,,,
39,09/18/16 07:00:00 AM,9.669,10.8,,,,
40,09/18/16 10:00:00 AM,10.553,1248.6,,,,
41,09/18/16 01:00:00 PM,12.497,527.4,,,,
42,09/18/16 04:00:00 PM,12.594,721.2,,,,
43,09/18/16 07:00:00 PM,11.819,0.0,,,,
44,09/18/16 10:00:00 PM,11.431,0.0,,,,
45,09/19/16 01:00:00 AM,10.357,0.0,,,,
46,09/19/16 04:00:00 AM,9.472,0.0,,,,
47,09/19/16 07:00:00 AM,9.571,0.0,,,,
48,09/19/16 10:00:00 AM,10.161,473.6,,,,
49,09/19/16 01:00:00 PM,11.236,2755.6,,,,
50,09/19/16 04:00:00 PM,11.334,1377.8,,,,
51,09/19/16 07:00:00 PM,10.357,21.5,,,,
