"Plot Title: TOO4-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603899, SEN S/N: 10603899, LBL: C)","Intensity, Lux (LGR S/N: 10603899, SEN S/N: 10603899, LBL: Lux)","Bad Battery (LGR S/N: 10603899)","End Of File (LGR S/N: 10603899)"
1,09/08/16 01:00:00 PM,15.473,16533.4,,
2,09/08/16 04:00:00 PM,13.654,1550.0,,
3,09/08/16 07:00:00 PM,12.401,193.8,,
4,09/08/16 10:00:00 PM,10.846,0.0,,
5,09/09/16 01:00:00 AM,9.275,0.0,,
6,09/09/16 04:00:00 AM,7.782,0.0,,
7,09/09/16 07:00:00 AM,6.978,129.2,,
8,09/09/16 10:00:00 AM,8.481,2325.0,,
9,09/09/16 01:00:00 PM,15.951,5511.1,,
10,09/09/16 04:00:00 PM,16.141,1463.9,,
11,09/09/16 07:00:00 PM,14.230,107.6,,
12,09/09/16 10:00:00 PM,12.110,0.0,,
13,09/10/16 01:00:00 AM,10.651,0.0,,
14,09/10/16 04:00:00 AM,9.571,0.0,,
15,09/10/16 07:00:00 AM,8.978,53.8,,
16,09/10/16 10:00:00 AM,10.651,1722.2,,
17,09/10/16 01:00:00 PM,18.711,6200.0,,
18,09/10/16 04:00:00 PM,18.331,2152.8,,
19,09/10/16 07:00:00 PM,16.427,473.6,,
20,09/10/16 10:00:00 PM,14.709,0.0,,
21,09/11/16 01:00:00 AM,13.076,0.0,,
22,09/11/16 04:00:00 AM,11.041,0.0,,
23,09/11/16 07:00:00 AM,10.259,53.8,,
24,09/11/16 10:00:00 AM,10.553,818.1,,
25,09/11/16 01:00:00 PM,12.013,1980.6,,
26,09/11/16 04:00:00 PM,13.173,2325.0,,
27,09/11/16 07:00:00 PM,11.236,86.1,,
28,09/11/16 10:00:00 PM,9.472,0.0,,
29,09/12/16 01:00:00 AM,7.983,0.0,,
30,09/12/16 04:00:00 AM,6.775,0.0,,
31,09/12/16 07:00:00 AM,5.860,53.8,,
32,09/12/16 10:00:00 AM,7.582,1808.3,,
33,09/12/16 01:00:00 PM,14.996,10677.8,,
34,09/12/16 04:00:00 PM,14.900,1808.3,,
35,09/12/16 07:00:00 PM,13.173,107.6,,
36,09/12/16 10:00:00 PM,10.553,0.0,,
37,09/13/16 01:00:00 AM,8.481,0.0,,
38,09/13/16 04:00:00 AM,6.978,0.0,,
39,09/13/16 07:00:00 AM,5.860,53.8,,
40,09/13/16 10:00:00 AM,7.983,1808.3,,
41,09/13/16 01:00:00 PM,15.664,11711.2,,
42,09/13/16 04:00:00 PM,15.378,1463.9,,
43,09/13/16 07:00:00 PM,13.461,96.9,,
44,09/13/16 10:00:00 PM,10.846,0.0,,
45,09/14/16 01:00:00 AM,9.077,0.0,,
46,09/14/16 04:00:00 AM,7.983,0.0,,
47,09/14/16 07:00:00 AM,7.280,53.8,,
48,09/14/16 10:00:00 AM,8.978,1722.2,,
49,09/14/16 01:00:00 PM,16.332,7233.4,,
50,09/14/16 04:00:00 PM,16.141,1636.1,,
51,09/14/16 07:00:00 PM,14.613,86.1,,
52,09/14/16 10:00:00 PM,11.625,0.0,,
53,09/15/16 01:00:00 AM,9.768,0.0,,
54,09/15/16 04:00:00 AM,8.581,0.0,,
55,09/15/16 07:00:00 AM,7.682,43.1,,
56,09/15/16 10:00:00 AM,9.176,1722.2,,
57,09/15/16 01:00:00 PM,16.332,5166.7,,
58,09/15/16 04:00:00 PM,16.713,1463.9,,
59,09/15/16 07:00:00 PM,14.996,86.1,,
60,09/15/16 10:00:00 PM,12.013,0.0,,
61,09/16/16 01:00:00 AM,10.357,0.0,,
62,09/16/16 04:00:00 AM,9.275,0.0,,
63,09/16/16 07:00:00 AM,8.581,43.1,,
64,09/16/16 10:00:00 AM,11.334,3444.5,,
65,09/16/16 01:00:00 PM,18.140,5511.1,,
66,09/16/16 04:00:00 PM,18.616,3272.2,,
67,09/16/16 07:00:00 PM,15.664,215.3,,
68,09/16/16 10:00:00 PM,13.365,0.0,,
69,09/17/16 01:00:00 AM,12.497,0.0,,
70,09/17/16 04:00:00 AM,12.401,0.0,,
71,09/17/16 07:00:00 AM,11.334,0.0,,
72,09/17/16 10:00:00 AM,11.819,688.9,,
73,09/17/16 01:00:00 PM,12.497,549.0,,
74,09/17/16 04:00:00 PM,12.787,688.9,,
75,09/17/16 07:00:00 PM,12.110,32.3,,
76,09/17/16 10:00:00 PM,12.013,0.0,,
77,09/18/16 01:00:00 AM,12.207,0.0,,
78,09/18/16 04:00:00 AM,10.944,0.0,,
79,09/18/16 07:00:00 AM,9.768,32.3,,
80,09/18/16 10:00:00 AM,10.553,2755.6,,
81,09/18/16 01:00:00 PM,13.558,5166.7,,
82,09/18/16 04:00:00 PM,12.690,1076.4,,
83,09/18/16 07:00:00 PM,11.722,43.1,,
84,09/18/16 10:00:00 PM,10.553,0.0,,
85,09/19/16 01:00:00 AM,9.373,0.0,,
86,09/19/16 04:00:00 AM,8.382,0.0,,
87,09/19/16 07:00:00 AM,8.680,0.0,,
88,09/19/16 10:00:00 AM,9.669,1065.6,,
89,09/19/16 01:00:00 PM,10.553,3616.7,,
90,09/19/16 04:00:00 PM,10.553,1722.2,,
91,09/19/16 07:00:00 PM,9.669,75.3,,
92,09/19/16 10:00:00 PM,8.680,0.0,,
93,09/20/16 01:00:00 AM,7.682,0.0,,
94,09/20/16 04:00:00 AM,6.370,0.0,,
95,09/20/16 07:00:00 AM,5.552,21.5,,
96,09/20/16 10:00:00 AM,6.064,1550.0,,
97,09/20/16 01:00:00 PM,11.722,4994.5,,
98,09/20/16 04:00:00 PM,10.944,2927.8,,
99,09/20/16 07:00:00 PM,10.161,86.1,,
100,09/20/16 10:00:00 PM,8.481,0.0,,
101,09/21/16 01:00:00 AM,7.079,0.0,,
102,09/21/16 04:00:00 AM,5.962,0.0,,
103,09/21/16 07:00:00 AM,5.037,21.5,,
104,09/21/16 10:00:00 AM,6.064,1722.2,,
105,09/21/16 01:00:00 PM,11.722,4994.5,,
106,09/21/16 04:00:00 PM,12.110,2669.5,,
107,09/21/16 07:00:00 PM,9.571,53.8,,
108,09/21/16 10:00:00 PM,8.680,0.0,,
109,09/22/16 01:00:00 AM,7.381,0.0,,
110,09/22/16 04:00:00 AM,6.166,0.0,,
111,09/22/16 07:00:00 AM,5.244,21.5,,
112,09/22/16 10:00:00 AM,6.978,1377.8,,
113,09/22/16 01:00:00 PM,12.401,3788.9,,
114,09/22/16 04:00:00 PM,11.819,1894.5,,
115,09/22/16 07:00:00 PM,11.236,0.0,,
116,09/22/16 10:00:00 PM,9.866,0.0,,
117,09/23/16 01:00:00 AM,8.680,0.0,,
118,09/23/16 04:00:00 AM,7.782,0.0,,
119,09/23/16 07:00:00 AM,7.582,0.0,,
120,09/23/16 10:00:00 AM,8.182,516.7,,
121,09/23/16 01:00:00 PM,8.779,366.0,,
122,09/23/16 04:00:00 PM,9.866,1108.7,,
123,09/23/16 07:00:00 PM,9.866,32.3,,
124,09/23/16 10:00:00 PM,8.978,0.0,,
125,09/24/16 01:00:00 AM,8.680,0.0,,
126,09/24/16 04:00:00 AM,8.581,0.0,,
127,09/24/16 07:00:00 AM,8.082,21.5,,
128,09/24/16 10:00:00 AM,9.077,2497.2,,
129,09/24/16 01:00:00 PM,11.916,5511.1,,
130,09/24/16 04:00:00 PM,12.787,2927.8,,
131,09/24/16 07:00:00 PM,12.110,32.3,,
132,09/24/16 10:00:00 PM,11.139,0.0,,
133,09/25/16 01:00:00 AM,10.553,0.0,,
134,09/25/16 04:00:00 AM,10.259,0.0,,
135,09/25/16 07:00:00 AM,8.978,43.1,,
136,09/25/16 10:00:00 AM,9.571,1151.7,,
137,09/25/16 01:00:00 PM,15.378,3444.5,,
138,09/25/16 04:00:00 PM,16.427,1141.0,,
139,09/25/16 07:00:00 PM,15.091,0.0,,
140,09/25/16 10:00:00 PM,13.269,0.0,,
141,09/26/16 01:00:00 AM,12.207,0.0,,
142,09/26/16 04:00:00 AM,11.528,0.0,,
143,09/26/16 07:00:00 AM,11.139,0.0,,
144,09/26/16 10:00:00 AM,12.304,1130.2,,
145,09/26/16 01:00:00 PM,18.045,3100.0,,
146,09/26/16 04:00:00 PM,18.806,1044.1,,
147,09/26/16 07:00:00 PM,17.094,10.8,,
148,09/26/16 10:00:00 PM,14.900,0.0,,
149,09/27/16 01:00:00 AM,13.461,0.0,,
150,09/27/16 04:00:00 AM,12.883,0.0,,
151,09/27/16 07:00:00 AM,13.173,10.8,,
152,09/27/16 10:00:00 AM,13.173,764.2,,
153,09/27/16 01:00:00 PM,14.996,4477.8,,
154,09/27/16 04:00:00 PM,15.569,2927.8,,
155,09/27/16 07:00:00 PM,13.558,0.0,,
156,09/27/16 10:00:00 PM,11.916,0.0,,
157,09/28/16 01:00:00 AM,11.041,0.0,,
158,09/28/16 04:00:00 AM,9.965,0.0,,
159,09/28/16 07:00:00 AM,9.472,43.1,,
160,09/28/16 10:00:00 AM,10.161,2238.9,,
161,09/28/16 01:00:00 PM,13.750,2411.1,,
162,09/28/16 04:00:00 PM,14.230,936.5,,
163,09/28/16 07:00:00 PM,12.594,0.0,,
164,09/28/16 10:00:00 PM,10.651,0.0,,
165,09/29/16 01:00:00 AM,9.373,0.0,,
166,09/29/16 04:00:00 AM,8.082,0.0,,
167,09/29/16 07:00:00 AM,7.682,10.8,,
168,09/29/16 10:00:00 AM,9.373,1377.8,,
169,09/29/16 01:00:00 PM,12.883,3444.5,,
170,09/29/16 04:00:00 PM,12.690,1722.2,,
171,09/29/16 07:00:00 PM,11.236,0.0,,
172,09/29/16 10:00:00 PM,10.651,0.0,,
173,09/30/16 01:00:00 AM,10.063,0.0,,
174,09/30/16 04:00:00 AM,8.481,0.0,,
175,09/30/16 07:00:00 AM,6.978,0.0,,
176,09/30/16 10:00:00 AM,7.079,1108.7,,
177,09/30/16 01:00:00 PM,12.110,2927.8,,
178,09/30/16 04:00:00 PM,11.916,1076.4,,
179,09/30/16 07:00:00 PM,10.553,0.0,,
180,09/30/16 10:00:00 PM,8.978,0.0,,
181,10/01/16 01:00:00 AM,8.382,0.0,,
182,10/01/16 04:00:00 AM,7.882,0.0,,
183,10/01/16 07:00:00 AM,7.381,0.0,,
184,10/01/16 10:00:00 AM,8.382,1022.6,,
185,10/01/16 01:00:00 PM,10.846,2927.8,,
186,10/01/16 04:00:00 PM,10.651,2583.4,,
187,10/01/16 07:00:00 PM,8.879,0.0,,
188,10/01/16 10:00:00 PM,8.082,0.0,,
189,10/02/16 01:00:00 AM,7.381,0.0,,
190,10/02/16 04:00:00 AM,7.179,0.0,,
191,10/02/16 07:00:00 AM,6.877,0.0,,
192,10/02/16 10:00:00 AM,7.882,2238.9,,
193,10/02/16 01:00:00 PM,9.768,3444.5,,
194,10/02/16 04:00:00 PM,9.965,1636.1,,
195,10/02/16 07:00:00 PM,9.176,0.0,,
196,10/02/16 10:00:00 PM,8.779,0.0,,
197,10/03/16 01:00:00 AM,8.082,0.0,,
198,10/03/16 04:00:00 AM,7.782,0.0,,
199,10/03/16 07:00:00 AM,7.381,0.0,,
200,10/03/16 10:00:00 AM,8.282,1808.3,,
201,10/03/16 01:00:00 PM,9.768,3616.7,,
202,10/03/16 04:00:00 PM,10.259,2325.0,,
203,10/03/16 07:00:00 PM,8.978,0.0,,
204,10/03/16 10:00:00 PM,8.282,0.0,,
205,10/04/16 01:00:00 AM,7.882,0.0,,
206,10/04/16 04:00:00 AM,7.682,0.0,,
207,10/04/16 07:00:00 AM,7.682,0.0,,
208,10/04/16 10:00:00 AM,8.382,1894.5,,
209,10/04/16 01:00:00 PM,8.779,1463.9,,
210,10/04/16 04:00:00 PM,9.077,505.9,,
211,10/04/16 07:00:00 PM,8.182,0.0,,
212,10/04/16 10:00:00 PM,8.082,0.0,,
213,10/05/16 01:00:00 AM,7.882,0.0,,
214,10/05/16 04:00:00 AM,7.782,0.0,,
215,10/05/16 07:00:00 AM,7.782,0.0,,
216,10/05/16 10:00:00 AM,8.680,2755.6,,
217,10/05/16 01:00:00 PM,10.944,3961.1,,
218,10/05/16 04:00:00 PM,11.139,2325.0,,
219,10/05/16 07:00:00 PM,10.063,0.0,,
220,10/05/16 10:00:00 PM,9.571,0.0,,
221,10/06/16 01:00:00 AM,9.373,0.0,,
222,10/06/16 04:00:00 AM,9.077,0.0,,
223,10/06/16 07:00:00 AM,8.978,0.0,,
224,10/06/16 10:00:00 AM,9.669,2755.6,,
225,10/06/16 01:00:00 PM,11.236,4477.8,,
226,10/06/16 04:00:00 PM,10.259,839.6,,
227,10/06/16 07:00:00 PM,9.176,0.0,,
228,10/06/16 10:00:00 PM,8.581,0.0,,
229,10/07/16 01:00:00 AM,8.779,0.0,,
230,10/07/16 04:00:00 AM,8.779,0.0,,
231,10/07/16 07:00:00 AM,8.879,0.0,,
232,10/07/16 10:00:00 AM,9.571,1377.8,,
233,10/07/16 01:00:00 PM,10.651,3100.0,,
234,10/07/16 04:00:00 PM,10.553,1808.3,,
235,10/07/16 07:00:00 PM,9.571,0.0,,
236,10/07/16 10:00:00 PM,8.680,0.0,,
237,10/08/16 01:00:00 AM,8.481,0.0,,
238,10/08/16 04:00:00 AM,8.581,0.0,,
239,10/08/16 07:00:00 AM,9.077,0.0,,
240,10/08/16 10:00:00 AM,10.553,2066.7,,
241,10/08/16 01:00:00 PM,12.883,4650.0,,
242,10/08/16 04:00:00 PM,12.207,581.3,,
243,10/08/16 07:00:00 PM,11.722,0.0,,
244,10/08/16 10:00:00 PM,11.625,0.0,,
245,10/09/16 01:00:00 AM,11.625,0.0,,
246,10/09/16 04:00:00 AM,11.819,0.0,,
247,10/09/16 07:00:00 AM,10.063,0.0,,
248,10/09/16 10:00:00 AM,9.965,2066.7,,
249,10/09/16 01:00:00 PM,9.669,1001.0,,
250,10/09/16 04:00:00 PM,8.978,409.0,,
251,10/09/16 07:00:00 PM,8.182,0.0,,
252,10/09/16 10:00:00 PM,7.682,0.0,,
253,10/10/16 01:00:00 AM,7.079,0.0,,
254,10/10/16 04:00:00 AM,6.573,0.0,,
255,10/10/16 07:00:00 AM,6.166,0.0,,
256,10/10/16 10:00:00 AM,5.655,1550.0,,
257,10/10/16 01:00:00 PM,7.983,2152.8,,
258,10/10/16 04:00:00 PM,8.282,1291.7,,
259,10/10/16 07:00:00 PM,7.179,0.0,,
260,10/10/16 10:00:00 PM,5.757,0.0,,
261,10/11/16 01:00:00 AM,4.934,0.0,,
262,10/11/16 04:00:00 AM,3.998,0.0,,
263,10/11/16 07:00:00 AM,3.367,0.0,,
264,10/11/16 10:00:00 AM,3.893,785.8,,
265,10/11/16 01:00:00 PM,6.775,1980.6,,
266,10/11/16 04:00:00 PM,7.782,828.8,,
267,10/11/16 07:00:00 PM,6.573,0.0,,
268,10/11/16 10:00:00 PM,5.347,0.0,,
269,10/12/16 01:00:00 AM,4.311,0.0,,
270,10/12/16 04:00:00 AM,3.261,0.0,,
271,10/12/16 07:00:00 AM,2.730,0.0,,
272,10/12/16 10:00:00 AM,3.261,785.8,,
273,10/12/16 01:00:00 PM,7.782,1980.6,,
274,10/12/16 04:00:00 PM,9.571,1636.1,,
275,10/12/16 07:00:00 PM,8.182,0.0,,
276,10/12/16 10:00:00 PM,7.481,0.0,,
277,10/13/16 01:00:00 AM,7.381,0.0,,
278,10/13/16 04:00:00 AM,8.182,0.0,,
279,10/13/16 07:00:00 AM,8.382,0.0,,
280,10/13/16 10:00:00 AM,8.779,602.8,,
281,10/13/16 01:00:00 PM,9.373,678.1,,
282,10/13/16 04:00:00 PM,9.866,430.6,,
283,10/13/16 07:00:00 PM,9.768,0.0,,
284,10/13/16 10:00:00 PM,10.944,0.0,,
285,10/14/16 01:00:00 AM,9.275,0.0,,
286,10/14/16 04:00:00 AM,8.182,0.0,,
287,10/14/16 07:00:00 AM,7.983,0.0,,
288,10/14/16 10:00:00 AM,7.582,172.2,,
289,10/14/16 01:00:00 PM,8.082,796.5,,
290,10/14/16 04:00:00 PM,8.182,505.9,,
291,10/14/16 07:00:00 PM,7.381,0.0,,
292,10/14/16 10:00:00 PM,6.674,0.0,,
293,10/15/16 01:00:00 AM,6.064,0.0,,
294,10/15/16 04:00:00 AM,6.166,0.0,,
295,10/15/16 07:00:00 AM,6.471,0.0,,
296,10/15/16 10:00:00 AM,7.280,893.4,,
297,10/15/16 01:00:00 PM,7.782,505.9,,
298,10/15/16 04:00:00 PM,8.581,861.1,,
299,10/15/16 07:00:00 PM,8.481,0.0,,
300,10/15/16 10:00:00 PM,7.582,0.0,,
301,10/16/16 01:00:00 AM,7.280,0.0,,
302,10/16/16 04:00:00 AM,6.978,0.0,,
303,10/16/16 07:00:00 AM,6.877,0.0,,
304,10/16/16 10:00:00 AM,7.481,2497.2,,
305,10/16/16 01:00:00 PM,8.680,3444.5,,
306,10/16/16 04:00:00 PM,8.382,505.9,,
307,10/16/16 07:00:00 PM,7.682,0.0,,
308,10/16/16 10:00:00 PM,6.978,0.0,,
309,10/17/16 01:00:00 AM,6.674,0.0,,
310,10/17/16 04:00:00 AM,6.573,0.0,,
311,10/17/16 07:00:00 AM,6.471,0.0,,
312,10/17/16 10:00:00 AM,5.757,279.9,,
313,10/17/16 01:00:00 PM,6.064,527.4,,
314,10/17/16 04:00:00 PM,7.179,236.8,,
315,10/17/16 07:00:00 PM,6.471,0.0,,
