"Plot Title: TOO4-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995215, SEN S/N: 9995215, LBL: C)","Intensity, Lux (LGR S/N: 9995215, SEN S/N: 9995215, LBL: Lux)","Coupler Attached (LGR S/N: 9995215)","Host Connected (LGR S/N: 9995215)","Stopped (LGR S/N: 9995215)","End Of File (LGR S/N: 9995215)"
1,09/08/16 01:00:00 PM,13.173,3272.2,,,,
2,09/08/16 04:00:00 PM,13.076,1550.0,,,,
3,09/08/16 07:00:00 PM,12.207,183.0,,,,
4,09/08/16 10:00:00 PM,10.944,0.0,,,,
5,09/09/16 01:00:00 AM,9.275,0.0,,,,
6,09/09/16 04:00:00 AM,8.082,0.0,,,,
7,09/09/16 07:00:00 AM,7.381,86.1,,,,
8,09/09/16 10:00:00 AM,8.879,1808.3,,,,
9,09/09/16 01:00:00 PM,12.497,3272.2,,,,
10,09/09/16 04:00:00 PM,13.942,1377.8,,,,
11,09/09/16 07:00:00 PM,12.980,86.1,,,,
12,09/09/16 10:00:00 PM,11.722,0.0,,,,
13,09/10/16 01:00:00 AM,10.455,0.0,,,,
14,09/10/16 04:00:00 AM,9.571,0.0,,,,
15,09/10/16 07:00:00 AM,8.978,21.5,,,,
16,09/10/16 10:00:00 AM,10.455,1463.9,,,,
17,09/10/16 01:00:00 PM,14.134,3100.0,,,,
18,09/10/16 04:00:00 PM,16.046,3100.0,,,,
19,09/10/16 07:00:00 PM,14.900,355.2,,,,
20,09/10/16 10:00:00 PM,13.942,0.0,,,,
21,09/11/16 01:00:00 AM,12.690,0.0,,,,
22,09/11/16 04:00:00 AM,10.651,0.0,,,,
23,09/11/16 07:00:00 AM,10.063,43.1,,,,
24,09/11/16 10:00:00 AM,10.553,721.2,,,,
25,09/11/16 01:00:00 PM,11.722,1550.0,,,,
26,09/11/16 04:00:00 PM,12.497,2152.8,,,,
27,09/11/16 07:00:00 PM,11.236,64.6,,,,
28,09/11/16 10:00:00 PM,9.472,0.0,,,,
29,09/12/16 01:00:00 AM,8.182,0.0,,,,
30,09/12/16 04:00:00 AM,7.079,0.0,,,,
31,09/12/16 07:00:00 AM,6.268,32.3,,,,
32,09/12/16 10:00:00 AM,7.882,1463.9,,,,
33,09/12/16 01:00:00 PM,11.528,3272.2,,,,
34,09/12/16 04:00:00 PM,12.883,1722.2,,,,
35,09/12/16 07:00:00 PM,12.207,75.3,,,,
36,09/12/16 10:00:00 PM,10.161,0.0,,,,
37,09/13/16 01:00:00 AM,8.282,0.0,,,,
38,09/13/16 04:00:00 AM,6.978,0.0,,,,
39,09/13/16 07:00:00 AM,6.064,32.3,,,,
40,09/13/16 10:00:00 AM,8.082,1550.0,,,,
41,09/13/16 01:00:00 PM,11.819,3272.2,,,,
42,09/13/16 04:00:00 PM,13.173,1356.3,,,,
43,09/13/16 07:00:00 PM,12.110,75.3,,,,
44,09/13/16 10:00:00 PM,10.357,0.0,,,,
45,09/14/16 01:00:00 AM,8.978,0.0,,,,
46,09/14/16 04:00:00 AM,7.983,0.0,,,,
47,09/14/16 07:00:00 AM,7.381,32.3,,,,
48,09/14/16 10:00:00 AM,8.879,1550.0,,,,
49,09/14/16 01:00:00 PM,12.883,3100.0,,,,
50,09/14/16 04:00:00 PM,14.134,1324.0,,,,
51,09/14/16 07:00:00 PM,13.173,64.6,,,,
52,09/14/16 10:00:00 PM,11.139,0.0,,,,
53,09/15/16 01:00:00 AM,9.571,0.0,,,,
54,09/15/16 04:00:00 AM,8.581,0.0,,,,
55,09/15/16 07:00:00 AM,7.882,21.5,,,,
56,09/15/16 10:00:00 AM,9.176,1550.0,,,,
57,09/15/16 01:00:00 PM,12.980,3100.0,,,,
58,09/15/16 04:00:00 PM,14.421,1313.2,,,,
59,09/15/16 07:00:00 PM,13.558,64.6,,,,
60,09/15/16 10:00:00 PM,11.528,0.0,,,,
61,09/16/16 01:00:00 AM,10.161,0.0,,,,
62,09/16/16 04:00:00 AM,9.275,0.0,,,,
63,09/16/16 07:00:00 AM,8.779,21.5,,,,
64,09/16/16 10:00:00 AM,10.748,2583.4,,,,
65,09/16/16 01:00:00 PM,14.421,3788.9,,,,
66,09/16/16 04:00:00 PM,16.141,3100.0,,,,
67,09/16/16 07:00:00 PM,14.325,193.8,,,,
68,09/16/16 10:00:00 PM,12.787,0.0,,,,
69,09/17/16 01:00:00 AM,12.207,0.0,,,,
70,09/17/16 04:00:00 AM,12.013,0.0,,,,
71,09/17/16 07:00:00 AM,11.236,0.0,,,,
72,09/17/16 10:00:00 AM,11.722,656.6,,,,
73,09/17/16 01:00:00 PM,12.401,473.6,,,,
74,09/17/16 04:00:00 PM,12.690,688.9,,,,
75,09/17/16 07:00:00 PM,12.110,32.3,,,,
76,09/17/16 10:00:00 PM,12.013,0.0,,,,
77,09/18/16 01:00:00 AM,12.207,0.0,,,,
78,09/18/16 04:00:00 AM,11.041,0.0,,,,
79,09/18/16 07:00:00 AM,9.965,21.5,,,,
80,09/18/16 10:00:00 AM,10.748,2238.9,,,,
81,09/18/16 01:00:00 PM,12.110,2927.8,,,,
82,09/18/16 04:00:00 PM,12.497,635.1,,,,
83,09/18/16 07:00:00 PM,11.625,21.5,,,,
84,09/18/16 10:00:00 PM,10.455,0.0,,,,
85,09/19/16 01:00:00 AM,9.077,0.0,,,,
86,09/19/16 04:00:00 AM,8.382,0.0,,,,
87,09/19/16 07:00:00 AM,8.779,0.0,,,,
88,09/19/16 10:00:00 AM,9.669,1119.5,,,,
89,09/19/16 01:00:00 PM,10.455,4305.6,,,,
90,09/19/16 04:00:00 PM,10.357,1463.9,,,,
91,09/19/16 07:00:00 PM,9.768,53.8,,,,
92,09/19/16 10:00:00 PM,8.779,0.0,,,,
93,09/20/16 01:00:00 AM,7.682,0.0,,,,
94,09/20/16 04:00:00 AM,6.471,0.0,,,,
95,09/20/16 07:00:00 AM,5.552,10.8,,,,
96,09/20/16 10:00:00 AM,6.370,1173.3,,,,
97,09/20/16 01:00:00 PM,9.571,2927.8,,,,
98,09/20/16 04:00:00 PM,10.357,2583.4,,,,
99,09/20/16 07:00:00 PM,9.669,96.9,,,,
100,09/20/16 10:00:00 PM,8.182,0.0,,,,
101,09/21/16 01:00:00 AM,6.674,0.0,,,,
102,09/21/16 04:00:00 AM,5.962,0.0,,,,
103,09/21/16 07:00:00 AM,5.037,10.8,,,,
104,09/21/16 10:00:00 AM,6.268,1237.9,,,,
105,09/21/16 01:00:00 PM,9.866,4305.6,,,,
106,09/21/16 04:00:00 PM,11.041,2497.2,,,,
107,09/21/16 07:00:00 PM,9.373,43.1,,,,
108,09/21/16 10:00:00 PM,8.481,0.0,,,,
109,09/22/16 01:00:00 AM,7.079,0.0,,,,
110,09/22/16 04:00:00 AM,5.962,0.0,,,,
111,09/22/16 07:00:00 AM,5.141,10.8,,,,
112,09/22/16 10:00:00 AM,6.978,1097.9,,,,
