"Plot Title: A003-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401788, SEN S/N: 2401788, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401788, SEN S/N: 2401788, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 2401788)","Host Connected (LGR S/N: 2401788)","Stopped (LGR S/N: 2401788)","End Of File (LGR S/N: 2401788)"
1,09/23/17 01:00:00 PM,9.866,1463.9,,,,
2,09/23/17 04:00:00 PM,11.041,495.1,,,,
3,09/23/17 07:00:00 PM,9.965,0.0,,,,
4,09/23/17 10:00:00 PM,7.882,0.0,,,,
5,09/24/17 01:00:00 AM,6.064,0.0,,,,
6,09/24/17 04:00:00 AM,5.037,0.0,,,,
7,09/24/17 07:00:00 AM,4.207,0.0,,,,
8,09/24/17 10:00:00 AM,5.860,1302.4,,,,
9,09/24/17 01:00:00 PM,10.357,1377.8,,,,
10,09/24/17 04:00:00 PM,12.690,387.5,,,,
11,09/24/17 07:00:00 PM,10.846,0.0,,,,
12,09/24/17 10:00:00 PM,8.581,0.0,,,,
13,09/25/17 01:00:00 AM,7.782,0.0,,,,
14,09/25/17 04:00:00 AM,7.682,0.0,,,,
15,09/25/17 07:00:00 AM,7.782,0.0,,,,
16,09/25/17 10:00:00 AM,9.077,839.6,,,,
17,09/25/17 01:00:00 PM,10.944,1216.3,,,,
18,09/25/17 04:00:00 PM,10.944,290.6,,,,
19,09/25/17 07:00:00 PM,10.651,0.0,,,,
20,09/25/17 10:00:00 PM,10.357,0.0,,,,
21,09/26/17 01:00:00 AM,9.373,0.0,,,,
22,09/26/17 04:00:00 AM,8.879,0.0,,,,
23,09/26/17 07:00:00 AM,7.079,0.0,,,,
24,09/26/17 10:00:00 AM,6.978,1377.8,,,,
25,09/26/17 01:00:00 PM,11.916,1313.2,,,,
26,09/26/17 04:00:00 PM,14.709,376.7,,,,
27,09/26/17 07:00:00 PM,12.497,0.0,,,,
28,09/26/17 10:00:00 PM,10.553,0.0,,,,
29,09/27/17 01:00:00 AM,9.176,0.0,,,,
30,09/27/17 04:00:00 AM,8.182,0.0,,,,
31,09/27/17 07:00:00 AM,7.582,0.0,,,,
32,09/27/17 10:00:00 AM,7.983,1463.9,,,,
33,09/27/17 01:00:00 PM,13.269,1356.3,,,,
34,09/27/17 04:00:00 PM,15.378,376.7,,,,
35,09/27/17 07:00:00 PM,12.690,0.0,,,,
36,09/27/17 10:00:00 PM,10.259,0.0,,,,
37,09/28/17 01:00:00 AM,8.779,0.0,,,,
38,09/28/17 04:00:00 AM,7.882,0.0,,,,
39,09/28/17 07:00:00 AM,7.582,0.0,,,,
40,09/28/17 10:00:00 AM,8.182,1463.9,,,,
41,09/28/17 01:00:00 PM,14.325,1356.3,,,,
42,09/28/17 04:00:00 PM,16.808,419.8,,,,
43,09/28/17 07:00:00 PM,13.173,0.0,,,,
44,09/28/17 10:00:00 PM,10.846,0.0,,,,
45,09/29/17 01:00:00 AM,9.571,0.0,,,,
46,09/29/17 04:00:00 AM,8.779,0.0,,,,
47,09/29/17 07:00:00 AM,8.382,129.2,,,,
48,09/29/17 10:00:00 AM,9.669,419.8,,,,
49,09/29/17 01:00:00 PM,11.916,1377.8,,,,
50,09/29/17 04:00:00 PM,11.916,678.1,,,,
51,09/29/17 07:00:00 PM,11.041,0.0,,,,
52,09/29/17 10:00:00 PM,9.669,0.0,,,,
53,09/30/17 01:00:00 AM,8.282,0.0,,,,
54,09/30/17 04:00:00 AM,7.280,0.0,,,,
55,09/30/17 07:00:00 AM,6.877,0.0,,,,
56,09/30/17 10:00:00 AM,7.882,678.1,,,,
57,09/30/17 01:00:00 PM,8.282,1044.1,,,,
58,09/30/17 04:00:00 PM,7.983,96.9,,,,
59,09/30/17 07:00:00 PM,7.179,0.0,,,,
60,09/30/17 10:00:00 PM,6.268,0.0,,,,
61,10/01/17 01:00:00 AM,6.268,0.0,,,,
62,10/01/17 04:00:00 AM,6.370,0.0,,,,
63,10/01/17 07:00:00 AM,6.166,0.0,,,,
64,10/01/17 10:00:00 AM,6.674,549.0,,,,
65,10/01/17 01:00:00 PM,7.782,452.1,,,,
66,10/01/17 04:00:00 PM,7.682,215.3,,,,
67,10/01/17 07:00:00 PM,6.471,0.0,,,,
68,10/01/17 10:00:00 PM,5.037,0.0,,,,
69,10/02/17 01:00:00 AM,3.367,0.0,,,,
70,10/02/17 04:00:00 AM,2.303,0.0,,,,
71,10/02/17 07:00:00 AM,1.548,0.0,,,,
72,10/02/17 10:00:00 AM,3.472,1033.3,,,,
73,10/02/17 01:00:00 PM,6.573,602.8,,,,
74,10/02/17 04:00:00 PM,7.882,624.3,,,,
75,10/02/17 07:00:00 PM,6.775,0.0,,,,
76,10/02/17 10:00:00 PM,4.934,0.0,,,,
77,10/03/17 01:00:00 AM,3.893,0.0,,,,
78,10/03/17 04:00:00 AM,3.049,0.0,,,,
79,10/03/17 07:00:00 AM,2.303,0.0,,,,
80,10/03/17 10:00:00 AM,2.624,322.9,,,,
81,10/03/17 01:00:00 PM,7.280,1259.4,,,,
82,10/03/17 04:00:00 PM,8.978,333.7,,,,
83,10/03/17 07:00:00 PM,6.370,0.0,,,,
84,10/03/17 10:00:00 PM,4.207,0.0,,,,
85,10/04/17 01:00:00 AM,2.624,0.0,,,,
86,10/04/17 04:00:00 AM,1.872,0.0,,,,
87,10/04/17 07:00:00 AM,1.548,0.0,,,,
88,10/04/17 10:00:00 AM,3.049,301.4,,,,
89,10/04/17 01:00:00 PM,7.782,1280.9,,,,
90,10/04/17 04:00:00 PM,10.357,398.3,,,,
91,10/04/17 07:00:00 PM,7.481,0.0,,,,
92,10/04/17 10:00:00 PM,5.037,0.0,,,,
93,10/05/17 01:00:00 AM,3.998,0.0,,,,
94,10/05/17 04:00:00 AM,2.837,0.0,,,,
95,10/05/17 07:00:00 AM,2.410,0.0,,,,
96,10/05/17 10:00:00 AM,2.517,183.0,,,,
97,10/05/17 01:00:00 PM,8.082,1237.9,,,,
98,10/05/17 04:00:00 PM,11.041,290.6,,,,
99,10/05/17 07:00:00 PM,8.481,0.0,,,,
100,10/05/17 10:00:00 PM,6.064,0.0,,,,
101,10/06/17 01:00:00 AM,4.934,0.0,,,,
102,10/06/17 04:00:00 AM,4.102,0.0,,,,
103,10/06/17 07:00:00 AM,3.578,21.5,,,,
104,10/06/17 10:00:00 AM,4.519,129.2,,,,
105,10/06/17 01:00:00 PM,9.077,1259.4,,,,
106,10/06/17 04:00:00 PM,10.259,387.5,,,,
107,10/06/17 07:00:00 PM,8.581,0.0,,,,
108,10/06/17 10:00:00 PM,7.481,0.0,,,,
109,10/07/17 01:00:00 AM,7.079,0.0,,,,
110,10/07/17 04:00:00 AM,7.179,0.0,,,,
111,10/07/17 07:00:00 AM,6.064,0.0,,,,
