"Plot Title: AB08-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995210, SEN S/N: 9995210, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 9995210, SEN S/N: 9995210, LBL: LIGHT INTENSITY)","Coupler Attached (LGR S/N: 9995210)","Host Connected (LGR S/N: 9995210)","Stopped (LGR S/N: 9995210)","End Of File (LGR S/N: 9995210)"
1,09/23/17 01:00:00 PM,9.669,3616.7,,,,
2,09/23/17 04:00:00 PM,11.722,3272.2,,,,
3,09/23/17 07:00:00 PM,9.669,53.8,,,,
4,09/23/17 10:00:00 PM,7.381,0.0,,,,
5,09/24/17 01:00:00 AM,5.757,0.0,,,,
6,09/24/17 04:00:00 AM,4.934,0.0,,,,
7,09/24/17 07:00:00 AM,4.623,75.3,,,,
8,09/24/17 10:00:00 AM,8.082,4994.5,,,,
9,09/24/17 01:00:00 PM,10.455,3100.0,,,,
10,09/24/17 04:00:00 PM,13.365,3961.1,,,,
11,09/24/17 07:00:00 PM,10.357,21.5,,,,
12,09/24/17 10:00:00 PM,8.282,0.0,,,,
13,09/25/17 01:00:00 AM,7.882,0.0,,,,
14,09/25/17 04:00:00 AM,7.983,0.0,,,,
15,09/25/17 07:00:00 AM,8.082,32.3,,,,
16,09/25/17 10:00:00 AM,10.063,3788.9,,,,
17,09/25/17 01:00:00 PM,11.528,4650.0,,,,
18,09/25/17 04:00:00 PM,10.748,1097.9,,,,
19,09/25/17 07:00:00 PM,9.866,10.8,,,,
20,09/25/17 10:00:00 PM,9.373,0.0,,,,
21,09/26/17 01:00:00 AM,9.077,0.0,,,,
22,09/26/17 04:00:00 AM,8.879,0.0,,,,
23,09/26/17 07:00:00 AM,7.079,75.3,,,,
24,09/26/17 10:00:00 AM,8.082,1151.7,,,,
25,09/26/17 01:00:00 PM,12.110,2927.8,,,,
26,09/26/17 04:00:00 PM,14.804,3788.9,,,,
27,09/26/17 07:00:00 PM,12.690,32.3,,,,
28,09/26/17 10:00:00 PM,10.455,0.0,,,,
29,09/27/17 01:00:00 AM,9.472,0.0,,,,
30,09/27/17 04:00:00 AM,9.768,0.0,,,,
31,09/27/17 07:00:00 AM,9.472,64.6,,,,
32,09/27/17 10:00:00 AM,10.651,1259.4,,,,
33,09/27/17 01:00:00 PM,14.325,2927.8,,,,
34,09/27/17 04:00:00 PM,16.523,3788.9,,,,
35,09/27/17 07:00:00 PM,14.134,32.3,,,,
36,09/27/17 10:00:00 PM,11.722,0.0,,,,
37,09/28/17 01:00:00 AM,10.944,0.0,,,,
38,09/28/17 04:00:00 AM,10.259,0.0,,,,
39,09/28/17 07:00:00 AM,10.259,53.8,,,,
40,09/28/17 10:00:00 AM,11.722,1248.6,,,,
41,09/28/17 01:00:00 PM,16.141,2927.8,,,,
42,09/28/17 04:00:00 PM,18.045,3616.7,,,,
43,09/28/17 07:00:00 PM,15.091,0.0,,,,
44,09/28/17 10:00:00 PM,12.594,0.0,,,,
45,09/29/17 01:00:00 AM,11.431,0.0,,,,
