"Plot Title: AR07-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574907, SEN S/N: 10574907, LBL: C)","Intensity, Lux (LGR S/N: 10574907, SEN S/N: 10574907, LBL: Lux)","Coupler Attached (LGR S/N: 10574907)","Host Connected (LGR S/N: 10574907)","Stopped (LGR S/N: 10574907)","End Of File (LGR S/N: 10574907)"
1,09/14/17 01:00:00 PM,12.207,2152.8,,,,
2,09/14/17 04:00:00 PM,12.304,1011.8,,,,
3,09/14/17 07:00:00 PM,10.259,64.6,,,,
4,09/14/17 10:00:00 PM,7.782,0.0,,,,
5,09/15/17 01:00:00 AM,7.079,0.0,,,,
6,09/15/17 04:00:00 AM,6.978,0.0,,,,
7,09/15/17 07:00:00 AM,6.775,86.1,,,,
8,09/15/17 10:00:00 AM,11.334,2152.8,,,,
9,09/15/17 01:00:00 PM,13.750,1980.6,,,,
10,09/15/17 04:00:00 PM,12.980,958.0,,,,
11,09/15/17 07:00:00 PM,10.357,43.1,,,,
12,09/15/17 10:00:00 PM,8.680,0.0,,,,
13,09/16/17 01:00:00 AM,7.481,0.0,,,,
14,09/16/17 04:00:00 AM,7.179,0.0,,,,
15,09/16/17 07:00:00 AM,7.280,64.6,,,,
16,09/16/17 10:00:00 AM,10.846,2669.5,,,,
17,09/16/17 01:00:00 PM,13.269,2927.8,,,,
18,09/16/17 04:00:00 PM,12.497,1463.9,,,,
19,09/16/17 07:00:00 PM,11.041,43.1,,,,
20,09/16/17 10:00:00 PM,8.879,0.0,,,,
21,09/17/17 01:00:00 AM,8.382,0.0,,,,
22,09/17/17 04:00:00 AM,8.779,0.0,,,,
23,09/17/17 07:00:00 AM,8.581,10.8,,,,
24,09/17/17 10:00:00 AM,9.768,2497.2,,,,
25,09/17/17 01:00:00 PM,13.654,2238.9,,,,
26,09/17/17 04:00:00 PM,6.978,118.4,,,,
27,09/17/17 07:00:00 PM,7.381,32.3,,,,
28,09/17/17 10:00:00 PM,7.179,0.0,,,,
29,09/18/17 01:00:00 AM,5.244,0.0,,,,
30,09/18/17 04:00:00 AM,4.102,0.0,,,,
31,09/18/17 07:00:00 AM,3.155,86.1,,,,
32,09/18/17 10:00:00 AM,3.893,882.6,,,,
33,09/18/17 01:00:00 PM,5.141,473.6,,,,
34,09/18/17 04:00:00 PM,3.893,193.8,,,,
35,09/18/17 07:00:00 PM,3.261,0.0,,,,
36,09/18/17 10:00:00 PM,1.112,0.0,,,,
37,09/19/17 01:00:00 AM,1.439,0.0,,,,
38,09/19/17 04:00:00 AM,1.439,0.0,,,,
39,09/19/17 07:00:00 AM,1.221,0.0,,,,
40,09/19/17 10:00:00 AM,1.221,904.2,,,,
41,09/19/17 01:00:00 PM,1.980,968.8,,,,
42,09/19/17 04:00:00 PM,1.872,430.6,,,,
43,09/19/17 07:00:00 PM,2.088,0.0,,,,
44,09/19/17 10:00:00 PM,2.195,0.0,,,,
45,09/20/17 01:00:00 AM,1.764,0.0,,,,
46,09/20/17 04:00:00 AM,1.221,0.0,,,,
47,09/20/17 07:00:00 AM,0.563,0.0,,,,
48,09/20/17 10:00:00 AM,0.563,710.4,,,,
49,09/20/17 01:00:00 PM,1.548,1550.0,,,,
50,09/20/17 04:00:00 PM,2.410,538.2,,,,
51,09/20/17 07:00:00 PM,1.764,0.0,,,,
52,09/20/17 10:00:00 PM,1.330,0.0,,,,
53,09/21/17 01:00:00 AM,0.674,0.0,,,,
54,09/21/17 04:00:00 AM,1.003,0.0,,,,
55,09/21/17 07:00:00 AM,1.003,0.0,,,,
56,09/21/17 10:00:00 AM,2.837,2152.8,,,,
57,09/21/17 01:00:00 PM,3.578,818.1,,,,
58,09/21/17 04:00:00 PM,4.311,904.2,,,,
59,09/21/17 07:00:00 PM,3.683,10.8,,,,
60,09/21/17 10:00:00 PM,2.517,0.0,,,,
61,09/22/17 01:00:00 AM,2.517,0.0,,,,
