"Plot Title: AV06-05"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: C)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: Lux)","Coupler Attached (LGR S/N: 2401762)","Host Connected (LGR S/N: 2401762)","Stopped (LGR S/N: 2401762)","End Of File (LGR S/N: 2401762)"
1,09/13/17 01:00:00 PM,14.900,5338.9,,,,
2,09/13/17 04:00:00 PM,15.187,2325.0,,,,
3,09/13/17 07:00:00 PM,11.625,32.3,,,,
4,09/13/17 10:00:00 PM,9.077,0.0,,,,
5,09/14/17 01:00:00 AM,8.978,0.0,,,,
6,09/14/17 04:00:00 AM,8.182,0.0,,,,
7,09/14/17 07:00:00 AM,7.682,64.6,,,,
8,09/14/17 10:00:00 AM,9.472,1162.5,,,,
9,09/14/17 01:00:00 PM,16.427,11711.2,,,,
10,09/14/17 04:00:00 PM,14.804,1980.6,,,,
11,09/14/17 07:00:00 PM,12.594,139.9,,,,
12,09/14/17 10:00:00 PM,9.077,0.0,,,,
13,09/15/17 01:00:00 AM,8.182,0.0,,,,
14,09/15/17 04:00:00 AM,7.481,0.0,,,,
15,09/15/17 07:00:00 AM,7.179,86.1,,,,
16,09/15/17 10:00:00 AM,9.965,1550.0,,,,
17,09/15/17 01:00:00 PM,16.141,11711.2,,,,
18,09/15/17 04:00:00 PM,16.427,2238.9,,,,
19,09/15/17 07:00:00 PM,12.980,86.1,,,,
20,09/15/17 10:00:00 PM,9.768,0.0,,,,
21,09/16/17 01:00:00 AM,9.077,0.0,,,,
22,09/16/17 04:00:00 AM,8.282,0.0,,,,
23,09/16/17 07:00:00 AM,8.581,86.1,,,,
24,09/16/17 10:00:00 AM,12.497,3100.0,,,,
25,09/16/17 01:00:00 PM,16.427,4994.5,,,,
26,09/16/17 04:00:00 PM,15.951,2669.5,,,,
27,09/16/17 07:00:00 PM,13.846,86.1,,,,
28,09/16/17 10:00:00 PM,10.651,0.0,,,,
29,09/17/17 01:00:00 AM,9.965,0.0,,,,
30,09/17/17 04:00:00 AM,10.259,0.0,,,,
31,09/17/17 07:00:00 AM,9.669,21.5,,,,
32,09/17/17 10:00:00 AM,11.722,3100.0,,,,
33,09/17/17 01:00:00 PM,15.664,2669.5,,,,
34,09/17/17 04:00:00 PM,9.373,398.3,,,,
35,09/17/17 07:00:00 PM,9.176,75.3,,,,
36,09/17/17 10:00:00 PM,8.481,0.0,,,,
37,09/18/17 01:00:00 AM,6.775,0.0,,,,
38,09/18/17 04:00:00 AM,6.064,0.0,,,,
39,09/18/17 07:00:00 AM,5.450,107.6,,,,
40,09/18/17 10:00:00 AM,6.166,1377.8,,,,
41,09/18/17 01:00:00 PM,7.481,1001.0,,,,
42,09/18/17 04:00:00 PM,6.268,301.4,,,,
43,09/18/17 07:00:00 PM,5.757,0.0,,,,
44,09/18/17 10:00:00 PM,3.998,0.0,,,,
45,09/19/17 01:00:00 AM,4.311,0.0,,,,
46,09/19/17 04:00:00 AM,4.311,0.0,,,,
47,09/19/17 07:00:00 AM,4.102,10.8,,,,
48,09/19/17 10:00:00 AM,4.727,893.4,,,,
49,09/19/17 01:00:00 PM,5.552,1808.3,,,,
50,09/19/17 04:00:00 PM,5.450,2066.7,,,,
51,09/19/17 07:00:00 PM,5.552,10.8,,,,
52,09/19/17 10:00:00 PM,5.244,0.0,,,,
53,09/20/17 01:00:00 AM,4.623,0.0,,,,
54,09/20/17 04:00:00 AM,3.893,0.0,,,,
55,09/20/17 07:00:00 AM,3.893,0.0,,,,
56,09/20/17 10:00:00 AM,3.155,1162.5,,,,
57,09/20/17 01:00:00 PM,4.623,2497.2,,,,
58,09/20/17 04:00:00 PM,4.934,1194.8,,,,
59,09/20/17 07:00:00 PM,4.831,10.8,,,,
60,09/20/17 10:00:00 PM,4.415,0.0,,,,
61,09/21/17 01:00:00 AM,4.311,0.0,,,,
62,09/21/17 04:00:00 AM,3.998,0.0,,,,
63,09/21/17 07:00:00 AM,3.683,0.0,,,,
64,09/21/17 10:00:00 AM,4.934,1722.2,,,,
65,09/21/17 01:00:00 PM,6.471,2238.9,,,,
66,09/21/17 04:00:00 PM,6.978,1463.9,,,,
67,09/21/17 07:00:00 PM,6.370,10.8,,,,
68,09/21/17 10:00:00 PM,5.450,0.0,,,,
69,09/22/17 01:00:00 AM,5.037,0.0,,,,
70,09/22/17 04:00:00 AM,4.311,0.0,,,,
71,09/22/17 07:00:00 AM,3.578,10.8,,,,
72,09/22/17 10:00:00 AM,5.347,2238.9,,,,
73,09/22/17 01:00:00 PM,9.077,1356.3,,,,
74,09/22/17 04:00:00 PM,7.582,699.7,,,,
75,09/22/17 07:00:00 PM,7.280,0.0,,,,
76,09/22/17 10:00:00 PM,5.757,0.0,,,,
77,09/23/17 01:00:00 AM,5.347,0.0,,,,
78,09/23/17 04:00:00 AM,5.450,0.0,,,,
79,09/23/17 07:00:00 AM,5.450,21.5,,,,
80,09/23/17 10:00:00 AM,6.471,1550.0,,,,
81,09/23/17 01:00:00 PM,10.455,3961.1,,,,
82,09/23/17 04:00:00 PM,10.259,1722.2,,,,
83,09/23/17 07:00:00 PM,9.275,53.8,,,,
84,09/23/17 10:00:00 PM,6.775,0.0,,,,
85,09/24/17 01:00:00 AM,5.860,0.0,,,,
86,09/24/17 04:00:00 AM,5.450,0.0,,,,
87,09/24/17 07:00:00 AM,5.037,21.5,,,,
88,09/24/17 10:00:00 AM,7.179,1044.1,,,,
89,09/24/17 01:00:00 PM,11.139,2411.1,,,,
90,09/24/17 04:00:00 PM,12.690,1636.1,,,,
91,09/24/17 07:00:00 PM,10.553,0.0,,,,
92,09/24/17 10:00:00 PM,8.382,0.0,,,,
93,09/25/17 01:00:00 AM,8.282,0.0,,,,
94,09/25/17 04:00:00 AM,8.182,0.0,,,,
95,09/25/17 07:00:00 AM,8.282,0.0,,,,
96,09/25/17 10:00:00 AM,9.275,1119.5,,,,
97,09/25/17 01:00:00 PM,10.748,1184.0,,,,
98,09/25/17 04:00:00 PM,10.455,452.1,,,,
99,09/25/17 07:00:00 PM,10.063,0.0,,,,
100,09/25/17 10:00:00 PM,9.866,0.0,,,,
101,09/26/17 01:00:00 AM,9.275,0.0,,,,
102,09/26/17 04:00:00 AM,7.682,0.0,,,,
103,09/26/17 07:00:00 AM,7.179,10.8,,,,
104,09/26/17 10:00:00 AM,8.182,861.1,,,,
105,09/26/17 01:00:00 PM,12.980,2152.8,,,,
106,09/26/17 04:00:00 PM,14.613,1463.9,,,,
107,09/26/17 07:00:00 PM,12.690,0.0,,,,
108,09/26/17 10:00:00 PM,11.236,0.0,,,,
109,09/27/17 01:00:00 AM,10.063,0.0,,,,
110,09/27/17 04:00:00 AM,9.768,0.0,,,,
111,09/27/17 07:00:00 AM,10.455,10.8,,,,
112,09/27/17 10:00:00 AM,11.431,904.2,,,,
113,09/27/17 01:00:00 PM,15.664,2583.4,,,,
114,09/27/17 04:00:00 PM,15.951,1636.1,,,,
115,09/27/17 07:00:00 PM,13.942,0.0,,,,
116,09/27/17 10:00:00 PM,12.690,0.0,,,,
117,09/28/17 01:00:00 AM,11.819,0.0,,,,
118,09/28/17 04:00:00 AM,11.625,0.0,,,,
119,09/28/17 07:00:00 AM,10.846,10.8,,,,
120,09/28/17 10:00:00 AM,12.207,947.2,,,,
121,09/28/17 01:00:00 PM,17.189,2927.8,,,,
122,09/28/17 04:00:00 PM,17.950,1636.1,,,,
123,09/28/17 07:00:00 PM,14.517,0.0,,,,
124,09/28/17 10:00:00 PM,12.304,0.0,,,,
125,09/29/17 01:00:00 AM,11.819,0.0,,,,
126,09/29/17 04:00:00 AM,11.236,0.0,,,,
127,09/29/17 07:00:00 AM,10.748,118.4,,,,
128,09/29/17 10:00:00 AM,11.528,624.3,,,,
129,09/29/17 01:00:00 PM,12.690,1463.9,,,,
130,09/29/17 04:00:00 PM,11.528,871.9,,,,
131,09/29/17 07:00:00 PM,9.965,0.0,,,,
132,09/29/17 10:00:00 PM,8.382,0.0,,,,
133,09/30/17 01:00:00 AM,6.166,0.0,,,,
134,09/30/17 04:00:00 AM,5.757,0.0,,,,
135,09/30/17 07:00:00 AM,6.268,0.0,,,,
136,09/30/17 10:00:00 AM,6.775,1001.0,,,,
137,09/30/17 01:00:00 PM,8.481,3100.0,,,,
138,09/30/17 04:00:00 PM,6.978,193.8,,,,
139,09/30/17 07:00:00 PM,6.268,0.0,,,,
140,09/30/17 10:00:00 PM,5.552,0.0,,,,
141,10/01/17 01:00:00 AM,5.552,0.0,,,,
142,10/01/17 04:00:00 AM,5.244,0.0,,,,
143,10/01/17 07:00:00 AM,5.244,0.0,,,,
144,10/01/17 10:00:00 AM,5.450,678.1,,,,
145,10/01/17 01:00:00 PM,6.775,1377.8,,,,
146,10/01/17 04:00:00 PM,7.079,2152.8,,,,
147,10/01/17 07:00:00 PM,5.450,0.0,,,,
148,10/01/17 10:00:00 PM,4.207,0.0,,,,
149,10/02/17 01:00:00 AM,3.367,0.0,,,,
150,10/02/17 04:00:00 AM,3.049,0.0,,,,
151,10/02/17 07:00:00 AM,1.980,0.0,,,,
152,10/02/17 10:00:00 AM,3.261,1108.7,,,,
153,10/02/17 01:00:00 PM,8.182,21355.7,,,,
154,10/02/17 04:00:00 PM,8.082,1722.2,,,,
155,10/02/17 07:00:00 PM,6.268,0.0,,,,
156,10/02/17 10:00:00 PM,4.934,0.0,,,,
157,10/03/17 01:00:00 AM,3.578,0.0,,,,
158,10/03/17 04:00:00 AM,3.261,0.0,,,,
159,10/03/17 07:00:00 AM,3.472,0.0,,,,
160,10/03/17 10:00:00 AM,5.141,796.5,,,,
161,10/03/17 01:00:00 PM,9.275,4822.3,,,,
162,10/03/17 04:00:00 PM,10.357,2152.8,,,,
163,10/03/17 07:00:00 PM,7.782,0.0,,,,
164,10/03/17 10:00:00 PM,5.347,0.0,,,,
165,10/04/17 01:00:00 AM,4.934,0.0,,,,
166,10/04/17 04:00:00 AM,4.623,0.0,,,,
167,10/04/17 07:00:00 AM,3.998,0.0,,,,
168,10/04/17 10:00:00 AM,5.860,1636.1,,,,
169,10/04/17 01:00:00 PM,10.161,5166.7,,,,
170,10/04/17 04:00:00 PM,11.041,1463.9,,,,
171,10/04/17 07:00:00 PM,8.182,0.0,,,,
172,10/04/17 10:00:00 PM,6.370,0.0,,,,
173,10/05/17 01:00:00 AM,5.552,0.0,,,,
174,10/05/17 04:00:00 AM,5.037,0.0,,,,
175,10/05/17 07:00:00 AM,4.727,0.0,,,,
176,10/05/17 10:00:00 AM,6.370,678.1,,,,
177,10/05/17 01:00:00 PM,11.722,6544.5,,,,
178,10/05/17 04:00:00 PM,12.594,1463.9,,,,
179,10/05/17 07:00:00 PM,9.768,0.0,,,,
180,10/05/17 10:00:00 PM,7.882,0.0,,,,
181,10/06/17 01:00:00 AM,6.978,0.0,,,,
182,10/06/17 04:00:00 AM,6.268,0.0,,,,
183,10/06/17 07:00:00 AM,5.347,21.5,,,,
184,10/06/17 10:00:00 AM,6.166,796.5,,,,
185,10/06/17 01:00:00 PM,10.651,4822.3,,,,
186,10/06/17 04:00:00 PM,10.846,2238.9,,,,
187,10/06/17 07:00:00 PM,7.983,0.0,,,,
188,10/06/17 10:00:00 PM,6.471,0.0,,,,
189,10/07/17 01:00:00 AM,6.573,0.0,,,,
190,10/07/17 04:00:00 AM,6.471,0.0,,,,
191,10/07/17 07:00:00 AM,4.311,0.0,,,,
192,10/07/17 10:00:00 AM,5.244,968.8,,,,
193,10/07/17 01:00:00 PM,5.552,1044.1,,,,
194,10/07/17 04:00:00 PM,5.552,204.5,,,,
195,10/07/17 07:00:00 PM,4.623,0.0,,,,
196,10/07/17 10:00:00 PM,4.519,0.0,,,,
