"Plot Title: SUNR-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574930, SEN S/N: 10574930, LBL: C)","Intensity, Lux (LGR S/N: 10574930, SEN S/N: 10574930, LBL: Lux)","Coupler Attached (LGR S/N: 10574930)","Host Connected (LGR S/N: 10574930)","Stopped (LGR S/N: 10574930)","End Of File (LGR S/N: 10574930)"
1,09/23/17 01:00:00 PM,1.003,4994.5,,,,
2,09/23/17 04:00:00 PM,2.195,4650.0,,,,
3,09/23/17 07:00:00 PM,1.330,21.5,,,,
4,09/23/17 10:00:00 PM,0.674,0.0,,,,
5,09/24/17 01:00:00 AM,0.453,0.0,,,,
6,09/24/17 04:00:00 AM,0.563,0.0,,,,
7,09/24/17 07:00:00 AM,0.674,75.3,,,,
8,09/24/17 10:00:00 AM,2.837,3272.2,,,,
9,09/24/17 01:00:00 PM,3.788,2411.1,,,,
10,09/24/17 04:00:00 PM,5.037,6200.0,,,,
11,09/24/17 07:00:00 PM,3.683,21.5,,,,
12,09/24/17 10:00:00 PM,2.837,0.0,,,,
13,09/25/17 01:00:00 AM,4.519,0.0,,,,
14,09/25/17 04:00:00 AM,4.519,0.0,,,,
15,09/25/17 07:00:00 AM,4.727,43.1,,,,
16,09/25/17 10:00:00 AM,5.962,5166.7,,,,
17,09/25/17 01:00:00 PM,6.775,1980.6,,,,
18,09/25/17 04:00:00 PM,6.573,1808.3,,,,
19,09/25/17 07:00:00 PM,5.860,21.5,,,,
20,09/25/17 10:00:00 PM,5.244,0.0,,,,
21,09/26/17 01:00:00 AM,4.519,0.0,,,,
22,09/26/17 04:00:00 AM,4.102,0.0,,,,
23,09/26/17 07:00:00 AM,3.788,53.8,,,,
24,09/26/17 10:00:00 AM,5.860,2152.8,,,,
25,09/26/17 01:00:00 PM,8.680,2325.0,,,,
26,09/26/17 04:00:00 PM,9.669,2238.9,,,,
27,09/26/17 07:00:00 PM,7.582,43.1,,,,
28,09/26/17 10:00:00 PM,7.079,0.0,,,,
29,09/27/17 01:00:00 AM,6.877,0.0,,,,
30,09/27/17 04:00:00 AM,6.268,0.0,,,,
31,09/27/17 07:00:00 AM,6.573,53.8,,,,
32,09/27/17 10:00:00 AM,7.582,2152.8,,,,
33,09/27/17 01:00:00 PM,10.063,2325.0,,,,
34,09/27/17 04:00:00 PM,10.846,2497.2,,,,
35,09/27/17 07:00:00 PM,8.779,32.3,,,,
36,09/27/17 10:00:00 PM,7.381,0.0,,,,
37,09/28/17 01:00:00 AM,7.079,0.0,,,,
38,09/28/17 04:00:00 AM,7.280,0.0,,,,
39,09/28/17 07:00:00 AM,6.877,43.1,,,,
40,09/28/17 10:00:00 AM,8.282,2152.8,,,,
41,09/28/17 01:00:00 PM,11.334,2238.9,,,,
42,09/28/17 04:00:00 PM,12.013,2755.6,,,,
43,09/28/17 07:00:00 PM,9.669,10.8,,,,
44,09/28/17 10:00:00 PM,8.481,0.0,,,,
