"Plot Title: TA01-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409566, SEN S/N: 2409566)","Intensity, Lux (LGR S/N: 2409566, SEN S/N: 2409566)","Coupler Attached (LGR S/N: 2409566)","Host Connected (LGR S/N: 2409566)","Stopped (LGR S/N: 2409566)","End Of File (LGR S/N: 2409566)"
1,09/23/17 01:00:00 PM,11.431,2669.5,,,,
2,09/23/17 04:00:00 PM,12.787,1033.3,,,,
3,09/23/17 07:00:00 PM,11.722,21.5,,,,
4,09/23/17 10:00:00 PM,9.373,0.0,,,,
5,09/24/17 01:00:00 AM,7.983,0.0,,,,
6,09/24/17 04:00:00 AM,6.877,0.0,,,,
7,09/24/17 07:00:00 AM,6.064,21.5,,,,
8,09/24/17 10:00:00 AM,8.779,1722.2,,,,
9,09/24/17 01:00:00 PM,12.207,2669.5,,,,
10,09/24/17 04:00:00 PM,14.325,1808.3,,,,
11,09/24/17 07:00:00 PM,12.883,0.0,,,,
12,09/24/17 10:00:00 PM,10.748,0.0,,,,
13,09/25/17 01:00:00 AM,9.866,0.0,,,,
14,09/25/17 04:00:00 AM,9.472,0.0,,,,
15,09/25/17 07:00:00 AM,9.373,0.0,,,,
16,09/25/17 10:00:00 AM,10.651,1463.9,,,,
17,09/25/17 01:00:00 PM,13.076,4133.4,,,,
18,09/25/17 04:00:00 PM,12.690,1151.7,,,,
19,09/25/17 07:00:00 PM,12.110,0.0,,,,
20,09/25/17 10:00:00 PM,11.819,0.0,,,,
21,09/26/17 01:00:00 AM,11.625,0.0,,,,
22,09/26/17 04:00:00 AM,11.139,0.0,,,,
23,09/26/17 07:00:00 AM,9.866,10.8,,,,
24,09/26/17 10:00:00 AM,10.259,355.2,,,,
25,09/26/17 01:00:00 PM,14.517,2411.1,,,,
26,09/26/17 04:00:00 PM,16.713,1636.1,,,,
27,09/26/17 07:00:00 PM,14.804,10.8,,,,
28,09/26/17 10:00:00 PM,12.883,0.0,,,,
29,09/27/17 01:00:00 AM,11.528,0.0,,,,
30,09/27/17 04:00:00 AM,10.748,0.0,,,,
31,09/27/17 07:00:00 AM,10.063,10.8,,,,
32,09/27/17 10:00:00 AM,11.722,290.6,,,,
33,09/27/17 01:00:00 PM,16.427,2411.1,,,,
34,09/27/17 04:00:00 PM,18.140,1636.1,,,,
35,09/27/17 07:00:00 PM,15.760,0.0,,,,
36,09/27/17 10:00:00 PM,12.980,0.0,,,,
37,09/28/17 01:00:00 AM,11.625,0.0,,,,
38,09/28/17 04:00:00 AM,10.944,0.0,,,,
39,09/28/17 07:00:00 AM,10.748,10.8,,,,
40,09/28/17 10:00:00 AM,12.690,226.0,,,,
41,09/28/17 01:00:00 PM,17.855,2411.1,,,,
42,09/28/17 04:00:00 PM,19.948,1636.1,,,,
43,09/28/17 07:00:00 PM,16.618,0.0,,,,
44,09/28/17 10:00:00 PM,14.038,0.0,,,,
45,09/29/17 01:00:00 AM,12.497,0.0,,,,
46,09/29/17 04:00:00 AM,11.334,0.0,,,,
47,09/29/17 07:00:00 AM,10.357,193.8,,,,
48,09/29/17 10:00:00 AM,11.625,1291.7,,,,
49,09/29/17 01:00:00 PM,13.461,2066.7,,,,
50,09/29/17 04:00:00 PM,13.076,1065.6,,,,
51,09/29/17 07:00:00 PM,11.916,0.0,,,,
52,09/29/17 10:00:00 PM,11.041,0.0,,,,
53,09/30/17 01:00:00 AM,9.571,0.0,,,,
54,09/30/17 04:00:00 AM,8.182,0.0,,,,
55,09/30/17 07:00:00 AM,8.481,0.0,,,,
56,09/30/17 10:00:00 AM,9.571,1894.5,,,,
57,09/30/17 01:00:00 PM,10.748,2669.5,,,,
58,09/30/17 04:00:00 PM,9.866,118.4,,,,
59,09/30/17 07:00:00 PM,8.581,0.0,,,,
60,09/30/17 10:00:00 PM,8.082,0.0,,,,
61,10/01/17 01:00:00 AM,8.182,0.0,,,,
62,10/01/17 04:00:00 AM,8.182,0.0,,,,
63,10/01/17 07:00:00 AM,7.882,0.0,,,,
64,10/01/17 10:00:00 AM,8.282,2152.8,,,,
65,10/01/17 01:00:00 PM,9.275,4994.5,,,,
66,10/01/17 04:00:00 PM,9.472,1636.1,,,,
67,10/01/17 07:00:00 PM,8.779,0.0,,,,
68,10/01/17 10:00:00 PM,7.280,0.0,,,,
69,10/02/17 01:00:00 AM,6.064,0.0,,,,
70,10/02/17 04:00:00 AM,5.141,0.0,,,,
71,10/02/17 07:00:00 AM,4.311,0.0,,,,
72,10/02/17 10:00:00 AM,5.860,1808.3,,,,
73,10/02/17 01:00:00 PM,8.581,1808.3,,,,
74,10/02/17 04:00:00 PM,10.357,1377.8,,,,
