"Plot Title: TO04-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574926, SEN S/N: 10574926, LBL: C)","Intensity, Lux (LGR S/N: 10574926, SEN S/N: 10574926, LBL: Lux)","Coupler Attached (LGR S/N: 10574926)","Host Connected (LGR S/N: 10574926)","Stopped (LGR S/N: 10574926)","End Of File (LGR S/N: 10574926)"
1,09/15/17 01:00:00 PM,12.883,3100.0,,,,
2,09/15/17 04:00:00 PM,14.038,914.9,,,,
3,09/15/17 07:00:00 PM,13.173,53.8,,,,
4,09/15/17 10:00:00 PM,10.357,0.0,,,,
5,09/16/17 01:00:00 AM,8.779,0.0,,,,
6,09/16/17 04:00:00 AM,7.882,0.0,,,,
7,09/16/17 07:00:00 AM,7.983,64.6,,,,
8,09/16/17 10:00:00 AM,10.651,2238.9,,,,
9,09/16/17 01:00:00 PM,14.038,2755.6,,,,
10,09/16/17 04:00:00 PM,14.804,1722.2,,,,
11,09/16/17 07:00:00 PM,13.750,43.1,,,,
12,09/16/17 10:00:00 PM,11.528,0.0,,,,
13,09/17/17 01:00:00 AM,10.259,0.0,,,,
14,09/17/17 04:00:00 AM,10.161,0.0,,,,
15,09/17/17 07:00:00 AM,10.063,10.8,,,,
16,09/17/17 10:00:00 AM,11.334,1291.7,,,,
17,09/17/17 01:00:00 PM,14.038,1377.8,,,,
18,09/17/17 04:00:00 PM,10.944,279.9,,,,
19,09/17/17 07:00:00 PM,10.651,43.1,,,,
20,09/17/17 10:00:00 PM,10.063,0.0,,,,
21,09/18/17 01:00:00 AM,9.176,0.0,,,,
22,09/18/17 04:00:00 AM,8.581,0.0,,,,
23,09/18/17 07:00:00 AM,7.882,75.3,,,,
24,09/18/17 10:00:00 AM,8.779,936.5,,,,
25,09/18/17 01:00:00 PM,9.669,2152.8,,,,
26,09/18/17 04:00:00 PM,9.077,1313.2,,,,
27,09/18/17 07:00:00 PM,8.481,10.8,,,,
28,09/18/17 10:00:00 PM,7.582,0.0,,,,
29,09/19/17 01:00:00 AM,7.079,0.0,,,,
30,09/19/17 04:00:00 AM,7.079,0.0,,,,
31,09/19/17 07:00:00 AM,7.079,0.0,,,,
32,09/19/17 10:00:00 AM,7.481,473.6,,,,
33,09/19/17 01:00:00 PM,8.182,914.9,,,,
34,09/19/17 04:00:00 PM,7.882,409.0,,,,
35,09/19/17 07:00:00 PM,8.481,10.8,,,,
36,09/19/17 10:00:00 PM,7.882,0.0,,,,
37,09/20/17 01:00:00 AM,7.179,0.0,,,,
38,09/20/17 04:00:00 AM,6.775,0.0,,,,
39,09/20/17 07:00:00 AM,6.674,0.0,,,,
40,09/20/17 10:00:00 AM,5.655,893.4,,,,
41,09/20/17 01:00:00 PM,7.280,2411.1,,,,
42,09/20/17 04:00:00 PM,7.582,1463.9,,,,
43,09/20/17 07:00:00 PM,7.882,21.5,,,,
44,09/20/17 10:00:00 PM,7.079,0.0,,,,
45,09/21/17 01:00:00 AM,6.573,0.0,,,,
46,09/21/17 04:00:00 AM,6.268,0.0,,,,
47,09/21/17 07:00:00 AM,6.573,0.0,,,,
48,09/21/17 10:00:00 AM,7.179,710.4,,,,
49,09/21/17 01:00:00 PM,7.782,775.0,,,,
50,09/21/17 04:00:00 PM,9.077,1550.0,,,,
51,09/21/17 07:00:00 PM,8.581,21.5,,,,
52,09/21/17 10:00:00 PM,7.983,0.0,,,,
53,09/22/17 01:00:00 AM,7.481,0.0,,,,
54,09/22/17 04:00:00 AM,6.877,0.0,,,,
55,09/22/17 07:00:00 AM,6.064,0.0,,,,
56,09/22/17 10:00:00 AM,7.179,1259.4,,,,
57,09/22/17 01:00:00 PM,9.176,2238.9,,,,
58,09/22/17 04:00:00 PM,9.373,893.4,,,,
59,09/22/17 07:00:00 PM,8.978,10.8,,,,
60,09/22/17 10:00:00 PM,8.082,0.0,,,,
61,09/23/17 01:00:00 AM,7.381,0.0,,,,
62,09/23/17 04:00:00 AM,7.179,0.0,,,,
63,09/23/17 07:00:00 AM,7.179,10.8,,,,
64,09/23/17 10:00:00 AM,7.983,990.3,,,,
65,09/23/17 01:00:00 PM,9.669,2066.7,,,,
66,09/23/17 04:00:00 PM,10.553,1270.1,,,,
67,09/23/17 07:00:00 PM,10.455,21.5,,,,
68,09/23/17 10:00:00 PM,8.779,0.0,,,,
69,09/24/17 01:00:00 AM,7.481,0.0,,,,
70,09/24/17 04:00:00 AM,6.674,0.0,,,,
71,09/24/17 07:00:00 AM,5.860,32.3,,,,
72,09/24/17 10:00:00 AM,7.079,882.6,,,,
73,09/24/17 01:00:00 PM,9.472,1722.2,,,,
74,09/24/17 04:00:00 PM,10.944,688.9,,,,
75,09/24/17 07:00:00 PM,10.651,0.0,,,,
76,09/24/17 10:00:00 PM,9.472,0.0,,,,
77,09/25/17 01:00:00 AM,8.978,0.0,,,,
78,09/25/17 04:00:00 AM,8.779,0.0,,,,
79,09/25/17 07:00:00 AM,8.978,0.0,,,,
