"Plot Title: AB08-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401759, SEN S/N: 2401759, LBL: C)","Intensity, Lux (LGR S/N: 2401759, SEN S/N: 2401759, LBL: Lux)","Coupler Attached (LGR S/N: 2401759)","Host Connected (LGR S/N: 2401759)","Stopped (LGR S/N: 2401759)","End Of File (LGR S/N: 2401759)"
1,09/13/18 01:00:00 PM,10.846,5511.1,,,,
2,09/13/18 04:00:00 PM,9.571,3100.0,,,,
3,09/13/18 07:00:00 PM,8.779,96.9,,,,
4,09/13/18 10:00:00 PM,7.280,0.0,,,,
5,09/14/18 01:00:00 AM,6.877,0.0,,,,
6,09/14/18 04:00:00 AM,6.166,0.0,,,,
7,09/14/18 07:00:00 AM,6.166,161.5,,,,
8,09/14/18 10:00:00 AM,5.962,516.7,,,,
9,09/14/18 01:00:00 PM,9.965,6544.5,,,,
10,09/14/18 04:00:00 PM,11.236,4994.5,,,,
11,09/14/18 07:00:00 PM,9.077,215.3,,,,
12,09/14/18 10:00:00 PM,7.983,0.0,,,,
13,09/15/18 01:00:00 AM,7.481,0.0,,,,
14,09/15/18 04:00:00 AM,6.471,0.0,,,,
15,09/15/18 07:00:00 AM,5.655,118.4,,,,
16,09/15/18 10:00:00 AM,7.983,4477.8,,,,
17,09/15/18 01:00:00 PM,11.528,7233.4,,,,
18,09/15/18 04:00:00 PM,10.944,3788.9,,,,
19,09/15/18 07:00:00 PM,8.779,150.7,,,,
20,09/15/18 10:00:00 PM,7.782,0.0,,,,
21,09/16/18 01:00:00 AM,7.179,0.0,,,,
22,09/16/18 04:00:00 AM,6.877,0.0,,,,
23,09/16/18 07:00:00 AM,6.877,43.1,,,,
24,09/16/18 10:00:00 AM,7.582,2497.2,,,,
25,09/16/18 01:00:00 PM,9.768,4133.4,,,,
26,09/16/18 04:00:00 PM,10.063,4305.6,,,,
27,09/16/18 07:00:00 PM,8.382,21.5,,,,
28,09/16/18 10:00:00 PM,6.978,0.0,,,,
29,09/17/18 01:00:00 AM,5.860,0.0,,,,
30,09/17/18 04:00:00 AM,5.141,0.0,,,,
31,09/17/18 07:00:00 AM,5.141,64.6,,,,
32,09/17/18 10:00:00 AM,4.623,1550.0,,,,
33,09/17/18 01:00:00 PM,7.582,2669.5,,,,
34,09/17/18 04:00:00 PM,11.041,3616.7,,,,
35,09/17/18 07:00:00 PM,8.779,118.4,,,,
36,09/17/18 10:00:00 PM,8.082,0.0,,,,
37,09/18/18 01:00:00 AM,7.682,0.0,,,,
38,09/18/18 04:00:00 AM,5.450,0.0,,,,
39,09/18/18 07:00:00 AM,3.998,64.6,,,,
40,09/18/18 10:00:00 AM,5.141,1377.8,,,,
41,09/18/18 01:00:00 PM,8.978,2497.2,,,,
42,09/18/18 04:00:00 PM,12.401,3100.0,,,,
43,09/18/18 07:00:00 PM,9.669,75.3,,,,
44,09/18/18 10:00:00 PM,8.581,0.0,,,,
45,09/19/18 01:00:00 AM,6.978,0.0,,,,
46,09/19/18 04:00:00 AM,5.962,0.0,,,,
47,09/19/18 07:00:00 AM,5.347,107.6,,,,
48,09/19/18 10:00:00 AM,6.064,1463.9,,,,
49,09/19/18 01:00:00 PM,8.978,2583.4,,,,
50,09/19/18 04:00:00 PM,12.013,5511.1,,,,
51,09/19/18 07:00:00 PM,9.768,139.9,,,,
52,09/19/18 10:00:00 PM,7.582,0.0,,,,
53,09/20/18 01:00:00 AM,7.280,0.0,,,,
54,09/20/18 04:00:00 AM,6.471,0.0,,,,
55,09/20/18 07:00:00 AM,5.450,43.1,,,,
56,09/20/18 10:00:00 AM,7.179,3272.2,,,,
57,09/20/18 01:00:00 PM,9.077,3272.2,,,,
58,09/20/18 04:00:00 PM,11.431,2066.7,,,,
59,09/20/18 07:00:00 PM,9.768,21.5,,,,
60,09/20/18 10:00:00 PM,8.382,0.0,,,,
61,09/21/18 01:00:00 AM,7.582,0.0,,,,
62,09/21/18 04:00:00 AM,6.877,0.0,,,,
63,09/21/18 07:00:00 AM,6.471,64.6,,,,
64,09/21/18 10:00:00 AM,8.481,2411.1,,,,
65,09/21/18 01:00:00 PM,13.558,6200.0,,,,
66,09/21/18 04:00:00 PM,14.613,4994.5,,,,
67,09/21/18 07:00:00 PM,12.497,53.8,,,,
68,09/21/18 10:00:00 PM,10.846,0.0,,,,
69,09/22/18 01:00:00 AM,9.965,0.0,,,,
70,09/22/18 04:00:00 AM,9.077,0.0,,,,
71,09/22/18 07:00:00 AM,7.481,21.5,,,,
72,09/22/18 10:00:00 AM,9.571,3272.2,,,,
73,09/22/18 01:00:00 PM,12.110,5166.7,,,,
74,09/22/18 04:00:00 PM,11.722,2497.2,,,,
75,09/22/18 07:00:00 PM,9.373,10.8,,,,
76,09/22/18 10:00:00 PM,7.782,0.0,,,,
77,09/23/18 01:00:00 AM,5.860,0.0,,,,
78,09/23/18 04:00:00 AM,3.788,0.0,,,,
79,09/23/18 07:00:00 AM,3.155,43.1,,,,
80,09/23/18 10:00:00 AM,3.367,1345.5,,,,
81,09/23/18 01:00:00 PM,5.757,2755.6,,,,
82,09/23/18 04:00:00 PM,8.382,2238.9,,,,
83,09/23/18 07:00:00 PM,6.166,43.1,,,,
84,09/23/18 10:00:00 PM,4.727,0.0,,,,
85,09/24/18 01:00:00 AM,3.367,0.0,,,,
86,09/24/18 04:00:00 AM,2.624,0.0,,,,
87,09/24/18 07:00:00 AM,2.410,32.3,,,,
88,09/24/18 10:00:00 AM,3.683,1097.9,,,,
89,09/24/18 01:00:00 PM,7.682,2669.5,,,,
90,09/24/18 04:00:00 PM,10.944,2755.6,,,,
91,09/24/18 07:00:00 PM,9.077,32.3,,,,
92,09/24/18 10:00:00 PM,6.674,0.0,,,,
93,09/25/18 01:00:00 AM,5.244,0.0,,,,
